   W            E2+
 (MeV)      Re      Im
 1614.0   -0.001   0.000
 1615.0   -0.001   0.000
 1616.0   -0.001   0.000
 1617.0   -0.001   0.000
 1618.0   -0.001   0.000
 1619.0   -0.001   0.000
 1620.0   -0.002   0.000
 1621.0   -0.002   0.000
 1622.0   -0.002   0.000
 1623.0   -0.002   0.000
 1624.0   -0.002   0.000
 1625.0   -0.002   0.000
 1626.0   -0.003   0.000
 1627.0   -0.003   0.000
 1628.0   -0.003   0.000
 1629.0   -0.003   0.000
 1630.0   -0.003   0.000
 1631.0   -0.003   0.000
 1632.0   -0.003   0.000
 1633.0   -0.004   0.000
 1634.0   -0.004   0.000
 1635.0   -0.004   0.000
 1636.0   -0.004   0.000
 1637.0   -0.004   0.000
 1638.0   -0.004   0.000
 1639.0   -0.005   0.000
 1640.0   -0.005   0.000
 1641.0   -0.005  -0.001
 1642.0   -0.005  -0.001
 1643.0   -0.005  -0.001
 1644.0   -0.005  -0.001
 1645.0   -0.005  -0.001
 1646.0   -0.006  -0.001
 1647.0   -0.006  -0.001
 1648.0   -0.006  -0.001
 1649.0   -0.006  -0.001
 1650.0   -0.006  -0.001
 1651.0   -0.006  -0.001
 1652.0   -0.007  -0.001
 1653.0   -0.007  -0.001
 1654.0   -0.007  -0.001
 1655.0   -0.007  -0.001
 1656.0   -0.007  -0.001
 1657.0   -0.007  -0.001
 1658.0   -0.008  -0.001
 1659.0   -0.008  -0.001
 1660.0   -0.008  -0.001
 1661.0   -0.008  -0.001
 1662.0   -0.008  -0.001
 1663.0   -0.008  -0.001
 1664.0   -0.009  -0.001
 1665.0   -0.009  -0.001
 1666.0   -0.009  -0.001
 1667.0   -0.009  -0.001
 1668.0   -0.009  -0.001
 1669.0   -0.009  -0.001
 1670.0   -0.009  -0.001
 1671.0   -0.010  -0.001
 1672.0   -0.010  -0.001
 1673.0   -0.010  -0.001
 1674.0   -0.010  -0.001
 1675.0   -0.010  -0.001
 1676.0   -0.010  -0.001
 1677.0   -0.011  -0.001
 1678.0   -0.011  -0.001
 1679.0   -0.011  -0.001
 1680.0   -0.011  -0.001
