   W            M1+
 (MeV)      Re      Im
 1614.0    0.047   0.005
 1615.0    0.052   0.006
 1616.0    0.057   0.006
 1617.0    0.061   0.007
 1618.0    0.065   0.007
 1619.0    0.069   0.008
 1620.0    0.073   0.008
 1621.0    0.076   0.008
 1622.0    0.080   0.009
 1623.0    0.083   0.009
 1624.0    0.086   0.010
 1625.0    0.089   0.010
 1626.0    0.092   0.010
 1627.0    0.096   0.011
 1628.0    0.099   0.011
 1629.0    0.101   0.011
 1630.0    0.104   0.012
 1631.0    0.107   0.012
 1632.0    0.110   0.013
 1633.0    0.113   0.013
 1634.0    0.115   0.013
 1635.0    0.118   0.014
 1636.0    0.121   0.014
 1637.0    0.123   0.015
 1638.0    0.126   0.015
 1639.0    0.129   0.016
 1640.0    0.131   0.016
 1641.0    0.134   0.017
 1642.0    0.136   0.017
 1643.0    0.139   0.017
 1644.0    0.141   0.018
 1645.0    0.144   0.018
 1646.0    0.146   0.019
 1647.0    0.149   0.020
 1648.0    0.151   0.020
 1649.0    0.153   0.021
 1650.0    0.156   0.021
 1651.0    0.158   0.022
 1652.0    0.161   0.022
 1653.0    0.163   0.023
 1654.0    0.165   0.024
 1655.0    0.168   0.024
 1656.0    0.170   0.025
 1657.0    0.172   0.026
 1658.0    0.174   0.026
 1659.0    0.177   0.027
 1660.0    0.179   0.028
 1661.0    0.181   0.029
 1662.0    0.183   0.029
 1663.0    0.186   0.030
 1664.0    0.188   0.031
 1665.0    0.190   0.032
 1666.0    0.192   0.033
 1667.0    0.194   0.034
 1668.0    0.196   0.035
 1669.0    0.198   0.036
 1670.0    0.200   0.037
 1671.0    0.203   0.038
 1672.0    0.205   0.039
 1673.0    0.207   0.040
 1674.0    0.209   0.041
 1675.0    0.211   0.042
 1676.0    0.212   0.043
 1677.0    0.214   0.044
 1678.0    0.216   0.045
 1679.0    0.218   0.046
 1680.0    0.220   0.047
 1681.0    0.222   0.049
 1682.0    0.224   0.050
 1683.0    0.225   0.051
 1684.0    0.227   0.052
 1685.0    0.229   0.054
 1686.0    0.230   0.055
 1687.0    0.232   0.056
 1688.0    0.233   0.058
 1689.0    0.235   0.059
 1690.0    0.236   0.060
 1691.0    0.238   0.062
 1692.0    0.239   0.063
 1693.0    0.241   0.065
 1694.0    0.242   0.066
 1695.0    0.243   0.067
 1696.0    0.245   0.069
 1697.0    0.246   0.070
