   W            E0+
 (MeV)      Re      Im
 1614.0   -0.539  -2.976
 1615.0   -0.513  -3.011
 1616.0   -0.487  -3.046
 1617.0   -0.460  -3.080
 1618.0   -0.432  -3.114
 1619.0   -0.403  -3.148
 1620.0   -0.373  -3.181
 1621.0   -0.342  -3.214
 1622.0   -0.310  -3.247
 1623.0   -0.278  -3.278
 1624.0   -0.244  -3.310
 1625.0   -0.209  -3.340
 1626.0   -0.174  -3.370
 1627.0   -0.138  -3.399
 1628.0   -0.100  -3.428
 1629.0   -0.062  -3.456
 1630.0   -0.023  -3.482
 1631.0    0.017  -3.508
 1632.0    0.058  -3.533
 1633.0    0.099  -3.557
 1634.0    0.142  -3.580
 1635.0    0.185  -3.602
 1636.0    0.229  -3.623
 1637.0    0.273  -3.642
 1638.0    0.319  -3.661
 1639.0    0.364  -3.678
 1640.0    0.411  -3.694
 1641.0    0.457  -3.709
 1642.0    0.505  -3.722
 1643.0    0.552  -3.735
 1644.0    0.600  -3.746
 1645.0    0.649  -3.755
 1646.0    0.697  -3.764
 1647.0    0.746  -3.770
 1648.0    0.795  -3.776
 1649.0    0.844  -3.780
 1650.0    0.894  -3.783
 1651.0    0.943  -3.784
 1652.0    0.992  -3.785
 1653.0    1.041  -3.783
 1654.0    1.090  -3.781
 1655.0    1.138  -3.777
 1656.0    1.187  -3.771
 1657.0    1.235  -3.765
 1658.0    1.282  -3.757
 1659.0    1.330  -3.748
 1660.0    1.377  -3.737
 1661.0    1.423  -3.726
 1662.0    1.469  -3.713
 1663.0    1.514  -3.699
 1664.0    1.559  -3.684
 1665.0    1.603  -3.668
 1666.0    1.646  -3.650
 1667.0    1.689  -3.632
 1668.0    1.730  -3.613
 1669.0    1.772  -3.592
 1670.0    1.812  -3.571
 1671.0    1.851  -3.549
 1672.0    1.890  -3.526
 1673.0    1.928  -3.502
 1674.0    1.964  -3.478
 1675.0    2.000  -3.453
 1676.0    2.036  -3.427
 1677.0    2.070  -3.400
 1678.0    2.103  -3.373
 1679.0    2.135  -3.345
 1680.0    2.166  -3.317
 1681.0    2.197  -3.288
 1682.0    2.226  -3.259
 1683.0    2.255  -3.230
 1684.0    2.282  -3.200
 1685.0    2.309  -3.169
 1686.0    2.335  -3.139
 1687.0    2.359  -3.108
 1688.0    2.383  -3.077
 1689.0    2.406  -3.045
 1690.0    2.428  -3.014
 1691.0    2.449  -2.982
 1692.0    2.469  -2.950
 1693.0    2.489  -2.919
 1694.0    2.507  -2.887
 1695.0    2.525  -2.855
 1696.0    2.541  -2.823
 1697.0    2.557  -2.791
 1698.0    2.573  -2.759
 1699.0    2.587  -2.727
 1700.0    2.601  -2.695
 1701.0    2.613  -2.663
 1702.0    2.625  -2.632
 1703.0    2.637  -2.600
 1704.0    2.647  -2.569
 1705.0    2.657  -2.538
 1706.0    2.667  -2.507
 1707.0    2.675  -2.476
 1708.0    2.683  -2.445
 1709.0    2.691  -2.415
 1710.0    2.698  -2.385
 1711.0    2.704  -2.355
 1712.0    2.709  -2.325
