   W            E3-
 (MeV)      Re      Im
 1614.0    0.000   0.000
 1615.0    0.000   0.000
 1616.0    0.000   0.000
 1617.0    0.001   0.000
 1618.0    0.001   0.000
 1619.0    0.001   0.000
 1620.0    0.001   0.000
 1621.0    0.001   0.000
 1622.0    0.001   0.000
 1623.0    0.001   0.000
 1624.0    0.001   0.000
 1625.0    0.002   0.000
 1626.0    0.002   0.000
 1627.0    0.002   0.000
 1628.0    0.002   0.000
 1629.0    0.002   0.000
 1630.0    0.002   0.000
 1631.0    0.002   0.000
 1632.0    0.003   0.000
 1633.0    0.003   0.000
 1634.0    0.003   0.000
 1635.0    0.003   0.000
 1636.0    0.003   0.000
 1637.0    0.003   0.000
 1638.0    0.004   0.000
 1639.0    0.004   0.000
 1640.0    0.004   0.000
 1641.0    0.004   0.000
 1642.0    0.004   0.000
 1643.0    0.005   0.000
 1644.0    0.005   0.000
 1645.0    0.005   0.000
 1646.0    0.005   0.000
 1647.0    0.005   0.000
 1648.0    0.006   0.000
 1649.0    0.006   0.000
 1650.0    0.006   0.000
 1651.0    0.006   0.000
 1652.0    0.006   0.000
 1653.0    0.007   0.000
 1654.0    0.007   0.000
 1655.0    0.007   0.000
 1656.0    0.007   0.000
 1657.0    0.008   0.000
 1658.0    0.008   0.000
 1659.0    0.008   0.000
 1660.0    0.008   0.000
 1661.0    0.008   0.000
 1662.0    0.009   0.000
 1663.0    0.009   0.000
 1664.0    0.009   0.000
 1665.0    0.009   0.001
 1666.0    0.010   0.001
 1667.0    0.010   0.001
 1668.0    0.010   0.001
 1669.0    0.010   0.001
 1670.0    0.011   0.001
 1671.0    0.011   0.001
 1672.0    0.011   0.001
 1673.0    0.011   0.001
 1674.0    0.012   0.001
 1675.0    0.012   0.001
 1676.0    0.012   0.001
 1677.0    0.012   0.001
 1678.0    0.013   0.001
 1679.0    0.013   0.001
 1680.0    0.013   0.001
 1681.0    0.013   0.001
 1682.0    0.014   0.001
 1683.0    0.014   0.001
 1684.0    0.014   0.001
 1685.0    0.014   0.001
 1686.0    0.015   0.001
 1687.0    0.015   0.001
 1688.0    0.015   0.001
 1689.0    0.016   0.001
 1690.0    0.016   0.001
 1691.0    0.016   0.001
 1692.0    0.016   0.001
 1693.0    0.017   0.001
 1694.0    0.017   0.001
 1695.0    0.017   0.001
 1696.0    0.017   0.001
 1697.0    0.018   0.001
 1698.0    0.018   0.001
 1699.0    0.018   0.001
 1700.0    0.019   0.001
 1701.0    0.019   0.001
 1702.0    0.019   0.001
 1703.0    0.019   0.001
 1704.0    0.020   0.001
 1705.0    0.020   0.001
 1706.0    0.020   0.001
 1707.0    0.021   0.001
 1708.0    0.021   0.001
 1709.0    0.021   0.001
 1710.0    0.021   0.001
 1711.0    0.022   0.001
 1712.0    0.022   0.001
 1713.0    0.022   0.001
 1714.0    0.023   0.001
 1715.0    0.023   0.001
 1716.0    0.023   0.001
 1717.0    0.024   0.001
 1718.0    0.024   0.001
 1719.0    0.024   0.001
 1720.0    0.024   0.001
 1721.0    0.025   0.001
 1722.0    0.025   0.001
 1723.0    0.025   0.001
 1724.0    0.026   0.001
 1725.0    0.026   0.001
 1726.0    0.026   0.001
