   W            E1+
 (MeV)      Re      Im
 1818.0    0.280  -0.437
 1819.0    0.279  -0.433
 1820.0    0.279  -0.430
 1821.0    0.279  -0.426
 1822.0    0.278  -0.423
 1823.0    0.278  -0.420
 1824.0    0.277  -0.416
 1825.0    0.277  -0.413
 1826.0    0.276  -0.410
 1827.0    0.275  -0.406
 1828.0    0.275  -0.403
 1829.0    0.274  -0.400
 1830.0    0.273  -0.397
 1831.0    0.273  -0.393
 1832.0    0.272  -0.390
 1833.0    0.271  -0.387
 1834.0    0.270  -0.384
 1835.0    0.270  -0.381
 1836.0    0.269  -0.378
 1837.0    0.268  -0.375
 1838.0    0.267  -0.372
 1839.0    0.266  -0.369
 1840.0    0.265  -0.366
 1841.0    0.264  -0.363
 1842.0    0.263  -0.360
 1843.0    0.262  -0.358
 1844.0    0.261  -0.355
 1845.0    0.260  -0.352
 1846.0    0.259  -0.349
 1847.0    0.258  -0.347
 1848.0    0.257  -0.344
 1849.0    0.256  -0.341
 1850.0    0.255  -0.339
 1851.0    0.254  -0.336
 1852.0    0.253  -0.334
 1853.0    0.252  -0.331
 1854.0    0.251  -0.328
 1855.0    0.249  -0.326
 1856.0    0.248  -0.323
 1857.0    0.247  -0.321
 1858.0    0.246  -0.319
 1859.0    0.245  -0.316
 1860.0    0.244  -0.314
 1861.0    0.242  -0.311
 1862.0    0.241  -0.309
 1863.0    0.240  -0.307
 1864.0    0.239  -0.304
 1865.0    0.237  -0.302
 1866.0    0.236  -0.300
 1867.0    0.235  -0.298
 1868.0    0.234  -0.295
 1869.0    0.232  -0.293
 1870.0    0.231  -0.291
 1871.0    0.230  -0.289
 1872.0    0.229  -0.287
 1873.0    0.227  -0.285
 1874.0    0.226  -0.283
 1875.0    0.225  -0.281
 1876.0    0.223  -0.278
 1877.0    0.222  -0.276
 1878.0    0.221  -0.274
 1879.0    0.219  -0.272
 1880.0    0.218  -0.270
 1881.0    0.217  -0.268
 1882.0    0.215  -0.267
 1883.0    0.214  -0.265
 1884.0    0.213  -0.263
 1885.0    0.211  -0.261
 1886.0    0.210  -0.259
 1887.0    0.209  -0.257
 1888.0    0.207  -0.255
 1889.0    0.206  -0.253
 1890.0    0.205  -0.252
 1891.0    0.203  -0.250
 1892.0    0.202  -0.248
 1893.0    0.201  -0.246
 1894.0    0.199  -0.245
 1895.0    0.198  -0.243
 1896.0    0.197  -0.241
 1897.0    0.195  -0.240
 1898.0    0.194  -0.238
 1899.0    0.193  -0.236
 1900.0    0.191  -0.235
 1901.0    0.190  -0.233
 1902.0    0.188  -0.231
 1903.0    0.187  -0.230
 1904.0    0.186  -0.228
 1905.0    0.184  -0.227
 1906.0    0.183  -0.225
 1907.0    0.182  -0.223
 1908.0    0.180  -0.222
 1909.0    0.179  -0.220
 1910.0    0.178  -0.219
 1911.0    0.176  -0.217
 1912.0    0.175  -0.216
 1913.0    0.174  -0.214
 1914.0    0.172  -0.213
 1915.0    0.171  -0.212
 1916.0    0.170  -0.210
 1917.0    0.168  -0.209
 1918.0    0.167  -0.207
 1919.0    0.166  -0.206
 1920.0    0.164  -0.205
 1921.0    0.163  -0.203
 1922.0    0.162  -0.202
 1923.0    0.160  -0.200
 1924.0    0.159  -0.199
 1925.0    0.158  -0.198
 1926.0    0.156  -0.197
 1927.0    0.155  -0.195
 1928.0    0.154  -0.194
 1929.0    0.152  -0.193
 1930.0    0.151  -0.191
 1931.0    0.150  -0.190
 1932.0    0.148  -0.189
 1933.0    0.147  -0.188
 1934.0    0.146  -0.186
 1935.0    0.144  -0.185
 1936.0    0.143  -0.184
 1937.0    0.142  -0.183
 1938.0    0.141  -0.182
 1939.0    0.139  -0.180
 1940.0    0.138  -0.179
 1941.0    0.137  -0.178
 1942.0    0.136  -0.177
 1943.0    0.134  -0.176
 1944.0    0.133  -0.175
 1945.0    0.132  -0.174
 1946.0    0.130  -0.173
 1947.0    0.129  -0.171
 1948.0    0.128  -0.170
 1949.0    0.127  -0.169
 1950.0    0.125  -0.168
 1951.0    0.124  -0.167
 1952.0    0.123  -0.166
 1953.0    0.122  -0.165
 1954.0    0.121  -0.164
 1955.0    0.119  -0.163
 1956.0    0.118  -0.162
 1957.0    0.117  -0.161
 1958.0    0.116  -0.160
 1959.0    0.114  -0.159
 1960.0    0.113  -0.158
 1961.0    0.112  -0.157
 1962.0    0.111  -0.156
 1963.0    0.110  -0.155
 1964.0    0.108  -0.154
 1965.0    0.107  -0.153
 1966.0    0.106  -0.152
 1967.0    0.105  -0.151
 1968.0    0.104  -0.150
 1969.0    0.103  -0.149
 1970.0    0.101  -0.149
 1971.0    0.100  -0.148
 1972.0    0.099  -0.147
 1973.0    0.098  -0.146
 1974.0    0.097  -0.145
 1975.0    0.096  -0.144
 1976.0    0.094  -0.143
 1977.0    0.093  -0.142
 1978.0    0.092  -0.142
 1979.0    0.091  -0.141
 1980.0    0.090  -0.140
 1981.0    0.089  -0.139
 1982.0    0.088  -0.138
 1983.0    0.087  -0.137
 1984.0    0.086  -0.137
 1985.0    0.084  -0.136
 1986.0    0.083  -0.135
 1987.0    0.082  -0.134
 1988.0    0.081  -0.133
 1989.0    0.080  -0.133
 1990.0    0.079  -0.132
 1991.0    0.078  -0.131
 1992.0    0.077  -0.130
 1993.0    0.076  -0.130
 1994.0    0.075  -0.129
 1995.0    0.074  -0.128
 1996.0    0.073  -0.127
 1997.0    0.072  -0.127
 1998.0    0.071  -0.126
 1999.0    0.069  -0.125
 2000.0    0.068  -0.124
 2001.0    0.067  -0.124
 2002.0    0.066  -0.123
 2003.0    0.065  -0.122
 2004.0    0.064  -0.122
 2005.0    0.063  -0.121
 2006.0    0.062  -0.120
 2007.0    0.061  -0.119
 2008.0    0.060  -0.119
 2009.0    0.059  -0.118
 2010.0    0.058  -0.117
 2011.0    0.057  -0.117
 2012.0    0.056  -0.116
 2013.0    0.055  -0.115
 2014.0    0.054  -0.115
 2015.0    0.053  -0.114
 2016.0    0.052  -0.114
 2017.0    0.052  -0.113
 2018.0    0.051  -0.112
 2019.0    0.050  -0.112
 2020.0    0.049  -0.111
 2021.0    0.048  -0.110
 2022.0    0.047  -0.110
 2023.0    0.046  -0.109
 2024.0    0.045  -0.109
 2025.0    0.044  -0.108
 2026.0    0.043  -0.107
 2027.0    0.042  -0.107
 2028.0    0.041  -0.106
 2029.0    0.040  -0.106
 2030.0    0.039  -0.105
 2031.0    0.039  -0.105
 2032.0    0.038  -0.104
 2033.0    0.037  -0.103
 2034.0    0.036  -0.103
 2035.0    0.035  -0.102
 2036.0    0.034  -0.102
 2037.0    0.033  -0.101
 2038.0    0.032  -0.101
 2039.0    0.031  -0.100
 2040.0    0.031  -0.100
 2041.0    0.030  -0.099
 2042.0    0.029  -0.099
 2043.0    0.028  -0.098
 2044.0    0.027  -0.097
 2045.0    0.026  -0.097
 2046.0    0.026  -0.096
 2047.0    0.025  -0.096
 2048.0    0.024  -0.095
 2049.0    0.023  -0.095
 2050.0    0.022  -0.094
 2051.0    0.021  -0.094
 2052.0    0.021  -0.093
 2053.0    0.020  -0.093
 2054.0    0.019  -0.092
 2055.0    0.018  -0.092
 2056.0    0.017  -0.092
 2057.0    0.017  -0.091
 2058.0    0.016  -0.091
 2059.0    0.015  -0.090
 2060.0    0.014  -0.090
 2061.0    0.013  -0.089
 2062.0    0.013  -0.089
 2063.0    0.012  -0.088
 2064.0    0.011  -0.088
 2065.0    0.010  -0.087
 2066.0    0.010  -0.087
 2067.0    0.009  -0.087
 2068.0    0.008  -0.086
 2069.0    0.007  -0.086
 2070.0    0.007  -0.085
 2071.0    0.006  -0.085
 2072.0    0.005  -0.084
 2073.0    0.004  -0.084
 2074.0    0.004  -0.084
 2075.0    0.003  -0.083
 2076.0    0.002  -0.083
 2077.0    0.002  -0.082
 2078.0    0.001  -0.082
 2079.0    0.000  -0.081
 2080.0   -0.001  -0.081
 2081.0   -0.001  -0.081
 2082.0   -0.002  -0.080
 2083.0   -0.003  -0.080
 2084.0   -0.003  -0.079
 2085.0   -0.004  -0.079
 2086.0   -0.005  -0.079
 2087.0   -0.005  -0.078
 2088.0   -0.006  -0.078
 2089.0   -0.007  -0.078
 2090.0   -0.007  -0.077
 2091.0   -0.008  -0.077
 2092.0   -0.009  -0.076
 2093.0   -0.009  -0.076
 2094.0   -0.010  -0.076
 2095.0   -0.011  -0.075
 2096.0   -0.011  -0.075
 2097.0   -0.012  -0.075
 2098.0   -0.013  -0.074
 2099.0   -0.013  -0.074
 2100.0   -0.014  -0.074
 2101.0   -0.015  -0.073
 2102.0   -0.015  -0.073
 2103.0   -0.016  -0.072
 2104.0   -0.016  -0.072
 2105.0   -0.017  -0.072
 2106.0   -0.018  -0.071
 2107.0   -0.018  -0.071
 2108.0   -0.019  -0.071
 2109.0   -0.020  -0.070
 2110.0   -0.020  -0.070
 2111.0   -0.021  -0.070
 2112.0   -0.021  -0.069
 2113.0   -0.022  -0.069
 2114.0   -0.022  -0.069
 2115.0   -0.023  -0.069
 2116.0   -0.024  -0.068
 2117.0   -0.024  -0.068
 2118.0   -0.025  -0.068
 2119.0   -0.025  -0.067
 2120.0   -0.026  -0.067
 2121.0   -0.027  -0.067
 2122.0   -0.027  -0.066
 2123.0   -0.028  -0.066
 2124.0   -0.028  -0.066
 2125.0   -0.029  -0.065
 2126.0   -0.029  -0.065
 2127.0   -0.030  -0.065
 2128.0   -0.030  -0.065
 2129.0   -0.031  -0.064
 2130.0   -0.031  -0.064
 2131.0   -0.032  -0.064
 2132.0   -0.033  -0.063
 2133.0   -0.033  -0.063
 2134.0   -0.034  -0.063
 2135.0   -0.034  -0.063
 2136.0   -0.035  -0.062
 2137.0   -0.035  -0.062
 2138.0   -0.036  -0.062
 2139.0   -0.036  -0.061
 2140.0   -0.037  -0.061
 2141.0   -0.037  -0.061
 2142.0   -0.038  -0.061
 2143.0   -0.038  -0.060
 2144.0   -0.039  -0.060
 2145.0   -0.039  -0.060
 2146.0   -0.040  -0.060
 2147.0   -0.040  -0.059
 2148.0   -0.041  -0.059
 2149.0   -0.041  -0.059
 2150.0   -0.042  -0.059
 2151.0   -0.042  -0.058
 2152.0   -0.043  -0.058
 2153.0   -0.043  -0.058
 2154.0   -0.044  -0.058
 2155.0   -0.044  -0.057
 2156.0   -0.044  -0.057
 2157.0   -0.045  -0.057
 2158.0   -0.045  -0.057
 2159.0   -0.046  -0.056
 2160.0   -0.046  -0.056
 2161.0   -0.047  -0.056
 2162.0   -0.047  -0.056
 2163.0   -0.048  -0.055
 2164.0   -0.048  -0.055
 2165.0   -0.049  -0.055
