   W            E2-
 (MeV)      Re      Im
 1826.0    0.347  -0.096
 1827.0    0.351  -0.093
 1828.0    0.355  -0.090
 1829.0    0.358  -0.087
 1830.0    0.362  -0.084
 1831.0    0.366  -0.081
 1832.0    0.369  -0.078
 1833.0    0.373  -0.075
 1834.0    0.376  -0.071
 1835.0    0.380  -0.068
 1836.0    0.383  -0.065
 1837.0    0.387  -0.061
 1838.0    0.390  -0.058
 1839.0    0.393  -0.054
 1840.0    0.397  -0.050
 1841.0    0.400  -0.047
 1842.0    0.403  -0.043
 1843.0    0.406  -0.039
 1844.0    0.409  -0.035
 1845.0    0.412  -0.031
 1846.0    0.415  -0.027
 1847.0    0.418  -0.023
 1848.0    0.421  -0.019
 1849.0    0.424  -0.015
 1850.0    0.427  -0.011
 1851.0    0.429  -0.007
 1852.0    0.432  -0.003
 1853.0    0.435   0.002
 1854.0    0.437   0.006
 1855.0    0.440   0.010
 1856.0    0.442   0.014
 1857.0    0.444   0.019
 1858.0    0.447   0.023
 1859.0    0.449   0.028
 1860.0    0.451   0.032
 1861.0    0.453   0.037
 1862.0    0.455   0.041
 1863.0    0.457   0.046
 1864.0    0.459   0.050
 1865.0    0.461   0.055
 1866.0    0.463   0.059
 1867.0    0.465   0.064
 1868.0    0.467   0.068
 1869.0    0.468   0.073
 1870.0    0.470   0.078
 1871.0    0.471   0.082
 1872.0    0.473   0.087
 1873.0    0.474   0.091
 1874.0    0.476   0.096
 1875.0    0.477   0.101
 1876.0    0.478   0.105
 1877.0    0.480   0.110
 1878.0    0.481   0.114
 1879.0    0.482   0.119
 1880.0    0.483   0.124
 1881.0    0.484   0.128
 1882.0    0.485   0.133
 1883.0    0.486   0.137
 1884.0    0.487   0.142
 1885.0    0.487   0.147
 1886.0    0.488   0.151
 1887.0    0.489   0.156
 1888.0    0.489   0.160
 1889.0    0.490   0.165
 1890.0    0.490   0.169
 1891.0    0.491   0.174
 1892.0    0.491   0.178
 1893.0    0.492   0.182
 1894.0    0.492   0.187
 1895.0    0.493   0.191
 1896.0    0.493   0.196
 1897.0    0.493   0.200
 1898.0    0.493   0.204
 1899.0    0.493   0.208
 1900.0    0.493   0.213
 1901.0    0.494   0.217
 1902.0    0.494   0.221
 1903.0    0.494   0.225
 1904.0    0.494   0.229
 1905.0    0.494   0.233
 1906.0    0.493   0.237
 1907.0    0.493   0.241
 1908.0    0.493   0.245
 1909.0    0.493   0.249
 1910.0    0.493   0.253
 1911.0    0.492   0.257
 1912.0    0.492   0.261
 1913.0    0.492   0.265
 1914.0    0.492   0.269
 1915.0    0.491   0.273
 1916.0    0.491   0.276
 1917.0    0.490   0.280
 1918.0    0.490   0.284
 1919.0    0.489   0.287
 1920.0    0.489   0.291
 1921.0    0.488   0.294
 1922.0    0.488   0.298
 1923.0    0.487   0.301
 1924.0    0.487   0.305
 1925.0    0.486   0.308
 1926.0    0.486   0.311
 1927.0    0.485   0.315
 1928.0    0.484   0.318
 1929.0    0.484   0.321
 1930.0    0.483   0.324
 1931.0    0.482   0.327
 1932.0    0.482   0.331
 1933.0    0.481   0.334
 1934.0    0.480   0.337
 1935.0    0.480   0.340
 1936.0    0.479   0.343
 1937.0    0.478   0.345
 1938.0    0.477   0.348
 1939.0    0.477   0.351
 1940.0    0.476   0.354
 1941.0    0.475   0.357
 1942.0    0.474   0.359
 1943.0    0.474   0.362
 1944.0    0.473   0.365
 1945.0    0.472   0.367
 1946.0    0.471   0.370
 1947.0    0.470   0.372
 1948.0    0.470   0.375
 1949.0    0.469   0.377
 1950.0    0.468   0.380
 1951.0    0.467   0.382
 1952.0    0.466   0.384
 1953.0    0.466   0.387
 1954.0    0.465   0.389
 1955.0    0.464   0.391
 1956.0    0.463   0.393
 1957.0    0.462   0.395
 1958.0    0.462   0.397
 1959.0    0.461   0.399
 1960.0    0.460   0.401
 1961.0    0.459   0.403
 1962.0    0.458   0.405
 1963.0    0.458   0.407
 1964.0    0.457   0.409
 1965.0    0.456   0.411
 1966.0    0.455   0.413
 1967.0    0.455   0.414
 1968.0    0.454   0.416
 1969.0    0.453   0.418
 1970.0    0.452   0.419
 1971.0    0.452   0.421
 1972.0    0.451   0.423
 1973.0    0.450   0.424
 1974.0    0.449   0.426
 1975.0    0.449   0.427
 1976.0    0.448   0.428
 1977.0    0.447   0.430
 1978.0    0.447   0.431
 1979.0    0.446   0.433
 1980.0    0.445   0.434
 1981.0    0.445   0.435
 1982.0    0.444   0.436
 1983.0    0.443   0.437
 1984.0    0.443   0.439
 1985.0    0.442   0.440
