   W            M2-
 (MeV)      Re      Im
 1841.0    0.559   0.855
 1842.0    0.555   0.862
 1843.0    0.551   0.868
 1844.0    0.546   0.874
 1845.0    0.542   0.880
 1846.0    0.538   0.886
 1847.0    0.533   0.891
 1848.0    0.529   0.897
 1849.0    0.524   0.903
 1850.0    0.519   0.908
 1851.0    0.514   0.913
 1852.0    0.510   0.918
 1853.0    0.505   0.924
 1854.0    0.500   0.929
 1855.0    0.495   0.934
 1856.0    0.490   0.938
 1857.0    0.485   0.943
 1858.0    0.480   0.948
 1859.0    0.474   0.952
 1860.0    0.469   0.956
 1861.0    0.464   0.961
 1862.0    0.459   0.965
 1863.0    0.453   0.969
 1864.0    0.448   0.973
 1865.0    0.443   0.976
 1866.0    0.437   0.980
 1867.0    0.432   0.984
 1868.0    0.426   0.987
 1869.0    0.421   0.990
 1870.0    0.415   0.994
 1871.0    0.410   0.997
 1872.0    0.404   1.000
 1873.0    0.399   1.003
 1874.0    0.393   1.005
 1875.0    0.388   1.008
 1876.0    0.382   1.011
 1877.0    0.377   1.013
 1878.0    0.371   1.015
 1879.0    0.366   1.018
 1880.0    0.360   1.020
 1881.0    0.355   1.022
 1882.0    0.349   1.024
 1883.0    0.344   1.026
 1884.0    0.338   1.027
 1885.0    0.333   1.029
 1886.0    0.327   1.030
 1887.0    0.322   1.032
 1888.0    0.317   1.033
 1889.0    0.311   1.034
 1890.0    0.306   1.035
 1891.0    0.301   1.036
 1892.0    0.295   1.037
 1893.0    0.290   1.038
 1894.0    0.285   1.039
 1895.0    0.279   1.040
 1896.0    0.274   1.040
 1897.0    0.269   1.041
 1898.0    0.264   1.041
 1899.0    0.259   1.041
 1900.0    0.254   1.041
 1901.0    0.249   1.042
 1902.0    0.244   1.042
 1903.0    0.239   1.041
 1904.0    0.234   1.041
 1905.0    0.229   1.041
 1906.0    0.224   1.041
 1907.0    0.220   1.040
 1908.0    0.215   1.040
 1909.0    0.210   1.039
 1910.0    0.205   1.039
 1911.0    0.201   1.038
 1912.0    0.196   1.037
 1913.0    0.192   1.037
 1914.0    0.187   1.036
 1915.0    0.183   1.035
 1916.0    0.178   1.034
 1917.0    0.174   1.033
 1918.0    0.170   1.032
 1919.0    0.166   1.030
 1920.0    0.161   1.029
 1921.0    0.157   1.028
 1922.0    0.153   1.026
 1923.0    0.149   1.025
 1924.0    0.145   1.023
 1925.0    0.141   1.022
 1926.0    0.137   1.020
 1927.0    0.133   1.019
 1928.0    0.130   1.017
 1929.0    0.126   1.015
 1930.0    0.122   1.013
 1931.0    0.118   1.012
 1932.0    0.115   1.010
 1933.0    0.111   1.008
 1934.0    0.108   1.006
 1935.0    0.104   1.004
 1936.0    0.101   1.001
 1937.0    0.097   0.999
 1938.0    0.094   0.997
 1939.0    0.091   0.995
 1940.0    0.088   0.993
 1941.0    0.085   0.990
 1942.0    0.081   0.988
 1943.0    0.078   0.986
 1944.0    0.075   0.983
 1945.0    0.072   0.981
 1946.0    0.069   0.978
 1947.0    0.067   0.976
 1948.0    0.064   0.973
 1949.0    0.061   0.971
 1950.0    0.058   0.968
 1951.0    0.056   0.966
 1952.0    0.053   0.963
 1953.0    0.050   0.960
 1954.0    0.048   0.957
 1955.0    0.045   0.955
 1956.0    0.043   0.952
 1957.0    0.040   0.949
 1958.0    0.038   0.946
 1959.0    0.036   0.944
 1960.0    0.034   0.941
