   W            M1-
 (MeV)      Re      Im
 1614.0    0.195   0.031
 1615.0    0.215   0.035
 1616.0    0.234   0.039
 1617.0    0.252   0.044
 1618.0    0.269   0.048
 1619.0    0.285   0.052
 1620.0    0.301   0.056
 1621.0    0.316   0.060
 1622.0    0.331   0.064
 1623.0    0.345   0.069
 1624.0    0.359   0.073
 1625.0    0.373   0.078
 1626.0    0.386   0.083
 1627.0    0.400   0.088
 1628.0    0.413   0.093
 1629.0    0.425   0.099
 1630.0    0.438   0.104
 1631.0    0.451   0.110
 1632.0    0.463   0.116
 1633.0    0.476   0.122
 1634.0    0.488   0.128
 1635.0    0.500   0.135
 1636.0    0.512   0.142
 1637.0    0.524   0.149
 1638.0    0.536   0.157
 1639.0    0.548   0.164
 1640.0    0.559   0.172
 1641.0    0.571   0.181
 1642.0    0.582   0.189
 1643.0    0.594   0.198
 1644.0    0.605   0.207
 1645.0    0.617   0.217
 1646.0    0.628   0.227
 1647.0    0.639   0.237
 1648.0    0.650   0.248
 1649.0    0.661   0.259
 1650.0    0.671   0.271
 1651.0    0.682   0.283
 1652.0    0.692   0.295
 1653.0    0.703   0.308
 1654.0    0.713   0.322
 1655.0    0.722   0.335
 1656.0    0.732   0.350
 1657.0    0.741   0.365
 1658.0    0.750   0.380
 1659.0    0.759   0.396
 1660.0    0.768   0.412
 1661.0    0.776   0.429
 1662.0    0.783   0.446
 1663.0    0.791   0.464
 1664.0    0.798   0.483
 1665.0    0.804   0.502
 1666.0    0.810   0.521
 1667.0    0.815   0.541
 1668.0    0.820   0.562
 1669.0    0.824   0.583
 1670.0    0.827   0.605
 1671.0    0.830   0.627
 1672.0    0.832   0.649
 1673.0    0.833   0.672
 1674.0    0.833   0.695
 1675.0    0.833   0.719
 1676.0    0.831   0.743
 1677.0    0.829   0.767
 1678.0    0.825   0.792
 1679.0    0.821   0.817
 1680.0    0.815   0.842
 1681.0    0.808   0.867
 1682.0    0.801   0.892
 1683.0    0.792   0.917
 1684.0    0.782   0.942
 1685.0    0.770   0.967
 1686.0    0.758   0.991
 1687.0    0.744   1.015
 1688.0    0.729   1.039
 1689.0    0.713   1.062
 1690.0    0.696   1.085
 1691.0    0.678   1.107
 1692.0    0.659   1.129
 1693.0    0.638   1.149
 1694.0    0.617   1.169
 1695.0    0.595   1.188
 1696.0    0.572   1.206
 1697.0    0.548   1.223
 1698.0    0.523   1.239
 1699.0    0.498   1.253
 1700.0    0.472   1.267
 1701.0    0.445   1.279
 1702.0    0.418   1.290
 1703.0    0.391   1.300
 1704.0    0.363   1.308
