   W            M2+
 (MeV)      Re      Im
 1614.0    0.002   0.000
 1615.0    0.003   0.000
 1616.0    0.003   0.000
 1617.0    0.004   0.000
 1618.0    0.004   0.000
 1619.0    0.005   0.000
 1620.0    0.005   0.000
 1621.0    0.006   0.000
 1622.0    0.006   0.000
 1623.0    0.007   0.000
 1624.0    0.007   0.000
 1625.0    0.008   0.000
 1626.0    0.008   0.000
 1627.0    0.009   0.001
 1628.0    0.009   0.001
 1629.0    0.010   0.001
 1630.0    0.010   0.001
 1631.0    0.011   0.001
 1632.0    0.011   0.001
 1633.0    0.012   0.001
 1634.0    0.012   0.001
 1635.0    0.013   0.001
 1636.0    0.013   0.001
 1637.0    0.014   0.001
 1638.0    0.014   0.001
 1639.0    0.015   0.001
 1640.0    0.015   0.001
 1641.0    0.016   0.001
 1642.0    0.016   0.001
 1643.0    0.017   0.001
 1644.0    0.017   0.001
 1645.0    0.018   0.001
 1646.0    0.018   0.001
 1647.0    0.019   0.001
 1648.0    0.019   0.001
 1649.0    0.020   0.001
 1650.0    0.020   0.001
 1651.0    0.021   0.001
 1652.0    0.021   0.001
 1653.0    0.022   0.001
 1654.0    0.022   0.001
 1655.0    0.022   0.001
 1656.0    0.023   0.001
 1657.0    0.023   0.001
 1658.0    0.024   0.001
 1659.0    0.024   0.001
 1660.0    0.025   0.001
 1661.0    0.025   0.001
 1662.0    0.026   0.001
 1663.0    0.026   0.001
 1664.0    0.027   0.002
 1665.0    0.027   0.002
 1666.0    0.028   0.002
 1667.0    0.028   0.002
 1668.0    0.029   0.002
 1669.0    0.029   0.002
 1670.0    0.030   0.002
 1671.0    0.030   0.002
 1672.0    0.031   0.002
 1673.0    0.031   0.002
 1674.0    0.031   0.002
 1675.0    0.032   0.002
 1676.0    0.032   0.002
 1677.0    0.033   0.002
 1678.0    0.033   0.002
 1679.0    0.034   0.002
 1680.0    0.034   0.002
 1681.0    0.035   0.002
 1682.0    0.035   0.002
 1683.0    0.036   0.002
 1684.0    0.036   0.002
 1685.0    0.037   0.002
 1686.0    0.037   0.002
 1687.0    0.038   0.002
 1688.0    0.038   0.002
 1689.0    0.038   0.002
 1690.0    0.039   0.002
 1691.0    0.039   0.002
 1692.0    0.040   0.002
 1693.0    0.040   0.002
 1694.0    0.041   0.002
 1695.0    0.041   0.002
 1696.0    0.042   0.002
 1697.0    0.042   0.002
 1698.0    0.043   0.002
 1699.0    0.043   0.002
 1700.0    0.043   0.002
 1701.0    0.044   0.002
 1702.0    0.044   0.002
 1703.0    0.045   0.002
 1704.0    0.045   0.003
 1705.0    0.046   0.003
 1706.0    0.046   0.003
 1707.0    0.047   0.003
 1708.0    0.047   0.003
 1709.0    0.048   0.003
 1710.0    0.048   0.003
 1711.0    0.048   0.003
 1712.0    0.049   0.003
 1713.0    0.049   0.003
 1714.0    0.050   0.003
 1715.0    0.050   0.003
 1716.0    0.051   0.003
 1717.0    0.051   0.003
 1718.0    0.052   0.003
 1719.0    0.052   0.003
 1720.0    0.052   0.003
 1721.0    0.053   0.003
 1722.0    0.053   0.003
 1723.0    0.054   0.003
 1724.0    0.054   0.003
 1725.0    0.055   0.003
 1726.0    0.055   0.003
 1727.0    0.055   0.003
 1728.0    0.056   0.003
 1729.0    0.056   0.003
 1730.0    0.057   0.003
 1731.0    0.057   0.003
 1732.0    0.058   0.003
 1733.0    0.058   0.003
 1734.0    0.058   0.003
 1735.0    0.059   0.003
 1736.0    0.059   0.003
 1737.0    0.060   0.003
 1738.0    0.060   0.003
 1739.0    0.061   0.003
 1740.0    0.061   0.003
 1741.0    0.062   0.003
 1742.0    0.062   0.003
 1743.0    0.062   0.003
 1744.0    0.063   0.003
 1745.0    0.063   0.003
 1746.0    0.064   0.004
 1747.0    0.064   0.004
 1748.0    0.064   0.004
 1749.0    0.065   0.004
 1750.0    0.065   0.004
 1751.0    0.066   0.004
 1752.0    0.066   0.004
 1753.0    0.067   0.004
 1754.0    0.067   0.004
 1755.0    0.067   0.004
 1756.0    0.068   0.004
 1757.0    0.068   0.004
 1758.0    0.069   0.004
 1759.0    0.069   0.004
 1760.0    0.070   0.004
 1761.0    0.070   0.004
 1762.0    0.070   0.004
 1763.0    0.071   0.004
 1764.0    0.071   0.004
 1765.0    0.072   0.004
 1766.0    0.072   0.004
 1767.0    0.072   0.004
 1768.0    0.073   0.004
 1769.0    0.073   0.004
 1770.0    0.074   0.004
 1771.0    0.074   0.004
 1772.0    0.074   0.004
 1773.0    0.075   0.004
 1774.0    0.075   0.004
 1775.0    0.076   0.004
 1776.0    0.076   0.004
 1777.0    0.077   0.004
 1778.0    0.077   0.004
 1779.0    0.077   0.004
 1780.0    0.078   0.004
 1781.0    0.078   0.004
 1782.0    0.079   0.004
 1783.0    0.079   0.004
 1784.0    0.079   0.004
 1785.0    0.080   0.004
 1786.0    0.080   0.004
 1787.0    0.081   0.004
 1788.0    0.081   0.004
 1789.0    0.081   0.004
 1790.0    0.082   0.004
 1791.0    0.082   0.004
 1792.0    0.083   0.005
 1793.0    0.083   0.005
