   W         M3+(pi0_p)
 (MeV)      Re      Im
 1300.0    0.042   0.001
 1301.0    0.043   0.002
 1302.0    0.043   0.002
 1303.0    0.044   0.002
 1304.0    0.044   0.002
 1305.0    0.044   0.002
 1306.0    0.045   0.002
 1307.0    0.045   0.002
 1308.0    0.046   0.002
 1309.0    0.046   0.002
 1310.0    0.046   0.002
 1311.0    0.047   0.002
 1312.0    0.047   0.002
 1313.0    0.048   0.002
 1314.0    0.048   0.002
 1315.0    0.049   0.002
 1316.0    0.049   0.002
 1317.0    0.050   0.002
 1318.0    0.050   0.002
 1319.0    0.050   0.002
 1320.0    0.051   0.002
 1321.0    0.051   0.002
 1322.0    0.052   0.002
 1323.0    0.052   0.002
 1324.0    0.053   0.002
 1325.0    0.053   0.002
 1326.0    0.054   0.002
 1327.0    0.054   0.002
 1328.0    0.055   0.002
 1329.0    0.055   0.002
 1330.0    0.055   0.002
 1331.0    0.056   0.002
 1332.0    0.056   0.003
 1333.0    0.057   0.003
 1334.0    0.057   0.003
 1335.0    0.058   0.003
 1336.0    0.058   0.003
 1337.0    0.059   0.003
 1338.0    0.059   0.003
 1339.0    0.060   0.003
 1340.0    0.060   0.003
 1341.0    0.061   0.003
 1342.0    0.061   0.003
 1343.0    0.062   0.003
 1344.0    0.062   0.003
 1345.0    0.063   0.003
 1346.0    0.063   0.003
 1347.0    0.064   0.003
 1348.0    0.064   0.003
 1349.0    0.065   0.003
 1350.0    0.065   0.003
 1351.0    0.066   0.003
 1352.0    0.067   0.003
 1353.0    0.067   0.004
 1354.0    0.068   0.004
 1355.0    0.068   0.004
 1356.0    0.069   0.004
 1357.0    0.069   0.004
 1358.0    0.070   0.004
 1359.0    0.070   0.004
 1360.0    0.071   0.004
 1361.0    0.071   0.004
 1362.0    0.072   0.004
 1363.0    0.073   0.004
 1364.0    0.073   0.004
 1365.0    0.074   0.004
 1366.0    0.074   0.004
 1367.0    0.075   0.004
 1368.0    0.075   0.004
 1369.0    0.076   0.004
 1370.0    0.077   0.004
 1371.0    0.077   0.005
 1372.0    0.078   0.005
 1373.0    0.078   0.005
 1374.0    0.079   0.005
 1375.0    0.079   0.005
 1376.0    0.080   0.005
 1377.0    0.081   0.005
 1378.0    0.081   0.005
 1379.0    0.082   0.005
 1380.0    0.082   0.005
 1381.0    0.083   0.005
 1382.0    0.084   0.005
 1383.0    0.084   0.005
 1384.0    0.085   0.005
 1385.0    0.085   0.006
 1386.0    0.086   0.006
 1387.0    0.087   0.006
 1388.0    0.087   0.006
 1389.0    0.088   0.006
 1390.0    0.089   0.006
 1391.0    0.089   0.006
 1392.0    0.090   0.006
 1393.0    0.091   0.006
 1394.0    0.091   0.006
 1395.0    0.092   0.006
 1396.0    0.092   0.006
 1397.0    0.093   0.007
 1398.0    0.094   0.007
 1399.0    0.094   0.007
 1400.0    0.095   0.007
 1401.0    0.096   0.007
 1402.0    0.096   0.007
 1403.0    0.097   0.007
 1404.0    0.098   0.007
 1405.0    0.098   0.007
 1406.0    0.099   0.007
 1407.0    0.100   0.007
 1408.0    0.100   0.008
 1409.0    0.101   0.008
 1410.0    0.102   0.008
 1411.0    0.103   0.008
 1412.0    0.103   0.008
 1413.0    0.104   0.008
 1414.0    0.105   0.008
 1415.0    0.105   0.008
 1416.0    0.106   0.008
 1417.0    0.107   0.009
 1418.0    0.107   0.009
 1419.0    0.108   0.009
 1420.0    0.109   0.009
 1421.0    0.110   0.009
 1422.0    0.110   0.009
 1423.0    0.111   0.009
 1424.0    0.112   0.009
 1425.0    0.113   0.009
 1426.0    0.113   0.010
 1427.0    0.114   0.010
 1428.0    0.115   0.010
 1429.0    0.115   0.010
 1430.0    0.116   0.010
 1431.0    0.117   0.010
 1432.0    0.118   0.010
 1433.0    0.119   0.010
 1434.0    0.119   0.011
 1435.0    0.120   0.011
 1436.0    0.121   0.011
 1437.0    0.122   0.011
 1438.0    0.122   0.011
 1439.0    0.123   0.011
 1440.0    0.124   0.011
 1441.0    0.125   0.012
 1442.0    0.125   0.012
 1443.0    0.126   0.012
 1444.0    0.127   0.012
 1445.0    0.128   0.012
 1446.0    0.129   0.012
 1447.0    0.129   0.012
 1448.0    0.130   0.013
 1449.0    0.131   0.013
 1450.0    0.132   0.013
 1451.0    0.133   0.013
 1452.0    0.134   0.013
 1453.0    0.134   0.013
 1454.0    0.135   0.014
 1455.0    0.136   0.014
 1456.0    0.137   0.014
 1457.0    0.138   0.014
 1458.0    0.139   0.014
 1459.0    0.139   0.014
 1460.0    0.140   0.015
 1461.0    0.141   0.015
 1462.0    0.142   0.015
 1463.0    0.143   0.015
 1464.0    0.144   0.015
 1465.0    0.145   0.015
 1466.0    0.145   0.016
 1467.0    0.146   0.016
 1468.0    0.147   0.016
 1469.0    0.148   0.016
 1470.0    0.149   0.016
 1471.0    0.150   0.017
 1472.0    0.151   0.017
 1473.0    0.152   0.017
 1474.0    0.152   0.017
 1475.0    0.153   0.017
 1476.0    0.154   0.018
 1477.0    0.155   0.018
 1478.0    0.156   0.018
 1479.0    0.157   0.018
 1480.0    0.158   0.018
 1481.0    0.159   0.019
 1482.0    0.160   0.019
 1483.0    0.161   0.019
 1484.0    0.162   0.019
 1485.0    0.162   0.020
 1486.0    0.163   0.020
 1487.0    0.164   0.020
 1488.0    0.165   0.020
 1489.0    0.166   0.020
 1490.0    0.167   0.021
 1491.0    0.168   0.021
 1492.0    0.169   0.021
 1493.0    0.170   0.021
 1494.0    0.171   0.022
 1495.0    0.172   0.022
 1496.0    0.173   0.022
 1497.0    0.174   0.022
 1498.0    0.175   0.023
 1499.0    0.176   0.023
 1500.0    0.177   0.023
 1501.0    0.178   0.023
 1502.0    0.179   0.024
 1503.0    0.180   0.024
 1504.0    0.181   0.024
 1505.0    0.182   0.025
 1506.0    0.183   0.025
 1507.0    0.184   0.025
 1508.0    0.185   0.025
 1509.0    0.186   0.026
 1510.0    0.187   0.026
 1511.0    0.188   0.026
 1512.0    0.189   0.027
 1513.0    0.190   0.027
 1514.0    0.191   0.027
 1515.0    0.192   0.027
 1516.0    0.193   0.028
 1517.0    0.194   0.028
 1518.0    0.195   0.028
 1519.0    0.196   0.029
 1520.0    0.197   0.029
 1521.0    0.198   0.029
 1522.0    0.200   0.030
 1523.0    0.201   0.030
 1524.0    0.202   0.030
 1525.0    0.203   0.031
 1526.0    0.204   0.031
 1527.0    0.205   0.031
 1528.0    0.206   0.032
 1529.0    0.207   0.032
 1530.0    0.208   0.032
 1531.0    0.209   0.033
 1532.0    0.210   0.033
 1533.0    0.212   0.034
 1534.0    0.213   0.034
 1535.0    0.214   0.034
 1536.0    0.215   0.035
 1537.0    0.216   0.035
 1538.0    0.217   0.035
 1539.0    0.218   0.036
 1540.0    0.220   0.036
 1541.0    0.221   0.037
 1542.0    0.222   0.037
 1543.0    0.223   0.037
 1544.0    0.224   0.038
 1545.0    0.225   0.038
 1546.0    0.226   0.039
 1547.0    0.228   0.039
 1548.0    0.229   0.040
 1549.0    0.230   0.040
 1550.0    0.231   0.040
 1551.0    0.232   0.041
 1552.0    0.233   0.041
 1553.0    0.235   0.042
 1554.0    0.236   0.042
 1555.0    0.237   0.043
 1556.0    0.238   0.043
 1557.0    0.240   0.044
 1558.0    0.241   0.044
 1559.0    0.242   0.045
 1560.0    0.243   0.045
 1561.0    0.244   0.046
 1562.0    0.246   0.046
 1563.0    0.247   0.047
 1564.0    0.248   0.047
 1565.0    0.249   0.048
 1566.0    0.251   0.048
 1567.0    0.252   0.049
 1568.0    0.253   0.049
 1569.0    0.254   0.050
 1570.0    0.256   0.050
 1571.0    0.257   0.051
 1572.0    0.258   0.051
 1573.0    0.260   0.052
 1574.0    0.261   0.052
 1575.0    0.262   0.053
 1576.0    0.263   0.054
 1577.0    0.265   0.054
 1578.0    0.266   0.055
 1579.0    0.267   0.055
 1580.0    0.269   0.056
 1581.0    0.270   0.056
 1582.0    0.271   0.057
 1583.0    0.273   0.058
