   W         M1+(pi0_p)
 (MeV)      Re      Im
 1074.0    0.554   0.000
 1075.0    0.849   0.000
 1076.0    1.071   0.000
 1077.0    1.260   0.000
 1078.0    1.430   0.000
 1079.0    1.586   0.000
 1080.0    1.732   0.002
 1081.0    1.871   0.005
 1082.0    2.005   0.008
 1083.0    2.134   0.012
 1084.0    2.260   0.016
 1085.0    2.382   0.021
 1086.0    2.503   0.026
 1087.0    2.622   0.032
 1088.0    2.739   0.038
 1089.0    2.855   0.045
 1090.0    2.970   0.054
 1091.0    3.084   0.062
 1092.0    3.198   0.072
 1093.0    3.311   0.083
 1094.0    3.424   0.095
 1095.0    3.537   0.107
 1096.0    3.650   0.121
 1097.0    3.763   0.136
 1098.0    3.877   0.151
 1099.0    3.991   0.168
 1100.0    4.105   0.186
 1101.0    4.219   0.205
 1102.0    4.334   0.224
 1103.0    4.450   0.245
 1104.0    4.566   0.267
 1105.0    4.684   0.290
 1106.0    4.802   0.315
 1107.0    4.920   0.341
 1108.0    5.040   0.368
 1109.0    5.161   0.396
 1110.0    5.282   0.426
 1111.0    5.405   0.458
 1112.0    5.529   0.491
 1113.0    5.654   0.526
 1114.0    5.780   0.563
 1115.0    5.907   0.601
 1116.0    6.036   0.641
 1117.0    6.165   0.683
 1118.0    6.296   0.727
 1119.0    6.429   0.773
 1120.0    6.562   0.821
 1121.0    6.698   0.871
 1122.0    6.834   0.923
 1123.0    6.972   0.978
 1124.0    7.112   1.034
 1125.0    7.252   1.094
 1126.0    7.395   1.155
 1127.0    7.539   1.220
 1128.0    7.684   1.287
 1129.0    7.831   1.357
 1130.0    7.980   1.430
 1131.0    8.130   1.506
 1132.0    8.282   1.586
 1133.0    8.435   1.668
 1134.0    8.590   1.754
 1135.0    8.746   1.844
 1136.0    8.904   1.937
 1137.0    9.063   2.034
 1138.0    9.224   2.135
 1139.0    9.386   2.239
 1140.0    9.550   2.348
 1141.0    9.715   2.462
 1142.0    9.881   2.580
 1143.0   10.049   2.702
 1144.0   10.218   2.829
 1145.0   10.388   2.961
 1146.0   10.560   3.099
 1147.0   10.732   3.241
 1148.0   10.905   3.390
 1149.0   11.080   3.543
 1150.0   11.254   3.703
 1151.0   11.430   3.869
 1152.0   11.606   4.041
 1153.0   11.782   4.219
 1154.0   11.958   4.404
 1155.0   12.135   4.596
 1156.0   12.311   4.795
 1157.0   12.486   5.001
 1158.0   12.661   5.214
 1159.0   12.836   5.435
 1160.0   13.009   5.663
 1161.0   13.180   5.900
 1162.0   13.350   6.144
 1163.0   13.518   6.397
 1164.0   13.683   6.658
 1165.0   13.846   6.928
 1166.0   14.005   7.207
 1167.0   14.161   7.494
 1168.0   14.312   7.790
 1169.0   14.459   8.096
 1170.0   14.601   8.411
 1171.0   14.737   8.735
 1172.0   14.867   9.069
 1173.0   14.990   9.411
 1174.0   15.106   9.763
 1175.0   15.213  10.125
 1176.0   15.312  10.495
 1177.0   15.402  10.874
 1178.0   15.481  11.262
 1179.0   15.550  11.658
 1180.0   15.608  12.062
 1181.0   15.653  12.475
 1182.0   15.685  12.894
 1183.0   15.704  13.321
 1184.0   15.708  13.753
 1185.0   15.698  14.192
 1186.0   15.671  14.636
 1187.0   15.628  15.084
 1188.0   15.568  15.536
 1189.0   15.490  15.990
 1190.0   15.394  16.447
 1191.0   15.279  16.904
 1192.0   15.144  17.362
 1193.0   14.989  17.818
 1194.0   14.814  18.273
 1195.0   14.619  18.723
 1196.0   14.403  19.169
 1197.0   14.166  19.610
 1198.0   13.908  20.043
 1199.0   13.630  20.467
 1200.0   13.331  20.883
 1201.0   13.012  21.287
 1202.0   12.673  21.679
 1203.0   12.315  22.058
 1204.0   11.938  22.422
 1205.0   11.544  22.771
 1206.0   11.133  23.103
 1207.0   10.705  23.417
 1208.0   10.263  23.713
 1209.0    9.807  23.989
 1210.0    9.338  24.246
 1211.0    8.858  24.481
 1212.0    8.368  24.695
 1213.0    7.869  24.888
 1214.0    7.363  25.059
 1215.0    6.850  25.207
 1216.0    6.333  25.334
 1217.0    5.812  25.438
 1218.0    5.290  25.520
 1219.0    4.767  25.580
 1220.0    4.245  25.619
 1221.0    3.725  25.637
 1222.0    3.208  25.635
 1223.0    2.695  25.613
 1224.0    2.188  25.571
 1225.0    1.687  25.511
 1226.0    1.193  25.433
 1227.0    0.708  25.338
 1228.0    0.231  25.227
 1229.0   -0.236  25.101
 1230.0   -0.693  24.960
 1231.0   -1.138  24.806
 1232.0   -1.573  24.639
 1233.0   -1.995  24.461
 1234.0   -2.406  24.271
 1235.0   -2.804  24.072
 1236.0   -3.191  23.864
 1237.0   -3.564  23.647
 1238.0   -3.926  23.423
 1239.0   -4.274  23.192
 1240.0   -4.610  22.955
 1241.0   -4.934  22.713
 1242.0   -5.245  22.466
 1243.0   -5.544  22.215
 1244.0   -5.831  21.961
 1245.0   -6.106  21.704
 1246.0   -6.369  21.444
 1247.0   -6.621  21.183
 1248.0   -6.861  20.921
 1249.0   -7.090  20.658
 1250.0   -7.309  20.395
 1251.0   -7.517  20.132
 1252.0   -7.714  19.869
 1253.0   -7.902  19.607
 1254.0   -8.080  19.347
 1255.0   -8.249  19.087
 1256.0   -8.409  18.829
 1257.0   -8.560  18.573
 1258.0   -8.703  18.319
 1259.0   -8.837  18.067
 1260.0   -8.965  17.817
 1261.0   -9.084  17.569
 1262.0   -9.197  17.324
 1263.0   -9.303  17.082
 1264.0   -9.402  16.843
 1265.0   -9.494  16.606
 1266.0   -9.581  16.372
 1267.0   -9.662  16.141
 1268.0   -9.737  15.914
 1269.0   -9.807  15.689
 1270.0   -9.872  15.468
 1271.0   -9.931  15.249
 1272.0   -9.986  15.034
 1273.0  -10.037  14.822
 1274.0  -10.083  14.613
 1275.0  -10.125  14.407
 1276.0  -10.163  14.204
 1277.0  -10.197  14.005
 1278.0  -10.228  13.809
 1279.0  -10.255  13.615
 1280.0  -10.279  13.425
 1281.0  -10.300  13.238
 1282.0  -10.317  13.054
 1283.0  -10.332  12.873
 1284.0  -10.344  12.694
 1285.0  -10.353  12.519
 1286.0  -10.360  12.346
 1287.0  -10.365  12.177
 1288.0  -10.367  12.010
 1289.0  -10.367  11.845
 1290.0  -10.365  11.683
 1291.0  -10.362  11.524
 1292.0  -10.356  11.367
 1293.0  -10.348  11.213
 1294.0  -10.339  11.062
 1295.0  -10.328  10.913
 1296.0  -10.315  10.766
 1297.0  -10.301  10.622
 1298.0  -10.286  10.480
