hB ChPT p^4 PRL111

     elab           Re E0+        Im E0+         Re P1        Re P2         Re P3         Re E1+        Re M1+        Re M1- 
    176.0000       -0.7242        1.2614       10.2766      -11.7533       13.1848       -0.2461        8.0666       -2.9484
    176.5000       -0.7313        1.2708       10.2746      -11.7644       13.2355       -0.2483        8.0850       -2.9345
    177.0000       -0.7384        1.2800       10.2727      -11.7754       13.2862       -0.2505        8.1034       -2.9206
    177.5000       -0.7455        1.2890       10.2707      -11.7865       13.3368       -0.2526        8.1218       -2.9068
    178.0000       -0.7526        1.2978       10.2687      -11.7976       13.3875       -0.2548        8.1402       -2.8929
    178.5000       -0.7597        1.3064       10.2667      -11.8086       13.4382       -0.2570        8.1586       -2.8791
    179.0000       -0.7668        1.3148       10.2648      -11.8197       13.4889       -0.2592        8.1771       -2.8652
    179.5000       -0.7739        1.3230       10.2628      -11.8308       13.5396       -0.2613        8.1955       -2.8513
    180.0000       -0.7810        1.3311       10.2608      -11.8418       13.5903       -0.2635        8.2139       -2.8375
    180.5000       -0.7881        1.3389       10.2589      -11.8529       13.6410       -0.2657        8.2323       -2.8236
    181.0000       -0.7952        1.3466       10.2569      -11.8640       13.6917       -0.2678        8.2507       -2.8097
    181.5000       -0.8023        1.3541       10.2549      -11.8751       13.7424       -0.2700        8.2691       -2.7959
    182.0000       -0.8094        1.3615       10.2530      -11.8861       13.7931       -0.2722        8.2875       -2.7820
    182.5000       -0.8165        1.3687       10.2510      -11.8972       13.8438       -0.2744        8.3060       -2.7681
    183.0000       -0.8235        1.3757       10.2490      -11.9083       13.8945       -0.2765        8.3244       -2.7543
    183.5000       -0.8306        1.3825       10.2470      -11.9193       13.9451       -0.2787        8.3428       -2.7404
    184.0000       -0.8377        1.3892       10.2451      -11.9304       13.9958       -0.2809        8.3612       -2.7265
    184.5000       -0.8448        1.3958       10.2431      -11.9415       14.0465       -0.2831        8.3796       -2.7127
    185.0000       -0.8519        1.4022       10.2411      -11.9525       14.0972       -0.2852        8.3980       -2.6988
    185.5000       -0.8590        1.4084       10.2392      -11.9636       14.1479       -0.2874        8.4164       -2.6850
    186.0000       -0.8661        1.4145       10.2372      -11.9747       14.1986       -0.2896        8.4348       -2.6711
    186.5000       -0.8732        1.4205       10.2352      -11.9858       14.2493       -0.2918        8.4533       -2.6572
    187.0000       -0.8803        1.4263       10.2333      -11.9968       14.3000       -0.2939        8.4717       -2.6434
    187.5000       -0.8874        1.4319       10.2313      -12.0079       14.3507       -0.2961        8.4901       -2.6295
    188.0000       -0.8945        1.4374       10.2293      -12.0190       14.4014       -0.2983        8.5085       -2.6156
    188.5000       -0.9016        1.4428       10.2273      -12.0300       14.4521       -0.3004        8.5269       -2.6018
    189.0000       -0.9087        1.4480       10.2254      -12.0411       14.5027       -0.3026        8.5453       -2.5879
    189.5000       -0.9158        1.4531       10.2234      -12.0522       14.5534       -0.3048        8.5637       -2.5740
    190.0000       -0.9229        1.4581       10.2214      -12.0632       14.6041       -0.3070        8.5822       -2.5602
    190.5000       -0.9299        1.4629       10.2195      -12.0743       14.6548       -0.3091        8.6006       -2.5463
    191.0000       -0.9370        1.4676       10.2175      -12.0854       14.7055       -0.3113        8.6190       -2.5325
    191.5000       -0.9441        1.4722       10.2155      -12.0965       14.7562       -0.3135        8.6374       -2.5186
    192.0000       -0.9512        1.4766       10.2135      -12.1075       14.8069       -0.3157        8.6558       -2.5047
    192.5000       -0.9583        1.4810       10.2116      -12.1186       14.8576       -0.3178        8.6742       -2.4909
