   W         M2-(eta_p)
 (MeV)      Re      Im
 1486.0    0.003   0.003
 1487.0    0.009   0.010
 1488.0    0.016   0.018
 1489.0    0.022   0.025
 1490.0    0.027   0.033
 1491.0    0.033   0.041
 1492.0    0.038   0.049
 1493.0    0.043   0.057
 1494.0    0.048   0.066
 1495.0    0.052   0.074
 1496.0    0.056   0.083
 1497.0    0.060   0.092
 1498.0    0.063   0.100
 1499.0    0.066   0.109
 1500.0    0.069   0.118
 1501.0    0.071   0.127
 1502.0    0.073   0.135
 1503.0    0.074   0.144
 1504.0    0.076   0.153
 1505.0    0.077   0.162
 1506.0    0.077   0.170
 1507.0    0.077   0.179
 1508.0    0.077   0.187
 1509.0    0.077   0.195
 1510.0    0.076   0.203
 1511.0    0.075   0.211
 1512.0    0.074   0.218
 1513.0    0.073   0.226
 1514.0    0.071   0.233
 1515.0    0.069   0.240
 1516.0    0.067   0.247
 1517.0    0.065   0.253
 1518.0    0.062   0.260
 1519.0    0.059   0.266
 1520.0    0.056   0.271
 1521.0    0.053   0.277
 1522.0    0.050   0.282
 1523.0    0.047   0.287
 1524.0    0.044   0.292
 1525.0    0.040   0.296
 1526.0    0.037   0.301
 1527.0    0.033   0.305
 1528.0    0.030   0.308
 1529.0    0.026   0.312
 1530.0    0.023   0.315
 1531.0    0.019   0.318
 1532.0    0.015   0.321
 1533.0    0.012   0.323
 1534.0    0.008   0.326
 1535.0    0.005   0.328
 1536.0    0.001   0.330
 1537.0   -0.002   0.332
 1538.0   -0.006   0.333
 1539.0   -0.009   0.335
 1540.0   -0.012   0.336
 1541.0   -0.015   0.337
 1542.0   -0.019   0.338
 1543.0   -0.022   0.339
 1544.0   -0.025   0.339
 1545.0   -0.027   0.340
 1546.0   -0.030   0.340
 1547.0   -0.033   0.340
 1548.0   -0.036   0.340
 1549.0   -0.038   0.340
 1550.0   -0.041   0.340
 1551.0   -0.043   0.340
 1552.0   -0.045   0.340
 1553.0   -0.048   0.339
 1554.0   -0.050   0.339
 1555.0   -0.052   0.338
 1556.0   -0.054   0.338
 1557.0   -0.056   0.337
 1558.0   -0.058   0.336
 1559.0   -0.059   0.335
 1560.0   -0.061   0.335
 1561.0   -0.062   0.334
 1562.0   -0.064   0.333
 1563.0   -0.065   0.332
 1564.0   -0.067   0.331
 1565.0   -0.068   0.330
 1566.0   -0.069   0.328
 1567.0   -0.070   0.327
 1568.0   -0.071   0.326
 1569.0   -0.072   0.325
 1570.0   -0.073   0.324
 1571.0   -0.074   0.322
 1572.0   -0.075   0.321
 1573.0   -0.075   0.320
 1574.0   -0.076   0.318
 1575.0   -0.077   0.317
 1576.0   -0.077   0.316
 1577.0   -0.078   0.314
 1578.0   -0.078   0.313
 1579.0   -0.079   0.312
 1580.0   -0.079   0.310
 1581.0   -0.079   0.309
 1582.0   -0.079   0.307
 1583.0   -0.080   0.306
 1584.0   -0.080   0.305
 1585.0   -0.080   0.303
 1586.0   -0.080   0.302
 1587.0   -0.080   0.300
 1588.0   -0.080   0.299
 1589.0   -0.080   0.297
 1590.0   -0.080   0.296
 1591.0   -0.079   0.294
 1592.0   -0.079   0.293
 1593.0   -0.079   0.292
 1594.0   -0.079   0.290
 1595.0   -0.078   0.289
