   W         E1+(eta_p)
 (MeV)      Re      Im
 1486.0   -0.002   0.000
 1487.0   -0.003  -0.001
 1488.0   -0.004  -0.001
 1489.0   -0.004  -0.001
 1490.0   -0.005  -0.001
 1491.0   -0.005  -0.002
 1492.0   -0.006  -0.002
 1493.0   -0.006  -0.002
 1494.0   -0.006  -0.002
 1495.0   -0.007  -0.002
 1496.0   -0.007  -0.002
 1497.0   -0.007  -0.003
 1498.0   -0.008  -0.003
 1499.0   -0.008  -0.003
 1500.0   -0.008  -0.003
 1501.0   -0.008  -0.003
 1502.0   -0.008  -0.003
 1503.0   -0.009  -0.003
 1504.0   -0.009  -0.004
 1505.0   -0.009  -0.004
 1506.0   -0.009  -0.004
 1507.0   -0.009  -0.004
 1508.0   -0.010  -0.004
 1509.0   -0.010  -0.004
 1510.0   -0.010  -0.005
 1511.0   -0.010  -0.005
 1512.0   -0.010  -0.005
 1513.0   -0.010  -0.005
 1514.0   -0.011  -0.005
 1515.0   -0.011  -0.005
 1516.0   -0.011  -0.005
 1517.0   -0.011  -0.006
 1518.0   -0.011  -0.006
 1519.0   -0.011  -0.006
 1520.0   -0.011  -0.006
 1521.0   -0.011  -0.006
 1522.0   -0.012  -0.007
 1523.0   -0.012  -0.007
 1524.0   -0.012  -0.007
 1525.0   -0.012  -0.007
 1526.0   -0.012  -0.007
 1527.0   -0.012  -0.008
 1528.0   -0.012  -0.008
 1529.0   -0.012  -0.008
 1530.0   -0.013  -0.008
 1531.0   -0.013  -0.008
 1532.0   -0.013  -0.009
 1533.0   -0.013  -0.009
 1534.0   -0.013  -0.009
 1535.0   -0.013  -0.009
 1536.0   -0.013  -0.009
 1537.0   -0.013  -0.010
 1538.0   -0.013  -0.010
 1539.0   -0.013  -0.010
 1540.0   -0.014  -0.010
 1541.0   -0.014  -0.011
 1542.0   -0.014  -0.011
 1543.0   -0.014  -0.011
 1544.0   -0.014  -0.011
 1545.0   -0.014  -0.012
 1546.0   -0.014  -0.012
 1547.0   -0.014  -0.012
 1548.0   -0.014  -0.013
 1549.0   -0.015  -0.013
 1550.0   -0.015  -0.013
 1551.0   -0.015  -0.013
 1552.0   -0.015  -0.014
 1553.0   -0.015  -0.014
 1554.0   -0.015  -0.014
 1555.0   -0.015  -0.015
 1556.0   -0.015  -0.015
 1557.0   -0.016  -0.015
 1558.0   -0.016  -0.016
 1559.0   -0.016  -0.016
 1560.0   -0.016  -0.016
 1561.0   -0.016  -0.017
 1562.0   -0.016  -0.017
 1563.0   -0.016  -0.018
 1564.0   -0.017  -0.018
 1565.0   -0.017  -0.018
 1566.0   -0.017  -0.019
 1567.0   -0.017  -0.019
 1568.0   -0.017  -0.020
 1569.0   -0.017  -0.020
 1570.0   -0.017  -0.020
 1571.0   -0.018  -0.021
 1572.0   -0.018  -0.021
 1573.0   -0.018  -0.022
 1574.0   -0.018  -0.022
 1575.0   -0.018  -0.023
 1576.0   -0.018  -0.023
 1577.0   -0.019  -0.024
 1578.0   -0.019  -0.024
 1579.0   -0.019  -0.025
 1580.0   -0.019  -0.025
 1581.0   -0.019  -0.026
 1582.0   -0.019  -0.026
 1583.0   -0.020  -0.027
 1584.0   -0.020  -0.027
 1585.0   -0.020  -0.028
 1586.0   -0.020  -0.029
 1587.0   -0.020  -0.029
 1588.0   -0.020  -0.030
 1589.0   -0.021  -0.030
 1590.0   -0.021  -0.031
 1591.0   -0.021  -0.032
 1592.0   -0.021  -0.032
 1593.0   -0.021  -0.033
 1594.0   -0.022  -0.034
 1595.0   -0.022  -0.035
 1596.0   -0.022  -0.035
 1597.0   -0.022  -0.036
 1598.0   -0.022  -0.037
 1599.0   -0.023  -0.038
 1600.0   -0.023  -0.038
 1601.0   -0.023  -0.039
 1602.0   -0.023  -0.040
 1603.0   -0.023  -0.041
 1604.0   -0.024  -0.042
 1605.0   -0.024  -0.043
 1606.0   -0.024  -0.043
 1607.0   -0.024  -0.044
 1608.0   -0.024  -0.045
 1609.0   -0.025  -0.046
 1610.0   -0.025  -0.047
 1611.0   -0.025  -0.048
 1612.0   -0.025  -0.049
 1613.0   -0.025  -0.050
 1614.0   -0.026  -0.051
 1615.0   -0.026  -0.052
 1616.0   -0.026  -0.053
 1617.0   -0.026  -0.055
 1618.0   -0.026  -0.056
 1619.0   -0.026  -0.057
 1620.0   -0.027  -0.058
 1621.0   -0.027  -0.059
 1622.0   -0.027  -0.060
 1623.0   -0.027  -0.062
 1624.0   -0.027  -0.063
 1625.0   -0.027  -0.064
 1626.0   -0.027  -0.066
 1627.0   -0.027  -0.067
 1628.0   -0.028  -0.068
 1629.0   -0.028  -0.070
 1630.0   -0.028  -0.071
 1631.0   -0.028  -0.073
 1632.0   -0.028  -0.074
 1633.0   -0.028  -0.076
 1634.0   -0.028  -0.077
 1635.0   -0.028  -0.079
 1636.0   -0.028  -0.080
 1637.0   -0.028  -0.082
 1638.0   -0.028  -0.084
 1639.0   -0.028  -0.085
 1640.0   -0.028  -0.087
 1641.0   -0.027  -0.089
 1642.0   -0.027  -0.091
 1643.0   -0.027  -0.092
 1644.0   -0.027  -0.094
 1645.0   -0.027  -0.096
 1646.0   -0.026  -0.098
 1647.0   -0.026  -0.100
 1648.0   -0.026  -0.102
 1649.0   -0.025  -0.104
 1650.0   -0.025  -0.106
 1651.0   -0.025  -0.108
 1652.0   -0.024  -0.110
 1653.0   -0.024  -0.112
 1654.0   -0.023  -0.114
 1655.0   -0.023  -0.117
 1656.0   -0.022  -0.119
 1657.0   -0.021  -0.121
 1658.0   -0.021  -0.123
 1659.0   -0.020  -0.125
 1660.0   -0.019  -0.128
 1661.0   -0.018  -0.130
 1662.0   -0.017  -0.132
 1663.0   -0.016  -0.135
 1664.0   -0.015  -0.137
 1665.0   -0.014  -0.139
 1666.0   -0.013  -0.142
 1667.0   -0.012  -0.144
 1668.0   -0.011  -0.147
 1669.0   -0.010  -0.149
 1670.0   -0.008  -0.152
 1671.0   -0.007  -0.154
 1672.0   -0.005  -0.156
 1673.0   -0.004  -0.159
 1674.0   -0.002  -0.161
 1675.0    0.000  -0.164
 1676.0    0.002  -0.166
 1677.0    0.003  -0.169
 1678.0    0.005  -0.171
 1679.0    0.007  -0.173
 1680.0    0.009  -0.176
 1681.0    0.012  -0.178
 1682.0    0.014  -0.180
 1683.0    0.016  -0.183
 1684.0    0.018  -0.185
 1685.0    0.021  -0.187
 1686.0    0.023  -0.190
 1687.0    0.026  -0.192
 1688.0    0.029  -0.194
 1689.0    0.031  -0.196
 1690.0    0.034  -0.198
 1691.0    0.037  -0.200
 1692.0    0.040  -0.202
 1693.0    0.043  -0.204
 1694.0    0.046  -0.206
 1695.0    0.049  -0.207
 1696.0    0.052  -0.209
 1697.0    0.055  -0.211
 1698.0    0.059  -0.212
 1699.0    0.062  -0.214
 1700.0    0.065  -0.215
 1701.0    0.069  -0.216
 1702.0    0.072  -0.218
 1703.0    0.076  -0.219
 1704.0    0.079  -0.220
