   W         M2+(eta_p)
 (MeV)      Re      Im
 1486.0   -0.001   0.000
 1487.0   -0.003   0.000
 1488.0   -0.004  -0.001
 1489.0   -0.006  -0.001
 1490.0   -0.008  -0.001
 1491.0   -0.010  -0.001
 1492.0   -0.012  -0.002
 1493.0   -0.014  -0.002
 1494.0   -0.016  -0.002
 1495.0   -0.018  -0.003
 1496.0   -0.020  -0.003
 1497.0   -0.022  -0.003
 1498.0   -0.024  -0.004
 1499.0   -0.026  -0.004
 1500.0   -0.028  -0.004
 1501.0   -0.030  -0.005
 1502.0   -0.032  -0.005
 1503.0   -0.034  -0.006
 1504.0   -0.036  -0.006
 1505.0   -0.038  -0.007
 1506.0   -0.040  -0.007
 1507.0   -0.042  -0.007
 1508.0   -0.044  -0.008
 1509.0   -0.046  -0.008
 1510.0   -0.049  -0.009
 1511.0   -0.051  -0.009
 1512.0   -0.053  -0.010
 1513.0   -0.055  -0.011
 1514.0   -0.057  -0.011
 1515.0   -0.059  -0.012
 1516.0   -0.062  -0.012
 1517.0   -0.064  -0.013
 1518.0   -0.066  -0.014
 1519.0   -0.068  -0.014
 1520.0   -0.071  -0.015
 1521.0   -0.073  -0.016
 1522.0   -0.075  -0.016
 1523.0   -0.078  -0.017
 1524.0   -0.080  -0.018
 1525.0   -0.082  -0.019
 1526.0   -0.085  -0.019
 1527.0   -0.087  -0.020
 1528.0   -0.090  -0.021
 1529.0   -0.092  -0.022
 1530.0   -0.095  -0.023
 1531.0   -0.097  -0.024
 1532.0   -0.100  -0.025
 1533.0   -0.102  -0.026
 1534.0   -0.105  -0.027
 1535.0   -0.107  -0.028
 1536.0   -0.110  -0.029
 1537.0   -0.112  -0.030
 1538.0   -0.115  -0.031
 1539.0   -0.118  -0.032
 1540.0   -0.120  -0.034
 1541.0   -0.123  -0.035
 1542.0   -0.126  -0.036
 1543.0   -0.128  -0.038
 1544.0   -0.131  -0.039
 1545.0   -0.134  -0.040
 1546.0   -0.137  -0.042
 1547.0   -0.139  -0.043
 1548.0   -0.142  -0.045
 1549.0   -0.145  -0.046
 1550.0   -0.148  -0.048
 1551.0   -0.150  -0.050
 1552.0   -0.153  -0.051
 1553.0   -0.156  -0.053
 1554.0   -0.159  -0.055
 1555.0   -0.162  -0.057
 1556.0   -0.165  -0.059
 1557.0   -0.168  -0.061
 1558.0   -0.171  -0.063
 1559.0   -0.174  -0.065
 1560.0   -0.177  -0.067
 1561.0   -0.180  -0.069
 1562.0   -0.182  -0.072
 1563.0   -0.185  -0.074
 1564.0   -0.188  -0.077
 1565.0   -0.191  -0.079
 1566.0   -0.194  -0.082
 1567.0   -0.197  -0.084
 1568.0   -0.200  -0.087
 1569.0   -0.203  -0.090
 1570.0   -0.206  -0.093
 1571.0   -0.209  -0.096
 1572.0   -0.212  -0.099
 1573.0   -0.215  -0.102
 1574.0   -0.218  -0.105
 1575.0   -0.221  -0.108
 1576.0   -0.224  -0.112
 1577.0   -0.227  -0.115
 1578.0   -0.230  -0.119
 1579.0   -0.233  -0.123
 1580.0   -0.236  -0.126
 1581.0   -0.239  -0.130
 1582.0   -0.241  -0.134
 1583.0   -0.244  -0.138
 1584.0   -0.247  -0.142
 1585.0   -0.250  -0.147
 1586.0   -0.252  -0.151
 1587.0   -0.255  -0.155
 1588.0   -0.257  -0.160
 1589.0   -0.260  -0.165
 1590.0   -0.262  -0.170
 1591.0   -0.265  -0.175
 1592.0   -0.267  -0.180
 1593.0   -0.269  -0.185
 1594.0   -0.272  -0.190
 1595.0   -0.274  -0.195
 1596.0   -0.276  -0.201
 1597.0   -0.278  -0.206
 1598.0   -0.279  -0.212
 1599.0   -0.281  -0.218
 1600.0   -0.283  -0.224
 1601.0   -0.284  -0.230
 1602.0   -0.286  -0.236
 1603.0   -0.287  -0.242
 1604.0   -0.288  -0.249
 1605.0   -0.289  -0.255
 1606.0   -0.290  -0.262
 1607.0   -0.290  -0.268
 1608.0   -0.291  -0.275
 1609.0   -0.291  -0.282
 1610.0   -0.291  -0.289
 1611.0   -0.291  -0.296
 1612.0   -0.291  -0.303
 1613.0   -0.291  -0.310
 1614.0   -0.290  -0.317
 1615.0   -0.290  -0.324
 1616.0   -0.289  -0.332
 1617.0   -0.287  -0.339
 1618.0   -0.286  -0.346
 1619.0   -0.284  -0.354
 1620.0   -0.282  -0.361
 1621.0   -0.280  -0.369
 1622.0   -0.278  -0.376
 1623.0   -0.276  -0.383
 1624.0   -0.273  -0.391
 1625.0   -0.270  -0.398
 1626.0   -0.267  -0.405
 1627.0   -0.263  -0.413
 1628.0   -0.259  -0.420
 1629.0   -0.255  -0.427
 1630.0   -0.251  -0.434
 1631.0   -0.247  -0.441
 1632.0   -0.242  -0.448
 1633.0   -0.237  -0.454
 1634.0   -0.232  -0.461
 1635.0   -0.227  -0.467
 1636.0   -0.221  -0.473
 1637.0   -0.215  -0.479
 1638.0   -0.209  -0.485
 1639.0   -0.203  -0.491
 1640.0   -0.197  -0.497
 1641.0   -0.190  -0.502
 1642.0   -0.184  -0.507
 1643.0   -0.177  -0.512
 1644.0   -0.170  -0.517
 1645.0   -0.163  -0.521
 1646.0   -0.156  -0.525
 1647.0   -0.148  -0.529
 1648.0   -0.141  -0.533
 1649.0   -0.133  -0.536
 1650.0   -0.126  -0.540
 1651.0   -0.118  -0.543
 1652.0   -0.110  -0.545
 1653.0   -0.102  -0.548
 1654.0   -0.095  -0.550
 1655.0   -0.087  -0.552
 1656.0   -0.079  -0.554
 1657.0   -0.071  -0.555
 1658.0   -0.063  -0.556
 1659.0   -0.056  -0.557
 1660.0   -0.048  -0.558
 1661.0   -0.040  -0.558
 1662.0   -0.032  -0.559
 1663.0   -0.025  -0.559
 1664.0   -0.017  -0.559
 1665.0   -0.010  -0.558
 1666.0   -0.002  -0.558
 1667.0    0.005  -0.557
 1668.0    0.012  -0.556
 1669.0    0.019  -0.555
 1670.0    0.026  -0.553
 1671.0    0.033  -0.552
 1672.0    0.040  -0.550
 1673.0    0.046  -0.548
 1674.0    0.053  -0.546
 1675.0    0.059  -0.544
 1676.0    0.066  -0.542
 1677.0    0.072  -0.539
 1678.0    0.078  -0.537
 1679.0    0.083  -0.534
 1680.0    0.089  -0.531
 1681.0    0.095  -0.529
 1682.0    0.100  -0.526
 1683.0    0.105  -0.523
 1684.0    0.110  -0.520
 1685.0    0.115  -0.516
 1686.0    0.120  -0.513
 1687.0    0.125  -0.510
 1688.0    0.129  -0.506
 1689.0    0.134  -0.503
 1690.0    0.138  -0.500
 1691.0    0.142  -0.496
 1692.0    0.146  -0.493
 1693.0    0.150  -0.489
 1694.0    0.154  -0.485
 1695.0    0.158  -0.482
 1696.0    0.161  -0.478
 1697.0    0.165  -0.475
 1698.0    0.168  -0.471
 1699.0    0.171  -0.467
 1700.0    0.174  -0.464
 1701.0    0.177  -0.460
 1702.0    0.180  -0.456
 1703.0    0.183  -0.453
 1704.0    0.185  -0.449
 1705.0    0.188  -0.445
 1706.0    0.190  -0.442
 1707.0    0.193  -0.438
 1708.0    0.195  -0.435
 1709.0    0.197  -0.431
 1710.0    0.199  -0.427
 1711.0    0.201  -0.424
 1712.0    0.203  -0.420
 1713.0    0.205  -0.417
 1714.0    0.206  -0.413
 1715.0    0.208  -0.410
 1716.0    0.210  -0.406
 1717.0    0.211  -0.403
 1718.0    0.213  -0.400
 1719.0    0.214  -0.396
 1720.0    0.215  -0.393
 1721.0    0.217  -0.390
 1722.0    0.218  -0.387
 1723.0    0.219  -0.383
 1724.0    0.220  -0.380
 1725.0    0.221  -0.377
 1726.0    0.222  -0.374
 1727.0    0.223  -0.371
 1728.0    0.224  -0.368
 1729.0    0.225  -0.365
 1730.0    0.225  -0.362
 1731.0    0.226  -0.359
 1732.0    0.227  -0.356
 1733.0    0.227  -0.353
 1734.0    0.228  -0.350
 1735.0    0.229  -0.347
 1736.0    0.229  -0.344
 1737.0    0.230  -0.341
 1738.0    0.230  -0.339
 1739.0    0.230  -0.336
 1740.0    0.231  -0.333
 1741.0    0.231  -0.331
 1742.0    0.231  -0.328
 1743.0    0.232  -0.325
 1744.0    0.232  -0.323
 1745.0    0.232  -0.320
 1746.0    0.232  -0.318
 1747.0    0.232  -0.315
 1748.0    0.233  -0.313
 1749.0    0.233  -0.310
 1750.0    0.233  -0.308
 1751.0    0.233  -0.306
 1752.0    0.233  -0.303
 1753.0    0.233  -0.301
 1754.0    0.233  -0.299
 1755.0    0.233  -0.297
 1756.0    0.233  -0.294
 1757.0    0.233  -0.292
 1758.0    0.233  -0.290
 1759.0    0.233  -0.288
 1760.0    0.233  -0.286
 1761.0    0.233  -0.284
 1762.0    0.232  -0.282
 1763.0    0.232  -0.280
 1764.0    0.232  -0.278
 1765.0    0.232  -0.276
 1766.0    0.232  -0.274
 1767.0    0.232  -0.272
 1768.0    0.231  -0.270
 1769.0    0.231  -0.268
 1770.0    0.231  -0.266
 1771.0    0.231  -0.264
 1772.0    0.230  -0.262
 1773.0    0.230  -0.261
 1774.0    0.230  -0.259
 1775.0    0.230  -0.257
 1776.0    0.229  -0.255
 1777.0    0.229  -0.254
 1778.0    0.229  -0.252
 1779.0    0.228  -0.250
 1780.0    0.228  -0.249
 1781.0    0.228  -0.247
 1782.0    0.227  -0.245
 1783.0    0.227  -0.244
 1784.0    0.227  -0.242
 1785.0    0.226  -0.241
 1786.0    0.226  -0.239
 1787.0    0.226  -0.237
 1788.0    0.225  -0.236
 1789.0    0.225  -0.234
 1790.0    0.225  -0.233
 1791.0    0.224  -0.231
 1792.0    0.224  -0.230
 1793.0    0.223  -0.229
 1794.0    0.223  -0.227
 1795.0    0.223  -0.226
 1796.0    0.222  -0.224
 1797.0    0.222  -0.223
 1798.0    0.221  -0.222
 1799.0    0.221  -0.220
 1800.0    0.221  -0.219
 1801.0    0.220  -0.218
 1802.0    0.220  -0.216
 1803.0    0.219  -0.215
 1804.0    0.219  -0.214
 1805.0    0.219  -0.213
 1806.0    0.218  -0.211
 1807.0    0.218  -0.210
 1808.0    0.217  -0.209
 1809.0    0.217  -0.208
 1810.0    0.216  -0.207
 1811.0    0.216  -0.205
 1812.0    0.215  -0.204
 1813.0    0.215  -0.203
 1814.0    0.215  -0.202
 1815.0    0.214  -0.201
 1816.0    0.214  -0.200
 1817.0    0.213  -0.199
 1818.0    0.213  -0.198
 1819.0    0.212  -0.196
