   W         E2-(eta_p)
 (MeV)      Re      Im
 1486.0    0.004   0.005
 1487.0    0.012   0.016
 1488.0    0.020   0.028
 1489.0    0.028   0.040
 1490.0    0.035   0.053
 1491.0    0.041   0.065
 1492.0    0.048   0.078
 1493.0    0.054   0.091
 1494.0    0.059   0.105
 1495.0    0.064   0.118
 1496.0    0.068   0.132
 1497.0    0.072   0.146
 1498.0    0.075   0.160
 1499.0    0.078   0.174
 1500.0    0.080   0.188
 1501.0    0.082   0.202
 1502.0    0.083   0.216
 1503.0    0.084   0.230
 1504.0    0.084   0.244
 1505.0    0.083   0.258
 1506.0    0.082   0.271
 1507.0    0.081   0.285
 1508.0    0.079   0.298
 1509.0    0.076   0.311
 1510.0    0.073   0.324
 1511.0    0.070   0.336
 1512.0    0.066   0.349
 1513.0    0.061   0.360
 1514.0    0.057   0.372
 1515.0    0.052   0.383
 1516.0    0.046   0.394
 1517.0    0.041   0.404
 1518.0    0.035   0.414
 1519.0    0.029   0.424
 1520.0    0.022   0.433
 1521.0    0.015   0.442
 1522.0    0.009   0.451
 1523.0    0.002   0.459
 1524.0   -0.006   0.466
 1525.0   -0.013   0.473
 1526.0   -0.020   0.480
 1527.0   -0.028   0.487
 1528.0   -0.035   0.493
 1529.0   -0.043   0.498
 1530.0   -0.050   0.503
 1531.0   -0.058   0.508
 1532.0   -0.065   0.513
 1533.0   -0.073   0.517
 1534.0   -0.080   0.521
 1535.0   -0.088   0.524
 1536.0   -0.095   0.527
 1537.0   -0.102   0.530
 1538.0   -0.110   0.533
 1539.0   -0.117   0.535
 1540.0   -0.124   0.537
 1541.0   -0.131   0.539
 1542.0   -0.137   0.540
 1543.0   -0.144   0.542
 1544.0   -0.150   0.543
 1545.0   -0.157   0.544
 1546.0   -0.163   0.544
 1547.0   -0.169   0.545
 1548.0   -0.175   0.545
 1549.0   -0.181   0.545
 1550.0   -0.187   0.545
 1551.0   -0.192   0.545
 1552.0   -0.197   0.544
 1553.0   -0.203   0.544
 1554.0   -0.208   0.543
 1555.0   -0.213   0.542
 1556.0   -0.217   0.541
 1557.0   -0.222   0.541
 1558.0   -0.227   0.539
 1559.0   -0.231   0.538
 1560.0   -0.235   0.537
 1561.0   -0.239   0.536
 1562.0   -0.243   0.534
 1563.0   -0.247   0.533
 1564.0   -0.251   0.531
 1565.0   -0.254   0.530
 1566.0   -0.258   0.528
 1567.0   -0.261   0.526
 1568.0   -0.264   0.525
 1569.0   -0.268   0.523
 1570.0   -0.270   0.521
 1571.0   -0.273   0.519
 1572.0   -0.276   0.517
 1573.0   -0.279   0.515
 1574.0   -0.281   0.513
 1575.0   -0.284   0.511
 1576.0   -0.286   0.509
 1577.0   -0.288   0.507
 1578.0   -0.290   0.505
 1579.0   -0.293   0.503
 1580.0   -0.295   0.501
 1581.0   -0.296   0.499
 1582.0   -0.298   0.497
 1583.0   -0.300   0.495
 1584.0   -0.301   0.493
 1585.0   -0.303   0.491
 1586.0   -0.304   0.489
 1587.0   -0.306   0.487
 1588.0   -0.307   0.485
 1589.0   -0.308   0.483
 1590.0   -0.310   0.481
 1591.0   -0.311   0.479
 1592.0   -0.312   0.477
 1593.0   -0.313   0.475
 1594.0   -0.314   0.473
 1595.0   -0.314   0.471
 1596.0   -0.315   0.469
 1597.0   -0.316   0.467
 1598.0   -0.317   0.465
 1599.0   -0.317   0.464
 1600.0   -0.318   0.462
 1601.0   -0.318   0.460
 1602.0   -0.319   0.458
 1603.0   -0.319   0.456
 1604.0   -0.320   0.454
 1605.0   -0.320   0.452
 1606.0   -0.320   0.451
 1607.0   -0.320   0.449
 1608.0   -0.321   0.447
 1609.0   -0.321   0.445
 1610.0   -0.321   0.444
 1611.0   -0.321   0.442
 1612.0   -0.321   0.440
 1613.0   -0.321   0.439
 1614.0   -0.321   0.437
 1615.0   -0.321   0.436
 1616.0   -0.321   0.434
 1617.0   -0.320   0.432
 1618.0   -0.320   0.431
 1619.0   -0.320   0.429
 1620.0   -0.320   0.428
 1621.0   -0.320   0.426
 1622.0   -0.319   0.425
 1623.0   -0.319   0.424
 1624.0   -0.319   0.422
 1625.0   -0.318   0.421
 1626.0   -0.318   0.420
 1627.0   -0.317   0.418
 1628.0   -0.317   0.417
 1629.0   -0.316   0.416
 1630.0   -0.316   0.415
 1631.0   -0.315   0.413
 1632.0   -0.315   0.412
 1633.0   -0.314   0.411
 1634.0   -0.314   0.410
 1635.0   -0.313   0.409
 1636.0   -0.313   0.408
 1637.0   -0.312   0.407
 1638.0   -0.311   0.406
 1639.0   -0.311   0.405
 1640.0   -0.310   0.404
 1641.0   -0.309   0.403
 1642.0   -0.309   0.402
 1643.0   -0.308   0.401
 1644.0   -0.307   0.400
 1645.0   -0.307   0.400
 1646.0   -0.306   0.399
 1647.0   -0.305   0.398
 1648.0   -0.305   0.398
 1649.0   -0.304   0.397
 1650.0   -0.303   0.396
 1651.0   -0.303   0.396
 1652.0   -0.302   0.395
 1653.0   -0.301   0.395
 1654.0   -0.301   0.394
 1655.0   -0.300   0.394
 1656.0   -0.299   0.393
 1657.0   -0.299   0.393
 1658.0   -0.298   0.393
 1659.0   -0.298   0.392
 1660.0   -0.297   0.392
 1661.0   -0.297   0.392
 1662.0   -0.296   0.391
 1663.0   -0.296   0.391
 1664.0   -0.295   0.391
