   W         M1-(eta_p)
 (MeV)      Re      Im
 1486.0    0.026  -0.001
 1487.0    0.048  -0.002
 1488.0    0.062  -0.003
 1489.0    0.073  -0.004
 1490.0    0.082  -0.004
 1491.0    0.090  -0.005
 1492.0    0.098  -0.005
 1493.0    0.104  -0.006
 1494.0    0.110  -0.006
 1495.0    0.116  -0.007
 1496.0    0.121  -0.007
 1497.0    0.125  -0.007
 1498.0    0.130  -0.008
 1499.0    0.134  -0.008
 1500.0    0.137  -0.009
 1501.0    0.141  -0.009
 1502.0    0.144  -0.010
 1503.0    0.147  -0.010
 1504.0    0.150  -0.011
 1505.0    0.153  -0.011
 1506.0    0.155  -0.012
 1507.0    0.158  -0.012
 1508.0    0.160  -0.012
 1509.0    0.162  -0.013
 1510.0    0.164  -0.013
 1511.0    0.166  -0.014
 1512.0    0.167  -0.014
 1513.0    0.169  -0.015
 1514.0    0.170  -0.016
 1515.0    0.172  -0.016
 1516.0    0.173  -0.017
 1517.0    0.174  -0.017
 1518.0    0.175  -0.018
 1519.0    0.176  -0.018
 1520.0    0.177  -0.019
 1521.0    0.177  -0.019
 1522.0    0.178  -0.020
 1523.0    0.178  -0.021
 1524.0    0.179  -0.021
 1525.0    0.179  -0.022
 1526.0    0.179  -0.023
 1527.0    0.179  -0.023
 1528.0    0.179  -0.024
 1529.0    0.179  -0.025
 1530.0    0.179  -0.025
 1531.0    0.179  -0.026
 1532.0    0.179  -0.027
 1533.0    0.178  -0.028
 1534.0    0.178  -0.028
 1535.0    0.177  -0.029
 1536.0    0.177  -0.030
 1537.0    0.176  -0.031
 1538.0    0.175  -0.031
 1539.0    0.174  -0.032
 1540.0    0.173  -0.033
 1541.0    0.172  -0.034
 1542.0    0.171  -0.035
 1543.0    0.170  -0.036
 1544.0    0.169  -0.037
 1545.0    0.168  -0.038
 1546.0    0.167  -0.039
 1547.0    0.165  -0.040
 1548.0    0.164  -0.041
 1549.0    0.162  -0.042
 1550.0    0.161  -0.043
 1551.0    0.159  -0.044
 1552.0    0.157  -0.045
 1553.0    0.156  -0.046
 1554.0    0.154  -0.047
 1555.0    0.152  -0.048
 1556.0    0.150  -0.050
 1557.0    0.148  -0.051
 1558.0    0.146  -0.052
 1559.0    0.143  -0.053
 1560.0    0.141  -0.055
 1561.0    0.139  -0.056
 1562.0    0.136  -0.057
 1563.0    0.134  -0.059
 1564.0    0.132  -0.060
 1565.0    0.129  -0.062
 1566.0    0.126  -0.063
 1567.0    0.124  -0.065
 1568.0    0.121  -0.066
 1569.0    0.118  -0.068
 1570.0    0.115  -0.069
 1571.0    0.112  -0.071
 1572.0    0.109  -0.073
 1573.0    0.106  -0.075
 1574.0    0.103  -0.076
 1575.0    0.100  -0.078
 1576.0    0.096  -0.080
 1577.0    0.093  -0.082
 1578.0    0.089  -0.084
 1579.0    0.086  -0.086
 1580.0    0.082  -0.088
 1581.0    0.079  -0.090
 1582.0    0.075  -0.092
 1583.0    0.071  -0.094
 1584.0    0.067  -0.097
 1585.0    0.064  -0.099
 1586.0    0.060  -0.101
 1587.0    0.056  -0.104
 1588.0    0.051  -0.106
 1589.0    0.047  -0.109
 1590.0    0.043  -0.111
 1591.0    0.039  -0.114
 1592.0    0.034  -0.117
 1593.0    0.030  -0.119
 1594.0    0.025  -0.122
 1595.0    0.021  -0.125
 1596.0    0.016  -0.128
 1597.0    0.011  -0.131
 1598.0    0.006  -0.134
 1599.0    0.002  -0.137
 1600.0   -0.003  -0.141
 1601.0   -0.008  -0.144
 1602.0   -0.014  -0.148
 1603.0   -0.019  -0.151
 1604.0   -0.024  -0.155
 1605.0   -0.029  -0.158
 1606.0   -0.035  -0.162
 1607.0   -0.040  -0.166
 1608.0   -0.046  -0.170
 1609.0   -0.051  -0.174
 1610.0   -0.057  -0.179
 1611.0   -0.063  -0.183
 1612.0   -0.068  -0.187
 1613.0   -0.074  -0.192
 1614.0   -0.080  -0.197
 1615.0   -0.086  -0.202
 1616.0   -0.092  -0.206
 1617.0   -0.099  -0.212
 1618.0   -0.105  -0.217
 1619.0   -0.111  -0.222
 1620.0   -0.118  -0.228
 1621.0   -0.124  -0.233
 1622.0   -0.131  -0.239
 1623.0   -0.137  -0.245
 1624.0   -0.144  -0.251
 1625.0   -0.150  -0.257
 1626.0   -0.157  -0.264
 1627.0   -0.164  -0.271
 1628.0   -0.171  -0.277
 1629.0   -0.178  -0.284
 1630.0   -0.185  -0.292
 1631.0   -0.192  -0.299
 1632.0   -0.199  -0.307
 1633.0   -0.206  -0.314
 1634.0   -0.213  -0.323
 1635.0   -0.221  -0.331
 1636.0   -0.228  -0.339
 1637.0   -0.235  -0.348
 1638.0   -0.243  -0.357
 1639.0   -0.250  -0.366
 1640.0   -0.257  -0.376
 1641.0   -0.265  -0.386
 1642.0   -0.272  -0.396
 1643.0   -0.280  -0.406
 1644.0   -0.287  -0.417
 1645.0   -0.295  -0.427
 1646.0   -0.302  -0.439
 1647.0   -0.309  -0.450
 1648.0   -0.317  -0.462
 1649.0   -0.324  -0.474
 1650.0   -0.331  -0.487
 1651.0   -0.339  -0.500
 1652.0   -0.346  -0.513
 1653.0   -0.353  -0.527
 1654.0   -0.360  -0.541
 1655.0   -0.367  -0.555
 1656.0   -0.374  -0.570
 1657.0   -0.380  -0.585
 1658.0   -0.387  -0.601
 1659.0   -0.393  -0.617
 1660.0   -0.399  -0.633
 1661.0   -0.405  -0.650
 1662.0   -0.411  -0.668
 1663.0   -0.416  -0.685
 1664.0   -0.422  -0.704
 1665.0   -0.427  -0.722
 1666.0   -0.431  -0.742
 1667.0   -0.436  -0.761
 1668.0   -0.440  -0.781
 1669.0   -0.443  -0.802
 1670.0   -0.446  -0.823
 1671.0   -0.449  -0.845
 1672.0   -0.451  -0.867
 1673.0   -0.453  -0.889
 1674.0   -0.454  -0.912
 1675.0   -0.455  -0.936
 1676.0   -0.455  -0.960
 1677.0   -0.454  -0.984
 1678.0   -0.453  -1.009
 1679.0   -0.451  -1.034
 1680.0   -0.448  -1.060
 1681.0   -0.444  -1.086
 1682.0   -0.440  -1.112
 1683.0   -0.435  -1.138
 1684.0   -0.429  -1.165
 1685.0   -0.421  -1.193
 1686.0   -0.413  -1.220
 1687.0   -0.404  -1.247
