rel ChPT p^4 PRL111

     elab           Re E0+        Im E0+         Re P1        Re P2         Re P3         Re E1+        Re M1+        Re M1- 
    176.0000       -0.7932        1.5389        9.9707      -11.5311       12.6653       -0.2601        7.8054       -2.9455
    176.5000       -0.8021        1.5530        9.9682      -11.5404       12.7002       -0.2620        7.8182       -2.9361
    177.0000       -0.8111        1.5669        9.9656      -11.5497       12.7351       -0.2640        7.8309       -2.9267
    177.5000       -0.8201        1.5807        9.9631      -11.5589       12.7700       -0.2660        7.8437       -2.9173
    178.0000       -0.8291        1.5942        9.9605      -11.5682       12.8049       -0.2679        7.8564       -2.9080
    178.5000       -0.8381        1.6076        9.9580      -11.5775       12.8398       -0.2699        7.8692       -2.8986
    179.0000       -0.8471        1.6208        9.9554      -11.5868       12.8747       -0.2719        7.8819       -2.8892
    179.5000       -0.8561        1.6338        9.9529      -11.5961       12.9096       -0.2739        7.8947       -2.8798
    180.0000       -0.8651        1.6467        9.9504      -11.6053       12.9445       -0.2758        7.9074       -2.8704
    180.5000       -0.8741        1.6594        9.9478      -11.6146       12.9794       -0.2778        7.9202       -2.8610
    181.0000       -0.8831        1.6720        9.9453      -11.6239       13.0143       -0.2798        7.9329       -2.8516
    181.5000       -0.8921        1.6844        9.9427      -11.6332       13.0491       -0.2817        7.9457       -2.8422
    182.0000       -0.9011        1.6966        9.9402      -11.6424       13.0840       -0.2837        7.9584       -2.8329
    182.5000       -0.9101        1.7087        9.9376      -11.6517       13.1189       -0.2857        7.9712       -2.8235
    183.0000       -0.9190        1.7206        9.9351      -11.6610       13.1538       -0.2877        7.9840       -2.8141
    183.5000       -0.9280        1.7324        9.9325      -11.6703       13.1887       -0.2896        7.9967       -2.8047
    184.0000       -0.9370        1.7441        9.9300      -11.6796       13.2236       -0.2916        8.0095       -2.7953
    184.5000       -0.9460        1.7556        9.9275      -11.6888       13.2585       -0.2936        8.0222       -2.7859
    185.0000       -0.9550        1.7670        9.9249      -11.6981       13.2934       -0.2955        8.0350       -2.7765
    185.5000       -0.9640        1.7783        9.9224      -11.7074       13.3283       -0.2975        8.0477       -2.7672
    186.0000       -0.9730        1.7894        9.9198      -11.7167       13.3632       -0.2995        8.0605       -2.7578
    186.5000       -0.9820        1.8004        9.9173      -11.7260       13.3981       -0.3014        8.0732       -2.7484
    187.0000       -0.9910        1.8113        9.9147      -11.7352       13.4330       -0.3034        8.0860       -2.7390
    187.5000       -1.0000        1.8220        9.9122      -11.7445       13.4679       -0.3054        8.0987       -2.7296
    188.0000       -1.0090        1.8327        9.9097      -11.7538       13.5028       -0.3074        8.1115       -2.7202
    188.5000       -1.0180        1.8432        9.9071      -11.7631       13.5376       -0.3093        8.1242       -2.7108
    189.0000       -1.0269        1.8536        9.9046      -11.7723       13.5725       -0.3113        8.1370       -2.7015
    189.5000       -1.0359        1.8638        9.9020      -11.7816       13.6074       -0.3133        8.1498       -2.6921
    190.0000       -1.0449        1.8740        9.8995      -11.7909       13.6423       -0.3152        8.1625       -2.6827
    190.5000       -1.0539        1.8840        9.8969      -11.8002       13.6772       -0.3172        8.1753       -2.6733
    191.0000       -1.0629        1.8940        9.8944      -11.8095       13.7121       -0.3192        8.1880       -2.6639
    191.5000       -1.0719        1.9038        9.8919      -11.8187       13.7470       -0.3211        8.2008       -2.6545
    192.0000       -1.0809        1.9135        9.8893      -11.8280       13.7819       -0.3231        8.2135       -2.6451
    192.5000       -1.0899        1.9231        9.8868      -11.8373       13.8168       -0.3251        8.2263       -2.6358
    193.0000       -1.0989        1.9326        9.8842      -11.8466       13.8517       -0.3271        8.2390       -2.6264
    193.5000       -1.1079        1.9420        9.8817      -11.8559       13.8866       -0.3290        8.2518       -2.6170
    194.0000       -1.1169        1.9513        9.8791      -11.8651       13.9215       -0.3310        8.2645       -2.6076
    194.5000       -1.1259        1.9605        9.8766      -11.8744       13.9564       -0.3330        8.2773       -2.5982
    195.0000       -1.1348        1.9696        9.8740      -11.8837       13.9913       -0.3349        8.2900       -2.5888
    195.5000       -1.1438        1.9786        9.8715      -11.8930       14.0261       -0.3369        8.3028       -2.5794
    196.0000       -1.1528        1.9875        9.8690      -11.9022       14.0610       -0.3389        8.3155       -2.5701
    196.5000       -1.1618        1.9963        9.8664      -11.9115       14.0959       -0.3409        8.3283       -2.5607
    197.0000       -1.1708        2.0050        9.8639      -11.9208       14.1308       -0.3428        8.3411       -2.5513
    197.5000       -1.1798        2.0136        9.8613      -11.9301       14.1657       -0.3448        8.3538       -2.5419
    198.0000       -1.1888        2.0221        9.8588      -11.9394       14.2006       -0.3468        8.3666       -2.5325
    198.5000       -1.1978        2.0305        9.8562      -11.9486       14.2355       -0.3487        8.3793       -2.5231
    199.0000       -1.2068        2.0389        9.8537      -11.9579       14.2704       -0.3507        8.3921       -2.5137
    199.5000       -1.2158        2.0471        9.8512      -11.9672       14.3053       -0.3527        8.4048       -2.5044
    200.0000       -1.2248        2.0552        9.8486      -11.9765       14.3402       -0.3546        8.4176       -2.4950
