   W         M1+(pi+_n)
 (MeV)      Re         Im
 1257.0    2.70075  -13.20269
 1258.0    2.80678  -13.01430
 1259.0    2.90615  -12.82725
 1260.0    3.00051  -12.64287
 1261.0    3.08953  -12.45848
 1262.0    3.17189  -12.27610
 1263.0    3.25024  -12.09538
 1264.0    3.32360  -11.91733
 1265.0    3.39128  -11.74028
 1266.0    3.45563  -11.56523
 1267.0    3.51532  -11.39318
 1268.0    3.57066  -11.22214
 1269.0    3.62235  -11.05409
 1270.0    3.67003  -10.88771
 1271.0    3.71404  -10.72333
 1272.0    3.75438  -10.56195
 1273.0    3.79139  -10.40224
 1274.0    3.82540  -10.24453
 1275.0    3.85608  -10.09015
 1276.0    3.88409   -9.93711
 1277.0    3.90909   -9.78640
 1278.0    3.93277   -9.63903
 1279.0    3.95244   -9.49265
 1280.0    3.96978   -9.34995
 1281.0    3.98511   -9.20824
 1282.0    3.99812   -9.06987
 1283.0    4.00979   -8.93250
 1284.0    4.01879   -8.79779
 1285.0    4.02546   -8.66576
 1286.0    4.03179   -8.53505
 1287.0    4.03513   -8.40768
 1288.0    4.03679   -8.28131
 1289.0    4.03813   -8.15795
 1290.0    4.03679   -8.03558
 1291.0    4.03513   -7.91621
 1292.0    4.03113   -7.79818
 1293.0    4.02613   -7.68281
 1294.0    4.02046   -7.56845
 1295.0    4.01279   -7.45675
 1296.0    4.00512   -7.34639
 1297.0    3.99645   -7.23836
 1298.0    3.98578   -7.13133
 1299.0    3.97544   -7.02730
 1300.0    3.96277   -6.92394
 1301.0    3.95044   -6.82324
 1302.0    3.93743   -6.72288
 1303.0    3.92276   -6.62552
 1304.0    3.90809   -6.52882
 1305.0    3.89209   -6.43447
 1306.0    3.87642   -6.34211
 1307.0    3.86008   -6.24975
 1308.0    3.84207   -6.16039
 1309.0    3.82474   -6.07103
 1310.0    3.80673   -5.98434
 1311.0    3.78839   -5.89898
 1312.0    3.76872   -5.81429
 1313.0    3.74938   -5.73160
 1314.0    3.72971   -5.64958
 1315.0    3.70970   -5.56956
 1316.0    3.68836   -5.49087
 1317.0    3.66769   -5.41285
 1318.0    3.64702   -5.33649
 1319.0    3.62568   -5.26180
 1320.0    3.60334   -5.18812
 1321.0    3.58167   -5.11443
 1322.0    3.55966   -5.04308
 1323.0    3.53766   -4.97272
 1324.0    3.51532   -4.90237
 1325.0    3.49198   -4.83435
 1326.0    3.46930   -4.76733
 1327.0    3.44630   -4.70131
 1328.0    3.42329   -4.63530
 1329.0    3.40028   -4.57128
 1330.0    3.37628   -4.50793
 1331.0    3.35294   -4.44591
 1332.0    3.32960   -4.38489
 1333.0    3.30592   -4.32454
 1334.0    3.28258   -4.26419
 1335.0    3.25891   -4.20551
 1336.0    3.23424   -4.14783
 1337.0    3.21056   -4.09114
 1338.0    3.18689   -4.03513
 1339.0    3.16288   -3.98011
 1340.0    3.13921   -3.92543
 1341.0    3.11520   -3.87108
 1342.0    3.09153   -3.81807
 1343.0    3.06652   -3.76605
 1344.0    3.04285   -3.71470
 1345.0    3.01884   -3.66402
 1346.0    2.99484   -3.61434
 1347.0    2.97116   -3.56500
 1348.0    2.94716   -3.51665
 1349.0    2.92215   -3.46864
 1350.0    2.89848   -3.42162
 1351.0    2.87447   -3.37494
 1352.0    2.85080   -3.32893
 1353.0    2.82712   -3.28358
 1354.0    2.80245   -3.23991
 1355.0    2.77844   -3.19589
 1356.0    2.75510   -3.15255
 1357.0    2.73143   -3.10954
 1358.0    2.70776   -3.06719
 1359.0    2.68308   -3.02551
 1360.0    2.65974   -2.98417
 1361.0    2.63607   -2.94449
 1362.0    2.61273   -2.90415
 1363.0    2.58939   -2.86447
 1364.0    2.56505   -2.82546
 1365.0    2.54171   -2.78678
 1366.0    2.51837   -2.74944
 1367.0    2.49536   -2.71176
 1368.0    2.47136   -2.67475
 1369.0    2.44802   -2.63907
 1370.0    2.42501   -2.60273
 1371.0    2.40234   -2.56672
 1372.0    2.37933   -2.53237
 1373.0    2.35532   -2.49736
 1374.0    2.33265   -2.46302
 1375.0    2.30998   -2.43001
 1376.0    2.28731   -2.39634
 1377.0    2.26363   -2.36399
 1378.0    2.24096   -2.33098
 1379.0    2.21862   -2.29864
 1380.0    2.19495   -2.26763
 1381.0    2.17261   -2.23596
 1382.0    2.15027   -2.20562
 1383.0    2.12793   -2.17561
 1384.0    2.10492   -2.14493
 1385.0    2.08258   -2.11592
 1386.0    2.06058   -2.08592
 1387.0    2.03757   -2.05758
 1388.0    2.01556   -2.02823
 1389.0    1.99356   -2.00056
 1390.0    1.97155   -1.97288
 1391.0    1.94888   -1.94488
 1392.0    1.92721   -1.91787
 1393.0    1.90520   -1.89153
 1394.0    1.88253   -1.86419
 1395.0    1.86119   -1.83851
 1396.0    1.83851   -1.81284
 1397.0    1.81684   -1.78750
 1398.0    1.79550   -1.76183
 1399.0    1.77416   -1.73715
 1400.0    1.75182   -1.71281
 1401.0    1.73048   -1.68847
 1402.0    1.70914   -1.66480
 1403.0    1.68714   -1.64146
 1404.0    1.66580   -1.61812
 1405.0    1.64479   -1.59411
 1406.0    1.62279   -1.57144
 1407.0    1.60178   -1.54910
 1408.0    1.58078   -1.52709
 1409.0    1.55910   -1.50509
 1410.0    1.53810   -1.48341
 1411.0    1.51642   -1.46208
 1412.0    1.49575   -1.44107
 1413.0    1.47475   -1.42040
 1414.0    1.45341   -1.39972
 1415.0    1.43273   -1.37939
 1416.0    1.41206   -1.35938
 1417.0    1.39072   -1.33937
 1418.0    1.37005   -1.31970
 1419.0    1.34971   -1.30136
 1420.0    1.32837   -1.28236
 1421.0    1.30803   -1.26335
 1422.0    1.28703   -1.24468
 1423.0    1.26669   -1.22634
 1424.0    1.24668   -1.20800
 1425.0    1.22534   -1.19100
 1426.0    1.20534   -1.17333
 1427.0    1.18533   -1.15566
 1428.0    1.16433   -1.13832
 1429.0    1.14432   -1.12231
 1430.0    1.12365   -1.10531
 1431.0    1.10364   -1.08864
 1432.0    1.08397   -1.07230
 1433.0    1.06330   -1.05696
 1434.0    1.04363   -1.04096
 1435.0    1.02395   -1.02495
 1436.0    1.00328   -1.01028
 1437.0    0.98394   -0.99494
 1438.0    0.96327   -0.98061
 1439.0    0.94393   -0.96560
 1440.0    0.92459   -0.95093
 1441.0    0.90425   -0.93726
 1442.0    0.88491   -0.92259
 1443.0    0.86591   -0.90959
 1444.0    0.84557   -0.89525
 1445.0    0.82656   -0.88258
 1446.0    0.80756   -0.86891
