   W         M3-(pi+_n)
 (MeV)      Re         Im
 1275.0    0.03607   -0.00165
 1276.0    0.03678   -0.00165
 1277.0    0.03702   -0.00236
 1278.0    0.03654   -0.00236
 1279.0    0.03725   -0.00236
 1280.0    0.03749   -0.00236
 1281.0    0.03749   -0.00236
 1282.0    0.03772   -0.00236
 1283.0    0.03796   -0.00236
 1284.0    0.03867   -0.00236
 1285.0    0.03819   -0.00236
 1286.0    0.03890   -0.00236
 1287.0    0.03914   -0.00236
 1288.0    0.03914   -0.00236
 1289.0    0.03937   -0.00236
 1290.0    0.03961   -0.00236
 1291.0    0.04032   -0.00236
 1292.0    0.03984   -0.00236
 1293.0    0.04055   -0.00236
 1294.0    0.04079   -0.00236
 1295.0    0.04079   -0.00236
 1296.0    0.04102   -0.00236
 1297.0    0.04173   -0.00236
 1298.0    0.04197   -0.00236
 1299.0    0.04197   -0.00236
 1300.0    0.04220   -0.00236
 1301.0    0.04291   -0.00189
 1302.0    0.04362   -0.00189
 1303.0    0.04315   -0.00189
 1304.0    0.04385   -0.00189
 1305.0    0.04409   -0.00189
 1306.0    0.04409   -0.00189
 1307.0    0.04432   -0.00189
 1308.0    0.04503   -0.00189
 1309.0    0.04574   -0.00189
 1310.0    0.04527   -0.00259
 1311.0    0.04597   -0.00259
 1312.0    0.04621   -0.00259
 1313.0    0.04692   -0.00259
 1314.0    0.04692   -0.00259
 1315.0    0.04715   -0.00259
 1316.0    0.04786   -0.00259
 1317.0    0.04786   -0.00259
 1318.0    0.04810   -0.00259
 1319.0    0.04880   -0.00259
 1320.0    0.04904   -0.00259
 1321.0    0.04904   -0.00259
 1322.0    0.04975   -0.00259
 1323.0    0.04998   -0.00259
 1324.0    0.05069   -0.00259
 1325.0    0.05140   -0.00259
 1326.0    0.05140   -0.00212
 1327.0    0.05163   -0.00212
 1328.0    0.05234   -0.00212
 1329.0    0.05234   -0.00212
 1330.0    0.05258   -0.00212
 1331.0    0.05328   -0.00212
 1332.0    0.05399   -0.00212
 1333.0    0.05470   -0.00212
 1334.0    0.05423   -0.00212
 1335.0    0.05493   -0.00212
 1336.0    0.05564   -0.00212
 1337.0    0.05635   -0.00212
 1338.0    0.05706   -0.00212
 1339.0    0.05658   -0.00141
 1340.0    0.05729   -0.00141
 1341.0    0.05800   -0.00141
 1342.0    0.05871   -0.00141
 1343.0    0.05871   -0.00141
 1344.0    0.05894   -0.00141
 1345.0    0.05965   -0.00094
 1346.0    0.06036   -0.00094
 1347.0    0.06106   -0.00094
 1348.0    0.06106   -0.00094
 1349.0    0.06177   -0.00094
 1350.0    0.06201   -0.00094
 1351.0    0.06271   -0.00094
 1352.0    0.06342   -0.00094
 1353.0    0.06413   -0.00094
 1354.0    0.06484   -0.00094
 1355.0    0.06484   -0.00094
 1356.0    0.06554   -0.00094
 1357.0    0.06625   -0.00094
 1358.0    0.06649   -0.00094
 1359.0    0.06719   -0.00094
 1360.0    0.06790   -0.00047
 1361.0    0.06861   -0.00047
 1362.0    0.06861   -0.00047
 1363.0    0.06932   -0.00047
 1364.0    0.07002   -0.00047
 1365.0    0.07073   -0.00047
 1366.0    0.07144   -0.00047
 1367.0    0.07215   -0.00047
 1368.0    0.07285   -0.00047
 1369.0    0.07356   -0.00047
 1370.0    0.07427    0.00024
 1371.0    0.07497    0.00024
 1372.0    0.07497    0.00024
 1373.0    0.07568    0.00071
 1374.0    0.07639    0.00071
 1375.0    0.07710    0.00071
 1376.0    0.07780    0.00071
 1377.0    0.07851    0.00071
 1378.0    0.07922    0.00071
 1379.0    0.07993    0.00071
 1380.0    0.08063    0.00071
 1381.0    0.08134    0.00071
 1382.0    0.08205    0.00071
 1383.0    0.08275    0.00071
 1384.0    0.08346    0.00071
 1385.0    0.08417    0.00189
 1386.0    0.08488    0.00189
 1387.0    0.08558    0.00189
 1388.0    0.08629    0.00189
 1389.0    0.08700    0.00189
 1390.0    0.08771    0.00189
 1391.0    0.08888    0.00189
 1392.0    0.08959    0.00189
 1393.0    0.09101    0.00189
 1394.0    0.09171    0.00189
 1395.0    0.09242    0.00306
 1396.0    0.09313    0.00306
 1397.0    0.09384    0.00306
 1398.0    0.09454    0.00306
 1399.0    0.09572    0.00306
 1400.0    0.09643    0.00306
 1401.0    0.09714    0.00306
 1402.0    0.09784    0.00306
 1403.0    0.09926    0.00306
 1404.0    0.09997    0.00377
 1405.0    0.10067    0.00424
 1406.0    0.10185    0.00424
 1407.0    0.10256    0.00424
 1408.0    0.10327    0.00424
 1409.0    0.10397    0.00424
 1410.0    0.10539    0.00424
 1411.0    0.10657    0.00495
 1412.0    0.10727    0.00495
 1413.0    0.10798    0.00495
 1414.0    0.10940    0.00542
 1415.0    0.11010    0.00542
 1416.0    0.11128    0.00542
 1417.0    0.11199    0.00613
 1418.0    0.11340    0.00613
 1419.0    0.11411    0.00613
 1420.0    0.11529    0.00613
 1421.0    0.11671    0.00613
 1422.0    0.11741    0.00684
 1423.0    0.11812    0.00731
 1424.0    0.12001    0.00731
 1425.0    0.12071    0.00731
 1426.0    0.12142    0.00731
 1427.0    0.12331    0.00802
 1428.0    0.12401    0.00802
 1429.0    0.12472    0.00802
 1430.0    0.12614    0.00802
 1431.0    0.12731    0.00919
 1432.0    0.12873    0.00919
 1433.0    0.12944    0.00919
 1434.0    0.13132    0.00919
 1435.0    0.13203    0.00990
 1436.0    0.13344    0.00990
 1437.0    0.13462    0.00990
 1438.0    0.13604    0.01061
 1439.0    0.13675    0.01108
 1440.0    0.13863    0.01108
 1441.0    0.13934    0.01108
 1442.0    0.14075    0.01179
 1443.0    0.14193    0.01179
 1444.0    0.14335    0.01179
 1445.0    0.14453    0.01250
 1446.0    0.14594    0.01297
 1447.0    0.14736    0.01297
 1448.0    0.14853    0.01367
 1449.0    0.14995    0.01367
 1450.0    0.15183    0.01367
 1451.0    0.15254    0.01438
 1452.0    0.15396    0.01438
 1453.0    0.15584    0.01556
 1454.0    0.15655    0.01556
 1455.0    0.15844    0.01556
 1456.0    0.15985    0.01627
 1457.0    0.16103    0.01627
 1458.0    0.16244    0.01698
 1459.0    0.16386    0.01698
 1460.0    0.16575    0.01745
 1461.0    0.16716    0.01815
 1462.0    0.16834    0.01815
 1463.0    0.16975    0.01886
 1464.0    0.17164    0.01886
 1465.0    0.17305    0.01957
 1466.0    0.17494    0.02004
 1467.0    0.17635    0.02075
 1468.0    0.17824    0.02075
 1469.0    0.17966    0.02145
 1470.0    0.18154    0.02145
 1471.0    0.18296    0.02216
 1472.0    0.18484    0.02263
 1473.0    0.18626    0.02334
 1474.0    0.18814    0.02405
 1475.0    0.18956    0.02405
 1476.0    0.19144    0.02476
 1477.0    0.19286    0.02476
 1478.0    0.19474    0.02593
 1479.0    0.19616    0.02664
 1480.0    0.19805    0.02664
 1481.0    0.20064    0.02735
 1482.0    0.20205    0.02806
 1483.0    0.20394    0.02806
 1484.0    0.20535    0.02924
