   W          E2+(pi0_p)
 (MeV)       Re        Im
 1091.90   -0.00049   0.00000
 1092.00   -0.00049   0.00000
 1092.10   -0.00050   0.00000
 1092.20   -0.00050   0.00000
 1092.30   -0.00050   0.00000
 1092.40   -0.00050   0.00000
 1092.50   -0.00051   0.00000
 1092.60   -0.00051   0.00000
 1092.70   -0.00051   0.00000
 1092.80   -0.00052   0.00000
 1092.90   -0.00052   0.00000
 1093.00   -0.00052   0.00000
 1093.10   -0.00052   0.00000
 1093.20   -0.00053   0.00000
 1093.30   -0.00053   0.00000
 1093.40   -0.00053   0.00000
 1093.50   -0.00054   0.00000
 1093.60   -0.00054   0.00000
 1093.70   -0.00054   0.00000
 1093.80   -0.00054   0.00000
 1093.90   -0.00055   0.00000
 1094.00   -0.00055   0.00000
 1094.10   -0.00055   0.00000
 1094.20   -0.00056   0.00000
 1094.30   -0.00056   0.00000
 1094.40   -0.00056   0.00000
 1094.50   -0.00056   0.00000
 1094.60   -0.00057   0.00000
 1094.70   -0.00057   0.00000
 1094.80   -0.00057   0.00000
 1094.90   -0.00058   0.00000
 1095.00   -0.00058   0.00000
 1095.10   -0.00058   0.00000
 1095.20   -0.00058   0.00000
 1095.30   -0.00059   0.00000
 1095.40   -0.00059   0.00000
 1095.50   -0.00059   0.00000
 1095.60   -0.00060   0.00000
 1095.70   -0.00060   0.00000
 1095.80   -0.00060   0.00000
 1095.90   -0.00061   0.00000
 1096.00   -0.00061   0.00000
 1096.10   -0.00061   0.00000
 1096.20   -0.00061   0.00000
 1096.30   -0.00062   0.00000
 1096.40   -0.00062   0.00000
 1096.50   -0.00062   0.00000
 1096.60   -0.00063   0.00000
 1096.70   -0.00063   0.00000
 1096.80   -0.00063   0.00000
 1096.90   -0.00063   0.00000
 1097.00   -0.00064   0.00000
 1097.10   -0.00064   0.00000
 1097.20   -0.00064   0.00000
 1097.30   -0.00065   0.00000
 1097.40   -0.00065   0.00000
 1097.50   -0.00065   0.00000
 1097.60   -0.00066   0.00000
 1097.70   -0.00066   0.00000
 1097.80   -0.00066   0.00000
 1097.90   -0.00066   0.00000
 1098.00   -0.00067   0.00000
 1098.10   -0.00067   0.00000
 1098.20   -0.00067   0.00000
 1098.30   -0.00068   0.00000
 1098.40   -0.00068   0.00000
 1098.50   -0.00068   0.00000
 1098.60   -0.00068   0.00000
 1098.70   -0.00069   0.00000
 1098.80   -0.00069   0.00000
 1098.90   -0.00069   0.00000
 1099.00   -0.00070   0.00000
 1099.10   -0.00070   0.00000
 1099.20   -0.00070   0.00000
 1099.30   -0.00071   0.00000
 1099.40   -0.00071   0.00000
 1099.50   -0.00071   0.00000
 1099.60   -0.00071   0.00000
 1099.70   -0.00072   0.00000
 1099.80   -0.00072   0.00000
 1099.90   -0.00072   0.00000
 1100.00   -0.00073   0.00000
 1100.10   -0.00073   0.00000
 1100.20   -0.00073   0.00000
 1100.30   -0.00074   0.00000
 1100.40   -0.00074   0.00000
 1100.50   -0.00074   0.00000
 1100.60   -0.00075   0.00000
 1100.70   -0.00075   0.00000
 1100.80   -0.00075   0.00000
 1100.90   -0.00075   0.00000
 1101.00   -0.00076   0.00000
 1101.10   -0.00076   0.00000
 1101.20   -0.00076   0.00000
 1101.30   -0.00077   0.00000
 1101.40   -0.00077   0.00000
 1101.50   -0.00077   0.00000
 1101.60   -0.00078   0.00000
 1101.70   -0.00078   0.00000
 1101.80   -0.00078   0.00000
 1101.90   -0.00078   0.00000
 1102.00   -0.00079   0.00000
 1102.10   -0.00079   0.00000
 1102.20   -0.00079   0.00000
 1102.30   -0.00080   0.00000
 1102.40   -0.00080   0.00000
 1102.50   -0.00080   0.00000
 1102.60   -0.00081   0.00000
 1102.70   -0.00081   0.00000
 1102.80   -0.00081   0.00000
 1102.90   -0.00082   0.00000
 1103.00   -0.00082   0.00000
 1103.10   -0.00082   0.00000
 1103.20   -0.00083   0.00000
 1103.30   -0.00083   0.00000
 1103.40   -0.00083   0.00000
 1103.50   -0.00083   0.00000
 1103.60   -0.00084   0.00000
 1103.70   -0.00084   0.00000
 1103.80   -0.00084   0.00000
 1103.90   -0.00085   0.00000
 1104.00   -0.00085   0.00000
 1104.10   -0.00085   0.00000
 1104.20   -0.00086   0.00000
 1104.30   -0.00086   0.00000
 1104.40   -0.00086   0.00000
 1104.50   -0.00087   0.00000
 1104.60   -0.00087   0.00000
 1104.70   -0.00087   0.00000
 1104.80   -0.00088   0.00000
 1104.90   -0.00088   0.00000
 1105.00   -0.00088   0.00000
 1105.10   -0.00088   0.00000
 1105.20   -0.00089   0.00000
 1105.30   -0.00089   0.00000
 1105.40   -0.00089   0.00000
 1105.50   -0.00090   0.00000
 1105.60   -0.00090   0.00000
 1105.70   -0.00090   0.00000
 1105.80   -0.00091   0.00000
 1105.90   -0.00091   0.00000
 1106.00   -0.00091   0.00000
 1106.10   -0.00092   0.00000
 1106.20   -0.00092   0.00000
 1106.30   -0.00092   0.00000
 1106.40   -0.00093   0.00000
 1106.50   -0.00093   0.00000
 1106.60   -0.00093   0.00000
 1106.70   -0.00094   0.00000
 1106.80   -0.00094   0.00000
 1106.90   -0.00094   0.00000
 1107.00   -0.00095   0.00000
 1107.10   -0.00095   0.00000
 1107.20   -0.00095   0.00000
 1107.30   -0.00096   0.00000
 1107.40   -0.00096   0.00000
 1107.50   -0.00096   0.00000
 1107.60   -0.00097   0.00000
 1107.70   -0.00097   0.00000
 1107.80   -0.00097   0.00000
 1107.90   -0.00097   0.00000
 1108.00   -0.00098   0.00000
 1108.10   -0.00098   0.00000
 1108.20   -0.00098   0.00000
 1108.30   -0.00099   0.00000
 1108.40   -0.00099   0.00000
 1108.50   -0.00099   0.00000
 1108.60   -0.00100   0.00000
 1108.70   -0.00100   0.00000
 1108.80   -0.00100   0.00000
 1108.90   -0.00101   0.00000
 1109.00   -0.00101   0.00000
 1109.10   -0.00101   0.00000
 1109.20   -0.00102   0.00000
 1109.30   -0.00102   0.00000
 1109.40   -0.00102   0.00000
 1109.50   -0.00103   0.00000
 1109.60   -0.00103   0.00000
 1109.70   -0.00103   0.00000
 1109.80   -0.00104   0.00000
 1109.90   -0.00104   0.00000
 1110.00   -0.00104   0.00000
 1110.10   -0.00105   0.00000
 1110.20   -0.00105   0.00000
 1110.30   -0.00105   0.00000
 1110.40   -0.00106   0.00000
 1110.50   -0.00106   0.00000
 1110.60   -0.00106   0.00000
 1110.70   -0.00107   0.00000
 1110.80   -0.00107   0.00000
 1110.90   -0.00107   0.00000
 1111.00   -0.00108   0.00000
 1111.10   -0.00108   0.00000
 1111.20   -0.00108   0.00000
 1111.30   -0.00109   0.00000
 1111.40   -0.00109   0.00000
 1111.50   -0.00109   0.00000
 1111.60   -0.00110   0.00000
 1111.70   -0.00110   0.00000
 1111.80   -0.00110   0.00000
 1111.90   -0.00111   0.00000
 1112.00   -0.00111   0.00000
 1112.10   -0.00111   0.00000
 1112.20   -0.00112   0.00000
 1112.30   -0.00112   0.00000
 1112.40   -0.00112   0.00000
 1112.50   -0.00113   0.00000
 1112.60   -0.00113   0.00000
 1112.70   -0.00113   0.00000
 1112.80   -0.00114   0.00000
 1112.90   -0.00114   0.00000
 1113.00   -0.00114   0.00000
 1113.10   -0.00115   0.00000
 1113.20   -0.00115   0.00000
 1113.30   -0.00116   0.00000
 1113.40   -0.00116   0.00000
 1113.50   -0.00116   0.00000
 1113.60   -0.00117   0.00000
 1113.70   -0.00117   0.00000
 1113.80   -0.00117   0.00000
 1113.90   -0.00118   0.00000
 1114.00   -0.00118   0.00000
 1114.10   -0.00118   0.00000
 1114.20   -0.00119   0.00000
 1114.30   -0.00119   0.00000
 1114.40   -0.00119   0.00000
 1114.50   -0.00120   0.00000
 1114.60   -0.00120   0.00000
 1114.70   -0.00120   0.00000
 1114.80   -0.00121   0.00000
 1114.90   -0.00121   0.00000
 1115.00   -0.00121   0.00000
 1115.10   -0.00122   0.00000
 1115.20   -0.00122   0.00000
 1115.30   -0.00122   0.00000
 1115.40   -0.00123   0.00000
 1115.50   -0.00123   0.00000
 1115.60   -0.00124   0.00000
 1115.70   -0.00124   0.00000
 1115.80   -0.00124   0.00000
 1115.90   -0.00125   0.00000
 1116.00   -0.00125   0.00000
 1116.10   -0.00125   0.00000
 1116.20   -0.00126   0.00000
 1116.30   -0.00126   0.00000
 1116.40   -0.00126   0.00000
 1116.50   -0.00127   0.00000
 1116.60   -0.00127   0.00000
 1116.70   -0.00127   0.00000
 1116.80   -0.00128   0.00000
 1116.90   -0.00128   0.00000
 1117.00   -0.00128   0.00000
 1117.10   -0.00129   0.00000
 1117.20   -0.00129   0.00000
 1117.30   -0.00130   0.00000
 1117.40   -0.00130   0.00000
 1117.50   -0.00130   0.00000
 1117.60   -0.00131   0.00000
 1117.70   -0.00131   0.00000
 1117.80   -0.00131   0.00000
 1117.90   -0.00132   0.00000
 1118.00   -0.00132   0.00000
 1118.10   -0.00132   0.00000
 1118.20   -0.00133   0.00000
 1118.30   -0.00133   0.00000
 1118.40   -0.00133   0.00000
 1118.50   -0.00134   0.00000
 1118.60   -0.00134   0.00000
 1118.70   -0.00135   0.00000
 1118.80   -0.00135   0.00000
 1118.90   -0.00135   0.00000
 1119.00   -0.00136   0.00000
 1119.10   -0.00136   0.00000
 1119.20   -0.00136   0.00000
 1119.30   -0.00137   0.00000
 1119.40   -0.00137   0.00000
 1119.50   -0.00137   0.00000
 1119.60   -0.00138   0.00000
