   W          E2-(pi0_p)
 (MeV)       Re        Im
 1091.90   -0.20980   0.00148
 1092.00   -0.21080   0.00149
 1092.10   -0.21180   0.00150
 1092.20   -0.21279   0.00151
 1092.30   -0.21379   0.00153
 1092.40   -0.21478   0.00154
 1092.50   -0.21578   0.00155
 1092.60   -0.21677   0.00156
 1092.70   -0.21776   0.00157
 1092.80   -0.21875   0.00158
 1092.90   -0.21974   0.00159
 1093.00   -0.22072   0.00160
 1093.10   -0.22171   0.00161
 1093.20   -0.22269   0.00162
 1093.30   -0.22368   0.00163
 1093.40   -0.22466   0.00164
 1093.50   -0.22564   0.00165
 1093.60   -0.22662   0.00166
 1093.70   -0.22760   0.00167
 1093.80   -0.22857   0.00169
 1093.90   -0.22955   0.00170
 1094.00   -0.23052   0.00171
 1094.10   -0.23150   0.00172
 1094.20   -0.23247   0.00173
 1094.30   -0.23344   0.00174
 1094.40   -0.23441   0.00175
 1094.50   -0.23538   0.00176
 1094.60   -0.23635   0.00177
 1094.70   -0.23731   0.00178
 1094.80   -0.23828   0.00180
 1094.90   -0.23924   0.00181
 1095.00   -0.24021   0.00182
 1095.10   -0.24117   0.00183
 1095.20   -0.24213   0.00184
 1095.30   -0.24309   0.00185
 1095.40   -0.24405   0.00186
 1095.50   -0.24500   0.00187
 1095.60   -0.24596   0.00189
 1095.70   -0.24692   0.00190
 1095.80   -0.24787   0.00191
 1095.90   -0.24882   0.00192
 1096.00   -0.24977   0.00193
 1096.10   -0.25072   0.00194
 1096.20   -0.25167   0.00196
 1096.30   -0.25262   0.00197
 1096.40   -0.25357   0.00198
 1096.50   -0.25451   0.00199
 1096.60   -0.25546   0.00200
 1096.70   -0.25640   0.00201
 1096.80   -0.25734   0.00203
 1096.90   -0.25828   0.00204
 1097.00   -0.25922   0.00205
 1097.10   -0.26016   0.00206
 1097.20   -0.26110   0.00207
 1097.30   -0.26204   0.00208
 1097.40   -0.26297   0.00210
 1097.50   -0.26391   0.00211
 1097.60   -0.26484   0.00212
 1097.70   -0.26577   0.00213
 1097.80   -0.26670   0.00214
 1097.90   -0.26763   0.00216
 1098.00   -0.26856   0.00217
 1098.10   -0.26949   0.00218
 1098.20   -0.27042   0.00219
 1098.30   -0.27134   0.00221
 1098.40   -0.27227   0.00222
 1098.50   -0.27319   0.00223
 1098.60   -0.27411   0.00224
 1098.70   -0.27503   0.00225
 1098.80   -0.27595   0.00227
 1098.90   -0.27687   0.00228
 1099.00   -0.27779   0.00229
 1099.10   -0.27870   0.00230
 1099.20   -0.27962   0.00232
 1099.30   -0.28053   0.00233
 1099.40   -0.28145   0.00234
 1099.50   -0.28236   0.00235
 1099.60   -0.28327   0.00237
 1099.70   -0.28418   0.00238
 1099.80   -0.28509   0.00239
 1099.90   -0.28600   0.00240
 1100.00   -0.28690   0.00242
 1100.10   -0.28781   0.00243
 1100.20   -0.28871   0.00244
 1100.30   -0.28962   0.00246
 1100.40   -0.29052   0.00247
 1100.50   -0.29142   0.00248
 1100.60   -0.29232   0.00249
 1100.70   -0.29322   0.00251
 1100.80   -0.29412   0.00252
 1100.90   -0.29501   0.00253
 1101.00   -0.29591   0.00255
 1101.10   -0.29680   0.00256
 1101.20   -0.29770   0.00257
 1101.30   -0.29859   0.00259
 1101.40   -0.29948   0.00260
 1101.50   -0.30037   0.00261
 1101.60   -0.30126   0.00262
 1101.70   -0.30215   0.00264
 1101.80   -0.30304   0.00265
 1101.90   -0.30392   0.00266
 1102.00   -0.30481   0.00268
 1102.10   -0.30569   0.00269
 1102.20   -0.30657   0.00270
 1102.30   -0.30745   0.00272
 1102.40   -0.30834   0.00273
 1102.50   -0.30921   0.00275
 1102.60   -0.31009   0.00276
 1102.70   -0.31097   0.00277
 1102.80   -0.31185   0.00279
 1102.90   -0.31272   0.00280
 1103.00   -0.31360   0.00281
 1103.10   -0.31447   0.00283
 1103.20   -0.31534   0.00284
 1103.30   -0.31621   0.00285
 1103.40   -0.31708   0.00287
 1103.50   -0.31795   0.00288
 1103.60   -0.31882   0.00290
 1103.70   -0.31969   0.00291
 1103.80   -0.32055   0.00292
 1103.90   -0.32142   0.00294
 1104.00   -0.32228   0.00295
 1104.10   -0.32315   0.00297
 1104.20   -0.32401   0.00298
 1104.30   -0.32487   0.00299
 1104.40   -0.32573   0.00301
 1104.50   -0.32659   0.00302
 1104.60   -0.32744   0.00304
 1104.70   -0.32830   0.00305
 1104.80   -0.32916   0.00306
 1104.90   -0.33001   0.00308
 1105.00   -0.33086   0.00309
 1105.10   -0.33172   0.00311
 1105.20   -0.33257   0.00312
 1105.30   -0.33342   0.00314
 1105.40   -0.33427   0.00315
 1105.50   -0.33512   0.00316
 1105.60   -0.33596   0.00318
 1105.70   -0.33681   0.00319
 1105.80   -0.33766   0.00321
 1105.90   -0.33850   0.00322
 1106.00   -0.33934   0.00324
 1106.10   -0.34018   0.00325
 1106.20   -0.34103   0.00327
 1106.30   -0.34187   0.00328
 1106.40   -0.34271   0.00330
 1106.50   -0.34354   0.00331
 1106.60   -0.34438   0.00333
 1106.70   -0.34522   0.00334
 1106.80   -0.34605   0.00336
 1106.90   -0.34689   0.00337
 1107.00   -0.34772   0.00339
 1107.10   -0.34855   0.00340
 1107.20   -0.34938   0.00342
 1107.30   -0.35021   0.00343
 1107.40   -0.35104   0.00345
 1107.50   -0.35187   0.00346
 1107.60   -0.35270   0.00348
 1107.70   -0.35352   0.00349
 1107.80   -0.35435   0.00351
 1107.90   -0.35517   0.00352
 1108.00   -0.35600   0.00354
 1108.10   -0.35682   0.00355
 1108.20   -0.35764   0.00357
 1108.30   -0.35846   0.00358
 1108.40   -0.35928   0.00360
 1108.50   -0.36010   0.00361
 1108.60   -0.36091   0.00363
 1108.70   -0.36173   0.00364
 1108.80   -0.36255   0.00366
 1108.90   -0.36336   0.00368
 1109.00   -0.36417   0.00369
 1109.10   -0.36499   0.00371
 1109.20   -0.36580   0.00372
 1109.30   -0.36661   0.00374
 1109.40   -0.36742   0.00375
 1109.50   -0.36823   0.00377
 1109.60   -0.36903   0.00379
 1109.70   -0.36984   0.00380
 1109.80   -0.37064   0.00382
 1109.90   -0.37145   0.00383
 1110.00   -0.37225   0.00385
 1110.10   -0.37305   0.00386
 1110.20   -0.37386   0.00388
 1110.30   -0.37466   0.00390
 1110.40   -0.37546   0.00391
 1110.50   -0.37626   0.00393
 1110.60   -0.37705   0.00395
 1110.70   -0.37785   0.00396
 1110.80   -0.37865   0.00398
 1110.90   -0.37944   0.00399
 1111.00   -0.38023   0.00401
 1111.10   -0.38103   0.00403
 1111.20   -0.38182   0.00404
 1111.30   -0.38261   0.00406
 1111.40   -0.38340   0.00408
 1111.50   -0.38419   0.00409
 1111.60   -0.38498   0.00411
 1111.70   -0.38576   0.00412
 1111.80   -0.38655   0.00414
 1111.90   -0.38734   0.00416
 1112.00   -0.38812   0.00417
 1112.10   -0.38890   0.00419
 1112.20   -0.38969   0.00421
 1112.30   -0.39047   0.00422
 1112.40   -0.39125   0.00424
 1112.50   -0.39203   0.00426
 1112.60   -0.39281   0.00428
 1112.70   -0.39358   0.00429
 1112.80   -0.39436   0.00431
 1112.90   -0.39514   0.00433
 1113.00   -0.39591   0.00434
 1113.10   -0.39668   0.00436
 1113.20   -0.39746   0.00438
 1113.30   -0.39823   0.00439
 1113.40   -0.39900   0.00441
 1113.50   -0.39977   0.00443
 1113.60   -0.40054   0.00445
 1113.70   -0.40131   0.00446
 1113.80   -0.40208   0.00448
 1113.90   -0.40284   0.00450
 1114.00   -0.40361   0.00451
 1114.10   -0.40437   0.00453
 1114.20   -0.40514   0.00455
 1114.30   -0.40590   0.00457
 1114.40   -0.40666   0.00458
 1114.50   -0.40742   0.00460
 1114.60   -0.40818   0.00462
 1114.70   -0.40894   0.00464
 1114.80   -0.40970   0.00465
 1114.90   -0.41046   0.00467
 1115.00   -0.41121   0.00469
 1115.10   -0.41197   0.00471
 1115.20   -0.41272   0.00473
 1115.30   -0.41348   0.00474
 1115.40   -0.41423   0.00476
 1115.50   -0.41498   0.00478
 1115.60   -0.41573   0.00480
 1115.70   -0.41648   0.00481
 1115.80   -0.41723   0.00483
 1115.90   -0.41798   0.00485
 1116.00   -0.41872   0.00487
 1116.10   -0.41947   0.00489
 1116.20   -0.42022   0.00490
 1116.30   -0.42096   0.00492
 1116.40   -0.42170   0.00494
 1116.50   -0.42245   0.00496
 1116.60   -0.42319   0.00498
 1116.70   -0.42393   0.00500
 1116.80   -0.42467   0.00501
 1116.90   -0.42541   0.00503
 1117.00   -0.42614   0.00505
 1117.10   -0.42688   0.00507
 1117.20   -0.42762   0.00509
 1117.30   -0.42835   0.00511
 1117.40   -0.42909   0.00512
 1117.50   -0.42982   0.00514
 1117.60   -0.43055   0.00516
 1117.70   -0.43129   0.00518
 1117.80   -0.43202   0.00520
 1117.90   -0.43275   0.00522
 1118.00   -0.43348   0.00524
 1118.10   -0.43420   0.00526
 1118.20   -0.43493   0.00527
 1118.30   -0.43566   0.00529
 1118.40   -0.43638   0.00531
 1118.50   -0.43711   0.00533
 1118.60   -0.43783   0.00535
 1118.70   -0.43855   0.00537
 1118.80   -0.43928   0.00539
 1118.90   -0.44000   0.00541
 1119.00   -0.44072   0.00543
 1119.10   -0.44144   0.00545
 1119.20   -0.44216   0.00546
 1119.30   -0.44287   0.00548
 1119.40   -0.44359   0.00550
 1119.50   -0.44431   0.00552
 1119.60   -0.44502   0.00554
 1119.70   -0.44573   0.00556
 1119.80   -0.44645   0.00558
 1119.90   -0.44716   0.00560
 1120.00   -0.44787   0.00562
 1120.10   -0.44858   0.00564
 1120.20   -0.44929   0.00566
 1120.30   -0.45000   0.00568
 1120.40   -0.45071   0.00570
 1120.50   -0.45141   0.00572
 1120.60   -0.45212   0.00574
 1120.70   -0.45283   0.00576
 1120.80   -0.45353   0.00578
 1120.90   -0.45423   0.00580
 1121.00   -0.45494   0.00582
 1121.10   -0.45564   0.00584
 1121.20   -0.45634   0.00586
 1121.30   -0.45704   0.00588
 1121.40   -0.45774   0.00590
 1121.50   -0.45844   0.00592
 1121.60   -0.45913   0.00594
 1121.70   -0.45983   0.00596
 1121.80   -0.46053   0.00598
 1121.90   -0.46122   0.00600
 1122.00   -0.46192   0.00602
 1122.10   -0.46261   0.00604
 1122.20   -0.46330   0.00606
 1122.30   -0.46399   0.00608
 1122.40   -0.46468   0.00610
 1122.50   -0.46537   0.00612
