   W          M1-(p)
 (MeV)      Re      Im
 1487.0    0.036  -0.002
 1488.0    0.052  -0.002
 1489.0    0.065  -0.003
 1490.0    0.075  -0.004
 1491.0    0.084  -0.004
 1492.0    0.092  -0.004
 1493.0    0.099  -0.005
 1494.0    0.105  -0.005
 1495.0    0.111  -0.006
 1496.0    0.117  -0.006
 1497.0    0.122  -0.007
 1498.0    0.127  -0.007
 1499.0    0.132  -0.007
 1500.0    0.136  -0.008
 1501.0    0.140  -0.008
 1502.0    0.144  -0.008
 1503.0    0.148  -0.009
 1504.0    0.152  -0.009
 1505.0    0.155  -0.010
 1506.0    0.159  -0.010
 1507.0    0.162  -0.010
 1508.0    0.165  -0.011
 1509.0    0.168  -0.011
 1510.0    0.171  -0.011
 1511.0    0.174  -0.012
 1512.0    0.176  -0.012
 1513.0    0.179  -0.013
 1514.0    0.181  -0.013
 1515.0    0.184  -0.014
 1516.0    0.186  -0.014
 1517.0    0.188  -0.014
 1518.0    0.190  -0.015
 1519.0    0.192  -0.015
 1520.0    0.194  -0.016
 1521.0    0.196  -0.016
 1522.0    0.197  -0.017
 1523.0    0.199  -0.017
 1524.0    0.201  -0.018
 1525.0    0.202  -0.018
 1526.0    0.204  -0.019
 1527.0    0.205  -0.019
 1528.0    0.207  -0.020
 1529.0    0.208  -0.020
 1530.0    0.209  -0.021
 1531.0    0.210  -0.021
 1532.0    0.211  -0.022
 1533.0    0.212  -0.022
 1534.0    0.213  -0.023
 1535.0    0.214  -0.023
 1536.0    0.215  -0.024
 1537.0    0.216  -0.024
 1538.0    0.217  -0.025
 1539.0    0.217  -0.026
 1540.0    0.218  -0.026
 1541.0    0.218  -0.027
 1542.0    0.219  -0.028
 1543.0    0.220  -0.028
 1544.0    0.220  -0.029
 1545.0    0.220  -0.030
 1546.0    0.221  -0.030
 1547.0    0.221  -0.031
 1548.0    0.221  -0.032
 1549.0    0.221  -0.032
 1550.0    0.221  -0.033
 1551.0    0.222  -0.034
 1552.0    0.222  -0.035
 1553.0    0.222  -0.036
 1554.0    0.221  -0.036
 1555.0    0.221  -0.037
 1556.0    0.221  -0.038
 1557.0    0.221  -0.039
 1558.0    0.221  -0.040
 1559.0    0.220  -0.041
 1560.0    0.220  -0.042
 1561.0    0.220  -0.043
 1562.0    0.219  -0.043
 1563.0    0.219  -0.044
 1564.0    0.218  -0.045
 1565.0    0.218  -0.046
 1566.0    0.217  -0.048
 1567.0    0.216  -0.049
 1568.0    0.216  -0.050
 1569.0    0.215  -0.051
 1570.0    0.214  -0.052
 1571.0    0.213  -0.053
 1572.0    0.212  -0.054
 1573.0    0.211  -0.055
 1574.0    0.210  -0.057
 1575.0    0.209  -0.058
 1576.0    0.208  -0.059
 1577.0    0.207  -0.061
 1578.0    0.206  -0.062
 1579.0    0.204  -0.063
 1580.0    0.203  -0.065
 1581.0    0.202  -0.066
 1582.0    0.200  -0.068
 1583.0    0.199  -0.069
 1584.0    0.197  -0.071
 1585.0    0.196  -0.072
 1586.0    0.194  -0.074
 1587.0    0.193  -0.076
 1588.0    0.191  -0.077
 1589.0    0.189  -0.079
 1590.0    0.187  -0.081
 1591.0    0.185  -0.083
 1592.0    0.184  -0.085
 1593.0    0.182  -0.086
 1594.0    0.180  -0.088
 1595.0    0.178  -0.090
 1596.0    0.175  -0.092
 1597.0    0.173  -0.095
