   W          M2-(p)
 (MeV)      Re      Im
 1487.0    0.004   0.006
 1488.0    0.008   0.014
 1489.0    0.012   0.021
 1490.0    0.016   0.029
 1491.0    0.020   0.037
 1492.0    0.023   0.045
 1493.0    0.026   0.053
 1494.0    0.029   0.062
 1495.0    0.031   0.071
 1496.0    0.033   0.079
 1497.0    0.035   0.088
 1498.0    0.036   0.097
 1499.0    0.037   0.106
 1500.0    0.037   0.115
 1501.0    0.037   0.124
 1502.0    0.037   0.133
 1503.0    0.036   0.142
 1504.0    0.035   0.151
 1505.0    0.034   0.160
 1506.0    0.032   0.169
 1507.0    0.030   0.177
 1508.0    0.027   0.186
 1509.0    0.025   0.194
 1510.0    0.021   0.202
 1511.0    0.018   0.210
 1512.0    0.014   0.218
 1513.0    0.010   0.226
 1514.0    0.006   0.233
 1515.0    0.001   0.240
 1516.0   -0.004   0.247
 1517.0   -0.009   0.253
 1518.0   -0.014   0.260
 1519.0   -0.020   0.266
 1520.0   -0.026   0.271
 1521.0   -0.032   0.277
 1522.0   -0.038   0.282
 1523.0   -0.044   0.286
 1524.0   -0.050   0.291
 1525.0   -0.056   0.295
 1526.0   -0.063   0.299
 1527.0   -0.069   0.303
 1528.0   -0.076   0.306
 1529.0   -0.082   0.309
 1530.0   -0.089   0.312
 1531.0   -0.095   0.314
 1532.0   -0.102   0.316
 1533.0   -0.108   0.318
 1534.0   -0.115   0.320
 1535.0   -0.121   0.321
 1536.0   -0.128   0.323
 1537.0   -0.134   0.324
 1538.0   -0.140   0.324
 1539.0   -0.147   0.325
 1540.0   -0.153   0.325
 1541.0   -0.159   0.325
 1542.0   -0.165   0.325
 1543.0   -0.171   0.325
 1544.0   -0.177   0.325
 1545.0   -0.182   0.324
 1546.0   -0.188   0.323
 1547.0   -0.194   0.323
 1548.0   -0.199   0.322
 1549.0   -0.205   0.320
 1550.0   -0.210   0.319
 1551.0   -0.215   0.318
 1552.0   -0.220   0.316
 1553.0   -0.225   0.315
 1554.0   -0.230   0.313
 1555.0   -0.235   0.311
 1556.0   -0.240   0.309
 1557.0   -0.244   0.307
 1558.0   -0.249   0.305
 1559.0   -0.253   0.302
 1560.0   -0.258   0.300
 1561.0   -0.262   0.298
 1562.0   -0.266   0.295
 1563.0   -0.270   0.293
 1564.0   -0.274   0.290
 1565.0   -0.278   0.287
 1566.0   -0.282   0.285
 1567.0   -0.286   0.282
 1568.0   -0.290   0.279
 1569.0   -0.293   0.276
 1570.0   -0.297   0.273
 1571.0   -0.300   0.270
 1572.0   -0.303   0.267
 1573.0   -0.307   0.263
 1574.0   -0.310   0.260
 1575.0   -0.313   0.257
 1576.0   -0.316   0.254
 1577.0   -0.319   0.250
 1578.0   -0.322   0.247
 1579.0   -0.325   0.243
 1580.0   -0.327   0.240
 1581.0   -0.330   0.236
 1582.0   -0.333   0.233
 1583.0   -0.335   0.229
 1584.0   -0.338   0.225
 1585.0   -0.340   0.222
 1586.0   -0.343   0.218
 1587.0   -0.345   0.214
 1588.0   -0.347   0.210
 1589.0   -0.349   0.206
 1590.0   -0.351   0.202
 1591.0   -0.353   0.198
 1592.0   -0.355   0.194
 1593.0   -0.357   0.190
 1594.0   -0.359   0.186
 1595.0   -0.360   0.182
 1596.0   -0.362   0.178
 1597.0   -0.364   0.174
 1598.0   -0.365   0.169
 1599.0   -0.367   0.165
 1600.0   -0.368   0.161
 1601.0   -0.369   0.157
 1602.0   -0.370   0.152
 1603.0   -0.372   0.148
 1604.0   -0.373   0.143
 1605.0   -0.374   0.139
 1606.0   -0.375   0.134
 1607.0   -0.375   0.130
 1608.0   -0.376   0.125
 1609.0   -0.377   0.121
 1610.0   -0.377   0.116
 1611.0   -0.378   0.111
 1612.0   -0.378   0.107
 1613.0   -0.379   0.102
 1614.0   -0.379   0.097
 1615.0   -0.379   0.093
 1616.0   -0.379   0.088
 1617.0   -0.379   0.083
 1618.0   -0.379   0.079
 1619.0   -0.379   0.074
 1620.0   -0.379   0.069
 1621.0   -0.378   0.064
 1622.0   -0.378   0.059
 1623.0   -0.377   0.055
 1624.0   -0.377   0.050
 1625.0   -0.376   0.045
 1626.0   -0.375   0.040
 1627.0   -0.374   0.036
 1628.0   -0.373   0.031
 1629.0   -0.372   0.026
 1630.0   -0.371   0.021
 1631.0   -0.369   0.017
 1632.0   -0.368   0.012
 1633.0   -0.366   0.007
 1634.0   -0.365   0.003
 1635.0   -0.363  -0.002
 1636.0   -0.361  -0.006
 1637.0   -0.360  -0.011
 1638.0   -0.358  -0.015
 1639.0   -0.356  -0.020
 1640.0   -0.353  -0.024
 1641.0   -0.351  -0.029
 1642.0   -0.349  -0.033
 1643.0   -0.347  -0.037
 1644.0   -0.344  -0.041
 1645.0   -0.342  -0.046
 1646.0   -0.339  -0.050
 1647.0   -0.336  -0.054
 1648.0   -0.333  -0.058
 1649.0   -0.331  -0.062
 1650.0   -0.328  -0.065
 1651.0   -0.325  -0.069
 1652.0   -0.322  -0.073
 1653.0   -0.319  -0.076
 1654.0   -0.316  -0.080
 1655.0   -0.312  -0.083
 1656.0   -0.309  -0.087
 1657.0   -0.306  -0.090
 1658.0   -0.302  -0.093
 1659.0   -0.299  -0.096
 1660.0   -0.296  -0.099
 1661.0   -0.292  -0.102
 1662.0   -0.289  -0.105
 1663.0   -0.285  -0.108
 1664.0   -0.282  -0.111
 1665.0   -0.278  -0.113
 1666.0   -0.275  -0.116
 1667.0   -0.271  -0.118
 1668.0   -0.267  -0.121
 1669.0   -0.264  -0.123
 1670.0   -0.260  -0.125
 1671.0   -0.256  -0.127
 1672.0   -0.253  -0.129
 1673.0   -0.249  -0.131
 1674.0   -0.246  -0.133
 1675.0   -0.242  -0.135
 1676.0   -0.238  -0.137
 1677.0   -0.235  -0.138
 1678.0   -0.231  -0.140
 1679.0   -0.228  -0.141
 1680.0   -0.224  -0.143
 1681.0   -0.221  -0.144
 1682.0   -0.217  -0.145
 1683.0   -0.214  -0.147
 1684.0   -0.210  -0.148
 1685.0   -0.207  -0.149
 1686.0   -0.203  -0.150
 1687.0   -0.200  -0.151
 1688.0   -0.197  -0.152
 1689.0   -0.193  -0.153
