   W          M3-(p)
 (MeV)      Re      Im
 1711.0   -0.037   0.034
 1712.0   -0.037   0.033
 1713.0   -0.038   0.032
 1714.0   -0.038   0.031
 1715.0   -0.039   0.031
 1716.0   -0.039   0.030
 1717.0   -0.040   0.029
 1718.0   -0.040   0.028
 1719.0   -0.041   0.027
 1720.0   -0.041   0.026
 1721.0   -0.042   0.026
 1722.0   -0.042   0.025
 1723.0   -0.042   0.024
 1724.0   -0.043   0.023
 1725.0   -0.043   0.022
 1726.0   -0.043   0.021
 1727.0   -0.044   0.020
 1728.0   -0.044   0.019
 1729.0   -0.044   0.019
 1730.0   -0.044   0.018
 1731.0   -0.045   0.017
 1732.0   -0.045   0.016
 1733.0   -0.045   0.015
 1734.0   -0.045   0.014
 1735.0   -0.046   0.013
 1736.0   -0.046   0.012
 1737.0   -0.046   0.012
 1738.0   -0.046   0.011
 1739.0   -0.046   0.010
 1740.0   -0.046   0.009
 1741.0   -0.046   0.008
 1742.0   -0.047   0.007
 1743.0   -0.047   0.006
 1744.0   -0.047   0.006
 1745.0   -0.047   0.005
 1746.0   -0.047   0.004
 1747.0   -0.047   0.003
 1748.0   -0.047   0.002
 1749.0   -0.047   0.001
 1750.0   -0.047   0.000
 1751.0   -0.047  -0.001
 1752.0   -0.047  -0.001
 1753.0   -0.047  -0.002
 1754.0   -0.047  -0.003
 1755.0   -0.047  -0.004
 1756.0   -0.047  -0.005
 1757.0   -0.047  -0.006
 1758.0   -0.046  -0.007
 1759.0   -0.046  -0.007
 1760.0   -0.046  -0.008
 1761.0   -0.046  -0.009
 1762.0   -0.046  -0.010
 1763.0   -0.046  -0.011
 1764.0   -0.046  -0.012
 1765.0   -0.046  -0.012
 1766.0   -0.045  -0.013
 1767.0   -0.045  -0.014
 1768.0   -0.045  -0.015
 1769.0   -0.045  -0.016
 1770.0   -0.045  -0.017
 1771.0   -0.045  -0.017
 1772.0   -0.044  -0.018
 1773.0   -0.044  -0.019
 1774.0   -0.044  -0.020
 1775.0   -0.044  -0.021
 1776.0   -0.043  -0.022
 1777.0   -0.043  -0.022
 1778.0   -0.043  -0.023
 1779.0   -0.043  -0.024
 1780.0   -0.042  -0.025
 1781.0   -0.042  -0.026
 1782.0   -0.042  -0.026
 1783.0   -0.041  -0.027
 1784.0   -0.041  -0.028
 1785.0   -0.041  -0.029
 1786.0   -0.040  -0.030
 1787.0   -0.040  -0.030
 1788.0   -0.040  -0.031
 1789.0   -0.039  -0.032
 1790.0   -0.039  -0.033
 1791.0   -0.039  -0.034
 1792.0   -0.038  -0.034
 1793.0   -0.038  -0.035
 1794.0   -0.037  -0.036
 1795.0   -0.037  -0.037
 1796.0   -0.037  -0.037
 1797.0   -0.036  -0.038
 1798.0   -0.036  -0.039
 1799.0   -0.035  -0.040
 1800.0   -0.035  -0.040
 1801.0   -0.034  -0.041
 1802.0   -0.034  -0.042
 1803.0   -0.033  -0.043
 1804.0   -0.033  -0.043
 1805.0   -0.032  -0.044
 1806.0   -0.032  -0.045
 1807.0   -0.031  -0.046
 1808.0   -0.031  -0.046
 1809.0   -0.030  -0.047
 1810.0   -0.030  -0.048
 1811.0   -0.029  -0.048
 1812.0   -0.029  -0.049
 1813.0   -0.028  -0.050
 1814.0   -0.028  -0.050
 1815.0   -0.027  -0.051
 1816.0   -0.026  -0.052
 1817.0   -0.026  -0.052
 1818.0   -0.025  -0.053
 1819.0   -0.025  -0.054
 1820.0   -0.024  -0.054
 1821.0   -0.023  -0.055
 1822.0   -0.023  -0.056
 1823.0   -0.022  -0.056
 1824.0   -0.021  -0.057
 1825.0   -0.021  -0.058
 1826.0   -0.020  -0.058
 1827.0   -0.019  -0.059
 1828.0   -0.019  -0.059
 1829.0   -0.018  -0.060
 1830.0   -0.017  -0.060
 1831.0   -0.017  -0.061
 1832.0   -0.016  -0.062
 1833.0   -0.015  -0.062
 1834.0   -0.015  -0.063
 1835.0   -0.014  -0.063
 1836.0   -0.013  -0.064
 1837.0   -0.013  -0.064
 1838.0   -0.012  -0.065
 1839.0   -0.011  -0.065
 1840.0   -0.010  -0.066
 1841.0   -0.010  -0.066
 1842.0   -0.009  -0.067
 1843.0   -0.008  -0.067
 1844.0   -0.007  -0.068
 1845.0   -0.007  -0.068
 1846.0   -0.006  -0.069
 1847.0   -0.005  -0.069
 1848.0   -0.004  -0.070
 1849.0   -0.004  -0.070
 1850.0   -0.003  -0.070
 1851.0   -0.002  -0.071
 1852.0   -0.001  -0.071
 1853.0    0.000  -0.072
 1854.0    0.000  -0.072
 1855.0    0.001  -0.072
 1856.0    0.002  -0.073
 1857.0    0.003  -0.073
 1858.0    0.004  -0.074
 1859.0    0.004  -0.074
 1860.0    0.005  -0.074
 1861.0    0.006  -0.075
 1862.0    0.007  -0.075
 1863.0    0.007  -0.075
 1864.0    0.008  -0.075
 1865.0    0.009  -0.076
 1866.0    0.010  -0.076
 1867.0    0.011  -0.076
 1868.0    0.011  -0.077
 1869.0    0.012  -0.077
 1870.0    0.013  -0.077
 1871.0    0.014  -0.077
 1872.0    0.015  -0.078
 1873.0    0.016  -0.078
 1874.0    0.016  -0.078
 1875.0    0.017  -0.078
 1876.0    0.018  -0.079
 1877.0    0.019  -0.079
 1878.0    0.020  -0.079
 1879.0    0.020  -0.079
 1880.0    0.021  -0.079
 1881.0    0.022  -0.079
 1882.0    0.023  -0.080
 1883.0    0.024  -0.080
 1884.0    0.024  -0.080
 1885.0    0.025  -0.080
 1886.0    0.026  -0.080
 1887.0    0.027  -0.080
 1888.0    0.027  -0.080
 1889.0    0.028  -0.081
 1890.0    0.029  -0.081
 1891.0    0.030  -0.081
 1892.0    0.031  -0.081
 1893.0    0.031  -0.081
 1894.0    0.032  -0.081
 1895.0    0.033  -0.081
 1896.0    0.034  -0.081
 1897.0    0.034  -0.081
 1898.0    0.035  -0.081
 1899.0    0.036  -0.081
 1900.0    0.037  -0.081
 1901.0    0.038  -0.081
 1902.0    0.038  -0.081
 1903.0    0.039  -0.082
 1904.0    0.040  -0.082
 1905.0    0.041  -0.082
 1906.0    0.041  -0.082
 1907.0    0.042  -0.082
 1908.0    0.043  -0.082
 1909.0    0.043  -0.082
 1910.0    0.044  -0.082
 1911.0    0.045  -0.082
 1912.0    0.046  -0.082
 1913.0    0.046  -0.082
 1914.0    0.047  -0.081
 1915.0    0.048  -0.081
 1916.0    0.048  -0.081
 1917.0    0.049  -0.081
 1918.0    0.050  -0.081
 1919.0    0.051  -0.081
 1920.0    0.051  -0.081
 1921.0    0.052  -0.081
 1922.0    0.053  -0.081
 1923.0    0.053  -0.081
 1924.0    0.054  -0.081
 1925.0    0.055  -0.081
 1926.0    0.055  -0.081
 1927.0    0.056  -0.081
 1928.0    0.057  -0.081
 1929.0    0.057  -0.081
 1930.0    0.058  -0.080
 1931.0    0.059  -0.080
 1932.0    0.059  -0.080
 1933.0    0.060  -0.080
 1934.0    0.061  -0.080
 1935.0    0.061  -0.080
 1936.0    0.062  -0.080
 1937.0    0.063  -0.080
 1938.0    0.063  -0.080
 1939.0    0.064  -0.080
 1940.0    0.064  -0.079
 1941.0    0.065  -0.079
 1942.0    0.066  -0.079
 1943.0    0.066  -0.079
 1944.0    0.067  -0.079
 1945.0    0.067  -0.079
 1946.0    0.068  -0.079
 1947.0    0.069  -0.079
 1948.0    0.069  -0.078
 1949.0    0.070  -0.078
 1950.0    0.070  -0.078
 1951.0    0.071  -0.078
 1952.0    0.072  -0.078
 1953.0    0.072  -0.078
 1954.0    0.073  -0.078
 1955.0    0.073  -0.077
 1956.0    0.074  -0.077
 1957.0    0.074  -0.077
