   W          E2+(p)
 (MeV)      Re      Im
 1487.0    0.000   0.000
 1488.0   -0.001   0.000
 1489.0   -0.001   0.000
 1490.0   -0.001   0.000
 1491.0   -0.001   0.000
 1492.0   -0.002   0.000
 1493.0   -0.002   0.000
 1494.0   -0.002   0.000
 1495.0   -0.003   0.000
 1496.0   -0.003   0.000
 1497.0   -0.003   0.000
 1498.0   -0.003  -0.001
 1499.0   -0.004  -0.001
 1500.0   -0.004  -0.001
 1501.0   -0.004  -0.001
 1502.0   -0.005  -0.001
 1503.0   -0.005  -0.001
 1504.0   -0.005  -0.001
 1505.0   -0.006  -0.001
 1506.0   -0.006  -0.001
 1507.0   -0.006  -0.001
 1508.0   -0.007  -0.001
 1509.0   -0.007  -0.001
 1510.0   -0.007  -0.001
 1511.0   -0.008  -0.001
 1512.0   -0.008  -0.001
 1513.0   -0.008  -0.001
 1514.0   -0.008  -0.002
 1515.0   -0.009  -0.002
 1516.0   -0.009  -0.002
 1517.0   -0.009  -0.002
 1518.0   -0.010  -0.002
 1519.0   -0.010  -0.002
 1520.0   -0.010  -0.002
 1521.0   -0.011  -0.002
 1522.0   -0.011  -0.002
 1523.0   -0.011  -0.002
 1524.0   -0.012  -0.002
 1525.0   -0.012  -0.003
 1526.0   -0.012  -0.003
 1527.0   -0.013  -0.003
 1528.0   -0.013  -0.003
 1529.0   -0.014  -0.003
 1530.0   -0.014  -0.003
 1531.0   -0.014  -0.003
 1532.0   -0.015  -0.003
 1533.0   -0.015  -0.003
 1534.0   -0.015  -0.004
 1535.0   -0.016  -0.004
 1536.0   -0.016  -0.004
 1537.0   -0.016  -0.004
 1538.0   -0.017  -0.004
 1539.0   -0.017  -0.004
 1540.0   -0.017  -0.004
 1541.0   -0.018  -0.005
 1542.0   -0.018  -0.005
 1543.0   -0.019  -0.005
 1544.0   -0.019  -0.005
 1545.0   -0.019  -0.005
 1546.0   -0.020  -0.005
 1547.0   -0.020  -0.006
 1548.0   -0.020  -0.006
 1549.0   -0.021  -0.006
 1550.0   -0.021  -0.006
 1551.0   -0.022  -0.006
 1552.0   -0.022  -0.007
 1553.0   -0.022  -0.007
 1554.0   -0.023  -0.007
 1555.0   -0.023  -0.007
 1556.0   -0.024  -0.008
 1557.0   -0.024  -0.008
 1558.0   -0.024  -0.008
 1559.0   -0.025  -0.008
 1560.0   -0.025  -0.009
 1561.0   -0.026  -0.009
 1562.0   -0.026  -0.009
 1563.0   -0.026  -0.009
 1564.0   -0.027  -0.010
 1565.0   -0.027  -0.010
 1566.0   -0.028  -0.010
 1567.0   -0.028  -0.011
 1568.0   -0.028  -0.011
 1569.0   -0.029  -0.011
 1570.0   -0.029  -0.012
 1571.0   -0.030  -0.012
 1572.0   -0.030  -0.012
 1573.0   -0.030  -0.013
 1574.0   -0.031  -0.013
 1575.0   -0.031  -0.013
 1576.0   -0.032  -0.014
 1577.0   -0.032  -0.014
 1578.0   -0.032  -0.015
 1579.0   -0.033  -0.015
 1580.0   -0.033  -0.015
 1581.0   -0.034  -0.016
 1582.0   -0.034  -0.016
 1583.0   -0.034  -0.017
 1584.0   -0.035  -0.017
 1585.0   -0.035  -0.018
 1586.0   -0.036  -0.018
 1587.0   -0.036  -0.019
 1588.0   -0.036  -0.019
 1589.0   -0.037  -0.020
 1590.0   -0.037  -0.020
 1591.0   -0.038  -0.021
 1592.0   -0.038  -0.021
 1593.0   -0.038  -0.022
 1594.0   -0.039  -0.023
 1595.0   -0.039  -0.023
 1596.0   -0.039  -0.024
 1597.0   -0.040  -0.024
 1598.0   -0.040  -0.025
 1599.0   -0.040  -0.026
 1600.0   -0.041  -0.026
 1601.0   -0.041  -0.027
 1602.0   -0.041  -0.028
 1603.0   -0.042  -0.029
 1604.0   -0.042  -0.029
 1605.0   -0.042  -0.030
 1606.0   -0.042  -0.031
 1607.0   -0.043  -0.032
 1608.0   -0.043  -0.032
 1609.0   -0.043  -0.033
 1610.0   -0.043  -0.034
 1611.0   -0.043  -0.035
 1612.0   -0.044  -0.036
 1613.0   -0.044  -0.037
 1614.0   -0.044  -0.037
 1615.0   -0.044  -0.038
 1616.0   -0.044  -0.039
 1617.0   -0.044  -0.040
 1618.0   -0.044  -0.041
 1619.0   -0.044  -0.042
 1620.0   -0.044  -0.043
 1621.0   -0.044  -0.044
 1622.0   -0.044  -0.045
 1623.0   -0.044  -0.046
 1624.0   -0.044  -0.047
 1625.0   -0.044  -0.048
 1626.0   -0.044  -0.049
 1627.0   -0.044  -0.050
 1628.0   -0.043  -0.051
 1629.0   -0.043  -0.052
 1630.0   -0.043  -0.053
 1631.0   -0.043  -0.054
 1632.0   -0.042  -0.055
 1633.0   -0.042  -0.056
 1634.0   -0.042  -0.057
 1635.0   -0.041  -0.058
 1636.0   -0.041  -0.059
 1637.0   -0.040  -0.060
 1638.0   -0.040  -0.061
 1639.0   -0.039  -0.062
 1640.0   -0.039  -0.063
 1641.0   -0.038  -0.063
 1642.0   -0.038  -0.064
 1643.0   -0.037  -0.065
 1644.0   -0.036  -0.066
 1645.0   -0.036  -0.067
 1646.0   -0.035  -0.068
 1647.0   -0.034  -0.069
 1648.0   -0.033  -0.070
 1649.0   -0.032  -0.070
 1650.0   -0.032  -0.071
 1651.0   -0.031  -0.072
 1652.0   -0.030  -0.073
 1653.0   -0.029  -0.073
 1654.0   -0.028  -0.074
 1655.0   -0.027  -0.075
 1656.0   -0.026  -0.075
 1657.0   -0.025  -0.076
 1658.0   -0.024  -0.076
 1659.0   -0.023  -0.077
 1660.0   -0.022  -0.077
 1661.0   -0.021  -0.078
