   W           M1+(p)
 (MeV)       Re      Im
 1698.0     1.348  -0.018
 1699.0     1.352  -0.014
 1700.0     1.356  -0.009
 1701.0     1.360  -0.004
 1702.0     1.363   0.000
 1703.0     1.367   0.005
 1704.0     1.371   0.010
 1705.0     1.374   0.015
 1706.0     1.378   0.019
 1707.0     1.381   0.024
 1708.0     1.385   0.029
 1709.0     1.388   0.034
 1710.0     1.392   0.039
 1711.0     1.395   0.044
 1712.0     1.399   0.049
 1713.0     1.402   0.054
 1714.0     1.405   0.059
 1715.0     1.408   0.064
 1716.0     1.411   0.069
 1717.0     1.414   0.074
 1718.0     1.417   0.079
 1719.0     1.420   0.085
 1720.0     1.423   0.090
 1721.0     1.426   0.095
 1722.0     1.429   0.100
 1723.0     1.432   0.106
 1724.0     1.435   0.111
 1725.0     1.437   0.116
 1726.0     1.440   0.121
 1727.0     1.443   0.127
 1728.0     1.445   0.132
 1729.0     1.448   0.138
 1730.0     1.450   0.143
 1731.0     1.453   0.149
 1732.0     1.455   0.154
 1733.0     1.457   0.160
 1734.0     1.460   0.165
 1735.0     1.462   0.171
 1736.0     1.464   0.176
 1737.0     1.466   0.182
 1738.0     1.468   0.187
 1739.0     1.470   0.193
 1740.0     1.472   0.199
 1741.0     1.474   0.204
 1742.0     1.476   0.210
 1743.0     1.478   0.216
 1744.0     1.480   0.221
 1745.0     1.481   0.227
 1746.0     1.483   0.233
 1747.0     1.485   0.239
 1748.0     1.486   0.244
 1749.0     1.488   0.250
 1750.0     1.489   0.256
 1751.0     1.490   0.262
 1752.0     1.492   0.268
 1753.0     1.493   0.274
 1754.0     1.494   0.280
 1755.0     1.495   0.285
 1756.0     1.496   0.291
 1757.0     1.497   0.297
 1758.0     1.498   0.303
 1759.0     1.499   0.309
 1760.0     1.500   0.315
 1761.0     1.501   0.321
 1762.0     1.502   0.327
 1763.0     1.502   0.333
 1764.0     1.503   0.339
 1765.0     1.504   0.345
 1766.0     1.504   0.351
 1767.0     1.505   0.357
 1768.0     1.505   0.363
 1769.0     1.505   0.369
 1770.0     1.506   0.375
 1771.0     1.506   0.381
 1772.0     1.506   0.387
 1773.0     1.506   0.393
 1774.0     1.506   0.399
 1775.0     1.506   0.405
 1776.0     1.506   0.411
 1777.0     1.506   0.417
 1778.0     1.506   0.423
 1779.0     1.505   0.429
 1780.0     1.505   0.435
 1781.0     1.505   0.441
 1782.0     1.504   0.447
 1783.0     1.504   0.453
 1784.0     1.503   0.459
 1785.0     1.503   0.465
 1786.0     1.502   0.471
 1787.0     1.501   0.477
 1788.0     1.500   0.483
 1789.0     1.499   0.489
 1790.0     1.498   0.495
 1791.0     1.497   0.501
 1792.0     1.496   0.507
 1793.0     1.495   0.513
 1794.0     1.494   0.519
 1795.0     1.493   0.525
 1796.0     1.491   0.531
 1797.0     1.490   0.537
 1798.0     1.488   0.543
 1799.0     1.487   0.549
 1800.0     1.485   0.555
 1801.0     1.484   0.560
 1802.0     1.482   0.566
 1803.0     1.480   0.572
 1804.0     1.478   0.578
 1805.0     1.477   0.584
 1806.0     1.475   0.589
 1807.0     1.473   0.595
 1808.0     1.471   0.601
 1809.0     1.468   0.607
 1810.0     1.466   0.612
 1811.0     1.464   0.618
 1812.0     1.462   0.623
 1813.0     1.459   0.629
 1814.0     1.457   0.635
 1815.0     1.454   0.640
 1816.0     1.452   0.646
 1817.0     1.449   0.651
 1818.0     1.446   0.657
 1819.0     1.444   0.662
 1820.0     1.441   0.667
 1821.0     1.438   0.673
 1822.0     1.435   0.678
 1823.0     1.432   0.683
 1824.0     1.429   0.689
 1825.0     1.426   0.694
 1826.0     1.423   0.699
 1827.0     1.420   0.704
 1828.0     1.417   0.709
 1829.0     1.413   0.714
 1830.0     1.410   0.719
 1831.0     1.406   0.724
 1832.0     1.403   0.729
 1833.0     1.400   0.734
 1834.0     1.396   0.739
 1835.0     1.392   0.744
 1836.0     1.389   0.749
 1837.0     1.385   0.753
 1838.0     1.381   0.758
 1839.0     1.377   0.763
 1840.0     1.374   0.767
 1841.0     1.370   0.772
 1842.0     1.366   0.776
 1843.0     1.362   0.781
 1844.0     1.358   0.785
 1845.0     1.353   0.789
 1846.0     1.349   0.794
 1847.0     1.345   0.798
 1848.0     1.341   0.802
 1849.0     1.337   0.806
 1850.0     1.332   0.810
 1851.0     1.328   0.815
 1852.0     1.324   0.819
 1853.0     1.319   0.822
 1854.0     1.315   0.826
 1855.0     1.310   0.830
 1856.0     1.306   0.834
 1857.0     1.301   0.838
 1858.0     1.296   0.841
 1859.0     1.292   0.845
 1860.0     1.287   0.849
 1861.0     1.282   0.852
 1862.0     1.278   0.855
 1863.0     1.273   0.859
 1864.0     1.268   0.862
 1865.0     1.263   0.865
 1866.0     1.258   0.869
 1867.0     1.253   0.872
 1868.0     1.248   0.875
 1869.0     1.243   0.878
 1870.0     1.238   0.881
 1871.0     1.233   0.884
 1872.0     1.228   0.887
 1873.0     1.223   0.889
 1874.0     1.218   0.892
 1875.0     1.213   0.895
 1876.0     1.208   0.897
 1877.0     1.203   0.900
 1878.0     1.198   0.903
 1879.0     1.193   0.905
 1880.0     1.187   0.907
 1881.0     1.182   0.910
 1882.0     1.177   0.912
 1883.0     1.172   0.914
 1884.0     1.167   0.916
 1885.0     1.161   0.918
 1886.0     1.156   0.920
 1887.0     1.151   0.922
 1888.0     1.146   0.924
 1889.0     1.140   0.926
 1890.0     1.135   0.928
 1891.0     1.130   0.929
 1892.0     1.124   0.931
 1893.0     1.119   0.932
 1894.0     1.114   0.934
 1895.0     1.108   0.935
 1896.0     1.103   0.937
 1897.0     1.098   0.938
 1898.0     1.092   0.939
 1899.0     1.087   0.941
 1900.0     1.082   0.942
 1901.0     1.076   0.943
 1902.0     1.071   0.944
 1903.0     1.066   0.945
 1904.0     1.060   0.946
 1905.0     1.055   0.947
 1906.0     1.050   0.947
 1907.0     1.044   0.948
 1908.0     1.039   0.949
 1909.0     1.034   0.949
 1910.0     1.029   0.950
 1911.0     1.023   0.951
 1912.0     1.018   0.951
 1913.0     1.013   0.951
 1914.0     1.008   0.952
 1915.0     1.002   0.952
 1916.0     0.997   0.952
 1917.0     0.992   0.952
 1918.0     0.987   0.953
 1919.0     0.982   0.953
