   W          E0+(p)
 (MeV)      Re      Im
 1702.0   -2.477   2.283
 1703.0   -2.470   2.278
 1704.0   -2.464   2.274
 1705.0   -2.457   2.270
 1706.0   -2.451   2.265
 1707.0   -2.445   2.260
 1708.0   -2.440   2.255
 1709.0   -2.434   2.250
 1710.0   -2.429   2.245
 1711.0   -2.424   2.240
 1712.0   -2.419   2.234
 1713.0   -2.414   2.228
 1714.0   -2.409   2.222
 1715.0   -2.405   2.217
 1716.0   -2.400   2.210
 1717.0   -2.396   2.204
 1718.0   -2.392   2.198
 1719.0   -2.387   2.192
 1720.0   -2.383   2.185
 1721.0   -2.379   2.178
 1722.0   -2.376   2.172
 1723.0   -2.372   2.165
 1724.0   -2.368   2.158
 1725.0   -2.364   2.151
 1726.0   -2.361   2.144
 1727.0   -2.357   2.136
 1728.0   -2.354   2.129
 1729.0   -2.350   2.122
 1730.0   -2.347   2.114
 1731.0   -2.343   2.107
 1732.0   -2.340   2.099
 1733.0   -2.337   2.091
 1734.0   -2.333   2.084
 1735.0   -2.330   2.076
 1736.0   -2.327   2.068
 1737.0   -2.324   2.060
 1738.0   -2.320   2.052
 1739.0   -2.317   2.044
 1740.0   -2.314   2.036
 1741.0   -2.311   2.028
 1742.0   -2.308   2.020
 1743.0   -2.305   2.012
 1744.0   -2.302   2.004
 1745.0   -2.298   1.996
 1746.0   -2.295   1.987
 1747.0   -2.292   1.979
 1748.0   -2.289   1.971
 1749.0   -2.286   1.962
 1750.0   -2.283   1.954
 1751.0   -2.280   1.946
 1752.0   -2.277   1.937
 1753.0   -2.274   1.929
 1754.0   -2.271   1.921
 1755.0   -2.268   1.912
 1756.0   -2.265   1.904
 1757.0   -2.262   1.895
 1758.0   -2.259   1.887
 1759.0   -2.256   1.878
 1760.0   -2.253   1.870
 1761.0   -2.250   1.861
 1762.0   -2.246   1.853
 1763.0   -2.243   1.845
 1764.0   -2.240   1.836
 1765.0   -2.237   1.828
 1766.0   -2.234   1.819
 1767.0   -2.231   1.811
 1768.0   -2.228   1.802
 1769.0   -2.225   1.794
 1770.0   -2.222   1.785
 1771.0   -2.219   1.777
 1772.0   -2.216   1.768
 1773.0   -2.213   1.760
 1774.0   -2.210   1.751
 1775.0   -2.207   1.743
 1776.0   -2.204   1.734
 1777.0   -2.201   1.726
 1778.0   -2.198   1.717
 1779.0   -2.195   1.709
 1780.0   -2.192   1.701
 1781.0   -2.189   1.692
 1782.0   -2.186   1.684
 1783.0   -2.183   1.675
 1784.0   -2.180   1.667
 1785.0   -2.177   1.659
 1786.0   -2.174   1.650
 1787.0   -2.171   1.642
 1788.0   -2.168   1.633
 1789.0   -2.165   1.625
 1790.0   -2.163   1.617
 1791.0   -2.160   1.608
 1792.0   -2.157   1.600
 1793.0   -2.154   1.591
 1794.0   -2.151   1.583
 1795.0   -2.148   1.575
 1796.0   -2.145   1.566
 1797.0   -2.142   1.558
 1798.0   -2.140   1.550
 1799.0   -2.137   1.541
 1800.0   -2.134   1.533
 1801.0   -2.131   1.525
 1802.0   -2.128   1.516
 1803.0   -2.126   1.508
 1804.0   -2.123   1.500
 1805.0   -2.120   1.491
 1806.0   -2.117   1.483
 1807.0   -2.115   1.474
 1808.0   -2.112   1.466
 1809.0   -2.109   1.458
 1810.0   -2.107   1.449
 1811.0   -2.104   1.441
 1812.0   -2.101   1.432
 1813.0   -2.099   1.424
 1814.0   -2.096   1.415
 1815.0   -2.093   1.407
 1816.0   -2.091   1.398
 1817.0   -2.088   1.390
 1818.0   -2.086   1.381
 1819.0   -2.083   1.373
 1820.0   -2.081   1.364
 1821.0   -2.078   1.355
 1822.0   -2.076   1.347
 1823.0   -2.073   1.338
 1824.0   -2.071   1.329
 1825.0   -2.068   1.320
 1826.0   -2.066   1.311
 1827.0   -2.063   1.303
 1828.0   -2.061   1.294
 1829.0   -2.059   1.285
 1830.0   -2.056   1.276
 1831.0   -2.054   1.266
 1832.0   -2.051   1.257
 1833.0   -2.049   1.248
 1834.0   -2.047   1.239
 1835.0   -2.044   1.229
 1836.0   -2.042   1.220
 1837.0   -2.040   1.210
 1838.0   -2.037   1.201
 1839.0   -2.035   1.191
 1840.0   -2.032   1.181
 1841.0   -2.030   1.171
