   W          M2+(p)
 (MeV)      Re      Im
 1688.0    0.171  -0.262
 1689.0    0.175  -0.260
 1690.0    0.179  -0.258
 1691.0    0.183  -0.256
 1692.0    0.186  -0.254
 1693.0    0.190  -0.252
 1694.0    0.193  -0.250
 1695.0    0.197  -0.248
 1696.0    0.200  -0.246
 1697.0    0.203  -0.244
 1698.0    0.207  -0.242
 1699.0    0.210  -0.239
 1700.0    0.213  -0.237
 1701.0    0.216  -0.234
 1702.0    0.219  -0.232
 1703.0    0.222  -0.230
 1704.0    0.224  -0.227
 1705.0    0.227  -0.225
 1706.0    0.230  -0.222
 1707.0    0.232  -0.220
 1708.0    0.235  -0.217
 1709.0    0.237  -0.215
 1710.0    0.239  -0.212
 1711.0    0.242  -0.210
 1712.0    0.244  -0.207
 1713.0    0.246  -0.204
 1714.0    0.248  -0.202
 1715.0    0.250  -0.199
 1716.0    0.252  -0.197
 1717.0    0.254  -0.194
 1718.0    0.256  -0.191
 1719.0    0.258  -0.189
 1720.0    0.259  -0.186
 1721.0    0.261  -0.184
 1722.0    0.263  -0.181
 1723.0    0.264  -0.179
 1724.0    0.266  -0.176
 1725.0    0.267  -0.174
 1726.0    0.269  -0.171
 1727.0    0.270  -0.168
 1728.0    0.271  -0.166
 1729.0    0.273  -0.163
 1730.0    0.274  -0.161
 1731.0    0.275  -0.158
 1732.0    0.276  -0.156
 1733.0    0.277  -0.153
 1734.0    0.279  -0.151
 1735.0    0.280  -0.149
 1736.0    0.281  -0.146
 1737.0    0.282  -0.144
 1738.0    0.283  -0.141
 1739.0    0.283  -0.139
 1740.0    0.284  -0.137
 1741.0    0.285  -0.134
 1742.0    0.286  -0.132
 1743.0    0.287  -0.130
 1744.0    0.288  -0.127
 1745.0    0.288  -0.125
 1746.0    0.289  -0.123
 1747.0    0.290  -0.120
 1748.0    0.290  -0.118
 1749.0    0.291  -0.116
 1750.0    0.292  -0.114
 1751.0    0.292  -0.111
 1752.0    0.293  -0.109
 1753.0    0.293  -0.107
 1754.0    0.294  -0.105
 1755.0    0.294  -0.103
 1756.0    0.295  -0.100
 1757.0    0.295  -0.098
 1758.0    0.295  -0.096
 1759.0    0.296  -0.094
 1760.0    0.296  -0.092
 1761.0    0.297  -0.090
 1762.0    0.297  -0.088
 1763.0    0.297  -0.086
 1764.0    0.297  -0.084
 1765.0    0.298  -0.082
 1766.0    0.298  -0.080
 1767.0    0.298  -0.078
 1768.0    0.298  -0.076
 1769.0    0.299  -0.074
 1770.0    0.299  -0.072
 1771.0    0.299  -0.070
 1772.0    0.299  -0.068
 1773.0    0.299  -0.066
 1774.0    0.299  -0.064
 1775.0    0.300  -0.062
 1776.0    0.300  -0.060
 1777.0    0.300  -0.058
 1778.0    0.300  -0.056
 1779.0    0.300  -0.055
 1780.0    0.300  -0.053
 1781.0    0.300  -0.051
 1782.0    0.300  -0.049
 1783.0    0.300  -0.047
 1784.0    0.300  -0.045
 1785.0    0.300  -0.044
 1786.0    0.300  -0.042
 1787.0    0.300  -0.040
 1788.0    0.300  -0.038
 1789.0    0.300  -0.037
 1790.0    0.300  -0.035
 1791.0    0.300  -0.033
 1792.0    0.299  -0.031
 1793.0    0.299  -0.030
 1794.0    0.299  -0.028
 1795.0    0.299  -0.026
 1796.0    0.299  -0.025
 1797.0    0.299  -0.023
 1798.0    0.299  -0.021
 1799.0    0.298  -0.020
 1800.0    0.298  -0.018
 1801.0    0.298  -0.016
 1802.0    0.298  -0.015
 1803.0    0.297  -0.013
 1804.0    0.297  -0.011
 1805.0    0.297  -0.010
 1806.0    0.297  -0.008
 1807.0    0.296  -0.007
 1808.0    0.296  -0.005
 1809.0    0.296  -0.003
 1810.0    0.296  -0.002
 1811.0    0.295   0.000
 1812.0    0.295   0.001
 1813.0    0.295   0.003
 1814.0    0.294   0.004
 1815.0    0.294   0.006
 1816.0    0.294   0.007
 1817.0    0.293   0.009
 1818.0    0.293   0.010
 1819.0    0.292   0.012
 1820.0    0.292   0.013
 1821.0    0.292   0.015
 1822.0    0.291   0.016
 1823.0    0.291   0.018
 1824.0    0.290   0.019
 1825.0    0.290   0.020
 1826.0    0.289   0.022
 1827.0    0.289   0.023
 1828.0    0.289   0.025
 1829.0    0.288   0.026
 1830.0    0.288   0.027
 1831.0    0.287   0.029
 1832.0    0.287   0.030
 1833.0    0.286   0.032
 1834.0    0.286   0.033
 1835.0    0.285   0.034
 1836.0    0.284   0.036
 1837.0    0.284   0.037
 1838.0    0.283   0.038
 1839.0    0.283   0.039
 1840.0    0.282   0.041
 1841.0    0.282   0.042
 1842.0    0.281   0.043
 1843.0    0.280   0.045
 1844.0    0.280   0.046
 1845.0    0.279   0.047
 1846.0    0.279   0.048
 1847.0    0.278   0.050
 1848.0    0.277   0.051
 1849.0    0.277   0.052
 1850.0    0.276   0.053
 1851.0    0.275   0.054
 1852.0    0.275   0.056
 1853.0    0.274   0.057
 1854.0    0.273   0.058
 1855.0    0.273   0.059
 1856.0    0.272   0.060
 1857.0    0.271   0.061
 1858.0    0.271   0.062
 1859.0    0.270   0.064
 1860.0    0.269   0.065
 1861.0    0.268   0.066
 1862.0    0.268   0.067
 1863.0    0.267   0.068
 1864.0    0.266   0.069
 1865.0    0.265   0.070
 1866.0    0.265   0.071
 1867.0    0.264   0.072
 1868.0    0.263   0.073
 1869.0    0.262   0.074
 1870.0    0.262   0.075
 1871.0    0.261   0.076
 1872.0    0.260   0.077
 1873.0    0.259   0.078
 1874.0    0.258   0.079
 1875.0    0.258   0.080
 1876.0    0.257   0.081
 1877.0    0.256   0.082
 1878.0    0.255   0.083
 1879.0    0.254   0.084
 1880.0    0.253   0.085
 1881.0    0.253   0.086
 1882.0    0.252   0.086
 1883.0    0.251   0.087
 1884.0    0.250   0.088
 1885.0    0.249   0.089
 1886.0    0.248   0.090
 1887.0    0.247   0.091
 1888.0    0.247   0.092
 1889.0    0.246   0.092
 1890.0    0.245   0.093
 1891.0    0.244   0.094
 1892.0    0.243   0.095
 1893.0    0.242   0.095
 1894.0    0.241   0.096
 1895.0    0.240   0.097
 1896.0    0.240   0.098
 1897.0    0.239   0.098
 1898.0    0.238   0.099
 1899.0    0.237   0.100
 1900.0    0.236   0.101
 1901.0    0.235   0.101
 1902.0    0.234   0.102
 1903.0    0.233   0.103
 1904.0    0.232   0.103
 1905.0    0.231   0.104
 1906.0    0.230   0.104
 1907.0    0.230   0.105
 1908.0    0.229   0.106
 1909.0    0.228   0.106
 1910.0    0.227   0.107
 1911.0    0.226   0.107
 1912.0    0.225   0.108
 1913.0    0.224   0.109
 1914.0    0.223   0.109
 1915.0    0.222   0.110
 1916.0    0.221   0.110
 1917.0    0.220   0.111
 1918.0    0.219   0.111
 1919.0    0.218   0.112
 1920.0    0.217   0.112
 1921.0    0.217   0.113
 1922.0    0.216   0.113
 1923.0    0.215   0.113
 1924.0    0.214   0.114
 1925.0    0.213   0.114
 1926.0    0.212   0.115
 1927.0    0.211   0.115
 1928.0    0.210   0.116
 1929.0    0.209   0.116
 1930.0    0.208   0.116
 1931.0    0.207   0.117
 1932.0    0.206   0.117
 1933.0    0.205   0.117
 1934.0    0.205   0.118
 1935.0    0.204   0.118
 1936.0    0.203   0.118
 1937.0    0.202   0.119
 1938.0    0.201   0.119
 1939.0    0.200   0.119
 1940.0    0.199   0.120
 1941.0    0.198   0.120
 1942.0    0.197   0.120
 1943.0    0.196   0.120
 1944.0    0.195   0.121
 1945.0    0.194   0.121
 1946.0    0.194   0.121
 1947.0    0.193   0.121
 1948.0    0.192   0.122
 1949.0    0.191   0.122
 1950.0    0.190   0.122
 1951.0    0.189   0.122
 1952.0    0.188   0.122
 1953.0    0.187   0.123
 1954.0    0.187   0.123
 1955.0    0.186   0.123
 1956.0    0.185   0.123
 1957.0    0.184   0.123
 1958.0    0.183   0.123
 1959.0    0.182   0.123
 1960.0    0.181   0.124
 1961.0    0.180   0.124
 1962.0    0.180   0.124
 1963.0    0.179   0.124
 1964.0    0.178   0.124
 1965.0    0.177   0.124
 1966.0    0.176   0.124
 1967.0    0.175   0.124
 1968.0    0.175   0.124
 1969.0    0.174   0.124
 1970.0    0.173   0.124
 1971.0    0.172   0.124
 1972.0    0.171   0.124
 1973.0    0.171   0.124
 1974.0    0.170   0.125
 1975.0    0.169   0.125
 1976.0    0.168   0.125
 1977.0    0.167   0.125
 1978.0    0.167   0.125
 1979.0    0.166   0.125
 1980.0    0.165   0.125
 1981.0    0.164   0.124
 1982.0    0.163   0.124
 1983.0    0.163   0.124
 1984.0    0.162   0.124
 1985.0    0.161   0.124
 1986.0    0.160   0.124
 1987.0    0.160   0.124
 1988.0    0.159   0.124
 1989.0    0.158   0.124
 1990.0    0.157   0.124
 1991.0    0.157   0.124
 1992.0    0.156   0.124
 1993.0    0.155   0.124
 1994.0    0.154   0.124
 1995.0    0.154   0.124
 1996.0    0.153   0.124
 1997.0    0.152   0.123
 1998.0    0.152   0.123
 1999.0    0.151   0.123
 2000.0    0.150   0.123
 2001.0    0.150   0.123
 2002.0    0.149   0.123
 2003.0    0.148   0.123
 2004.0    0.148   0.123
 2005.0    0.147   0.122
