   W          E2-(p)
 (MeV)      Re      Im
 1487.0    0.007   0.009
 1488.0    0.015   0.019
 1489.0    0.023   0.030
 1490.0    0.030   0.040
 1491.0    0.037   0.052
 1492.0    0.044   0.063
 1493.0    0.050   0.075
 1494.0    0.056   0.087
 1495.0    0.061   0.099
 1496.0    0.066   0.111
 1497.0    0.070   0.123
 1498.0    0.074   0.136
 1499.0    0.077   0.148
 1500.0    0.080   0.161
 1501.0    0.083   0.174
 1502.0    0.085   0.186
 1503.0    0.086   0.199
 1504.0    0.087   0.212
 1505.0    0.087   0.224
 1506.0    0.087   0.237
 1507.0    0.087   0.249
 1508.0    0.086   0.261
 1509.0    0.084   0.273
 1510.0    0.082   0.285
 1511.0    0.080   0.296
 1512.0    0.077   0.307
 1513.0    0.074   0.318
 1514.0    0.070   0.329
 1515.0    0.066   0.339
 1516.0    0.062   0.349
 1517.0    0.058   0.358
 1518.0    0.053   0.368
 1519.0    0.048   0.377
 1520.0    0.043   0.385
 1521.0    0.037   0.393
 1522.0    0.032   0.401
 1523.0    0.026   0.408
 1524.0    0.020   0.415
 1525.0    0.014   0.422
 1526.0    0.008   0.428
 1527.0    0.002   0.434
 1528.0   -0.005   0.439
 1529.0   -0.011   0.445
 1530.0   -0.017   0.449
 1531.0   -0.023   0.454
 1532.0   -0.030   0.458
 1533.0   -0.036   0.462
 1534.0   -0.042   0.465
 1535.0   -0.048   0.468
 1536.0   -0.054   0.471
 1537.0   -0.060   0.474
 1538.0   -0.066   0.476
 1539.0   -0.072   0.478
 1540.0   -0.077   0.480
 1541.0   -0.083   0.482
 1542.0   -0.088   0.483
 1543.0   -0.093   0.484
 1544.0   -0.099   0.485
 1545.0   -0.104   0.486
 1546.0   -0.109   0.487
 1547.0   -0.113   0.487
 1548.0   -0.118   0.488
 1549.0   -0.122   0.488
 1550.0   -0.127   0.488
 1551.0   -0.131   0.488
 1552.0   -0.135   0.487
 1553.0   -0.139   0.487
 1554.0   -0.143   0.487
 1555.0   -0.147   0.486
 1556.0   -0.150   0.486
 1557.0   -0.154   0.485
 1558.0   -0.157   0.484
 1559.0   -0.160   0.483
 1560.0   -0.163   0.482
 1561.0   -0.166   0.481
 1562.0   -0.169   0.480
 1563.0   -0.171   0.479
 1564.0   -0.174   0.478
 1565.0   -0.176   0.477
 1566.0   -0.179   0.476
 1567.0   -0.181   0.475
 1568.0   -0.183   0.474
 1569.0   -0.185   0.472
 1570.0   -0.187   0.471
 1571.0   -0.189   0.470
 1572.0   -0.190   0.468
 1573.0   -0.192   0.467
 1574.0   -0.194   0.466
 1575.0   -0.195   0.465
 1576.0   -0.196   0.463
 1577.0   -0.198   0.462
 1578.0   -0.199   0.461
 1579.0   -0.200   0.459
 1580.0   -0.201   0.458
 1581.0   -0.202   0.457
 1582.0   -0.203   0.456
 1583.0   -0.204   0.454
 1584.0   -0.204   0.453
 1585.0   -0.205   0.452
 1586.0   -0.206   0.451
 1587.0   -0.206   0.450
 1588.0   -0.207   0.448
 1589.0   -0.207   0.447
 1590.0   -0.208   0.446
 1591.0   -0.208   0.445
 1592.0   -0.209   0.444
 1593.0   -0.209   0.443
 1594.0   -0.209   0.442
 1595.0   -0.209   0.441
 1596.0   -0.210   0.440
 1597.0   -0.210   0.439
 1598.0   -0.210   0.438
 1599.0   -0.210   0.437
 1600.0   -0.210   0.436
 1601.0   -0.210   0.435
 1602.0   -0.210   0.435
 1603.0   -0.210   0.434
 1604.0   -0.210   0.433
 1605.0   -0.210   0.432
 1606.0   -0.210   0.432
 1607.0   -0.210   0.431
 1608.0   -0.210   0.430
 1609.0   -0.210   0.430
 1610.0   -0.209   0.429
 1611.0   -0.209   0.428
 1612.0   -0.209   0.428
 1613.0   -0.209   0.427
 1614.0   -0.209   0.427
 1615.0   -0.209   0.426
 1616.0   -0.209   0.426
 1617.0   -0.209   0.425
 1618.0   -0.208   0.425
 1619.0   -0.208   0.425
 1620.0   -0.208   0.424
 1621.0   -0.208   0.424
 1622.0   -0.208   0.423
 1623.0   -0.208   0.423
 1624.0   -0.208   0.423
 1625.0   -0.208   0.422
 1626.0   -0.207   0.422
 1627.0   -0.207   0.422
 1628.0   -0.207   0.422
 1629.0   -0.207   0.421
 1630.0   -0.207   0.421
 1631.0   -0.207   0.421
 1632.0   -0.207   0.420
 1633.0   -0.207   0.420
 1634.0   -0.207   0.420
 1635.0   -0.207   0.420
 1636.0   -0.207   0.419
 1637.0   -0.208   0.419
 1638.0   -0.208   0.419
 1639.0   -0.208   0.419
 1640.0   -0.208   0.418
 1641.0   -0.208   0.418
 1642.0   -0.208   0.418
 1643.0   -0.208   0.417
 1644.0   -0.209   0.417
 1645.0   -0.209   0.417
 1646.0   -0.209   0.417
 1647.0   -0.209   0.416
 1648.0   -0.210   0.416
 1649.0   -0.210   0.415
 1650.0   -0.210   0.415
 1651.0   -0.211   0.415
 1652.0   -0.211   0.414
 1653.0   -0.211   0.414
 1654.0   -0.212   0.413
 1655.0   -0.212   0.413
 1656.0   -0.212   0.412
 1657.0   -0.213   0.412
 1658.0   -0.213   0.411
 1659.0   -0.214   0.411
 1660.0   -0.214   0.410
 1661.0   -0.214   0.409
 1662.0   -0.215   0.409
 1663.0   -0.215   0.408
 1664.0   -0.216   0.407
 1665.0   -0.216   0.406
 1666.0   -0.217   0.406
 1667.0   -0.217   0.405
 1668.0   -0.217   0.404
 1669.0   -0.218   0.403
 1670.0   -0.218   0.402
 1671.0   -0.219   0.401
 1672.0   -0.219   0.400
 1673.0   -0.220   0.399
 1674.0   -0.220   0.398
