   W          E3-(p)
 (MeV)      Re      Im
 1711.0   -0.083   0.138
 1712.0   -0.085   0.137
 1713.0   -0.086   0.135
 1714.0   -0.088   0.134
 1715.0   -0.089   0.132
 1716.0   -0.091   0.131
 1717.0   -0.092   0.129
 1718.0   -0.093   0.128
 1719.0   -0.095   0.126
 1720.0   -0.096   0.125
 1721.0   -0.097   0.123
 1722.0   -0.098   0.122
 1723.0   -0.100   0.120
 1724.0   -0.101   0.119
 1725.0   -0.102   0.117
 1726.0   -0.103   0.116
 1727.0   -0.104   0.114
 1728.0   -0.105   0.112
 1729.0   -0.105   0.111
 1730.0   -0.106   0.109
 1731.0   -0.107   0.108
 1732.0   -0.108   0.106
 1733.0   -0.109   0.105
 1734.0   -0.109   0.103
 1735.0   -0.110   0.102
 1736.0   -0.111   0.100
 1737.0   -0.111   0.099
 1738.0   -0.112   0.097
 1739.0   -0.113   0.096
 1740.0   -0.113   0.094
 1741.0   -0.114   0.093
 1742.0   -0.114   0.092
 1743.0   -0.115   0.090
 1744.0   -0.115   0.089
 1745.0   -0.116   0.087
 1746.0   -0.116   0.086
 1747.0   -0.117   0.085
 1748.0   -0.117   0.083
 1749.0   -0.117   0.082
 1750.0   -0.118   0.080
 1751.0   -0.118   0.079
 1752.0   -0.118   0.078
 1753.0   -0.119   0.076
 1754.0   -0.119   0.075
 1755.0   -0.119   0.074
 1756.0   -0.119   0.072
 1757.0   -0.120   0.071
 1758.0   -0.120   0.070
 1759.0   -0.120   0.069
 1760.0   -0.120   0.067
 1761.0   -0.120   0.066
 1762.0   -0.121   0.065
 1763.0   -0.121   0.063
 1764.0   -0.121   0.062
 1765.0   -0.121   0.061
 1766.0   -0.121   0.060
 1767.0   -0.121   0.058
 1768.0   -0.121   0.057
 1769.0   -0.121   0.056
 1770.0   -0.122   0.055
 1771.0   -0.122   0.054
 1772.0   -0.122   0.052
 1773.0   -0.122   0.051
 1774.0   -0.122   0.050
 1775.0   -0.122   0.049
 1776.0   -0.122   0.048
 1777.0   -0.122   0.047
 1778.0   -0.122   0.045
 1779.0   -0.122   0.044
 1780.0   -0.122   0.043
 1781.0   -0.122   0.042
 1782.0   -0.122   0.041
 1783.0   -0.122   0.040
 1784.0   -0.121   0.039
 1785.0   -0.121   0.037
 1786.0   -0.121   0.036
 1787.0   -0.121   0.035
 1788.0   -0.121   0.034
 1789.0   -0.121   0.033
 1790.0   -0.121   0.032
 1791.0   -0.121   0.031
 1792.0   -0.121   0.030
 1793.0   -0.121   0.029
 1794.0   -0.120   0.028
 1795.0   -0.120   0.027
 1796.0   -0.120   0.025
 1797.0   -0.120   0.024
 1798.0   -0.120   0.023
 1799.0   -0.119   0.022
 1800.0   -0.119   0.021
 1801.0   -0.119   0.020
 1802.0   -0.119   0.019
 1803.0   -0.119   0.018
 1804.0   -0.118   0.017
 1805.0   -0.118   0.016
 1806.0   -0.118   0.015
 1807.0   -0.118   0.014
 1808.0   -0.117   0.013
 1809.0   -0.117   0.012
 1810.0   -0.117   0.011
 1811.0   -0.116   0.010
 1812.0   -0.116   0.009
 1813.0   -0.116   0.008
 1814.0   -0.115   0.007
 1815.0   -0.115   0.006
 1816.0   -0.115   0.005
 1817.0   -0.114   0.004
 1818.0   -0.114   0.003
 1819.0   -0.114   0.002
 1820.0   -0.113   0.001
 1821.0   -0.113   0.000
 1822.0   -0.113  -0.001
 1823.0   -0.112  -0.002
 1824.0   -0.112  -0.003
 1825.0   -0.111  -0.004
 1826.0   -0.111  -0.005
 1827.0   -0.110  -0.005
 1828.0   -0.110  -0.006
 1829.0   -0.109  -0.007
 1830.0   -0.109  -0.008
 1831.0   -0.108  -0.009
 1832.0   -0.108  -0.010
 1833.0   -0.108  -0.011
 1834.0   -0.107  -0.012
 1835.0   -0.106  -0.013
 1836.0   -0.106  -0.013
 1837.0   -0.105  -0.014
 1838.0   -0.105  -0.015
 1839.0   -0.104  -0.016
 1840.0   -0.104  -0.017
 1841.0   -0.103  -0.018
 1842.0   -0.103  -0.018
 1843.0   -0.102  -0.019
 1844.0   -0.102  -0.020
 1845.0   -0.101  -0.021
 1846.0   -0.100  -0.022
 1847.0   -0.100  -0.022
 1848.0   -0.099  -0.023
 1849.0   -0.099  -0.024
 1850.0   -0.098  -0.025
 1851.0   -0.097  -0.025
 1852.0   -0.097  -0.026
 1853.0   -0.096  -0.027
 1854.0   -0.095  -0.027
 1855.0   -0.095  -0.028
 1856.0   -0.094  -0.029
 1857.0   -0.093  -0.030
 1858.0   -0.093  -0.030
 1859.0   -0.092  -0.031
 1860.0   -0.091  -0.032
 1861.0   -0.091  -0.032
 1862.0   -0.090  -0.033
 1863.0   -0.089  -0.033
 1864.0   -0.089  -0.034
 1865.0   -0.088  -0.035
 1866.0   -0.087  -0.035
 1867.0   -0.087  -0.036
 1868.0   -0.086  -0.036
 1869.0   -0.085  -0.037
 1870.0   -0.085  -0.037
 1871.0   -0.084  -0.038
 1872.0   -0.083  -0.039
 1873.0   -0.082  -0.039
 1874.0   -0.082  -0.040
 1875.0   -0.081  -0.040
 1876.0   -0.080  -0.041
 1877.0   -0.079  -0.041
 1878.0   -0.079  -0.042
 1879.0   -0.078  -0.042
 1880.0   -0.077  -0.042
 1881.0   -0.077  -0.043
 1882.0   -0.076  -0.043
 1883.0   -0.075  -0.044
 1884.0   -0.074  -0.044
 1885.0   -0.074  -0.045
 1886.0   -0.073  -0.045
 1887.0   -0.072  -0.045
 1888.0   -0.071  -0.046
 1889.0   -0.071  -0.046
 1890.0   -0.070  -0.047
 1891.0   -0.069  -0.047
 1892.0   -0.069  -0.047
 1893.0   -0.068  -0.048
 1894.0   -0.067  -0.048
 1895.0   -0.066  -0.048
 1896.0   -0.066  -0.049
 1897.0   -0.065  -0.049
 1898.0   -0.064  -0.049
 1899.0   -0.063  -0.049
 1900.0   -0.063  -0.050
 1901.0   -0.062  -0.050
 1902.0   -0.061  -0.050
 1903.0   -0.061  -0.051
 1904.0   -0.060  -0.051
 1905.0   -0.059  -0.051
 1906.0   -0.058  -0.051
 1907.0   -0.058  -0.051
 1908.0   -0.057  -0.052
 1909.0   -0.056  -0.052
 1910.0   -0.056  -0.052
 1911.0   -0.055  -0.052
 1912.0   -0.054  -0.052
 1913.0   -0.053  -0.053
 1914.0   -0.053  -0.053
 1915.0   -0.052  -0.053
 1916.0   -0.051  -0.053
 1917.0   -0.051  -0.053
 1918.0   -0.050  -0.053
 1919.0   -0.049  -0.054
 1920.0   -0.049  -0.054
 1921.0   -0.048  -0.054
 1922.0   -0.047  -0.054
 1923.0   -0.047  -0.054
 1924.0   -0.046  -0.054
 1925.0   -0.045  -0.054
 1926.0   -0.045  -0.054
 1927.0   -0.044  -0.055
 1928.0   -0.043  -0.055
 1929.0   -0.043  -0.055
 1930.0   -0.042  -0.055
 1931.0   -0.041  -0.055
 1932.0   -0.041  -0.055
 1933.0   -0.040  -0.055
 1934.0   -0.040  -0.055
 1935.0   -0.039  -0.055
 1936.0   -0.038  -0.055
 1937.0   -0.038  -0.055
 1938.0   -0.037  -0.055
 1939.0   -0.037  -0.055
 1940.0   -0.036  -0.055
 1941.0   -0.035  -0.055
 1942.0   -0.035  -0.055
 1943.0   -0.034  -0.055
 1944.0   -0.034  -0.056
 1945.0   -0.033  -0.056
 1946.0   -0.032  -0.056
 1947.0   -0.032  -0.056
 1948.0   -0.031  -0.056
 1949.0   -0.031  -0.056
 1950.0   -0.030  -0.056
 1951.0   -0.029  -0.056
 1952.0   -0.029  -0.056
 1953.0   -0.028  -0.056
 1954.0   -0.028  -0.056
 1955.0   -0.027  -0.055
 1956.0   -0.027  -0.055
 1957.0   -0.026  -0.055
 1958.0   -0.026  -0.055
 1959.0   -0.025  -0.055
 1960.0   -0.025  -0.055
 1961.0   -0.024  -0.055
 1962.0   -0.023  -0.055
 1963.0   -0.023  -0.055
 1964.0   -0.022  -0.055
 1965.0   -0.022  -0.055
 1966.0   -0.021  -0.055
 1967.0   -0.021  -0.055
 1968.0   -0.020  -0.055
 1969.0   -0.020  -0.055
 1970.0   -0.019  -0.055
 1971.0   -0.019  -0.055
 1972.0   -0.018  -0.055
 1973.0   -0.018  -0.055
 1974.0   -0.017  -0.055
 1975.0   -0.017  -0.055
 1976.0   -0.016  -0.054
 1977.0   -0.016  -0.054
 1978.0   -0.016  -0.054
 1979.0   -0.015  -0.054
 1980.0   -0.015  -0.054
 1981.0   -0.014  -0.054
 1982.0   -0.014  -0.054
 1983.0   -0.013  -0.054
 1984.0   -0.013  -0.054
 1985.0   -0.012  -0.054
 1986.0   -0.012  -0.054
 1987.0   -0.011  -0.054
 1988.0   -0.011  -0.053
 1989.0   -0.011  -0.053
 1990.0   -0.010  -0.053
 1991.0   -0.010  -0.053
 1992.0   -0.009  -0.053
 1993.0   -0.009  -0.053
 1994.0   -0.008  -0.053
 1995.0   -0.008  -0.053
 1996.0   -0.008  -0.053
 1997.0   -0.007  -0.053
 1998.0   -0.007  -0.053
 1999.0   -0.006  -0.052
 2000.0   -0.006  -0.052
 2001.0   -0.006  -0.052
 2002.0   -0.005  -0.052
 2003.0   -0.005  -0.052
 2004.0   -0.004  -0.052
 2005.0   -0.004  -0.052
 2006.0   -0.004  -0.052
 2007.0   -0.003  -0.052
 2008.0   -0.003  -0.052
 2009.0   -0.003  -0.051
 2010.0   -0.002  -0.051
 2011.0   -0.002  -0.051
 2012.0   -0.001  -0.051
 2013.0   -0.001  -0.051
 2014.0   -0.001  -0.051
 2015.0    0.000  -0.051
 2016.0    0.000  -0.051
 2017.0    0.000  -0.051
 2018.0    0.001  -0.050
 2019.0    0.001  -0.050
 2020.0    0.001  -0.050
 2021.0    0.002  -0.050
 2022.0    0.002  -0.050
 2023.0    0.002  -0.050
 2024.0    0.003  -0.050
 2025.0    0.003  -0.050
 2026.0    0.003  -0.049
 2027.0    0.004  -0.049
 2028.0    0.004  -0.049
 2029.0    0.004  -0.049
 2030.0    0.005  -0.049
 2031.0    0.005  -0.049
 2032.0    0.005  -0.049
 2033.0    0.006  -0.049
 2034.0    0.006  -0.049
 2035.0    0.006  -0.048
 2036.0    0.007  -0.048
 2037.0    0.007  -0.048
 2038.0    0.007  -0.048
 2039.0    0.008  -0.048
 2040.0    0.008  -0.048
 2041.0    0.008  -0.048
 2042.0    0.008  -0.048
 2043.0    0.009  -0.048
 2044.0    0.009  -0.047
 2045.0    0.009  -0.047
 2046.0    0.010  -0.047
 2047.0    0.010  -0.047
 2048.0    0.010  -0.047
 2049.0    0.011  -0.047
 2050.0    0.011  -0.047
 2051.0    0.011  -0.047
 2052.0    0.011  -0.046
 2053.0    0.012  -0.046
 2054.0    0.012  -0.046
 2055.0    0.012  -0.046
 2056.0    0.012  -0.046
 2057.0    0.013  -0.046
 2058.0    0.013  -0.046
 2059.0    0.013  -0.046
 2060.0    0.014  -0.046
 2061.0    0.014  -0.045
 2062.0    0.014  -0.045
 2063.0    0.014  -0.045
 2064.0    0.015  -0.045
 2065.0    0.015  -0.045
 2066.0    0.015  -0.045
 2067.0    0.015  -0.045
 2068.0    0.016  -0.045
 2069.0    0.016  -0.044
 2070.0    0.016  -0.044
 2071.0    0.016  -0.044
 2072.0    0.017  -0.044
 2073.0    0.017  -0.044
 2074.0    0.017  -0.044
 2075.0    0.017  -0.044
 2076.0    0.018  -0.044
 2077.0    0.018  -0.044
 2078.0    0.018  -0.043
 2079.0    0.018  -0.043
 2080.0    0.018  -0.043
 2081.0    0.019  -0.043
 2082.0    0.019  -0.043
 2083.0    0.019  -0.043
 2084.0    0.019  -0.043
 2085.0    0.020  -0.043
 2086.0    0.020  -0.043
 2087.0    0.020  -0.042
 2088.0    0.020  -0.042
 2089.0    0.021  -0.042
 2090.0    0.021  -0.042
 2091.0    0.021  -0.042
 2092.0    0.021  -0.042
 2093.0    0.021  -0.042
 2094.0    0.022  -0.042
 2095.0    0.022  -0.042
 2096.0    0.022  -0.042
 2097.0    0.022  -0.041
 2098.0    0.023  -0.041
 2099.0    0.023  -0.041
 2100.0    0.023  -0.041
 2101.0    0.023  -0.041
 2102.0    0.023  -0.041
 2103.0    0.024  -0.041
 2104.0    0.024  -0.041
 2105.0    0.024  -0.041
 2106.0    0.024  -0.040
 2107.0    0.024  -0.040
 2108.0    0.025  -0.040
 2109.0    0.025  -0.040
 2110.0    0.025  -0.040
 2111.0    0.025  -0.040
 2112.0    0.025  -0.040
 2113.0    0.026  -0.040
 2114.0    0.026  -0.040
 2115.0    0.026  -0.040
 2116.0    0.026  -0.039
 2117.0    0.026  -0.039
 2118.0    0.027  -0.039
 2119.0    0.027  -0.039
 2120.0    0.027  -0.039
 2121.0    0.027  -0.039
 2122.0    0.027  -0.039
 2123.0    0.027  -0.039
 2124.0    0.028  -0.039
 2125.0    0.028  -0.039
 2126.0    0.028  -0.038
 2127.0    0.028  -0.038
 2128.0    0.028  -0.038
 2129.0    0.029  -0.038
 2130.0    0.029  -0.038
 2131.0    0.029  -0.038
 2132.0    0.029  -0.038
 2133.0    0.029  -0.038
 2134.0    0.029  -0.038
 2135.0    0.030  -0.038
 2136.0    0.030  -0.038
 2137.0    0.030  -0.037
 2138.0    0.030  -0.037
 2139.0    0.030  -0.037
 2140.0    0.031  -0.037
 2141.0    0.031  -0.037
 2142.0    0.031  -0.037
 2143.0    0.031  -0.037
 2144.0    0.031  -0.037
 2145.0    0.031  -0.037
 2146.0    0.032  -0.037
 2147.0    0.032  -0.036
 2148.0    0.032  -0.036
 2149.0    0.032  -0.036
 2150.0    0.032  -0.036
 2151.0    0.032  -0.036
 2152.0    0.033  -0.036
 2153.0    0.033  -0.036
 2154.0    0.033  -0.036
 2155.0    0.033  -0.036
 2156.0    0.033  -0.036
 2157.0    0.033  -0.036
 2158.0    0.033  -0.036
 2159.0    0.034  -0.035
 2160.0    0.034  -0.035
 2161.0    0.034  -0.035
 2162.0    0.034  -0.035
