   W         M2+(eta_p)
 (MeV)      Re         Im
 1486.0    0.000263  -0.000408
 1487.0    0.000897  -0.000911
 1488.0    0.001531  -0.001415
 1489.0    0.002164  -0.001918
 1490.0    0.002798  -0.002421
 1491.0    0.003432  -0.002924
 1492.0    0.004066  -0.003427
 1493.0    0.004699  -0.003931
 1494.0    0.005333  -0.004434
 1495.0    0.005967  -0.004937
 1496.0    0.006600  -0.005393
 1497.0    0.007234  -0.005848
 1498.0    0.007868  -0.006304
 1499.0    0.008502  -0.006760
 1500.0    0.009135  -0.007216
 1501.0    0.009769  -0.007625
 1502.0    0.010403  -0.008034
 1503.0    0.011036  -0.008443
 1504.0    0.011670  -0.008852
 1505.0    0.012303  -0.009261
 1506.0    0.012935  -0.009621
 1507.0    0.013566  -0.009982
 1508.0    0.014198  -0.010343
 1509.0    0.014829  -0.010704
 1510.0    0.015460  -0.011065
 1511.0    0.016088  -0.011377
 1512.0    0.016716  -0.011690
 1513.0    0.017343  -0.012002
 1514.0    0.017971  -0.012314
 1515.0    0.018599  -0.012627
 1516.0    0.019221  -0.012890
 1517.0    0.019844  -0.013154
 1518.0    0.020466  -0.013417
 1519.0    0.021088  -0.013681
 1520.0    0.021711  -0.013944
 1521.0    0.022326  -0.014159
 1522.0    0.022942  -0.014373
 1523.0    0.023558  -0.014587
 1524.0    0.024174  -0.014802
 1525.0    0.024789  -0.015016
 1526.0    0.025397  -0.015182
 1527.0    0.026005  -0.015347
 1528.0    0.026612  -0.015513
 1529.0    0.027220  -0.015678
 1530.0    0.027827  -0.015844
 1531.0    0.028425  -0.015960
 1532.0    0.029023  -0.016075
 1533.0    0.029620  -0.016191
 1534.0    0.030218  -0.016307
 1535.0    0.030816  -0.016423
 1536.0    0.031402  -0.016490
 1537.0    0.031988  -0.016557
 1538.0    0.032575  -0.016624
 1539.0    0.033161  -0.016690
 1540.0    0.033747  -0.016757
 1541.0    0.034321  -0.016775
 1542.0    0.034894  -0.016792
 1543.0    0.035467  -0.016810
 1544.0    0.036040  -0.016827
 1545.0    0.036613  -0.016845
 1546.0    0.037172  -0.016813
 1547.0    0.037731  -0.016782
 1548.0    0.038290  -0.016751
 1549.0    0.038849  -0.016720
 1550.0    0.039407  -0.016689
 1551.0    0.039949  -0.016608
 1552.0    0.040491  -0.016528
 1553.0    0.041033  -0.016447
 1554.0    0.041575  -0.016366
 1555.0    0.042117  -0.016286
 1556.0    0.042640  -0.016156
 1557.0    0.043163  -0.016027
 1558.0    0.043687  -0.015898
 1559.0    0.044210  -0.015769
 1560.0    0.044734  -0.015640
 1561.0    0.045237  -0.015462
 1562.0    0.045740  -0.015284
 1563.0    0.046243  -0.015106
 1564.0    0.046746  -0.014929
 1565.0    0.047249  -0.014751
 1566.0    0.047730  -0.014525
 1567.0    0.048210  -0.014299
 1568.0    0.048690  -0.014073
 1569.0    0.049171  -0.013847
 1570.0    0.049651  -0.013621
 1571.0    0.050107  -0.013347
 1572.0    0.050562  -0.013073
 1573.0    0.051017  -0.012799
 1574.0    0.051473  -0.012525
 1575.0    0.051928  -0.012251
 1576.0    0.052357  -0.011931
 1577.0    0.052786  -0.011611
 1578.0    0.053215  -0.011291
 1579.0    0.053644  -0.010971
 1580.0    0.054073  -0.010650
 1581.0    0.054469  -0.010282
 1582.0    0.054866  -0.009913
 1583.0    0.055262  -0.009544
 1584.0    0.055659  -0.009175
 1585.0    0.056056  -0.008807
 1586.0    0.056419  -0.008392
 1587.0    0.056783  -0.007978
 1588.0    0.057146  -0.007564
 1589.0    0.057510  -0.007150
 1590.0    0.057874  -0.006736
 1591.0    0.058200  -0.006277
 1592.0    0.058526  -0.005818
 1593.0    0.058853  -0.005359
 1594.0    0.059179  -0.004900
 1595.0    0.059505  -0.004441
 1596.0    0.059790  -0.003939
 1597.0    0.060075  -0.003437
 1598.0    0.060360  -0.002934
 1599.0    0.060646  -0.002432
 1600.0    0.060931  -0.001930
 1601.0    0.061170  -0.001386
 1602.0    0.061409  -0.000843
 1603.0    0.061648  -0.000300
 1604.0    0.061888   0.000244
 1605.0    0.062127   0.000787
 1606.0    0.062316   0.001369
 1607.0    0.062504   0.001951
 1608.0    0.062693   0.002533
 1609.0    0.062882   0.003114
 1610.0    0.063071   0.003696
 1611.0    0.063204   0.004312
 1612.0    0.063337   0.004928
 1613.0    0.063470   0.005545
 1614.0    0.063604   0.006161
 1615.0    0.063737   0.006777
 1616.0    0.063809   0.007422
 1617.0    0.063882   0.008068
 1618.0    0.063955   0.008713
 1619.0    0.064027   0.009358
 1620.0    0.064100   0.010004
 1621.0    0.064107   0.010672
 1622.0    0.064114   0.011340
 1623.0    0.064121   0.012008
 1624.0    0.064129   0.012676
 1625.0    0.064136   0.013345
