   W         M4-(eta_p)
 (MeV)      Re         Im
 1486.0    0.000003   0.000000
 1487.0    0.000002   0.000000
 1488.0    0.000001   0.000000
 1489.0   -0.000000   0.000000
 1490.0   -0.000001  -0.000000
 1491.0   -0.000002  -0.000000
 1492.0   -0.000004  -0.000000
 1493.0   -0.000005  -0.000000
 1494.0   -0.000006  -0.000000
 1495.0   -0.000007  -0.000000
 1496.0   -0.000008  -0.000001
 1497.0   -0.000010  -0.000001
 1498.0   -0.000011  -0.000002
 1499.0   -0.000013  -0.000002
 1500.0   -0.000014  -0.000002
 1501.0   -0.000017  -0.000002
 1502.0   -0.000020  -0.000002
 1503.0   -0.000023  -0.000002
 1504.0   -0.000027  -0.000002
 1505.0   -0.000030  -0.000002
 1506.0   -0.000033  -0.000002
 1507.0   -0.000037  -0.000003
 1508.0   -0.000040  -0.000003
 1509.0   -0.000044  -0.000003
 1510.0   -0.000047  -0.000004
 1511.0   -0.000052  -0.000005
 1512.0   -0.000056  -0.000005
 1513.0   -0.000060  -0.000006
 1514.0   -0.000064  -0.000007
 1515.0   -0.000069  -0.000008
 1516.0   -0.000074  -0.000009
 1517.0   -0.000079  -0.000010
 1518.0   -0.000084  -0.000010
 1519.0   -0.000090  -0.000011
 1520.0   -0.000095  -0.000012
 1521.0   -0.000101  -0.000013
 1522.0   -0.000107  -0.000015
 1523.0   -0.000114  -0.000016
 1524.0   -0.000120  -0.000017
 1525.0   -0.000126  -0.000019
 1526.0   -0.000133  -0.000020
 1527.0   -0.000140  -0.000022
 1528.0   -0.000147  -0.000024
 1529.0   -0.000154  -0.000026
 1530.0   -0.000161  -0.000027
 1531.0   -0.000169  -0.000029
 1532.0   -0.000177  -0.000031
 1533.0   -0.000185  -0.000034
 1534.0   -0.000194  -0.000036
 1535.0   -0.000202  -0.000038
 1536.0   -0.000211  -0.000040
 1537.0   -0.000220  -0.000043
 1538.0   -0.000229  -0.000045
 1539.0   -0.000238  -0.000048
 1540.0   -0.000247  -0.000051
 1541.0   -0.000257  -0.000054
 1542.0   -0.000267  -0.000057
 1543.0   -0.000277  -0.000060
 1544.0   -0.000287  -0.000063
 1545.0   -0.000297  -0.000066
 1546.0   -0.000308  -0.000070
 1547.0   -0.000319  -0.000074
 1548.0   -0.000329  -0.000078
 1549.0   -0.000340  -0.000083
 1550.0   -0.000351  -0.000087
 1551.0   -0.000363  -0.000091
 1552.0   -0.000375  -0.000095
 1553.0   -0.000387  -0.000100
 1554.0   -0.000399  -0.000104
 1555.0   -0.000411  -0.000109
 1556.0   -0.000423  -0.000114
 1557.0   -0.000436  -0.000119
 1558.0   -0.000449  -0.000125
 1559.0   -0.000462  -0.000130
 1560.0   -0.000475  -0.000135
 1561.0   -0.000489  -0.000141
 1562.0   -0.000502  -0.000148
 1563.0   -0.000516  -0.000154
 1564.0   -0.000530  -0.000160
 1565.0   -0.000544  -0.000166
 1566.0   -0.000558  -0.000173
 1567.0   -0.000573  -0.000180
 1568.0   -0.000588  -0.000187
 1569.0   -0.000602  -0.000194
 1570.0   -0.000617  -0.000201
 1571.0   -0.000633  -0.000209
 1572.0   -0.000648  -0.000217
 1573.0   -0.000664  -0.000225
 1574.0   -0.000679  -0.000233
 1575.0   -0.000695  -0.000241
 1576.0   -0.000711  -0.000250
 1577.0   -0.000727  -0.000260
 1578.0   -0.000743  -0.000269
 1579.0   -0.000759  -0.000279
 1580.0   -0.000776  -0.000288
 1581.0   -0.000793  -0.000298
 1582.0   -0.000811  -0.000308
 1583.0   -0.000828  -0.000318
 1584.0   -0.000846  -0.000328
 1585.0   -0.000863  -0.000338
 1586.0   -0.000881  -0.000349
 1587.0   -0.000899  -0.000360
 1588.0   -0.000917  -0.000372
 1589.0   -0.000935  -0.000383
 1590.0   -0.000953  -0.000394
 1591.0   -0.000972  -0.000407
 1592.0   -0.000991  -0.000420
 1593.0   -0.001010  -0.000432
 1594.0   -0.001029  -0.000445
 1595.0   -0.001047  -0.000457
 1596.0   -0.001067  -0.000471
 1597.0   -0.001086  -0.000485
 1598.0   -0.001106  -0.000499
 1599.0   -0.001125  -0.000513
 1600.0   -0.001145  -0.000527
 1601.0   -0.001165  -0.000542
 1602.0   -0.001185  -0.000557
 1603.0   -0.001206  -0.000573
 1604.0   -0.001226  -0.000588
 1605.0   -0.001246  -0.000603
 1606.0   -0.001267  -0.000620
 1607.0   -0.001287  -0.000637
 1608.0   -0.001308  -0.000653
 1609.0   -0.001329  -0.000670
 1610.0   -0.001350  -0.000687
 1611.0   -0.001371  -0.000705
 1612.0   -0.001392  -0.000723
 1613.0   -0.001414  -0.000742
 1614.0   -0.001435  -0.000760
 1615.0   -0.001456  -0.000778
 1616.0   -0.001478  -0.000798
 1617.0   -0.001500  -0.000818
 1618.0   -0.001521  -0.000838
 1619.0   -0.001543  -0.000857
 1620.0   -0.001565  -0.000877
 1621.0   -0.001587  -0.000899
 1622.0   -0.001609  -0.000920
 1623.0   -0.001631  -0.000941
 1624.0   -0.001653  -0.000963
 1625.0   -0.001676  -0.000984
 1626.0   -0.001698  -0.001007
 1627.0   -0.001721  -0.001030
 1628.0   -0.001744  -0.001054
 1629.0   -0.001767  -0.001077
 1630.0   -0.001790  -0.001100
 1631.0   -0.001812  -0.001125
 1632.0   -0.001834  -0.001149
 1633.0   -0.001857  -0.001174
 1634.0   -0.001879  -0.001199
 1635.0   -0.001902  -0.001224
 1636.0   -0.001924  -0.001251
 1637.0   -0.001947  -0.001277
 1638.0   -0.001970  -0.001304
 1639.0   -0.001993  -0.001331
 1640.0   -0.002016  -0.001357
 1641.0   -0.002039  -0.001386
 1642.0   -0.002061  -0.001414
 1643.0   -0.002084  -0.001443
 1644.0   -0.002107  -0.001471
 1645.0   -0.002130  -0.001499
 1646.0   -0.002153  -0.001530
 1647.0   -0.002176  -0.001560
 1648.0   -0.002199  -0.001590
 1649.0   -0.002221  -0.001621
 1650.0   -0.002244  -0.001651
 1651.0   -0.002267  -0.001683
 1652.0   -0.002290  -0.001715
 1653.0   -0.002312  -0.001748
 1654.0   -0.002335  -0.001780
 1655.0   -0.002358  -0.001812
 1656.0   -0.002380  -0.001846
 1657.0   -0.002403  -0.001880
 1658.0   -0.002425  -0.001915
 1659.0   -0.002447  -0.001949
 1660.0   -0.002470  -0.001983
 1661.0   -0.002492  -0.002019
 1662.0   -0.002514  -0.002055
 1663.0   -0.002536  -0.002091
 1664.0   -0.002558  -0.002127
 1665.0   -0.002580  -0.002163
 1666.0   -0.002602  -0.002201
 1667.0   -0.002623  -0.002239
 1668.0   -0.002645  -0.002278
 1669.0   -0.002666  -0.002316
 1670.0   -0.002688  -0.002354
 1671.0   -0.002709  -0.002394
 1672.0   -0.002730  -0.002434
 1673.0   -0.002751  -0.002474
 1674.0   -0.002772  -0.002514
 1675.0   -0.002793  -0.002554
 1676.0   -0.002813  -0.002596
 1677.0   -0.002833  -0.002638
 1678.0   -0.002853  -0.002680
 1679.0   -0.002873  -0.002722
 1680.0   -0.002894  -0.002765
 1681.0   -0.002913  -0.002809
 1682.0   -0.002932  -0.002853
 1683.0   -0.002952  -0.002897
 1684.0   -0.002971  -0.002941
 1685.0   -0.002990  -0.002985
 1686.0   -0.003009  -0.003031
 1687.0   -0.003027  -0.003077
 1688.0   -0.003045  -0.003123
 1689.0   -0.003064  -0.003169
 1690.0   -0.003082  -0.003215
 1691.0   -0.003099  -0.003264
 1692.0   -0.003117  -0.003312
 1693.0   -0.003134  -0.003360
 1694.0   -0.003151  -0.003408
 1695.0   -0.003168  -0.003456
 1696.0   -0.003184  -0.003506
 1697.0   -0.003200  -0.003556
 1698.0   -0.003216  -0.003606
 1699.0   -0.003232  -0.003656
 1700.0   -0.003248  -0.003706
 1701.0   -0.003263  -0.003758
 1702.0   -0.003277  -0.003811
 1703.0   -0.003292  -0.003863
 1704.0   -0.003306  -0.003915
 1705.0   -0.003321  -0.003967
 1706.0   -0.003333  -0.004022
 1707.0   -0.003345  -0.004076
 1708.0   -0.003357  -0.004131
 1709.0   -0.003369  -0.004186
 1710.0   -0.003381  -0.004241
 1711.0   -0.003394  -0.004296
 1712.0   -0.003406  -0.004351
 1713.0   -0.003419  -0.004406
 1714.0   -0.003432  -0.004461
 1715.0   -0.003444  -0.004516
 1716.0   -0.003454  -0.004573
 1717.0   -0.003463  -0.004631
 1718.0   -0.003473  -0.004689
 1719.0   -0.003482  -0.004747
 1720.0   -0.003492  -0.004805
 1721.0   -0.003499  -0.004864
 1722.0   -0.003507  -0.004924
 1723.0   -0.003514  -0.004984
 1724.0   -0.003522  -0.005043
 1725.0   -0.003529  -0.005103
 1726.0   -0.003535  -0.005164
 1727.0   -0.003540  -0.005226
 1728.0   -0.003546  -0.005287
 1729.0   -0.003551  -0.005349
 1730.0   -0.003557  -0.005410
 1731.0   -0.003560  -0.005473
 1732.0   -0.003563  -0.005536
 1733.0   -0.003566  -0.005600
 1734.0   -0.003570  -0.005663
 1735.0   -0.003573  -0.005726
 1736.0   -0.003574  -0.005791
 1737.0   -0.003575  -0.005856
 1738.0   -0.003575  -0.005921
 1739.0   -0.003576  -0.005986
 1740.0   -0.003577  -0.006050
 1741.0   -0.003575  -0.006117
 1742.0   -0.003573  -0.006183
 1743.0   -0.003572  -0.006250
 1744.0   -0.003570  -0.006317
 1745.0   -0.003568  -0.006383
 1746.0   -0.003564  -0.006451
 1747.0   -0.003559  -0.006519
 1748.0   -0.003555  -0.006587
 1749.0   -0.003550  -0.006655
 1750.0   -0.003546  -0.006723
 1751.0   -0.003539  -0.006793
 1752.0   -0.003531  -0.006863
 1753.0   -0.003524  -0.006932
 1754.0   -0.003517  -0.007002
 1755.0   -0.003509  -0.007071
 1756.0   -0.003499  -0.007142
 1757.0   -0.003489  -0.007213
 1758.0   -0.003478  -0.007284
 1759.0   -0.003468  -0.007355
 1760.0   -0.003458  -0.007426
 1761.0   -0.003444  -0.007498
