   W         E2-(eta_p)
 (MeV)      Re         Im
 1486.0   -0.010885   0.000109
 1487.0   -0.018471  -0.013028
 1488.0   -0.026056  -0.026166
 1489.0   -0.033642  -0.039303
 1490.0   -0.041227  -0.052440
 1491.0   -0.048812  -0.065578
 1492.0   -0.056398  -0.078715
 1493.0   -0.063983  -0.091852
 1494.0   -0.071569  -0.104989
 1495.0   -0.079154  -0.118127
 1496.0   -0.084503  -0.132248
 1497.0   -0.089852  -0.146369
 1498.0   -0.095201  -0.160490
 1499.0   -0.100550  -0.174611
 1500.0   -0.105899  -0.188732
 1501.0   -0.108712  -0.203281
 1502.0   -0.111525  -0.217830
 1503.0   -0.114339  -0.232379
 1504.0   -0.117152  -0.246928
 1505.0   -0.119966  -0.261477
 1506.0   -0.120148  -0.275796
 1507.0   -0.120330  -0.290114
 1508.0   -0.120512  -0.304433
 1509.0   -0.120694  -0.318752
 1510.0   -0.120876  -0.333070
 1511.0   -0.118561  -0.346492
 1512.0   -0.116247  -0.359913
 1513.0   -0.113933  -0.373334
 1514.0   -0.111619  -0.386755
 1515.0   -0.109305  -0.400176
 1516.0   -0.104849  -0.412124
 1517.0   -0.100393  -0.424072
 1518.0   -0.095937  -0.436020
 1519.0   -0.091481  -0.447968
 1520.0   -0.087025  -0.459916
 1521.0   -0.080937  -0.469984
 1522.0   -0.074849  -0.480053
 1523.0   -0.068760  -0.490121
 1524.0   -0.062672  -0.500190
 1525.0   -0.056584  -0.510259
 1526.0   -0.049440  -0.518248
 1527.0   -0.042297  -0.526237
 1528.0   -0.035153  -0.534226
 1529.0   -0.028010  -0.542215
 1530.0   -0.020866  -0.550204
 1531.0   -0.013227  -0.556107
 1532.0   -0.005587  -0.562011
 1533.0    0.002052  -0.567915
 1534.0    0.009691  -0.573818
 1535.0    0.017331  -0.579722
 1536.0    0.024989  -0.583689
 1537.0    0.032648  -0.587657
 1538.0    0.040307  -0.591624
 1539.0    0.047965  -0.595592
 1540.0    0.055624  -0.599559
 1541.0    0.062938  -0.601836
 1542.0    0.070252  -0.604112
 1543.0    0.077566  -0.606388
 1544.0    0.084879  -0.608664
 1545.0    0.092193  -0.610940
 1546.0    0.098918  -0.611815
 1547.0    0.105642  -0.612689
 1548.0    0.112366  -0.613563
 1549.0    0.119090  -0.614437
 1550.0    0.125814  -0.615312
 1551.0    0.131807  -0.615076
 1552.0    0.137799  -0.614839
 1553.0    0.143792  -0.614603
 1554.0    0.149785  -0.614367
 1555.0    0.155777  -0.614130
 1556.0    0.160978  -0.613050
 1557.0    0.166178  -0.611969
 1558.0    0.171379  -0.610888
 1559.0    0.176579  -0.609808
 1560.0    0.181779  -0.608727
 1561.0    0.186189  -0.607039
 1562.0    0.190599  -0.605352
 1563.0    0.195009  -0.603664
 1564.0    0.199418  -0.601977
 1565.0    0.203828  -0.600289
 1566.0    0.207480  -0.598181
 1567.0    0.211131  -0.596072
 1568.0    0.214783  -0.593964
 1569.0    0.218435  -0.591856
 1570.0    0.222087  -0.589747
 1571.0    0.225042  -0.587373
 1572.0    0.227997  -0.584999
