   W         E3-(eta_p)
 (MeV)      Re         Im
 1486.0    0.000268  -0.000054
 1487.0    0.000106  -0.000020
 1488.0   -0.000055   0.000014
 1489.0   -0.000217   0.000049
 1490.0   -0.000378   0.000083
 1491.0   -0.000540   0.000117
 1492.0   -0.000701   0.000151
 1493.0   -0.000863   0.000186
 1494.0   -0.001024   0.000220
 1495.0   -0.001186   0.000254
 1496.0   -0.001401   0.000298
 1497.0   -0.001617   0.000341
 1498.0   -0.001833   0.000385
 1499.0   -0.002048   0.000428
 1500.0   -0.002264   0.000472
 1501.0   -0.002526   0.000523
 1502.0   -0.002789   0.000575
 1503.0   -0.003052   0.000626
 1504.0   -0.003314   0.000677
 1505.0   -0.003577   0.000729
 1506.0   -0.003881   0.000785
 1507.0   -0.004186   0.000842
 1508.0   -0.004490   0.000898
 1509.0   -0.004794   0.000955
 1510.0   -0.005099   0.001011
 1511.0   -0.005443   0.001071
 1512.0   -0.005787   0.001131
 1513.0   -0.006131   0.001191
 1514.0   -0.006475   0.001251
 1515.0   -0.006819   0.001311
 1516.0   -0.007203   0.001374
 1517.0   -0.007586   0.001437
 1518.0   -0.007970   0.001499
 1519.0   -0.008353   0.001562
 1520.0   -0.008737   0.001625
 1521.0   -0.009159   0.001689
 1522.0   -0.009581   0.001752
 1523.0   -0.010003   0.001816
 1524.0   -0.010425   0.001880
 1525.0   -0.010847   0.001943
 1526.0   -0.011309   0.002007
 1527.0   -0.011771   0.002070
 1528.0   -0.012233   0.002134
 1529.0   -0.012695   0.002198
 1530.0   -0.013157   0.002261
 1531.0   -0.013658   0.002323
 1532.0   -0.014160   0.002384
 1533.0   -0.014662   0.002445
 1534.0   -0.015164   0.002506
 1535.0   -0.015666   0.002567
 1536.0   -0.016210   0.002625
 1537.0   -0.016754   0.002682
 1538.0   -0.017298   0.002740
 1539.0   -0.017841   0.002797
 1540.0   -0.018385   0.002855
 1541.0   -0.018973   0.002906
 1542.0   -0.019560   0.002958
 1543.0   -0.020148   0.003009
 1544.0   -0.020735   0.003060
 1545.0   -0.021323   0.003112
 1546.0   -0.021957   0.003154
 1547.0   -0.022590   0.003197
 1548.0   -0.023224   0.003240
 1549.0   -0.023858   0.003283
 1550.0   -0.024491   0.003326
 1551.0   -0.025173   0.003357
 1552.0   -0.025856   0.003387
 1553.0   -0.026538   0.003418
 1554.0   -0.027220   0.003448
 1555.0   -0.027902   0.003479
 1556.0   -0.028635   0.003494
 1557.0   -0.029369   0.003509
 1558.0   -0.030102   0.003524
 1559.0   -0.030836   0.003539
 1560.0   -0.031569   0.003554
 1561.0   -0.032358   0.003548
 1562.0   -0.033146   0.003543
 1563.0   -0.033935   0.003537
 1564.0   -0.034723   0.003532
 1565.0   -0.035511   0.003526
 1566.0   -0.036358   0.003495
 1567.0   -0.037205   0.003463
 1568.0   -0.038051   0.003432
 1569.0   -0.038898   0.003400
 1570.0   -0.039745   0.003368
 1571.0   -0.040653   0.003304
 1572.0   -0.041562   0.003239
 1573.0   -0.042471   0.003175
 1574.0   -0.043379   0.003110
