   W         E2+(eta_p)
 (MeV)      Re         Im
 1486.0   -0.000004  -0.000011
 1487.0   -0.000051  -0.000008
 1488.0   -0.000098  -0.000005
 1489.0   -0.000145  -0.000001
 1490.0   -0.000192   0.000002
 1491.0   -0.000240   0.000005
 1492.0   -0.000287   0.000008
 1493.0   -0.000334   0.000011
 1494.0   -0.000381   0.000014
 1495.0   -0.000428   0.000017
 1496.0   -0.000480   0.000024
 1497.0   -0.000532   0.000030
 1498.0   -0.000584   0.000036
 1499.0   -0.000636   0.000043
 1500.0   -0.000687   0.000049
 1501.0   -0.000742   0.000058
 1502.0   -0.000797   0.000066
 1503.0   -0.000853   0.000074
 1504.0   -0.000908   0.000083
 1505.0   -0.000963   0.000091
 1506.0   -0.001022   0.000102
 1507.0   -0.001081   0.000113
 1508.0   -0.001141   0.000124
 1509.0   -0.001200   0.000135
 1510.0   -0.001259   0.000146
 1511.0   -0.001323   0.000160
 1512.0   -0.001387   0.000173
 1513.0   -0.001451   0.000187
 1514.0   -0.001514   0.000201
 1515.0   -0.001578   0.000214
 1516.0   -0.001646   0.000230
 1517.0   -0.001714   0.000246
 1518.0   -0.001782   0.000262
 1519.0   -0.001849   0.000278
 1520.0   -0.001917   0.000293
 1521.0   -0.001989   0.000312
 1522.0   -0.002062   0.000330
 1523.0   -0.002134   0.000348
 1524.0   -0.002206   0.000366
 1525.0   -0.002279   0.000385
 1526.0   -0.002355   0.000404
 1527.0   -0.002431   0.000424
 1528.0   -0.002507   0.000444
 1529.0   -0.002584   0.000464
 1530.0   -0.002660   0.000484
 1531.0   -0.002741   0.000506
 1532.0   -0.002822   0.000528
 1533.0   -0.002903   0.000551
 1534.0   -0.002984   0.000573
 1535.0   -0.003065   0.000595
 1536.0   -0.003151   0.000619
 1537.0   -0.003236   0.000643
 1538.0   -0.003321   0.000667
 1539.0   -0.003407   0.000691
 1540.0   -0.003492   0.000715
 1541.0   -0.003582   0.000740
 1542.0   -0.003672   0.000766
 1543.0   -0.003762   0.000791
 1544.0   -0.003852   0.000817
 1545.0   -0.003942   0.000843
 1546.0   -0.004036   0.000869
 1547.0   -0.004130   0.000896
 1548.0   -0.004224   0.000922
 1549.0   -0.004318   0.000949
 1550.0   -0.004412   0.000976
 1551.0   -0.004511   0.001004
 1552.0   -0.004610   0.001033
 1553.0   -0.004709   0.001061
 1554.0   -0.004808   0.001090
 1555.0   -0.004907   0.001118
 1556.0   -0.005011   0.001148
 1557.0   -0.005114   0.001177
 1558.0   -0.005218   0.001207
 1559.0   -0.005322   0.001236
 1560.0   -0.005425   0.001266
 1561.0   -0.005534   0.001297
 1562.0   -0.005642   0.001327
 1563.0   -0.005751   0.001358
 1564.0   -0.005859   0.001389
 1565.0   -0.005968   0.001419
 1566.0   -0.006081   0.001451
 1567.0   -0.006195   0.001483
 1568.0   -0.006308   0.001514
 1569.0   -0.006421   0.001546
 1570.0   -0.006535   0.001577
 1571.0   -0.006653   0.001610
 1572.0   -0.006772   0.001642
 1573.0   -0.006891   0.001675
 1574.0   -0.007009   0.001707
 1575.0   -0.007128   0.001740
 1576.0   -0.007251   0.001772
 1577.0   -0.007374   0.001804
 1578.0   -0.007497   0.001837
 1579.0   -0.007621   0.001869
 1580.0   -0.007744   0.001902
 1581.0   -0.007874   0.001935
 1582.0   -0.008003   0.001969
 1583.0   -0.008133   0.002003
 1584.0   -0.008263   0.002037
 1585.0   -0.008393   0.002071
 1586.0   -0.008528   0.002105
 1587.0   -0.008663   0.002138
 1588.0   -0.008798   0.002172
 1589.0   -0.008934   0.002206
 1590.0   -0.009069   0.002239
 1591.0   -0.009210   0.002273
 1592.0   -0.009352   0.002306
 1593.0   -0.009493   0.002340
 1594.0   -0.009634   0.002374
 1595.0   -0.009776   0.002407
 1596.0   -0.009924   0.002440
 1597.0   -0.010072   0.002474
 1598.0   -0.010220   0.002507
 1599.0   -0.010368   0.002540
 1600.0   -0.010516   0.002573
 1601.0   -0.010671   0.002605
 1602.0   -0.010826   0.002637
 1603.0   -0.010981   0.002670
 1604.0   -0.011136   0.002702
 1605.0   -0.011291   0.002734
 1606.0   -0.011453   0.002765
 1607.0   -0.011616   0.002796
 1608.0   -0.011779   0.002826
 1609.0   -0.011941   0.002857
 1610.0   -0.012104   0.002888
 1611.0   -0.012274   0.002916
 1612.0   -0.012445   0.002945
 1613.0   -0.012615   0.002973
 1614.0   -0.012786   0.003002
 1615.0   -0.012956   0.003030
 1616.0   -0.013135   0.003056
 1617.0   -0.013314   0.003081
 1618.0   -0.013493   0.003106
 1619.0   -0.013672   0.003132
 1620.0   -0.013851   0.003157
 1621.0   -0.014039   0.003178
 1622.0   -0.014227   0.003199
 1623.0   -0.014415   0.003220
 1624.0   -0.014602   0.003241
 1625.0   -0.014790   0.003262
 1626.0   -0.014986   0.003277
 1627.0   -0.015183   0.003292
 1628.0   -0.015379   0.003306
 1629.0   -0.015575   0.003321
 1630.0   -0.015772   0.003336
 1631.0   -0.015978   0.003345
 1632.0   -0.016184   0.003353
 1633.0   -0.016390   0.003362
 1634.0   -0.016596   0.003370
 1635.0   -0.016802   0.003379
 1636.0   -0.017016   0.003378
 1637.0   -0.017230   0.003378
 1638.0   -0.017445   0.003377
 1639.0   -0.017659   0.003376
 1640.0   -0.017873   0.003376
 1641.0   -0.018095   0.003365
