   W         E0+(eta_p)
 (MeV)      Re         Im
 1486.0  -10.758586 -10.333118
 1487.0  -10.603883 -10.447935
 1488.0  -10.449180 -10.562752
 1489.0  -10.294477 -10.677569
 1490.0  -10.139774 -10.792386
 1491.0   -9.985071 -10.907203
 1492.0   -9.830368 -11.022021
 1493.0   -9.675665 -11.136838
 1494.0   -9.520962 -11.251655
 1495.0   -9.366260 -11.366472
 1496.0   -9.199590 -11.475934
 1497.0   -9.032921 -11.585397
 1498.0   -8.866252 -11.694859
 1499.0   -8.699583 -11.804321
 1500.0   -8.532914 -11.913784
 1501.0   -8.350783 -12.007816
 1502.0   -8.168653 -12.101848
 1503.0   -7.986522 -12.195880
 1504.0   -7.804391 -12.289912
 1505.0   -7.622260 -12.383944
 1506.0   -7.427564 -12.456405
 1507.0   -7.232869 -12.528865
 1508.0   -7.038173 -12.601326
 1509.0   -6.843477 -12.673786
 1510.0   -6.648781 -12.746246
 1511.0   -6.446647 -12.793592
 1512.0   -6.244513 -12.840937
 1513.0   -6.042378 -12.888283
 1514.0   -5.840244 -12.935628
 1515.0   -5.638110 -12.982974
 1516.0   -5.434409 -13.003979
 1517.0   -5.230708 -13.024985
 1518.0   -5.027006 -13.045990
 1519.0   -4.823305 -13.066995
 1520.0   -4.619604 -13.088000
 1521.0   -4.419978 -13.083464
 1522.0   -4.220351 -13.078928
 1523.0   -4.020724 -13.074392
 1524.0   -3.821098 -13.069856
 1525.0   -3.621471 -13.065321
 1526.0   -3.430708 -13.037583
 1527.0   -3.239944 -13.009846
 1528.0   -3.049180 -12.982108
 1529.0   -2.858417 -12.954370
 1530.0   -2.667653 -12.926633
 1531.0   -2.489322 -12.879025
 1532.0   -2.310992 -12.831418
 1533.0   -2.132661 -12.783810
 1534.0   -1.954330 -12.736202
 1535.0   -1.776000 -12.688595
 1536.0   -1.612395 -12.624878
 1537.0   -1.448790 -12.561160
 1538.0   -1.285185 -12.497443
 1539.0   -1.121580 -12.433726
 1540.0   -0.957976 -12.370009
 1541.0   -0.810214 -12.293936
 1542.0   -0.662452 -12.217862
 1543.0   -0.514690 -12.141789
 1544.0   -0.366929 -12.065715
 1545.0   -0.219167 -11.989642
 1546.0   -0.087415 -11.904643
 1547.0    0.044336 -11.819645
 1548.0    0.176088 -11.734646
 1549.0    0.307839 -11.649648
 1550.0    0.439591 -11.564649
 1551.0    0.555865 -11.473668
 1552.0    0.672138 -11.382688
 1553.0    0.788412 -11.291707
 1554.0    0.904686 -11.200727
 1555.0    1.020960 -11.109746
 1556.0    1.122718 -11.015154
 1557.0    1.224476 -10.920561
 1558.0    1.326234 -10.825969
 1559.0    1.427993 -10.731376
 1560.0    1.529751 -10.636784
 1561.0    1.618211 -10.540417
 1562.0    1.706672 -10.444050
 1563.0    1.795133 -10.347684
 1564.0    1.883593 -10.251317
 1565.0    1.972054 -10.154951
 1566.0    2.048482 -10.058105
 1567.0    2.124911  -9.961258
 1568.0    2.201339  -9.864412
 1569.0    2.277768  -9.767566
 1570.0    2.354196  -9.670719
 1571.0    2.419854  -9.574309
 1572.0    2.485511  -9.477898
 1573.0    2.551169  -9.381487
 1574.0    2.616826  -9.285076
 1575.0    2.682484  -9.188665
 1576.0    2.738507  -9.093231
 1577.0    2.794530  -8.997798
 1578.0    2.850554  -8.902364
 1579.0    2.906577  -8.806931
 1580.0    2.962600  -8.711497
 1581.0    3.009985  -8.617333
 1582.0    3.057370  -8.523169
 1583.0    3.104754  -8.429005
 1584.0    3.152139  -8.334841
 1585.0    3.199524  -8.240677
 1586.0    3.239061  -8.147838
 1587.0    3.278599  -8.054999
 1588.0    3.318137  -7.962160
 1589.0    3.357674  -7.869321
 1590.0    3.397212  -7.776482
 1591.0    3.429515  -7.684874
 1592.0    3.461818  -7.593266
 1593.0    3.494121  -7.501657
 1594.0    3.526423  -7.410049
 1595.0    3.558726  -7.318441
 1596.0    3.584234  -7.227801
 1597.0    3.609743  -7.137161
 1598.0    3.635251  -7.046521
 1599.0    3.660759  -6.955881
 1600.0    3.686267  -6.865241
 1601.0    3.705394  -6.774907
 1602.0    3.724521  -6.684573
 1603.0    3.743648  -6.594239
 1604.0    3.762775  -6.503905
 1605.0    3.781902  -6.413571
 1606.0    3.791893  -6.315494
 1607.0    3.801884  -6.217417
 1608.0    3.811874  -6.119341
 1609.0    3.821865  -6.021264
 1610.0    3.831856  -5.923188
 1611.0    3.824271  -5.840655
 1612.0    3.816686  -5.758123
 1613.0    3.809101  -5.675590
 1614.0    3.801516  -5.593058
 1615.0    3.793931  -5.510525
 1616.0    3.786212  -5.432738
 1617.0    3.778494  -5.354950
 1618.0    3.770776  -5.277163
 1619.0    3.763058  -5.199375
 1620.0    3.755340  -5.121588
 1621.0    3.742628  -5.046680
 1622.0    3.729917  -4.971772
 1623.0    3.717205  -4.896865
 1624.0    3.704493  -4.821957
 1625.0    3.691781  -4.747050
 1626.0    3.672630  -4.675586
 1627.0    3.653479  -4.604123
 1628.0    3.634327  -4.532660
 1629.0    3.615176  -4.461197
 1630.0    3.596025  -4.389734
 1631.0    3.569933  -4.323020
 1632.0    3.543841  -4.256305
 1633.0    3.517749  -4.189590
 1634.0    3.491657  -4.122876
 1635.0    3.465565  -4.056161
 1636.0    3.432776  -3.995777
 1637.0    3.399987  -3.935394
 1638.0    3.367199  -3.875011
 1639.0    3.334410  -3.814627
 1640.0    3.301621  -3.754244
 1641.0    3.263195  -3.701765
 1642.0    3.224769  -3.649286
 1643.0    3.186343  -3.596808
 1644.0    3.147917  -3.544329
 1645.0    3.109491  -3.491850
 1646.0    3.067150  -3.448460
 1647.0    3.024809  -3.405070
 1648.0    2.982468  -3.361680
 1649.0    2.940127  -3.318290
 1650.0    2.897786  -3.274901
 1651.0    2.853770  -3.241067
 1652.0    2.809754  -3.207233
 1653.0    2.765738  -3.173400
 1654.0    2.721722  -3.139566
 1655.0    2.677706  -3.105732
 1656.0    2.634213  -3.081149
 1657.0    2.590720  -3.056566
 1658.0    2.547227  -3.031983
 1659.0    2.503734  -3.007399
 1660.0    2.460241  -2.982816
 1661.0    2.419240  -2.966399
 1662.0    2.378239  -2.949981
 1663.0    2.337237  -2.933564
 1664.0    2.296236  -2.917146
 1665.0    2.255235  -2.900729
 1666.0    2.218134  -2.890817
 1667.0    2.181033  -2.880906
 1668.0    2.143932  -2.870995
 1669.0    2.106831  -2.861083
 1670.0    2.069730  -2.851172
 1671.0    2.037236  -2.845679
 1672.0    2.004741  -2.840187
 1673.0    1.972247  -2.834695
 1674.0    1.939753  -2.829203
 1675.0    1.907259  -2.823710
 1676.0    1.879133  -2.819610
 1677.0    1.851007  -2.815509
 1678.0    1.822881  -2.811409
 1679.0    1.794755  -2.807308
 1680.0    1.766629  -2.803208
 1681.0    1.729780  -2.801562
 1682.0    1.692932  -2.799917
 1683.0    1.656084  -2.798271
 1684.0    1.619236  -2.796625
 1685.0    1.582387  -2.794979
 1686.0    1.560957  -2.806947
 1687.0    1.539526  -2.818915
 1688.0    1.518096  -2.830882
 1689.0    1.496665  -2.842850
 1690.0    1.475234  -2.854817
 1691.0    1.461764  -2.864159
 1692.0    1.448294  -2.873501
 1693.0    1.434823  -2.882843
 1694.0    1.421353  -2.892185
 1695.0    1.407882  -2.901527
 1696.0    1.399015  -2.909359
 1697.0    1.390148  -2.917190
 1698.0    1.381281  -2.925021
 1699.0    1.372414  -2.932853
 1700.0    1.363547  -2.940684
 1701.0    1.358024  -2.947224
 1702.0    1.352500  -2.953765
 1703.0    1.346977  -2.960305
 1704.0    1.341454  -2.966846
 1705.0    1.335930  -2.973386
 1706.0    1.333000  -2.978709
 1707.0    1.330069  -2.984033
 1708.0    1.327139  -2.989356
 1709.0    1.324208  -2.994679
 1710.0    1.321278  -3.000003
 1711.0    1.320379  -3.004120
 1712.0    1.319480  -3.008238
 1713.0    1.318582  -3.012356
 1714.0    1.317683  -3.016473
 1715.0    1.316784  -3.020591
 1716.0    1.317533  -3.023560
 1717.0    1.318282  -3.026530
 1718.0    1.319031  -3.029499
 1719.0    1.319780  -3.032468
 1720.0    1.320529  -3.035437
 1721.0    1.322598  -3.037293
 1722.0    1.324668  -3.039149
 1723.0    1.326738  -3.041004
 1724.0    1.328807  -3.042860
 1725.0    1.330877  -3.044715
 1726.0    1.333998  -3.045500
 1727.0    1.337119  -3.046284
 1728.0    1.340240  -3.047068
 1729.0    1.343361  -3.047852
 1730.0    1.346482  -3.048636
 1731.0    1.350438  -3.048400
 1732.0    1.354395  -3.048163
 1733.0    1.358351  -3.047927
 1734.0    1.362307  -3.047690
 1735.0    1.366264  -3.047453
 1736.0    1.370877  -3.046249
 1737.0    1.375490  -3.045046
 1738.0    1.380102  -3.043842
 1739.0    1.384715  -3.042638
 1740.0    1.389328  -3.041434
 1741.0    1.394449  -3.039318
 1742.0    1.399569  -3.037203
 1743.0    1.404690  -3.035087
 1744.0    1.409810  -3.032971
 1745.0    1.414930  -3.030856
 1746.0    1.420433  -3.027882
 1747.0    1.425936  -3.024909
 1748.0    1.431439  -3.021935
