   W         E2-(pi0_p)
 (MeV)      Re      Im
 1285.0   -1.191   0.090
 1286.0   -1.193   0.091
 1287.0   -1.196   0.093
 1288.0   -1.198   0.094
 1289.0   -1.200   0.096
 1290.0   -1.202   0.097
 1291.0   -1.204   0.099
 1292.0   -1.206   0.101
 1293.0   -1.208   0.102
 1294.0   -1.210   0.104
 1295.0   -1.213   0.105
 1296.0   -1.215   0.107
 1297.0   -1.217   0.109
 1298.0   -1.219   0.110
 1299.0   -1.221   0.112
 1300.0   -1.223   0.114
 1301.0   -1.225   0.115
 1302.0   -1.226   0.117
 1303.0   -1.228   0.119
 1304.0   -1.230   0.120
 1305.0   -1.232   0.122
 1306.0   -1.234   0.124
 1307.0   -1.221   0.000
 1308.0   -1.222   0.000
 1309.0   -1.224   0.000
 1310.0   -1.226   0.000
 1311.0   -1.227   0.000
 1312.0   -1.229   0.000
 1313.0   -1.230   0.000
 1314.0   -1.231   0.000
 1315.0   -1.233   0.000
 1316.0   -1.234   0.000
 1317.0   -1.236   0.000
 1318.0   -1.237   0.000
 1319.0   -1.239   0.000
 1320.0   -1.240   0.000
 1321.0   -1.241   0.000
 1322.0   -1.243   0.000
 1323.0   -1.244   0.000
 1324.0   -1.245   0.000
 1325.0   -1.247   0.000
 1326.0   -1.248   0.000
 1327.0   -1.249   0.000
 1328.0   -1.250   0.000
 1329.0   -1.252   0.000
 1330.0   -1.253   0.000
 1331.0   -1.254   0.000
 1332.0   -1.255   0.000
 1333.0   -1.257   0.000
 1334.0   -1.258   0.000
 1335.0   -1.259   0.000
 1336.0   -1.260   0.000
 1337.0   -1.261   0.000
 1338.0   -1.262   0.000
 1339.0   -1.263   0.000
 1340.0   -1.264   0.000
 1341.0   -1.266   0.000
 1342.0   -1.267   0.000
 1343.0   -1.268   0.000
 1344.0   -1.269   0.000
 1345.0   -1.270   0.000
 1346.0   -1.271   0.000
 1347.0   -1.272   0.000
 1348.0   -1.273   0.000
 1349.0   -1.274   0.000
 1350.0   -1.275   0.000
 1351.0   -1.276   0.000
 1352.0   -1.277   0.000
 1353.0   -1.278   0.000
 1354.0   -1.279   0.000
 1355.0   -1.280   0.000
 1356.0   -1.280   0.000
 1357.0   -1.281   0.000
 1358.0   -1.282   0.000
 1359.0   -1.283   0.000
 1360.0   -1.284   0.000
 1361.0   -1.285   0.000
 1362.0   -1.286   0.000
 1363.0   -1.286   0.000
 1364.0   -1.287   0.000
 1365.0   -1.288   0.000
 1366.0   -1.289   0.000
 1367.0   -1.290   0.000
 1368.0   -1.290   0.000
 1369.0   -1.291   0.000
 1370.0   -1.292   0.000
 1371.0   -1.293   0.000
 1372.0   -1.293   0.000
 1373.0   -1.294   0.000
 1374.0   -1.295   0.000
 1375.0   -1.296   0.000
 1376.0   -1.296   0.000
 1377.0   -1.297   0.000
 1378.0   -1.298   0.000
 1379.0   -1.298   0.000
 1380.0   -1.299   0.000
