   W         M2-(pi0_p)
 (MeV)      Re      Im
 1300.0    0.323   0.040
 1301.0    0.326   0.040
 1302.0    0.328   0.041
 1303.0    0.330   0.041
 1304.0    0.333   0.042
 1305.0    0.335   0.043
 1306.0    0.338   0.043
 1307.0    0.345   0.000
 1308.0    0.348   0.000
 1309.0    0.350   0.000
 1310.0    0.353   0.000
 1311.0    0.355   0.000
 1312.0    0.358   0.000
 1313.0    0.361   0.000
 1314.0    0.363   0.000
 1315.0    0.366   0.000
 1316.0    0.368   0.000
 1317.0    0.371   0.000
 1318.0    0.374   0.000
 1319.0    0.376   0.000
 1320.0    0.379   0.000
 1321.0    0.382   0.000
 1322.0    0.384   0.000
 1323.0    0.387   0.000
 1324.0    0.390   0.000
 1325.0    0.392   0.000
 1326.0    0.395   0.000
 1327.0    0.398   0.000
 1328.0    0.401   0.000
 1329.0    0.403   0.000
 1330.0    0.406   0.000
 1331.0    0.409   0.000
 1332.0    0.412   0.000
 1333.0    0.414   0.000
 1334.0    0.417   0.000
 1335.0    0.420   0.000
 1336.0    0.423   0.000
 1337.0    0.425   0.000
 1338.0    0.428   0.000
 1339.0    0.431   0.000
 1340.0    0.434   0.000
 1341.0    0.437   0.000
 1342.0    0.439   0.000
 1343.0    0.442   0.000
 1344.0    0.445   0.000
 1345.0    0.448   0.000
 1346.0    0.451   0.000
 1347.0    0.454   0.000
 1348.0    0.457   0.000
 1349.0    0.459   0.000
 1350.0    0.462   0.000
 1351.0    0.465   0.000
 1352.0    0.468   0.000
 1353.0    0.471   0.000
 1354.0    0.474   0.000
 1355.0    0.477   0.000
 1356.0    0.480   0.000
 1357.0    0.483   0.000
 1358.0    0.486   0.000
 1359.0    0.489   0.000
 1360.0    0.491   0.000
 1361.0    0.494   0.000
 1362.0    0.497   0.000
 1363.0    0.500   0.000
 1364.0    0.503   0.000
 1365.0    0.506   0.000
 1366.0    0.509   0.000
 1367.0    0.512   0.000
 1368.0    0.515   0.000
 1369.0    0.518   0.000
 1370.0    0.521   0.000
 1371.0    0.524   0.000
 1372.0    0.527   0.000
 1373.0    0.530   0.000
 1374.0    0.533   0.000
 1375.0    0.537   0.000
 1376.0    0.540   0.000
 1377.0    0.543   0.000
 1378.0    0.546   0.000
 1379.0    0.549   0.000
 1380.0    0.552   0.000
 1381.0    0.555   0.000
 1382.0    0.558   0.000
 1383.0    0.561   0.000
 1384.0    0.564   0.000
 1385.0    0.567   0.000
 1386.0    0.570   0.000
 1387.0    0.574   0.000
 1388.0    0.577   0.000
 1389.0    0.580   0.000
 1390.0    0.583   0.000
 1391.0    0.586   0.000
 1392.0    0.589   0.000
 1393.0    0.592   0.000
 1394.0    0.596   0.000
 1395.0    0.599   0.000
 1396.0    0.602   0.000
 1397.0    0.605   0.000
 1398.0    0.608   0.000
 1399.0    0.611   0.000
 1400.0    0.615   0.000
 1401.0    0.618   0.000
 1402.0    0.621   0.000
 1403.0    0.624   0.000
 1404.0    0.628   0.000
 1405.0    0.631   0.000
 1406.0    0.634   0.000
 1407.0    0.637   0.000
 1408.0    0.640   0.000
 1409.0    0.644   0.000
 1410.0    0.647   0.000
 1411.0    0.650   0.000
 1412.0    0.653   0.000
 1413.0    0.657   0.000
 1414.0    0.660   0.000
 1415.0    0.663   0.000
 1416.0    0.667   0.000
 1417.0    0.670   0.000
 1418.0    0.673   0.000
 1419.0    0.676   0.000
 1420.0    0.680   0.000
 1421.0    0.683   0.000
 1422.0    0.686   0.000
 1423.0    0.690   0.000
 1424.0    0.693   0.000
 1425.0    0.696   0.000
 1426.0    0.700   0.000
 1427.0    0.703   0.000
 1428.0    0.706   0.000
 1429.0    0.710   0.000
 1430.0    0.713   0.000
 1431.0    0.716   0.000
 1432.0    0.720   0.000
 1433.0    0.723   0.000
 1434.0    0.727   0.000
 1435.0    0.730   0.000
 1436.0    0.733   0.000
 1437.0    0.737   0.000
 1438.0    0.740   0.000
 1439.0    0.743   0.000
 1440.0    0.747   0.000
 1441.0    0.750   0.000
 1442.0    0.754   0.000
 1443.0    0.757   0.000
 1444.0    0.760   0.000
 1445.0    0.764   0.000
 1446.0    0.767   0.000
 1447.0    0.771   0.000
 1448.0    0.774   0.000
 1449.0    0.778   0.000
 1450.0    0.781   0.000
 1451.0    0.784   0.000
 1452.0    0.788   0.000
 1453.0    0.791   0.000
 1454.0    0.795   0.000
 1455.0    0.798   0.000
 1456.0    0.802   0.000
 1457.0    0.805   0.000
 1458.0    0.809   0.000
 1459.0    0.812   0.000
 1460.0    0.816   0.000
 1461.0    0.819   0.000
 1462.0    0.823   0.000
 1463.0    0.826   0.000
 1464.0    0.830   0.000
 1465.0    0.833   0.000
 1466.0    0.837   0.000
 1467.0    0.840   0.000
 1468.0    0.844   0.000
 1469.0    0.847   0.000
 1470.0    0.851   0.000
 1471.0    0.854   0.000
 1472.0    0.858   0.000
 1473.0    0.861   0.000
 1474.0    0.865   0.000
 1475.0    0.868   0.000
 1476.0    0.872   0.000
 1477.0    0.875   0.000
 1478.0    0.879   0.000
 1479.0    0.883   0.000
 1480.0    0.886   0.000
 1481.0    0.890   0.000
 1482.0    0.893   0.000
 1483.0    0.897   0.000
 1484.0    0.900   0.000
 1485.0    0.904   0.000
 1486.0    0.908   0.000
 1487.0    0.911   0.000
 1488.0    0.915   0.000
 1489.0    0.918   0.000
 1490.0    0.922   0.000
 1491.0    0.925   0.000
 1492.0    0.929   0.000
 1493.0    0.933   0.000
 1494.0    0.936   0.000
 1495.0    0.940   0.000
 1496.0    0.944   0.000
 1497.0    0.947   0.000
 1498.0    0.951   0.000
 1499.0    0.954   0.000
 1500.0    0.958   0.000
 1501.0    0.962   0.000
 1502.0    0.965   0.000
 1503.0    0.969   0.000
 1504.0    0.973   0.000
 1505.0    0.976   0.000
 1506.0    0.980   0.000
 1507.0    0.983   0.000
 1508.0    0.987   0.000
 1509.0    0.991   0.000
 1510.0    0.994   0.000
 1511.0    0.998   0.000
 1512.0    1.002   0.000
 1513.0    1.005   0.000
 1514.0    1.009   0.000
 1515.0    1.013   0.000
 1516.0    1.016   0.000
 1517.0    1.020   0.000
 1518.0    1.024   0.000
 1519.0    1.027   0.000
 1520.0    1.031   0.000
 1521.0    1.035   0.000
 1522.0    1.038   0.000
 1523.0    1.042   0.000
 1524.0    1.046   0.000
 1525.0    1.049   0.000
 1526.0    1.053   0.000
 1527.0    1.057   0.000
 1528.0    1.061   0.000
 1529.0    1.064   0.000
 1530.0    1.068   0.000
 1531.0    1.072   0.000
 1532.0    1.075   0.000
 1533.0    1.079   0.000
 1534.0    1.083   0.000
 1535.0    1.086   0.000
 1536.0    1.090   0.000
 1537.0    1.094   0.000
 1538.0    1.098   0.000
 1539.0    1.101   0.000
 1540.0    1.105   0.000
 1541.0    1.109   0.000
 1542.0    1.113   0.000
 1543.0    1.116   0.000
 1544.0    1.120   0.000
 1545.0    1.124   0.000
 1546.0    1.127   0.000
 1547.0    1.131   0.000
 1548.0    1.135   0.000
 1549.0    1.139   0.000
 1550.0    1.142   0.000
 1551.0    1.146   0.000
 1552.0    1.150   0.000
 1553.0    1.154   0.000
 1554.0    1.157   0.000
 1555.0    1.161   0.000
 1556.0    1.165   0.000
 1557.0    1.169   0.000
 1558.0    1.172   0.000
 1559.0    1.176   0.000
 1560.0    1.180   0.000
 1561.0    1.184   0.000
 1562.0    1.188   0.000
 1563.0    1.191   0.000
 1564.0    1.195   0.000
 1565.0    1.199   0.000
 1566.0    1.203   0.000
 1567.0    1.206   0.000
 1568.0    1.210   0.000
 1569.0    1.214   0.000
 1570.0    1.218   0.000
 1571.0    1.222   0.000
 1572.0    1.225   0.000
 1573.0    1.229   0.000
 1574.0    1.233   0.000
 1575.0    1.237   0.000
 1576.0    1.240   0.000
 1577.0    1.244   0.000
 1578.0    1.248   0.000
 1579.0    1.252   0.000
 1580.0    1.256   0.000
 1581.0    1.259   0.000
 1582.0    1.263   0.000
 1583.0    1.267   0.000
 1584.0    1.271   0.000
 1585.0    1.275   0.000
 1586.0    1.278   0.000
 1587.0    1.282   0.000
 1588.0    1.286   0.000
 1589.0    1.290   0.000
 1590.0    1.294   0.000
 1591.0    1.297   0.000
 1592.0    1.301   0.000
 1593.0    1.305   0.000
 1594.0    1.309   0.000
 1595.0    1.313   0.000
 1596.0    1.316   0.000
 1597.0    1.320   0.000
 1598.0    1.324   0.000
 1599.0    1.328   0.000
 1600.0    1.332   0.000
 1601.0    1.336   0.000
 1602.0    1.339   0.000
 1603.0    1.343   0.000
 1604.0    1.347   0.000
 1605.0    1.351   0.000
 1606.0    1.355   0.000
 1607.0    1.359   0.000
 1608.0    1.362   0.000
 1609.0    1.366   0.000
 1610.0    1.370   0.000
 1611.0    1.374   0.000
 1612.0    1.378   0.000
 1613.0    1.381   0.000
 1614.0    1.385   0.000
 1615.0    1.389   0.000
 1616.0    1.393   0.000
 1617.0    1.397   0.000
 1618.0    1.401   0.000
 1619.0    1.405   0.000
 1620.0    1.408   0.000
 1621.0    1.412   0.000
 1622.0    1.416   0.000
 1623.0    1.420   0.000
 1624.0    1.424   0.000
 1625.0    1.428   0.000
 1626.0    1.431   0.000
 1627.0    1.435   0.000
 1628.0    1.439   0.000
 1629.0    1.443   0.000
 1630.0    1.447   0.000
 1631.0    1.451   0.000
 1632.0    1.454   0.000
 1633.0    1.458   0.000
 1634.0    1.462   0.000
