   W         E1+(pi0_p)
 (MeV)      Re      Im
 1280.0    0.996   0.233
 1281.0    0.986   0.240
 1282.0    0.977   0.247
 1283.0    0.967   0.254
 1284.0    0.958   0.260
 1285.0    0.948   0.266
 1286.0    0.939   0.272
 1287.0    0.930   0.278
 1288.0    0.920   0.283
 1289.0    0.911   0.288
 1290.0    0.902   0.293
 1291.0    0.893   0.298
 1292.0    0.884   0.302
 1293.0    0.875   0.307
 1294.0    0.866   0.311
 1295.0    0.858   0.315
 1296.0    0.849   0.319
 1297.0    0.840   0.323
 1298.0    0.832   0.326
 1299.0    0.823   0.330
 1300.0    0.815   0.333
 1301.0    0.807   0.336
 1302.0    0.799   0.339
 1303.0    0.791   0.342
 1304.0    0.783   0.344
 1305.0    0.775   0.347
 1306.0    0.767   0.349
 1307.0    0.759   0.351
 1308.0    0.752   0.354
 1309.0    0.744   0.356
 1310.0    0.736   0.358
 1311.0    0.729   0.359
 1312.0    0.722   0.361
 1313.0    0.714   0.363
 1314.0    0.707   0.364
 1315.0    0.700   0.366
 1316.0    0.693   0.367
 1317.0    0.686   0.369
 1318.0    0.679   0.370
 1319.0    0.672   0.371
 1320.0    0.665   0.372
 1321.0    0.658   0.373
 1322.0    0.652   0.374
 1323.0    0.645   0.375
 1324.0    0.639   0.376
 1325.0    0.632   0.376
 1326.0    0.626   0.377
 1327.0    0.620   0.377
 1328.0    0.614   0.378
 1329.0    0.607   0.378
 1330.0    0.601   0.379
 1331.0    0.595   0.379
 1332.0    0.589   0.380
 1333.0    0.583   0.380
 1334.0    0.578   0.380
 1335.0    0.572   0.380
 1336.0    0.566   0.380
 1337.0    0.560   0.380
 1338.0    0.555   0.381
 1339.0    0.549   0.381
 1340.0    0.544   0.380
 1341.0    0.538   0.380
 1342.0    0.533   0.380
 1343.0    0.528   0.380
 1344.0    0.522   0.380
 1345.0    0.517   0.380
 1346.0    0.512   0.379
 1347.0    0.507   0.379
 1348.0    0.502   0.379
 1349.0    0.497   0.378
 1350.0    0.492   0.378
 1351.0    0.487   0.378
 1352.0    0.482   0.377
 1353.0    0.477   0.377
 1354.0    0.473   0.376
 1355.0    0.468   0.376
 1356.0    0.463   0.375
 1357.0    0.459   0.374
 1358.0    0.454   0.374
 1359.0    0.450   0.373
 1360.0    0.445   0.373
 1361.0    0.441   0.372
 1362.0    0.436   0.371
 1363.0    0.432   0.370
 1364.0    0.428   0.370
 1365.0    0.424   0.369
 1366.0    0.420   0.368
 1367.0    0.415   0.367
 1368.0    0.411   0.367
 1369.0    0.407   0.366
 1370.0    0.403   0.365
 1371.0    0.399   0.364
 1372.0    0.395   0.363
 1373.0    0.391   0.362
 1374.0    0.388   0.361
 1375.0    0.384   0.360
 1376.0    0.380   0.359
 1377.0    0.376   0.358
 1378.0    0.373   0.358
 1379.0    0.369   0.357
 1380.0    0.365   0.356
 1381.0    0.362   0.355
 1382.0    0.358   0.354
 1383.0    0.355   0.352
 1384.0    0.351   0.351
 1385.0    0.348   0.350
 1386.0    0.344   0.349
 1387.0    0.341   0.348
 1388.0    0.338   0.347
 1389.0    0.335   0.346
 1390.0    0.331   0.345
 1391.0    0.328   0.344
 1392.0    0.325   0.343
 1393.0    0.322   0.341
 1394.0    0.319   0.340
 1395.0    0.315   0.339
 1396.0    0.312   0.338
 1397.0    0.309   0.337
 1398.0    0.306   0.336
 1399.0    0.303   0.334
 1400.0    0.300   0.333
 1401.0    0.298   0.332
 1402.0    0.295   0.331
 1403.0    0.292   0.330
 1404.0    0.289   0.329
 1405.0    0.286   0.327
 1406.0    0.284   0.326
 1407.0    0.281   0.325
 1408.0    0.278   0.324
 1409.0    0.276   0.323
 1410.0    0.273   0.321
 1411.0    0.271   0.320
 1412.0    0.268   0.319
 1413.0    0.265   0.318
 1414.0    0.263   0.316
 1415.0    0.261   0.315
 1416.0    0.258   0.314
 1417.0    0.256   0.313
 1418.0    0.253   0.311
 1419.0    0.251   0.310
 1420.0    0.249   0.309
 1421.0    0.246   0.307
 1422.0    0.244   0.306
 1423.0    0.242   0.305
 1424.0    0.240   0.304
 1425.0    0.238   0.302
 1426.0    0.236   0.301
 1427.0    0.234   0.300
 1428.0    0.232   0.299
 1429.0    0.229   0.297
 1430.0    0.227   0.296
 1431.0    0.226   0.295
 1432.0    0.224   0.294
 1433.0    0.222   0.292
 1434.0    0.220   0.291
 1435.0    0.218   0.290
 1436.0    0.216   0.288
 1437.0    0.214   0.287
 1438.0    0.212   0.286
 1439.0    0.211   0.285
 1440.0    0.209   0.283
 1441.0    0.207   0.282
 1442.0    0.205   0.281
 1443.0    0.204   0.280
 1444.0    0.202   0.278
 1445.0    0.200   0.277
 1446.0    0.199   0.276
 1447.0    0.197   0.275
 1448.0    0.196   0.273
 1449.0    0.194   0.272
 1450.0    0.193   0.271
 1451.0    0.191   0.270
 1452.0    0.190   0.269
 1453.0    0.188   0.267
 1454.0    0.187   0.266
 1455.0    0.186   0.265
 1456.0    0.184   0.264
 1457.0    0.183   0.263
 1458.0    0.182   0.262
 1459.0    0.180   0.260
 1460.0    0.179   0.259
 1461.0    0.178   0.258
 1462.0    0.177   0.257
 1463.0    0.175   0.256
 1464.0    0.174   0.255
 1465.0    0.173   0.254
 1466.0    0.172   0.252
 1467.0    0.171   0.251
 1468.0    0.170   0.250
 1469.0    0.169   0.249
 1470.0    0.168   0.248
 1471.0    0.167   0.247
 1472.0    0.166   0.246
 1473.0    0.165   0.245
 1474.0    0.164   0.244
 1475.0    0.163   0.243
 1476.0    0.162   0.242
 1477.0    0.161   0.241
 1478.0    0.160   0.240
 1479.0    0.159   0.239
 1480.0    0.159   0.238
 1481.0    0.158   0.237
 1482.0    0.157   0.236
 1483.0    0.156   0.235
 1484.0    0.155   0.234
 1485.0    0.155   0.233
 1486.0    0.154   0.232
 1487.0    0.153   0.231
 1488.0    0.153   0.230
 1489.0    0.152   0.229
 1490.0    0.151   0.228
 1491.0    0.151   0.227
 1492.0    0.150   0.227
 1493.0    0.149   0.226
 1494.0    0.149   0.225
 1495.0    0.148   0.224
 1496.0    0.148   0.223
 1497.0    0.147   0.222
 1498.0    0.147   0.222
 1499.0    0.146   0.221
 1500.0    0.146   0.220
 1501.0    0.146   0.219
 1502.0    0.147   0.218
 1503.0    0.147   0.217
 1504.0    0.148   0.216
 1505.0    0.148   0.215
 1506.0    0.148   0.214
 1507.0    0.149   0.214
 1508.0    0.149   0.213
 1509.0    0.150   0.212
 1510.0    0.150   0.211
 1511.0    0.151   0.210
 1512.0    0.152   0.209
 1513.0    0.152   0.208
 1514.0    0.153   0.208
 1515.0    0.154   0.207
