   W         M2-(pi0_p)
 (MeV)      Re      Im
 1300.0    0.389   0.086
 1301.0    0.392   0.088
 1302.0    0.396   0.090
 1303.0    0.399   0.091
 1304.0    0.403   0.093
 1305.0    0.407   0.094
 1306.0    0.410   0.096
 1307.0    0.414   0.098
 1308.0    0.418   0.099
 1309.0    0.422   0.101
 1310.0    0.425   0.103
 1311.0    0.429   0.105
 1312.0    0.433   0.107
 1313.0    0.437   0.108
 1314.0    0.441   0.110
 1315.0    0.445   0.112
 1316.0    0.449   0.114
 1317.0    0.452   0.116
 1318.0    0.456   0.118
 1319.0    0.460   0.120
 1320.0    0.464   0.122
 1321.0    0.469   0.124
 1322.0    0.473   0.126
 1323.0    0.477   0.129
 1324.0    0.481   0.131
 1325.0    0.485   0.133
 1326.0    0.489   0.135
 1327.0    0.493   0.138
 1328.0    0.498   0.140
 1329.0    0.502   0.142
 1330.0    0.506   0.145
 1331.0    0.510   0.147
 1332.0    0.515   0.150
 1333.0    0.519   0.152
 1334.0    0.524   0.155
 1335.0    0.528   0.157
 1336.0    0.532   0.160
 1337.0    0.537   0.163
 1338.0    0.541   0.165
 1339.0    0.546   0.168
 1340.0    0.550   0.171
 1341.0    0.555   0.174
 1342.0    0.560   0.177
 1343.0    0.564   0.180
 1344.0    0.569   0.183
 1345.0    0.574   0.186
 1346.0    0.579   0.189
 1347.0    0.583   0.192
 1348.0    0.588   0.195
 1349.0    0.593   0.199
 1350.0    0.598   0.202
 1351.0    0.603   0.205
 1352.0    0.608   0.209
 1353.0    0.613   0.212
 1354.0    0.617   0.216
 1355.0    0.622   0.219
 1356.0    0.628   0.223
 1357.0    0.633   0.227
 1358.0    0.638   0.230
 1359.0    0.643   0.234
 1360.0    0.648   0.238
 1361.0    0.653   0.242
 1362.0    0.658   0.246
 1363.0    0.664   0.250
 1364.0    0.669   0.254
 1365.0    0.674   0.259
 1366.0    0.679   0.263
 1367.0    0.685   0.267
 1368.0    0.690   0.272
 1369.0    0.696   0.276
 1370.0    0.701   0.281
 1371.0    0.707   0.285
 1372.0    0.712   0.290
 1373.0    0.718   0.295
 1374.0    0.723   0.300
 1375.0    0.729   0.305
 1376.0    0.735   0.310
 1377.0    0.740   0.315
 1378.0    0.746   0.320
 1379.0    0.752   0.326
 1380.0    0.757   0.331
 1381.0    0.763   0.337
 1382.0    0.769   0.342
 1383.0    0.775   0.348
 1384.0    0.781   0.354
 1385.0    0.787   0.360
 1386.0    0.792   0.366
 1387.0    0.798   0.372
 1388.0    0.804   0.379
 1389.0    0.810   0.385
 1390.0    0.816   0.391
 1391.0    0.822   0.398
 1392.0    0.829   0.405
 1393.0    0.835   0.412
 1394.0    0.841   0.419
 1395.0    0.847   0.426
 1396.0    0.853   0.433
 1397.0    0.859   0.441
 1398.0    0.866   0.448
 1399.0    0.872   0.456
 1400.0    0.878   0.464
 1401.0    0.884   0.472
 1402.0    0.890   0.480
 1403.0    0.897   0.488
 1404.0    0.903   0.496
 1405.0    0.909   0.505
 1406.0    0.916   0.514
 1407.0    0.922   0.523
 1408.0    0.928   0.532
 1409.0    0.934   0.541
 1410.0    0.941   0.551
 1411.0    0.947   0.560
 1412.0    0.953   0.570
 1413.0    0.960   0.580
 1414.0    0.966   0.590
 1415.0    0.972   0.601
 1416.0    0.978   0.611
 1417.0    0.984   0.622
 1418.0    0.991   0.633
 1419.0    0.997   0.645
 1420.0    1.003   0.656
 1421.0    1.009   0.668
 1422.0    1.015   0.680
 1423.0    1.021   0.692
 1424.0    1.027   0.704
 1425.0    1.033   0.717
 1426.0    1.039   0.730
 1427.0    1.044   0.743
 1428.0    1.050   0.757
 1429.0    1.056   0.771
 1430.0    1.061   0.785
 1431.0    1.067   0.799
 1432.0    1.072   0.814
 1433.0    1.077   0.829
 1434.0    1.082   0.844
 1435.0    1.087   0.859
 1436.0    1.092   0.875
 1437.0    1.097   0.891
 1438.0    1.101   0.908
 1439.0    1.105   0.924
 1440.0    1.110   0.941
 1441.0    1.114   0.959
 1442.0    1.117   0.977
 1443.0    1.121   0.995
 1444.0    1.124   1.013
 1445.0    1.127   1.032
 1446.0    1.130   1.051
 1447.0    1.133   1.071
 1448.0    1.135   1.091
 1449.0    1.137   1.111
 1450.0    1.139   1.131
 1451.0    1.140   1.152
 1452.0    1.141   1.174
 1453.0    1.141   1.196
 1454.0    1.142   1.218
 1455.0    1.141   1.240
 1456.0    1.141   1.263
 1457.0    1.139   1.286
 1458.0    1.138   1.310
 1459.0    1.136   1.334
 1460.0    1.133   1.358
 1461.0    1.130   1.383
 1462.0    1.126   1.408
 1463.0    1.121   1.433
 1464.0    1.116   1.459
 1465.0    1.110   1.485
 1466.0    1.104   1.511
 1467.0    1.096   1.537
 1468.0    1.088   1.564
 1469.0    1.080   1.591
 1470.0    1.070   1.618
 1471.0    1.060   1.645
 1472.0    1.048   1.673
 1473.0    1.036   1.701
 1474.0    1.023   1.728
 1475.0    1.009   1.756
 1476.0    0.993   1.784
 1477.0    0.977   1.812
 1478.0    0.960   1.840
 1479.0    0.942   1.867
 1480.0    0.923   1.895
 1481.0    0.902   1.922
 1482.0    0.881   1.949
 1483.0    0.858   1.976
 1484.0    0.834   2.002
 1485.0    0.809   2.028
 1486.0    0.783   2.054
 1487.0    0.756   2.079
 1488.0    0.727   2.103
 1489.0    0.698   2.126
 1490.0    0.667   2.149
 1491.0    0.635   2.171
 1492.0    0.603   2.192
 1493.0    0.569   2.213
 1494.0    0.534   2.232
 1495.0    0.498   2.250
 1496.0    0.461   2.266
 1497.0    0.423   2.282
 1498.0    0.385   2.296
 1499.0    0.345   2.309
 1500.0    0.305   2.321
 1501.0    0.265   2.330
 1502.0    0.223   2.339
 1503.0    0.182   2.346
 1504.0    0.140   2.351
 1505.0    0.097   2.355
