   W         E0+(pi0_p)
 (MeV)      Re      Im
 1074.0   -1.264   0.000
 1075.0   -1.180   0.000
 1076.0   -1.084   0.000
 1077.0   -0.971   0.000
 1078.0   -0.824   0.000
 1079.0   -0.459   0.005
 1080.0   -0.472   0.388
 1081.0   -0.486   0.546
 1082.0   -0.499   0.666
 1083.0   -0.513   0.766
 1084.0   -0.527   0.852
 1085.0   -0.540   0.929
 1086.0   -0.554   0.999
 1087.0   -0.567   1.064
 1088.0   -0.581   1.123
 1089.0   -0.595   1.179
 1090.0   -0.609   1.231
 1091.0   -0.623   1.296
 1092.0   -0.636   1.351
 1093.0   -0.649   1.398
 1094.0   -0.662   1.438
 1095.0   -0.674   1.473
 1096.0   -0.686   1.503
 1097.0   -0.698   1.531
 1098.0   -0.709   1.556
 1099.0   -0.721   1.580
 1100.0   -0.732   1.605
 1101.0   -0.743   1.631
 1102.0   -0.755   1.657
 1103.0   -0.766   1.684
 1104.0   -0.778   1.712
 1105.0   -0.789   1.740
 1106.0   -0.801   1.768
 1107.0   -0.813   1.795
 1108.0   -0.824   1.822
 1109.0   -0.835   1.849
 1110.0   -0.847   1.875
 1111.0   -0.858   1.900
 1112.0   -0.869   1.924
 1113.0   -0.880   1.947
 1114.0   -0.890   1.969
 1115.0   -0.901   1.991
 1116.0   -0.911   2.012
 1117.0   -0.922   2.033
 1118.0   -0.932   2.053
 1119.0   -0.942   2.073
 1120.0   -0.953   2.093
 1121.0   -0.963   2.112
 1122.0   -0.973   2.132
 1123.0   -0.983   2.151
 1124.0   -0.992   2.170
 1125.0   -1.002   2.189
 1126.0   -1.012   2.207
 1127.0   -1.022   2.225
 1128.0   -1.031   2.243
 1129.0   -1.041   2.261
 1130.0   -1.050   2.278
 1131.0   -1.059   2.295
 1132.0   -1.068   2.311
 1133.0   -1.078   2.328
 1134.0   -1.087   2.343
 1135.0   -1.096   2.359
 1136.0   -1.104   2.374
 1137.0   -1.113   2.389
 1138.0   -1.122   2.404
 1139.0   -1.131   2.419
 1140.0   -1.139   2.434
 1141.0   -1.148   2.448
