   W         E2+(pi0_p)
 (MeV)      Re      Im
 1287.0   -0.008   0.012
 1288.0   -0.008   0.012
 1289.0   -0.008   0.013
 1290.0   -0.008   0.013
 1291.0   -0.008   0.013
 1292.0   -0.008   0.013
 1293.0   -0.008   0.013
 1294.0   -0.008   0.013
 1295.0   -0.008   0.013
 1296.0   -0.008   0.013
 1297.0   -0.008   0.013
 1298.0   -0.009   0.014
 1299.0   -0.009   0.014
 1300.0   -0.009   0.014
 1301.0   -0.009   0.014
 1302.0   -0.009   0.014
 1303.0   -0.009   0.014
 1304.0   -0.009   0.014
 1305.0   -0.009   0.014
 1306.0   -0.009   0.014
 1307.0   -0.009   0.000
 1308.0   -0.009   0.000
 1309.0   -0.009   0.000
 1310.0   -0.009   0.000
 1311.0   -0.009   0.000
 1312.0   -0.009   0.000
 1313.0   -0.009   0.000
 1314.0   -0.009   0.000
 1315.0   -0.009   0.000
 1316.0   -0.009   0.000
 1317.0   -0.009   0.000
 1318.0   -0.009   0.000
 1319.0   -0.010   0.000
 1320.0   -0.010   0.000
 1321.0   -0.010   0.000
 1322.0   -0.010   0.000
 1323.0   -0.010   0.000
 1324.0   -0.010   0.000
 1325.0   -0.010   0.000
 1326.0   -0.010   0.000
 1327.0   -0.010   0.000
 1328.0   -0.010   0.000
 1329.0   -0.010   0.000
 1330.0   -0.010   0.000
 1331.0   -0.010   0.000
 1332.0   -0.010   0.000
 1333.0   -0.010   0.000
 1334.0   -0.010   0.000
 1335.0   -0.010   0.000
 1336.0   -0.010   0.000
 1337.0   -0.011   0.000
 1338.0   -0.011   0.000
 1339.0   -0.011   0.000
 1340.0   -0.011   0.000
 1341.0   -0.011   0.000
 1342.0   -0.011   0.000
 1343.0   -0.011   0.000
 1344.0   -0.011   0.000
 1345.0   -0.011   0.000
 1346.0   -0.011   0.000
 1347.0   -0.011   0.000
 1348.0   -0.011   0.000
 1349.0   -0.011   0.000
 1350.0   -0.011   0.000
 1351.0   -0.011   0.000
 1352.0   -0.011   0.000
 1353.0   -0.011   0.000
 1354.0   -0.011   0.000
 1355.0   -0.012   0.000
 1356.0   -0.012   0.000
 1357.0   -0.012   0.000
 1358.0   -0.012   0.000
 1359.0   -0.012   0.000
 1360.0   -0.012   0.000
 1361.0   -0.012   0.000
 1362.0   -0.012   0.000
 1363.0   -0.012   0.000
 1364.0   -0.012   0.000
 1365.0   -0.012   0.000
 1366.0   -0.012   0.000
 1367.0   -0.012   0.000
 1368.0   -0.012   0.000
 1369.0   -0.012   0.000
 1370.0   -0.012   0.000
 1371.0   -0.012   0.000
 1372.0   -0.013   0.000
 1373.0   -0.013   0.000
 1374.0   -0.013   0.000
 1375.0   -0.013   0.000
 1376.0   -0.013   0.000
 1377.0   -0.013   0.000
 1378.0   -0.013   0.000
 1379.0   -0.013   0.000
 1380.0   -0.013   0.000
 1381.0   -0.013   0.000
 1382.0   -0.013   0.000
 1383.0   -0.013   0.000
 1384.0   -0.013   0.000
 1385.0   -0.013   0.000
 1386.0   -0.013   0.000
 1387.0   -0.013   0.000
 1388.0   -0.013   0.000
 1389.0   -0.013   0.000
 1390.0   -0.014   0.000
 1391.0   -0.014   0.000
 1392.0   -0.014   0.000
 1393.0   -0.014   0.000
 1394.0   -0.014   0.000
 1395.0   -0.014   0.000
 1396.0   -0.014   0.000
 1397.0   -0.014   0.000
 1398.0   -0.014   0.000
 1399.0   -0.014   0.000
 1400.0   -0.014   0.000
 1401.0   -0.014   0.000
 1402.0   -0.014   0.000
 1403.0   -0.014   0.000
 1404.0   -0.014   0.000
 1405.0   -0.014   0.000
 1406.0   -0.014   0.000
 1407.0   -0.014   0.000
 1408.0   -0.015   0.000
 1409.0   -0.015   0.000
 1410.0   -0.015   0.000
 1411.0   -0.015   0.000
 1412.0   -0.015   0.000
 1413.0   -0.015   0.000
 1414.0   -0.015   0.000
 1415.0   -0.015   0.000
 1416.0   -0.015   0.000
 1417.0   -0.015   0.000
 1418.0   -0.015   0.000
 1419.0   -0.015   0.000
 1420.0   -0.015   0.000
 1421.0   -0.015   0.000
 1422.0   -0.015   0.000
 1423.0   -0.015   0.000
 1424.0   -0.015   0.000
 1425.0   -0.015   0.000
 1426.0   -0.015   0.000
 1427.0   -0.016   0.000
 1428.0   -0.016   0.000
 1429.0   -0.016   0.000
 1430.0   -0.016   0.000
 1431.0   -0.016   0.000
 1432.0   -0.016   0.000
 1433.0   -0.016   0.000
 1434.0   -0.016   0.000
 1435.0   -0.016   0.000
 1436.0   -0.016   0.000
 1437.0   -0.016   0.000
 1438.0   -0.016   0.000
 1439.0   -0.016   0.000
