   W         E2-(pi0_p)
 (MeV)      Re      Im
 1285.0   -1.037   0.166
 1286.0   -1.037   0.169
 1287.0   -1.037   0.171
 1288.0   -1.037   0.174
 1289.0   -1.036   0.177
 1290.0   -1.036   0.180
 1291.0   -1.036   0.182
 1292.0   -1.035   0.185
 1293.0   -1.035   0.188
 1294.0   -1.034   0.191
 1295.0   -1.034   0.194
 1296.0   -1.033   0.197
 1297.0   -1.033   0.200
 1298.0   -1.032   0.204
 1299.0   -1.031   0.207
 1300.0   -1.030   0.210
 1301.0   -1.030   0.213
 1302.0   -1.029   0.216
 1303.0   -1.028   0.220
 1304.0   -1.027   0.223
 1305.0   -1.026   0.226
 1306.0   -1.025   0.230
 1307.0   -1.024   0.233
 1308.0   -1.023   0.236
 1309.0   -1.021   0.240
 1310.0   -1.020   0.243
 1311.0   -1.019   0.247
 1312.0   -1.018   0.250
 1313.0   -1.016   0.254
 1314.0   -1.015   0.258
 1315.0   -1.013   0.262
 1316.0   -1.012   0.265
 1317.0   -1.010   0.269
 1318.0   -1.009   0.273
 1319.0   -1.007   0.277
 1320.0   -1.005   0.281
 1321.0   -1.003   0.285
 1322.0   -1.002   0.289
 1323.0   -1.000   0.294
 1324.0   -0.998   0.298
 1325.0   -0.996   0.302
 1326.0   -0.994   0.306
 1327.0   -0.992   0.311
 1328.0   -0.990   0.315
 1329.0   -0.988   0.320
 1330.0   -0.986   0.324
 1331.0   -0.984   0.329
 1332.0   -0.982   0.334
 1333.0   -0.979   0.339
 1334.0   -0.977   0.344
 1335.0   -0.975   0.348
 1336.0   -0.972   0.353
 1337.0   -0.970   0.359
 1338.0   -0.968   0.364
 1339.0   -0.965   0.369
 1340.0   -0.962   0.374
 1341.0   -0.960   0.379
 1342.0   -0.957   0.385
 1343.0   -0.954   0.390
 1344.0   -0.951   0.396
 1345.0   -0.948   0.401
 1346.0   -0.945   0.407
 1347.0   -0.942   0.413
 1348.0   -0.939   0.419
 1349.0   -0.936   0.425
 1350.0   -0.933   0.431
 1351.0   -0.930   0.437
 1352.0   -0.927   0.443
 1353.0   -0.924   0.450
 1354.0   -0.920   0.456
 1355.0   -0.917   0.463
 1356.0   -0.914   0.469
 1357.0   -0.910   0.476
 1358.0   -0.907   0.483
 1359.0   -0.903   0.490
 1360.0   -0.900   0.497
 1361.0   -0.896   0.504
 1362.0   -0.892   0.511
 1363.0   -0.889   0.519
 1364.0   -0.885   0.526
 1365.0   -0.881   0.534
 1366.0   -0.877   0.541
 1367.0   -0.873   0.549
 1368.0   -0.869   0.557
 1369.0   -0.865   0.565
 1370.0   -0.861   0.573
 1371.0   -0.857   0.582
 1372.0   -0.853   0.590
 1373.0   -0.849   0.599
 1374.0   -0.844   0.608
 1375.0   -0.840   0.617
 1376.0   -0.836   0.626
 1377.0   -0.831   0.635
 1378.0   -0.827   0.644
 1379.0   -0.823   0.654
 1380.0   -0.818   0.664
 1381.0   -0.814   0.673
 1382.0   -0.809   0.683
 1383.0   -0.805   0.693
 1384.0   -0.800   0.704
 1385.0   -0.795   0.714
 1386.0   -0.791   0.725
 1387.0   -0.786   0.736
 1388.0   -0.781   0.747
 1389.0   -0.777   0.758
 1390.0   -0.772   0.770
 1391.0   -0.767   0.781
 1392.0   -0.762   0.793
 1393.0   -0.757   0.806
 1394.0   -0.752   0.818
 1395.0   -0.747   0.831
 1396.0   -0.742   0.844
 1397.0   -0.737   0.857
 1398.0   -0.733   0.870
 1399.0   -0.728   0.884
 1400.0   -0.723   0.897
 1401.0   -0.718   0.912
 1402.0   -0.713   0.926
 1403.0   -0.708   0.941
 1404.0   -0.703   0.956
 1405.0   -0.698   0.971
 1406.0   -0.693   0.986
 1407.0   -0.688   1.002
 1408.0   -0.683   1.018
 1409.0   -0.678   1.034
 1410.0   -0.674   1.051
 1411.0   -0.669   1.068
 1412.0   -0.664   1.085
 1413.0   -0.660   1.103
 1414.0   -0.655   1.121
 1415.0   -0.651   1.139
 1416.0   -0.647   1.158
 1417.0   -0.642   1.177
 1418.0   -0.638   1.197
 1419.0   -0.634   1.217
 1420.0   -0.630   1.237
 1421.0   -0.626   1.258
 1422.0   -0.623   1.279
 1423.0   -0.619   1.301
 1424.0   -0.616   1.323
 1425.0   -0.612   1.345
 1426.0   -0.609   1.368
 1427.0   -0.606   1.392
 1428.0   -0.603   1.416
 1429.0   -0.601   1.440
 1430.0   -0.599   1.465
 1431.0   -0.597   1.491
 1432.0   -0.595   1.516
 1433.0   -0.593   1.543
 1434.0   -0.592   1.570
 1435.0   -0.591   1.597
 1436.0   -0.591   1.625
 1437.0   -0.591   1.654
 1438.0   -0.591   1.683
 1439.0   -0.592   1.712
 1440.0   -0.593   1.743
 1441.0   -0.594   1.774
 1442.0   -0.596   1.805
 1443.0   -0.599   1.837
 1444.0   -0.602   1.870
 1445.0   -0.605   1.903
 1446.0   -0.610   1.937
 1447.0   -0.614   1.972
 1448.0   -0.620   2.007
 1449.0   -0.626   2.043
 1450.0   -0.633   2.080
 1451.0   -0.641   2.117
 1452.0   -0.649   2.154
 1453.0   -0.659   2.193
 1454.0   -0.669   2.232
 1455.0   -0.680   2.271
 1456.0   -0.692   2.311
 1457.0   -0.706   2.352
 1458.0   -0.720   2.393
 1459.0   -0.735   2.435
 1460.0   -0.752   2.478
 1461.0   -0.770   2.521
 1462.0   -0.789   2.564
 1463.0   -0.809   2.608
