   W         E2-(pi0_p)
 (MeV)      Re      Im
 1285.0   -1.404   0.000
 1286.0   -1.407   0.000
 1287.0   -1.410   0.000
 1288.0   -1.413   0.000
 1289.0   -1.416   0.000
 1290.0   -1.420   0.000
 1291.0   -1.423   0.000
 1292.0   -1.426   0.000
 1293.0   -1.429   0.000
 1294.0   -1.432   0.000
 1295.0   -1.435   0.000
 1296.0   -1.438   0.000
 1297.0   -1.441   0.000
 1298.0   -1.445   0.000
 1299.0   -1.448   0.000
 1300.0   -1.451   0.000
 1301.0   -1.454   0.000
 1302.0   -1.457   0.000
 1303.0   -1.460   0.000
 1304.0   -1.463   0.000
 1305.0   -1.465   0.000
 1306.0   -1.468   0.000
 1307.0   -1.471   0.000
 1308.0   -1.474   0.000
 1309.0   -1.477   0.000
 1310.0   -1.480   0.000
 1311.0   -1.483   0.000
 1312.0   -1.486   0.000
 1313.0   -1.488   0.000
 1314.0   -1.491   0.000
 1315.0   -1.494   0.000
 1316.0   -1.497   0.000
 1317.0   -1.500   0.000
 1318.0   -1.502   0.000
 1319.0   -1.505   0.000
 1320.0   -1.508   0.000
 1321.0   -1.510   0.000
 1322.0   -1.513   0.000
 1323.0   -1.516   0.000
 1324.0   -1.518   0.000
 1325.0   -1.521   0.000
 1326.0   -1.524   0.000
 1327.0   -1.526   0.000
 1328.0   -1.529   0.000
 1329.0   -1.532   0.000
 1330.0   -1.534   0.000
 1331.0   -1.537   0.000
 1332.0   -1.539   0.000
 1333.0   -1.542   0.000
 1334.0   -1.544   0.000
 1335.0   -1.547   0.000
 1336.0   -1.549   0.000
 1337.0   -1.552   0.000
 1338.0   -1.554   0.000
 1339.0   -1.557   0.000
 1340.0   -1.559   0.000
 1341.0   -1.561   0.000
 1342.0   -1.564   0.000
 1343.0   -1.566   0.000
 1344.0   -1.569   0.000
 1345.0   -1.571   0.000
 1346.0   -1.573   0.000
 1347.0   -1.576   0.000
 1348.0   -1.578   0.000
 1349.0   -1.580   0.000
 1350.0   -1.583   0.000
 1351.0   -1.585   0.000
 1352.0   -1.587   0.000
 1353.0   -1.590   0.000
 1354.0   -1.592   0.000
 1355.0   -1.594   0.000
 1356.0   -1.596   0.000
 1357.0   -1.598   0.000
 1358.0   -1.601   0.000
