  727.2000  12
   -0.0830    0.2161    0.0382
    0.0830    0.1850    0.0391
    0.2500    0.1819    0.0389
    0.4160    0.0844    0.0376
    0.5830    0.0516    0.0336
    0.7500    0.0896    0.0242
    0.9160   -0.0370    0.0296
  797.7000  12
   -0.9160    0.0986    0.0307
   -0.7500    0.1541    0.0237
   -0.5830    0.1948    0.0246
   -0.4160    0.2465    0.0284
   -0.2500    0.1464    0.0360
   -0.0830    0.2008    0.0379
    0.0830    0.1737    0.0386
    0.2500    0.1615    0.0368
    0.4160    0.0798    0.0366
    0.5830    0.0389    0.0334
    0.7500    0.0856    0.0244
    0.9160   -0.0327    0.0302
  801.8000  12
   -0.9160    0.1019    0.0318
   -0.7500    0.1616    0.0239
   -0.5830    0.1998    0.0243
   -0.4160    0.2452    0.0280
   -0.2500    0.1422    0.0368
   -0.0830    0.1750    0.0359
    0.0830    0.1580    0.0375
    0.2500    0.1496    0.0370
    0.4160    0.0743    0.0349
    0.5830    0.0260    0.0322
    0.7500    0.0784    0.0237
    0.9160   -0.0235    0.0284
  805.9000  12
   -0.9160    0.0952    0.0301
   -0.7500    0.1675    0.0240
   -0.5830    0.2041    0.0238
   -0.4160    0.2553    0.0290
   -0.2500    0.1292    0.0353
   -0.0830    0.1602    0.0363
    0.0830    0.1498    0.0383
    0.2500    0.1329    0.0363
    0.4160    0.0762    0.0364
    0.5830    0.0155    0.0324
    0.7500    0.0773    0.0249
    0.9160   -0.0149    0.0295
  809.8000  12
   -0.9160    0.0975    0.0313
   -0.7500    0.1655    0.0231
   -0.5830    0.2178    0.0245
   -0.4160    0.2572    0.0292
   -0.2500    0.1264    0.0361
   -0.0830    0.1447    0.0363
    0.0830    0.1353    0.0374
    0.2500    0.1190    0.0359
    0.4160    0.0773    0.0370
    0.5830    0.0068    0.0336
    0.7500    0.0671    0.0228
    0.9160   -0.0046    0.0288
  814.1000  12
   -0.9160    0.0910    0.0300
   -0.7500    0.1649    0.0226
   -0.5830    0.2160    0.0235
   -0.4160    0.2528    0.0287
   -0.2500    0.1202    0.0357
   -0.0830    0.1235    0.0350
    0.0830    0.1253    0.0377
    0.2500    0.1080    0.0365
    0.4160    0.0704    0.0337
    0.5830   -0.0013    0.0334
    0.7500    0.0637    0.0227
    0.9160    0.0072    0.0289
  818.2000  12
   -0.9160    0.0856    0.0290
   -0.7500    0.1725    0.0231
   -0.5830    0.2135    0.0226
   -0.4160    0.2540    0.0289
   -0.2500    0.1099    0.0335
   -0.0830    0.1132    0.0357
    0.0830    0.1043    0.0338
    0.2500    0.0896    0.0333
    0.4160    0.0722    0.0341
    0.5830   -0.0061    0.0310
    0.7500    0.0580    0.0212
    0.9160    0.0173    0.0270
  822.2000  12
   -0.9160    0.0838    0.0292
   -0.7500    0.1690    0.0222
   -0.5830    0.2335    0.0239
   -0.4160    0.2372    0.0271
   -0.2500    0.1076    0.0330
   -0.0830    0.0987    0.0338
    0.0830    0.1037    0.0356
    0.2500    0.0825    0.0325
    0.4160    0.0720    0.0333
    0.5830   -0.0083    0.0315
    0.7500    0.0597    0.0217
    0.9160    0.0263    0.0263
  826.3000  12
   -0.9160    0.0839    0.0214
   -0.7500    0.1690    0.0186
   -0.5830    0.2423    0.0213
   -0.4160    0.2307    0.0234
   -0.2500    0.1149    0.0268
   -0.0830    0.0975    0.0248
    0.0830    0.0991    0.0229
    0.2500    0.0832    0.0224
    0.4160    0.0764    0.0238
    0.5830   -0.0070    0.0371
    0.7500    0.0643    0.0229
    0.9160    0.0339    0.0231
  830.4000  12
   -0.9160    0.0772    0.0200
   -0.7500    0.1775    0.0190
   -0.5830    0.2306    0.0200
   -0.4160    0.2289    0.0232
   -0.2500    0.1143    0.0256
   -0.0830    0.0941    0.0237
    0.0830    0.0941    0.0216
    0.2500    0.0893    0.0228
    0.4160    0.0742    0.0223
    0.5830   -0.0026    0.0364
    0.7500    0.0693    0.0230
    0.9160    0.0390    0.0220
  834.4000  12
   -0.9160    0.0791    0.0206
   -0.7500    0.1793    0.0189
   -0.5830    0.2322    0.0200
   -0.4160    0.2323    0.0236
   -0.2500    0.1282    0.0271
   -0.0830    0.1035    0.0247
    0.0830    0.1023    0.0227
    0.2500    0.0943    0.0220
    0.4160    0.0788    0.0228
    0.5830    0.0042    0.0355
    0.7500    0.0669    0.0205
