   W         E5-(pi+_n)
 (MeV)      Re         Im
 1074.0   -0.000207   0.000013
 1075.0   -0.000172   0.000011
 1076.0   -0.000137   0.000009
 1077.0   -0.000103   0.000007
 1078.0   -0.000068   0.000004
 1079.0   -0.000033   0.000002
 1080.0    0.000002  -0.000000
 1081.0    0.000036  -0.000002
 1082.0    0.000071  -0.000005
 1083.0    0.000106  -0.000007
 1084.0    0.000141  -0.000009
 1085.0    0.000175  -0.000011
 1086.0    0.000291  -0.000019
 1087.0    0.000407  -0.000026
 1088.0    0.000522  -0.000033
 1089.0    0.000638  -0.000041
 1090.0    0.000754  -0.000048
 1091.0    0.000961  -0.000061
 1092.0    0.001169  -0.000075
 1093.0    0.001377  -0.000088
 1094.0    0.001584  -0.000101
 1095.0    0.001792  -0.000114
 1096.0    0.002090  -0.000133
 1097.0    0.002389  -0.000152
 1098.0    0.002687  -0.000171
 1099.0    0.002985  -0.000190
 1100.0    0.003284  -0.000209
 1101.0    0.003667  -0.000234
 1102.0    0.004051  -0.000258
 1103.0    0.004434  -0.000283
 1104.0    0.004818  -0.000307
 1105.0    0.005201  -0.000332
 1106.0    0.005661  -0.000361
 1107.0    0.006121  -0.000390
 1108.0    0.006582  -0.000420
 1109.0    0.007042  -0.000449
 1110.0    0.007502  -0.000478
 1111.0    0.008030  -0.000512
 1112.0    0.008558  -0.000546
 1113.0    0.009085  -0.000579
 1114.0    0.009613  -0.000613
 1115.0    0.010141  -0.000647
 1116.0    0.010727  -0.000684
 1117.0    0.011313  -0.000721
 1118.0    0.011899  -0.000759
 1119.0    0.012485  -0.000796
 1120.0    0.013072  -0.000834
 1121.0    0.013707  -0.000874
 1122.0    0.014343  -0.000915
 1123.0    0.014978  -0.000955
 1124.0    0.015614  -0.000996
 1125.0    0.016249  -0.001036
 1126.0    0.016926  -0.001080
 1127.0    0.017603  -0.001123
 1128.0    0.018279  -0.001166
 1129.0    0.018956  -0.001209
 1130.0    0.019632  -0.001252
 1131.0    0.020342  -0.001298
 1132.0    0.021052  -0.001343
 1133.0    0.021762  -0.001388
 1134.0    0.022472  -0.001433
 1135.0    0.023182  -0.001479
 1136.0    0.023918  -0.001526
 1137.0    0.024654  -0.001573
 1138.0    0.025390  -0.001620
 1139.0    0.026126  -0.001667
 1140.0    0.026862  -0.001714
 1141.0    0.027618  -0.001762
