   W            M1+(pi0_p)
 (MeV)        Re          Im
1073.249     0.000001    0.000000
1073.414     0.309950    0.000003
1073.579     0.438916    0.000014
1073.744     0.538273    0.000031
1073.908     0.622370    0.000055
1074.073     0.696755    0.000085
1074.238     0.764272    0.000123
1074.403     0.826607    0.000168
1074.568     0.884858    0.000220
1074.733     0.939786    0.000279
1074.898     0.991945    0.000345
1075.062     1.041751    0.000418
1075.227     1.089531    0.000499
1075.392     1.135539    0.000586
1075.556     1.179986    0.000681
1075.721     1.223043    0.000784
1075.886     1.264853    0.000894
1076.050     1.305537    0.001011
1076.215     1.345199    0.001136
1076.379     1.383928    0.001268
1076.544     1.421801    0.001407
1076.708     1.458886    0.001555
1076.873     1.495244    0.001710
1077.037     1.530928    0.001873
1077.202     1.565984    0.002043
1077.366     1.600457    0.002221
1077.531     1.634383    0.002408
1077.695     1.667797    0.002602
1077.859     1.700733    0.002804
1078.024     1.733217    0.003014
1078.188     1.765278    0.003232
1078.352     1.796939    0.003458
1078.516     1.828224    0.003692
1078.681     1.859154    0.003935
1078.845     1.889750    0.004185
1079.009     1.920031    0.004445
1079.173     1.950026    0.004715
1079.337     1.979743    0.005024
1079.501     2.009177    0.005362
1079.665     2.038342    0.005723
1079.829     2.067249    0.006107
1079.993     2.095909    0.006511
1080.157     2.124333    0.006936
1080.321     2.152531    0.007380
1080.485     2.180513    0.007844
1080.649     2.208286    0.008327
1080.813     2.235860    0.008830
1080.977     2.263242    0.009351
1081.141     2.290440    0.009892
1081.304     2.317460    0.010451
1081.468     2.344309    0.011030
1081.632     2.370994    0.011627
1081.796     2.397521    0.012243
1081.959     2.423894    0.012879
1082.123     2.450121    0.013533
1082.287     2.476205    0.014206
1082.450     2.502152    0.014899
1082.614     2.527966    0.015610
1082.777     2.553653    0.016340
1082.941     2.579215    0.017090
1083.105     2.604659    0.017859
1083.268     2.629986    0.018647
1083.432     2.655202    0.019455
1083.595     2.680310    0.020282
1083.758     2.705313    0.021128
1083.922     2.730214    0.021994
1084.085     2.755018    0.022880
1084.249     2.779726    0.023785
1084.412     2.804343    0.024710
1084.575     2.828870    0.025655
1084.738     2.853311    0.026620
1084.902     2.877668    0.027605
1085.065     2.901944    0.028609
1085.228     2.926141    0.029634
1085.391     2.950261    0.030679
1085.555     2.974308    0.031745
1085.718     2.998283    0.032830
1085.881     3.022188    0.033937
1086.044     3.046025    0.035063
1086.207     3.069797    0.036211
1086.370     3.093506    0.037379
1086.533     3.117152    0.038568
1086.696     3.140739    0.039777
1086.859     3.164268    0.041008
1087.022     3.187740    0.042260
1087.185     3.211158    0.043533
1087.348     3.234522    0.044827
1087.511     3.257835    0.046142
1087.673     3.281098    0.047479
1087.836     3.304312    0.048837
1087.999     3.327480    0.050217
1088.162     3.350601    0.051619
1088.325     3.373678    0.053042
1088.487     3.396713    0.054487
1088.650     3.419705    0.055955
1088.813     3.442657    0.057444
1088.975     3.465570    0.058955
1089.138     3.488445    0.060489
1089.300     3.511283    0.062045
1089.463     3.534085    0.063624
1089.626     3.556852    0.065225
1089.788     3.579586    0.066849
1089.951     3.602288    0.068495
1090.113     3.624958    0.070164
1090.276     3.647597    0.071857
1090.438     3.670207    0.073572
1090.600     3.692788    0.075311
1090.763     3.715341    0.077072
1090.925     3.737868    0.078858
1091.087     3.760369    0.080666
1091.250     3.782845    0.082498
1091.412     3.805296    0.084354
1091.574     3.827725    0.086234
1091.737     3.850131    0.088138
1091.899     3.872515    0.090065
