   W            E0+(pi0_p)
 (MeV)        Re          Im
1105.279    -0.769873    1.642994
1105.440    -0.772174    1.647104
1105.600    -0.774472    1.651193
1105.760    -0.776766    1.655263
1105.920    -0.779057    1.659314
1106.080    -0.781343    1.663345
1106.240    -0.783626    1.667357
1106.401    -0.785906    1.671350
1106.561    -0.788181    1.675324
1106.721    -0.790453    1.679280
1106.881    -0.792721    1.683217
1107.041    -0.794985    1.687136
1107.201    -0.797246    1.691037
1107.361    -0.799503    1.694920
1107.521    -0.801757    1.698784
1107.680    -0.804006    1.702632
1107.840    -0.806252    1.706461
1108.000    -0.808495    1.710274
1108.160    -0.810734    1.714069
1108.320    -0.812969    1.717847
1108.480    -0.815201    1.721608
1108.639    -0.817429    1.725352
1108.799    -0.819653    1.729079
1108.959    -0.821874    1.732790
1109.119    -0.824091    1.736485
1109.278    -0.826305    1.740163
1109.438    -0.828515    1.743825
1109.597    -0.830721    1.747472
1109.757    -0.832924    1.751102
1109.917    -0.835124    1.754717
1110.076    -0.837320    1.758316
1110.236    -0.839512    1.761899
1110.395    -0.841701    1.765468
1110.555    -0.843886    1.769021
1110.714    -0.846068    1.772558
1110.874    -0.848247    1.776081
1111.033    -0.850421    1.779589
1111.192    -0.852593    1.783082
1111.352    -0.854761    1.786561
1111.511    -0.856925    1.790025
1111.671    -0.859086    1.793474
1111.830    -0.861244    1.796910
1111.989    -0.863398    1.800331
1112.148    -0.865548    1.803738
1112.308    -0.867696    1.807131
1112.467    -0.869839    1.810510
1112.626    -0.871980    1.813875
1112.785    -0.874117    1.817226
1112.944    -0.876250    1.820564
1113.103    -0.878380    1.823889
1113.263    -0.880507    1.827200
1113.422    -0.882630    1.830498
1113.581    -0.884750    1.833782
1113.740    -0.886867    1.837054
1113.899    -0.888980    1.840312
1114.058    -0.891090    1.843558
1114.217    -0.893197    1.846791
1114.376    -0.895300    1.850011
1114.535    -0.897400    1.853218
1114.693    -0.899497    1.856413
1114.852    -0.901590    1.859596
1115.011    -0.903680    1.862766
1115.170    -0.905766    1.865924
1115.329    -0.907850    1.869069
1115.488    -0.909930    1.872203
1115.646    -0.912007    1.875324
1115.805    -0.914080    1.878434
1115.964    -0.916150    1.881531
1116.122    -0.918217    1.884617
1116.281    -0.920281    1.887691
1116.440    -0.922341    1.890754
1116.598    -0.924398    1.893805
1116.757    -0.926452    1.896845
1116.916    -0.928503    1.899873
1117.074    -0.930551    1.902890
1117.233    -0.932595    1.905895
1117.391    -0.934636    1.908890
1117.550    -0.936674    1.911873
1117.708    -0.938708    1.914846
1117.867    -0.940740    1.917807
1118.025    -0.942768    1.920758
1118.183    -0.944793    1.923698
1118.342    -0.946815    1.926627
1118.500    -0.948834    1.929545
1118.658    -0.950850    1.932453
1118.817    -0.952862    1.935350
1118.975    -0.954871    1.938237
1119.133    -0.956877    1.941113
1119.292    -0.958880    1.943980
1119.450    -0.960880    1.946836
1119.608    -0.962877    1.949681
1119.766    -0.964871    1.952517
1119.924    -0.966861    1.955342
1120.082    -0.968849    1.958158
1120.241    -0.970833    1.960964
1120.399    -0.972814    1.963759
1120.557    -0.974792    1.966545
1120.715    -0.976767    1.969321
1120.873    -0.978739    1.972088
1121.031    -0.980708    1.974845
1121.189    -0.982674    1.977592
1121.347    -0.984637    1.980330
1121.505    -0.986597    1.983058
1121.663    -0.988553    1.985777
1121.820    -0.990507    1.988487
1121.978    -0.992458    1.991187
