  727.2000  10
    0.2011    0.2889    0.0275
   -0.0001    0.3186    0.0277
   -0.1970    0.3123    0.0262
   -0.4022    0.2551    0.0280
   -0.6070    0.2000    0.0245
   -0.8019    0.1480    0.0230
   -0.9428    0.0522    0.0143
  809.8000  10
    0.7772    0.1018    0.0185
    0.5934    0.1766    0.0173
    0.4022    0.2704    0.0260
    0.2011    0.2919    0.0270
   -0.0001    0.3323    0.0281
   -0.1970    0.3177    0.0258
   -0.4022    0.2618    0.0281
   -0.6070    0.2117    0.0254
   -0.8019    0.1474    0.0222
   -0.9428    0.0580    0.0152
  814.1000  10
    0.7772    0.1039    0.0185
    0.5934    0.1821    0.0215
    0.4022    0.2501    0.0336
    0.2011    0.2979    0.0281
   -0.0001    0.3426    0.0247
   -0.1970    0.3195    0.0218
   -0.4022    0.2622    0.0200
   -0.6070    0.2057    0.0207
   -0.8019    0.1488    0.0185
   -0.9428    0.0566    0.0143
  818.2000  10
    0.7772    0.1007    0.0174
    0.5934    0.1740    0.0199
    0.4022    0.2567    0.0343
    0.2011    0.2871    0.0265
   -0.0001    0.3209    0.0230
   -0.1970    0.3125    0.0209
   -0.4022    0.2742    0.0203
   -0.6070    0.2017    0.0199
   -0.8019    0.1494    0.0183
   -0.9428    0.0572    0.0142
  822.2000  10
    0.7772    0.1051    0.0176
    0.5934    0.1843    0.0203
    0.4022    0.2549    0.0338
    0.2011    0.2912    0.0263
   -0.0001    0.3202    0.0225
   -0.1970    0.3158    0.0209
   -0.4022    0.2657    0.0193
   -0.6070    0.2186    0.0210
   -0.8019    0.1487    0.0179
   -0.9428    0.0571    0.0140
  826.3000  10
    0.7772    0.1125    0.0181
    0.5934    0.1838    0.0197
    0.4022    0.2618    0.0346
    0.2011    0.2901    0.0258
   -0.0001    0.3345    0.0233
   -0.1970    0.3367    0.0218
   -0.4022    0.2640    0.0187
   -0.6070    0.2256    0.0213
   -0.8019    0.1540    0.0184
   -0.9428    0.0565    0.0138
  830.4000  10
    0.7772    0.1166    0.0180
    0.5934    0.1852    0.0193
    0.4022    0.2440    0.0321
    0.2011    0.3034    0.0264
   -0.0001    0.3187    0.0221
   -0.1970    0.3183    0.0206
   -0.4022    0.2714    0.0186
   -0.6070    0.2129    0.0198
   -0.8019    0.1512    0.0180
   -0.9428    0.0539    0.0132
  834.4000  10
    0.7772    0.1116    0.0166
    0.5934    0.1886    0.0192
    0.4022    0.2513    0.0330
    0.2011    0.3052    0.0265
   -0.0001    0.3361    0.0234
   -0.1970    0.3368    0.0218
   -0.4022    0.2849    0.0192
   -0.6070    0.2141    0.0197
   -0.8019    0.1502    0.0180
   -0.9428    0.0558    0.0139
  838.5000  10
    0.7772    0.1213    0.0171
    0.5934    0.1926    0.0189
    0.4022    0.2503    0.0327
    0.2011    0.2954    0.0250
   -0.0001    0.3171    0.0219
   -0.1970    0.3249    0.0206
   -0.4022    0.2898    0.0188
   -0.6070    0.2165    0.0194
   -0.8019    0.1481    0.0177
   -0.9428    0.0521    0.0131
  842.5000  10
    0.7772    0.1195    0.0162
    0.5934    0.2039    0.0196
    0.4022    0.2468    0.0322
    0.2011    0.3040    0.0255
   -0.0001    0.3126    0.0217
   -0.1970    0.3238    0.0206
   -0.4022    0.2884    0.0186
   -0.6070    0.2218    0.0197
   -0.8019    0.1380    0.0166
   -0.9428    0.0514    0.0132
  846.6000  10
    0.7772    0.1195    0.0155
    0.5934    0.1979    0.0185
    0.4022    0.2410    0.0313
    0.2011    0.2946    0.0242
   -0.0001    0.3198    0.0219
   -0.1970    0.3094    0.0194
   -0.4022    0.3014    0.0187
   -0.6070    0.2208    0.0191
   -0.8019    0.1423    0.0171
   -0.9428    0.0514    0.0134
  850.6000  10
    0.7772    0.1287    0.0161
    0.5934    0.1962    0.0180
    0.4022    0.2131    0.0277
    0.2011    0.3009    0.0247
   -0.0001    0.3002    0.0209
   -0.1970    0.2978    0.0191
   -0.4022    0.2985    0.0182
   -0.6070    0.2208    0.0188
   -0.8019    0.1337    0.0162
   -0.9428    0.0475    0.0126
  854.6000  10
    0.7772    0.1293    0.0155
    0.5934    0.2027    0.0183
    0.4022    0.2292    0.0297
    0.2011    0.2867    0.0233
   -0.0001    0.3102    0.0215
   -0.1970    0.2933    0.0186
   -0.4022    0.3043    0.0185
   -0.6070    0.2247    0.0189
   -0.8019    0.1337    0.0162
   -0.9428    0.0437    0.0118
  858.7000  10
    0.7772    0.1274    0.0146
    0.5934    0.1946    0.0170
    0.4022    0.2162    0.0278
    0.2011    0.2833    0.0226
   -0.0001    0.2810    0.0192
   -0.1970    0.2986    0.0186
   -0.4022    0.2886    0.0170
   -0.6070    0.2189    0.0179
   -0.8019    0.1307    0.0157
   -0.9428    0.0450    0.0123
  862.7000  10
    0.7772    0.1343    0.0149
    0.5934    0.2027    0.0176
    0.4022    0.2060    0.0265
    0.2011    0.2771    0.0220
   -0.0001    0.2924    0.0198
   -0.1970    0.3060    0.0189
   -0.4022    0.2978    0.0175
   -0.6070    0.2318    0.0188
   -0.8019    0.1264    0.0153
   -0.9428    0.0425    0.0118
  866.7000  10
    0.7772    0.1325    0.0141
    0.5934    0.2074    0.0175
    0.4022    0.2018    0.0257
    0.2011    0.2783    0.0217
   -0.0001    0.2862    0.0192
   -0.1970    0.2944    0.0181
   -0.4022    0.3033    0.0173
   -0.6070    0.2250    0.0177
   -0.8019    0.1324    0.0158
   -0.9428    0.0403    0.0112
  870.7000  10
    0.7772    0.1354    0.0199
    0.5934    0.1987    0.0139
    0.4022    0.1968    0.0167
    0.2011    0.2827    0.0204
   -0.0001    0.2981    0.0201
   -0.1970    0.2978    0.0222
   -0.4022    0.2970    0.0217
   -0.6070    0.2325    0.0136
   -0.8019    0.1255    0.0124
   -0.9428    0.0414    0.0089
  874.7000  10
    0.7772    0.1305    0.0185
    0.5934    0.1901    0.0131
    0.4022    0.1962    0.0165
    0.2011    0.2696    0.0191
   -0.0001    0.2889    0.0189
   -0.1970    0.2674    0.0198
   -0.4022    0.2814    0.0206
   -0.6070    0.2256    0.0129
   -0.8019    0.1244    0.0120
   -0.9428    0.0406    0.0086
  878.7000  10
    0.7772    0.1287    0.0176
    0.5934    0.1933    0.0129
    0.4022    0.1995    0.0166
    0.2011    0.2526    0.0177
   -0.0001    0.2782    0.0179
   -0.1970    0.2717    0.0197
   -0.4022    0.2807    0.0204
   -0.6070    0.2194    0.0123
   -0.8019    0.1242    0.0117
   -0.9428    0.0411    0.0085
  882.7000  10
    0.7772    0.1327    0.0178
    0.5934    0.1851    0.0127
    0.4022    0.1897    0.0160
    0.2011    0.2570    0.0181
   -0.0001    0.2759    0.0178
   -0.1970    0.2735    0.0198
   -0.4022    0.2744    0.0202
   -0.6070    0.2231    0.0125
   -0.8019    0.1214    0.0114
   -0.9428    0.0371    0.0075
  886.7000  10
    0.7772    0.1311    0.0171
    0.5934    0.1911    0.0127
    0.4022    0.1844    0.0154
    0.2011    0.2607    0.0183
   -0.0001    0.2672    0.0170
   -0.1970    0.2643    0.0192
   -0.4022    0.2584    0.0190
   -0.6070    0.2197    0.0121
   -0.8019    0.1250    0.0115
   -0.9428    0.0410    0.0081
  890.6000  10
    0.7772    0.1315    0.0167
    0.5934    0.1872    0.0123
    0.4022    0.1763    0.0146
    0.2011    0.2484    0.0172
   -0.0001    0.2591    0.0161
   -0.1970    0.2736    0.0194
   -0.4022    0.2446    0.0181
   -0.6070    0.2242    0.0121
   -0.8019    0.1210    0.0109
   -0.9428    0.0388    0.0074
  894.6000  10
    0.7772    0.1349    0.0166
    0.5934    0.1703    0.0112
    0.4022    0.1830    0.0150
