   W          M2-(pi0_p)
 (MeV)       Re        Im
 1093.10    0.01434   0.00006
 1093.20    0.01443   0.00006
 1093.30    0.01451   0.00006
 1093.40    0.01460   0.00006
 1093.50    0.01468   0.00006
 1093.60    0.01477   0.00006
 1093.70    0.01485   0.00006
 1093.80    0.01494   0.00007
 1093.90    0.01503   0.00007
 1094.00    0.01511   0.00007
 1094.10    0.01520   0.00007
 1094.20    0.01528   0.00007
 1094.30    0.01537   0.00007
 1094.40    0.01546   0.00007
 1094.50    0.01554   0.00007
 1094.60    0.01563   0.00007
 1094.70    0.01572   0.00007
 1094.80    0.01581   0.00007
 1094.90    0.01589   0.00007
 1095.00    0.01598   0.00007
 1095.10    0.01607   0.00007
 1095.20    0.01616   0.00007
 1095.30    0.01624   0.00007
 1095.40    0.01633   0.00007
 1095.50    0.01642   0.00007
 1095.60    0.01651   0.00008
 1095.70    0.01660   0.00008
 1095.80    0.01669   0.00008
 1095.90    0.01677   0.00008
 1096.00    0.01686   0.00008
 1096.10    0.01695   0.00008
 1096.20    0.01704   0.00008
 1096.30    0.01713   0.00008
 1096.40    0.01722   0.00008
 1096.50    0.01731   0.00008
 1096.60    0.01740   0.00008
 1096.70    0.01749   0.00008
 1096.80    0.01758   0.00008
 1096.90    0.01767   0.00008
 1097.00    0.01776   0.00008
 1097.10    0.01785   0.00008
 1097.20    0.01794   0.00008
 1097.30    0.01803   0.00009
 1097.40    0.01812   0.00009
 1097.50    0.01821   0.00009
 1097.60    0.01830   0.00009
 1097.70    0.01840   0.00009
 1097.80    0.01849   0.00009
 1097.90    0.01858   0.00009
 1098.00    0.01867   0.00009
 1098.10    0.01876   0.00009
 1098.20    0.01885   0.00009
 1098.30    0.01895   0.00009
 1098.40    0.01904   0.00009
 1098.50    0.01913   0.00009
 1098.60    0.01922   0.00009
 1098.70    0.01932   0.00009
 1098.80    0.01941   0.00010
 1098.90    0.01950   0.00010
 1099.00    0.01959   0.00010
 1099.10    0.01969   0.00010
 1099.20    0.01978   0.00010
 1099.30    0.01987   0.00010
 1099.40    0.01997   0.00010
 1099.50    0.02006   0.00010
 1099.60    0.02016   0.00010
 1099.70    0.02025   0.00010
 1099.80    0.02034   0.00010
 1099.90    0.02044   0.00010
 1100.00    0.02053   0.00010
 1100.10    0.02063   0.00010
 1100.20    0.02072   0.00010
 1100.30    0.02082   0.00011
 1100.40    0.02091   0.00011
 1100.50    0.02101   0.00011
 1100.60    0.02110   0.00011
 1100.70    0.02120   0.00011
 1100.80    0.02129   0.00011
 1100.90    0.02139   0.00011
 1101.00    0.02148   0.00011
 1101.10    0.02158   0.00011
 1101.20    0.02168   0.00011
 1101.30    0.02177   0.00011
 1101.40    0.02187   0.00011
 1101.50    0.02197   0.00011
 1101.60    0.02206   0.00012
 1101.70    0.02216   0.00012
 1101.80    0.02226   0.00012
 1101.90    0.02235   0.00012
 1102.00    0.02245   0.00012
 1102.10    0.02255   0.00012
 1102.20    0.02265   0.00012
 1102.30    0.02274   0.00012
 1102.40    0.02284   0.00012
 1102.50    0.02294   0.00012
 1102.60    0.02304   0.00012
 1102.70    0.02314   0.00012
 1102.80    0.02324   0.00012
 1102.90    0.02333   0.00013
 1103.00    0.02343   0.00013
 1103.10    0.02353   0.00013
 1103.20    0.02363   0.00013
 1103.30    0.02373   0.00013
 1103.40    0.02383   0.00013
 1103.50    0.02393   0.00013
 1103.60    0.02403   0.00013
 1103.70    0.02413   0.00013
