   W          M2+(pi0_p)
 (MeV)       Re        Im
 1091.90   -0.02155   0.00000
 1092.00   -0.02167   0.00000
 1092.10   -0.02179   0.00000
 1092.20   -0.02191   0.00000
 1092.30   -0.02203   0.00000
 1092.40   -0.02215   0.00000
 1092.50   -0.02227   0.00000
 1092.60   -0.02239   0.00000
 1092.70   -0.02251   0.00000
 1092.80   -0.02263   0.00000
 1092.90   -0.02275   0.00000
 1093.00   -0.02287   0.00000
 1093.10   -0.02299   0.00000
 1093.20   -0.02311   0.00000
 1093.30   -0.02323   0.00000
 1093.40   -0.02335   0.00000
 1093.50   -0.02347   0.00000
 1093.60   -0.02359   0.00000
 1093.70   -0.02371   0.00000
 1093.80   -0.02383   0.00000
 1093.90   -0.02395   0.00000
 1094.00   -0.02407   0.00000
 1094.10   -0.02419   0.00000
 1094.20   -0.02431   0.00000
 1094.30   -0.02443   0.00000
 1094.40   -0.02455   0.00000
 1094.50   -0.02467   0.00000
 1094.60   -0.02479   0.00000
 1094.70   -0.02491   0.00000
 1094.80   -0.02503   0.00000
 1094.90   -0.02516   0.00000
 1095.00   -0.02528   0.00000
 1095.10   -0.02540   0.00000
 1095.20   -0.02552   0.00000
 1095.30   -0.02564   0.00000
 1095.40   -0.02576   0.00000
 1095.50   -0.02588   0.00000
 1095.60   -0.02600   0.00000
 1095.70   -0.02612   0.00000
 1095.80   -0.02624   0.00000
 1095.90   -0.02637   0.00000
 1096.00   -0.02649   0.00000
 1096.10   -0.02661   0.00000
 1096.20   -0.02673   0.00000
 1096.30   -0.02685   0.00000
 1096.40   -0.02697   0.00000
 1096.50   -0.02709   0.00000
 1096.60   -0.02722   0.00000
 1096.70   -0.02734   0.00000
 1096.80   -0.02746   0.00000
 1096.90   -0.02758   0.00000
 1097.00   -0.02770   0.00000
 1097.10   -0.02782   0.00000
 1097.20   -0.02795   0.00000
 1097.30   -0.02807   0.00000
 1097.40   -0.02819   0.00000
 1097.50   -0.02831   0.00000
 1097.60   -0.02843   0.00000
 1097.70   -0.02856   0.00000
 1097.80   -0.02868   0.00000
 1097.90   -0.02880   0.00000
 1098.00   -0.02892   0.00000
 1098.10   -0.02904   0.00000
 1098.20   -0.02917   0.00000
 1098.30   -0.02929   0.00000
 1098.40   -0.02941   0.00000
 1098.50   -0.02953   0.00000
 1098.60   -0.02966   0.00000
 1098.70   -0.02978   0.00000
 1098.80   -0.02990   0.00000
 1098.90   -0.03002   0.00000
 1099.00   -0.03015   0.00000
 1099.10   -0.03027   0.00000
 1099.20   -0.03039   0.00000
 1099.30   -0.03051   0.00000
 1099.40   -0.03064   0.00000
 1099.50   -0.03076   0.00000
 1099.60   -0.03088   0.00000
 1099.70   -0.03101   0.00000
 1099.80   -0.03113   0.00000
 1099.90   -0.03125   0.00000
 1100.00   -0.03137   0.00000
 1100.10   -0.03150   0.00000
 1100.20   -0.03162   0.00000
 1100.30   -0.03174   0.00000
 1100.40   -0.03187   0.00000
 1100.50   -0.03199   0.00000
 1100.60   -0.03211   0.00000
