   W          M2-(pi0_p)
 (MeV)       Re        Im
 1093.10    0.00549   0.00000
 1093.20    0.00552   0.00000
 1093.30    0.00555   0.00000
 1093.40    0.00558   0.00000
 1093.50    0.00561   0.00000
 1093.60    0.00564   0.00000
 1093.70    0.00566   0.00000
 1093.80    0.00569   0.00000
 1093.90    0.00572   0.00000
 1094.00    0.00575   0.00000
 1094.10    0.00578   0.00000
 1094.20    0.00581   0.00000
 1094.30    0.00584   0.00000
 1094.40    0.00586   0.00000
 1094.50    0.00589   0.00000
 1094.60    0.00592   0.00000
 1094.70    0.00595   0.00000
 1094.80    0.00598   0.00000
 1094.90    0.00601   0.00000
 1095.00    0.00604   0.00000
 1095.10    0.00607   0.00000
 1095.20    0.00609   0.00000
 1095.30    0.00612   0.00000
 1095.40    0.00615   0.00000
 1095.50    0.00618   0.00000
 1095.60    0.00621   0.00000
 1095.70    0.00624   0.00000
 1095.80    0.00627   0.00000
 1095.90    0.00630   0.00000
 1096.00    0.00633   0.00000
 1096.10    0.00635   0.00000
 1096.20    0.00638   0.00000
 1096.30    0.00641   0.00000
 1096.40    0.00644   0.00000
 1096.50    0.00647   0.00000
 1096.60    0.00650   0.00000
 1096.70    0.00653   0.00000
 1096.80    0.00656   0.00000
 1096.90    0.00659   0.00000
 1097.00    0.00661   0.00000
 1097.10    0.00664   0.00000
 1097.20    0.00667   0.00000
 1097.30    0.00670   0.00000
 1097.40    0.00673   0.00000
 1097.50    0.00676   0.00000
 1097.60    0.00679   0.00000
 1097.70    0.00682   0.00000
 1097.80    0.00685   0.00000
 1097.90    0.00687   0.00000
 1098.00    0.00690   0.00000
 1098.10    0.00693   0.00000
 1098.20    0.00696   0.00000
 1098.30    0.00699   0.00000
 1098.40    0.00702   0.00000
 1098.50    0.00705   0.00000
 1098.60    0.00708   0.00000
 1098.70    0.00711   0.00000
 1098.80    0.00714   0.00000
 1098.90    0.00717   0.00000
 1099.00    0.00719   0.00000
 1099.10    0.00722   0.00000
 1099.20    0.00725   0.00000
 1099.30    0.00728   0.00000
 1099.40    0.00731   0.00000
 1099.50    0.00734   0.00000
 1099.60    0.00737   0.00000
 1099.70    0.00740   0.00000
 1099.80    0.00743   0.00000
 1099.90    0.00746   0.00000
 1100.00    0.00749   0.00000
 1100.10    0.00752   0.00000
 1100.20    0.00754   0.00000
 1100.30    0.00757   0.00000
 1100.40    0.00760   0.00000
 1100.50    0.00763   0.00000
 1100.60    0.00766   0.00000
 1100.70    0.00769   0.00000
 1100.80    0.00772   0.00000
 1100.90    0.00775   0.00000
 1101.00    0.00778   0.00000
 1101.10    0.00781   0.00000
 1101.20    0.00784   0.00000
 1101.30    0.00787   0.00000
 1101.40    0.00790   0.00000
 1101.50    0.00793   0.00000
 1101.60    0.00795   0.00000
 1101.70    0.00798   0.00000
 1101.80    0.00801   0.00000
 1101.90    0.00804   0.00000
 1102.00    0.00807   0.00000
 1102.10    0.00810   0.00000
 1102.20    0.00813   0.00000
 1102.30    0.00816   0.00000
 1102.40    0.00819   0.00000
 1102.50    0.00822   0.00000
 1102.60    0.00825   0.00000
 1102.70    0.00828   0.00000
 1102.80    0.00831   0.00000
 1102.90    0.00834   0.00000
 1103.00    0.00837   0.00000
 1103.10    0.00840   0.00000
 1103.20    0.00842   0.00000
 1103.30    0.00845   0.00000
 1103.40    0.00848   0.00000
 1103.50    0.00851   0.00000
 1103.60    0.00854   0.00000
 1103.70    0.00857   0.00000
 1103.80    0.00860   0.00000
 1103.90    0.00863   0.00000
 1104.00    0.00866   0.00000
 1104.10    0.00869   0.00000
 1104.20    0.00872   0.00000
 1104.30    0.00875   0.00000
 1104.40    0.00878   0.00000
 1104.50    0.00881   0.00000
 1104.60    0.00884   0.00000
 1104.70    0.00887   0.00000
 1104.80    0.00890   0.00000
 1104.90    0.00893   0.00000
 1105.00    0.00896   0.00000
 1105.10    0.00899   0.00000
 1105.20    0.00902   0.00000
 1105.30    0.00905   0.00000
 1105.40    0.00908   0.00000
 1105.50    0.00910   0.00000
 1105.60    0.00913   0.00000
 1105.70    0.00916   0.00000
 1105.80    0.00919   0.00000
 1105.90    0.00922   0.00000
 1106.00    0.00925   0.00000
 1106.10    0.00928   0.00000
 1106.20    0.00931   0.00000
 1106.30    0.00934   0.00000
 1106.40    0.00937   0.00000
 1106.50    0.00940   0.00000
 1106.60    0.00943   0.00000
 1106.70    0.00946   0.00000
 1106.80    0.00949   0.00000
 1106.90    0.00952   0.00000
 1107.00    0.00955   0.00000
