   W          E2-(pi0_p)
 (MeV)       Re        Im
 1091.90   -0.21357   0.00000
 1092.00   -0.21460   0.00000
 1092.10   -0.21562   0.00000
 1092.20   -0.21665   0.00000
 1092.30   -0.21767   0.00000
 1092.40   -0.21869   0.00000
 1092.50   -0.21971   0.00000
 1092.60   -0.22073   0.00000
 1092.70   -0.22174   0.00000
 1092.80   -0.22276   0.00000
 1092.90   -0.22378   0.00000
 1093.00   -0.22479   0.00000
 1093.10   -0.22580   0.00000
 1093.20   -0.22682   0.00000
 1093.30   -0.22783   0.00000
 1093.40   -0.22884   0.00000
 1093.50   -0.22984   0.00000
 1093.60   -0.23085   0.00000
 1093.70   -0.23186   0.00000
 1093.80   -0.23286   0.00000
 1093.90   -0.23387   0.00000
 1094.00   -0.23487   0.00000
 1094.10   -0.23587   0.00000
 1094.20   -0.23687   0.00000
 1094.30   -0.23787   0.00000
 1094.40   -0.23887   0.00000
 1094.50   -0.23987   0.00000
 1094.60   -0.24087   0.00000
 1094.70   -0.24186   0.00000
 1094.80   -0.24286   0.00000
 1094.90   -0.24385   0.00000
 1095.00   -0.24484   0.00000
 1095.10   -0.24583   0.00000
 1095.20   -0.24682   0.00000
 1095.30   -0.24781   0.00000
 1095.40   -0.24880   0.00000
 1095.50   -0.24978   0.00000
 1095.60   -0.25077   0.00000
 1095.70   -0.25175   0.00000
 1095.80   -0.25274   0.00000
 1095.90   -0.25372   0.00000
 1096.00   -0.25470   0.00000
 1096.10   -0.25568   0.00000
 1096.20   -0.25666   0.00000
 1096.30   -0.25764   0.00000
 1096.40   -0.25862   0.00000
 1096.50   -0.25959   0.00000
 1096.60   -0.26057   0.00000
 1096.70   -0.26154   0.00000
 1096.80   -0.26251   0.00000
 1096.90   -0.26349   0.00000
 1097.00   -0.26446   0.00000
 1097.10   -0.26543   0.00000
 1097.20   -0.26639   0.00000
 1097.30   -0.26736   0.00000
 1097.40   -0.26833   0.00000
 1097.50   -0.26929   0.00000
 1097.60   -0.27026   0.00000
 1097.70   -0.27122   0.00000
 1097.80   -0.27218   0.00000
 1097.90   -0.27314   0.00000
 1098.00   -0.27410   0.00000
 1098.10   -0.27506   0.00000
 1098.20   -0.27602   0.00000
 1098.30   -0.27698   0.00000
 1098.40   -0.27793   0.00000
 1098.50   -0.27889   0.00000
 1098.60   -0.27984   0.00000
 1098.70   -0.28080   0.00000
 1098.80   -0.28175   0.00000
 1098.90   -0.28270   0.00000
 1099.00   -0.28365   0.00000
 1099.10   -0.28460   0.00000
 1099.20   -0.28555   0.00000
 1099.30   -0.28649   0.00000
 1099.40   -0.28744   0.00000
 1099.50   -0.28838   0.00000
 1099.60   -0.28933   0.00000
 1099.70   -0.29027   0.00000
 1099.80   -0.29121   0.00000
 1099.90   -0.29215   0.00000
 1100.00   -0.29309   0.00000
 1100.10   -0.29403   0.00000
 1100.20   -0.29497   0.00000
 1100.30   -0.29590   0.00000
 1100.40   -0.29684   0.00000
 1100.50   -0.29777   0.00000
 1100.60   -0.29871   0.00000
 1100.70   -0.29964   0.00000
 1100.80   -0.30057   0.00000
 1100.90   -0.30150   0.00000
 1101.00   -0.30243   0.00000
 1101.10   -0.30336   0.00000
 1101.20   -0.30429   0.00000
 1101.30   -0.30522   0.00000
 1101.40   -0.30614   0.00000
 1101.50   -0.30707   0.00000
 1101.60   -0.30799   0.00000
 1101.70   -0.30891   0.00000
 1101.80   -0.30983   0.00000
 1101.90   -0.31076   0.00000
 1102.00   -0.31168   0.00000
 1102.10   -0.31259   0.00000
 1102.20   -0.31351   0.00000
 1102.30   -0.31443   0.00000
 1102.40   -0.31534   0.00000
 1102.50   -0.31626   0.00000
 1102.60   -0.31717   0.00000
 1102.70   -0.31809   0.00000
 1102.80   -0.31900   0.00000
 1102.90   -0.31991   0.00000
 1103.00   -0.32082   0.00000
 1103.10   -0.32173   0.00000
 1103.20   -0.32264   0.00000
 1103.30   -0.32354   0.00000
 1103.40   -0.32445   0.00000
 1103.50   -0.32535   0.00000
 1103.60   -0.32626   0.00000
 1103.70   -0.32716   0.00000
 1103.80   -0.32806   0.00000
 1103.90   -0.32897   0.00000
 1104.00   -0.32987   0.00000
 1104.10   -0.33077   0.00000
 1104.20   -0.33166   0.00000
 1104.30   -0.33256   0.00000
