   W                 M3-_p1/2
 (MeV)      Re       DRe      Im       DIm
1125.893    0.009    0.024    0.210    0.036
1127.891   -0.023    0.041    0.250    0.030
1129.903    0.036    0.031    0.138    0.037
1131.911    0.190    0.027    0.116    0.057
1133.915    0.037    0.020    0.057    0.023
1135.841   -0.089    0.033    0.211    0.034
1135.916   -0.044    0.037    0.220    0.033
1137.913    0.013    0.036    0.154    0.045
1139.396    0.083    0.015    0.034    0.029
1139.923    0.208    0.025    0.010    0.050
1141.905   -0.053    0.044    0.220    0.040
1142.931    0.124    0.022    0.106    0.032
1143.916   -0.073    0.028   -0.022    0.033
1145.916    0.182    0.031    0.140    0.049
1146.464   -0.221    0.033    0.138    0.051
1147.855   -0.034    0.038    0.232    0.035
1149.905    0.105    0.016   -0.091    0.043
1149.986    0.111    0.018   -0.088    0.050
1151.886    0.151    0.015   -0.047    0.041
1153.497    0.013    0.019    0.209    0.031
1153.880    0.129    0.015   -0.158    0.036
1155.862    0.033    0.021    0.128    0.037
1157.006    0.049    0.019    0.152    0.033
1157.849   -0.013    0.018    0.245    0.030
1159.841    0.004    0.018    0.208    0.031
1160.504    0.006    0.019    0.213    0.032
1161.821    0.045    0.016    0.204    0.028
1163.798    0.221    0.017   -0.225    0.044
1163.991    0.213    0.016   -0.218    0.042
1165.780    0.212    0.019   -0.154    0.044
1167.468    0.133    0.024   -0.013    0.046
1167.758    0.134    0.018   -0.004    0.034
1169.733    0.053    0.020    0.145    0.032
1170.951    0.048    0.023    0.185    0.036
1171.680    0.166    0.021   -0.027    0.038
1173.680    0.032    0.023    0.106    0.032
1174.336    0.214    0.023    0.010    0.030
1175.653    0.183    0.016    0.052    0.017
1177.631    0.210    0.022   -0.115    0.036
1177.870    0.099    0.025    0.081    0.031
1179.597    0.102    0.021    0.035    0.024
1181.306    0.023    0.031    0.029    0.028
1181.560   -0.008    0.024    0.037    0.022
1183.528    0.072    0.019    0.082    0.023
1184.748    0.081    0.029    0.005    0.029
1185.493    0.045    0.016    0.117    0.019
1187.454    0.037    0.017    0.123    0.020
1188.180    0.137    0.031   -0.025    0.036
1189.412   -0.016    0.024    0.045    0.022
1191.366    0.023    0.020    0.133    0.020
1191.603    0.243    0.031    0.002    0.031
1193.334    0.025    0.020    0.127    0.020
1195.015    0.264    0.032    0.014    0.030
1195.235    0.198    0.024   -0.062    0.026
1197.235    0.244    0.023   -0.008    0.022
1198.426    0.133    0.030    0.152    0.030
1199.193    0.198    0.024   -0.106    0.023
1201.038    0.250    0.027    0.018    0.018
1201.819    0.076    0.033    0.171    0.030
1202.950    0.216    0.028    0.066    0.015
1204.852    0.030    0.026    0.087    0.021
1205.210    0.073    0.034    0.178    0.027
1206.751    0.246    0.026   -0.040    0.021
1208.600    0.191    0.035    0.090    0.024
1208.646    0.245    0.025    0.012    0.018
1210.539    0.255    0.024   -0.030    0.019
1211.987    0.239    0.031    0.127    0.023
