   W                 M2-_3/2
 (MeV)      Re       DRe      Im       DIm
1125.893   -0.664    0.275    0.080    0.209
1127.891   -0.754    0.321    0.168    0.167
1129.903   -0.500    0.296   -0.120    0.231
1131.911   -0.775    0.366    0.267    0.324
1133.915   -0.757    0.344    0.179    0.176
1135.841   -0.571    0.193   -0.077    0.191
1135.916   -0.593    0.212   -0.052    0.188
1137.913   -0.417    0.220   -0.147    0.273
1139.396   -0.363    0.173    0.572    0.187
1139.923   -0.549    0.180    0.482    0.356
1141.905   -0.896    0.633    0.004    0.228
1142.931   -0.556    0.597   -0.145    0.177
1143.916    0.194    0.606    0.034    0.280
1145.916   -0.642    0.608   -0.259    0.305
1146.464   -0.609    0.609   -0.337    0.263
1147.855   -0.855    0.618   -0.012    0.196
1149.905   -0.583    0.227    0.336    0.256
1149.986   -0.608    0.231    0.353    0.288
1151.886   -0.422    0.228   -0.295    0.227
1153.497   -0.596    0.235   -0.016    0.194
1153.880   -0.420    0.225   -0.116    0.217
1155.862   -0.296    0.314   -0.054    0.229
1157.006   -1.046    0.255   -0.107    0.212
1157.849   -1.060    0.249    0.137    0.185
1159.841   -1.053    0.249   -0.029    0.182
1160.504   -0.471    0.159   -0.054    0.189
1161.821   -0.332    0.143    0.062    0.171
1163.798   -0.343    0.159    0.272    0.251
1163.991   -0.311    0.154    0.295    0.236
1165.780   -0.313    0.157   -0.188    0.247
1167.468   -0.546    0.183    0.066    0.275
1167.758   -0.502    0.159    0.023    0.219
1169.733   -0.317    0.169   -0.493    0.199
1170.951   -0.761    0.266    0.148    0.212
1171.680   -0.187    0.285   -0.663    0.290
1173.680   -1.105    0.267    0.542    0.209
1174.336   -0.563    0.179   -0.039    0.168
1175.653   -0.583    0.150   -0.092    0.109
1177.631   -0.175    0.169    0.029    0.197
1177.870   -0.323    0.199   -0.085    0.175
1179.597   -0.023    0.182   -0.491    0.155
1181.306    0.074    0.234   -0.311    0.201
1181.560   -0.047    0.195   -0.193    0.151
1183.528   -0.280    0.167    0.148    0.121
1184.748    0.202    0.238   -0.400    0.199
1185.493   -0.330    0.159    0.212    0.098
1187.454   -0.362    0.192    0.138    0.105
1188.180    0.041    0.248   -0.273    0.191
1189.412   -0.188    0.223   -0.121    0.128
1191.366   -0.164    0.181    0.194    0.110
1191.603    0.264    0.222   -0.320    0.172
1193.334   -0.295    0.181    0.112    0.108
1195.015   -0.102    0.235   -0.182    0.162
1195.235   -0.228    0.202   -0.117    0.135
1197.235   -0.246    0.170    0.067    0.116
1198.426   -1.067    0.213    0.360    0.175
1199.193   -0.610    0.181    0.100    0.135
1201.038   -0.390    0.166    0.094    0.099
1201.819   -1.241    0.215    0.398    0.169
1202.950   -0.601    0.205    0.300    0.083
1204.852   -1.967    0.222    0.433    0.131
1205.210   -1.526    0.256    0.465    0.156
1206.751   -0.667    0.169    0.264    0.104
1208.600   -0.376    0.234   -0.196    0.137
1208.646   -0.663    0.161   -0.008    0.092
