   W                 M3-_3/2
 (MeV)      Re       DRe      Im       DIm
1303.816   -0.139    0.068    0.046    0.073
1305.542   -0.074    0.066    0.063    0.079
1306.590   -0.189    0.040   -0.224    0.068
1307.222   -0.027    0.058    0.091    0.080
1308.901   -0.050    0.060   -0.008    0.077
1309.746   -0.104    0.056   -0.329    0.085
1310.577   -0.105    0.110    0.186    0.092
1312.251   -0.113    0.108    0.149    0.093
1312.895   -0.108    0.055   -0.298    0.083
1313.916   -0.014    0.086   -0.152    0.096
1315.579    0.038    0.091   -0.131    0.096
1316.035   -0.136    0.054   -0.247    0.081
1317.240   -0.399    0.187    0.293    0.142
1318.898   -0.389    0.093    0.188    0.085
1320.548   -0.237    0.107    0.230    0.078
1322.174   -0.293    0.100    0.170    0.074
1323.847   -0.337    0.097    0.198    0.073
1325.406   -0.403    0.068    0.243    0.072
1325.477   -0.367    0.103    0.216    0.090
1327.118   -0.407    0.092    0.083    0.094
1328.531   -0.374    0.071    0.251    0.072
1328.743   -0.355    0.095    0.094    0.089
1330.373   -0.344    0.110    0.225    0.088
1331.557   -0.298    0.082    0.262    0.072
1331.987   -0.257    0.108    0.223    0.081
1333.606   -0.372    0.096    0.124    0.090
1334.732    0.063    0.094    0.176    0.063
1335.217   -0.461    0.093   -0.140    0.102
1336.825   -0.491    0.139   -0.180    0.190
1337.807    0.114    0.169    0.152    0.110
1338.438   -0.355    0.119   -0.246    0.180
1340.000   -0.297    0.101   -0.354    0.103
1340.896   -0.171    0.061   -0.341    0.079
1341.631   -0.228    0.161   -0.311    0.161
1343.211   -0.274    0.088   -0.188    0.107
1343.972   -0.346    0.057    0.142    0.064
1344.809   -0.242    0.090   -0.259    0.101
1346.378   -0.152    0.098   -0.289    0.091
1347.040   -0.262    0.058   -0.217    0.072
1347.959   -0.227    0.082   -0.237    0.097
1349.531   -0.152    0.117   -0.370    0.089
1350.101   -0.058    0.185   -0.436    0.135
1351.095   -0.128    0.102   -0.362    0.092
1352.663   -0.151    0.227   -0.369    0.140
1353.156   -0.063    0.200   -0.421    0.141
1354.223   -0.105    0.106   -0.342    0.084
1355.767   -0.153    0.153   -0.376    0.142
1356.203   -0.177    0.065   -0.399    0.079
1357.296   -0.206    0.184   -0.360    0.163
1358.864   -0.140    0.179   -0.364    0.150
1359.244    0.022    0.158   -0.501    0.145
1360.410    0.225    0.152   -0.569    0.146
1361.954   -0.029    0.187   -0.425    0.170
1362.285   -0.022    0.164   -0.472    0.149
1363.469    0.005    0.203   -0.447    0.170
1364.996    0.035    0.117   -0.429    0.105
1366.528   -0.315    0.113    0.038    0.091
1368.030   -0.166    0.072   -0.285    0.087
1368.264   -0.264    0.094    0.016    0.077
1369.545   -0.284    0.098    0.072    0.095
1371.065   -0.257    0.108   -0.025    0.095
1371.353   -0.342    0.049    0.043    0.052
1372.556   -0.249    0.121   -0.023    0.102
1374.032   -0.287    0.107   -0.010    0.094
1374.353   -0.222    0.058   -0.289    0.093
1375.561   -0.339    0.090    0.005    0.073
1377.034   -0.264    0.102   -0.008    0.082
1377.347   -0.302    0.047    0.019    0.048
1378.518   -0.246    0.099   -0.022    0.077
1379.994   -0.083    0.085   -0.168    0.082
1380.341    0.008    0.058   -0.028    0.038
1381.483   -0.155    0.079   -0.393    0.103
1382.928   -0.173    0.070    0.031    0.054
1383.329   -0.129    0.054   -0.341    0.061
1384.413   -0.198    0.065   -0.157    0.062
1385.863   -0.181    0.068   -0.161    0.063
1386.310   -0.161    0.054   -0.310    0.060
1387.318   -0.076    0.079   -0.278    0.085
1388.771   -0.122    0.079   -0.312    0.084
1389.278   -0.141    0.052   -0.361    0.060
1390.183    0.006    0.093   -0.355    0.109
1391.660   -0.190    0.066   -0.146    0.064
1392.246   -0.177    0.052   -0.397    0.066
1393.088   -0.140    0.072   -0.180    0.064
1394.522   -0.147    0.058    0.082    0.048
1395.202    0.028    0.047   -0.071    0.039
1395.941   -0.185    0.062   -0.150    0.061
1397.359   -0.121    0.089   -0.222    0.101
1398.158   -0.111    0.059   -0.122    0.037
1398.788   -0.114    0.091   -0.252    0.098
1400.189   -0.179    0.084   -0.055    0.086
1401.107   -0.165    0.053   -0.156    0.046
1401.589   -0.176    0.084   -0.133    0.106
1403.001   -0.182    0.078   -0.184    0.108
1404.371   -0.172    0.073   -0.071    0.084
1405.787   -0.288    0.064   -0.111    0.058
1407.168   -0.287    0.052   -0.131    0.052
1408.548   -0.291    0.054   -0.120    0.053
1409.892   -0.339    0.038   -0.204    0.041
1409.919   -0.307    0.063   -0.222    0.056
1411.296   -0.293    0.056   -0.261    0.058
1412.658   -0.325    0.059   -0.200    0.053
1412.811   -0.353    0.037   -0.203    0.039
1414.019   -0.324    0.051   -0.231    0.053
1415.379   -0.327    0.049   -0.196    0.055
1416.730   -0.341    0.049   -0.206    0.054
1418.048   -0.349    0.049   -0.230    0.051
1418.623   -0.385    0.036   -0.181    0.038
1419.417   -0.342    0.048   -0.228    0.052
1420.745   -0.209    0.059   -0.169    0.070
1421.517   -0.118    0.050   -0.066    0.037
1422.078   -0.151    0.059    0.021    0.044
1423.397   -0.176    0.051    0.046    0.047
1424.722   -0.203    0.055    0.015    0.044
1426.038   -0.189    0.056   -0.007    0.048
1427.294   -0.142    0.045   -0.079    0.038
1427.347   -0.198    0.044   -0.153    0.068
1428.654   -0.203    0.058   -0.080    0.070
1429.961   -0.197    0.050   -0.192    0.071
1430.171   -0.194    0.041   -0.099    0.039
1431.226   -0.210    0.052   -0.150    0.086
1432.537   -0.224    0.051   -0.145    0.084
1433.035   -0.187    0.043   -0.106    0.044
1433.814   -0.202    0.059   -0.124    0.081
1435.096   -0.210    0.050   -0.172    0.068
1435.913   -0.182    0.052   -0.097    0.050
1436.370   -0.183    0.056   -0.125    0.064
1437.650   -0.170    0.057   -0.093    0.056
1438.902   -0.197    0.053   -0.132    0.065
1440.160    0.032    0.121   -0.198    0.122
1441.424   -0.019    0.088   -0.162    0.072
1441.612   -0.169    0.042   -0.080    0.036
1442.647   -0.188    0.054   -0.095    0.068
1443.902   -0.286    0.050   -0.026    0.048
1444.441   -0.016    0.048    0.010    0.039
1445.142   -0.284    0.055   -0.018    0.051
1446.998   -0.115    0.048   -0.004    0.040
1447.277   -0.092    0.058   -0.015    0.031
1449.453   -0.231    0.059   -0.053    0.037
1450.107   -0.536    0.039   -0.058    0.045
1451.885   -0.219    0.050   -0.059    0.035
1452.925   -0.572    0.044   -0.033    0.048
1454.281   -0.353    0.042   -0.074    0.036
1455.738   -0.073    0.039   -0.083    0.031
1456.679   -0.091    0.049   -0.093    0.046
1458.546   -0.466    0.041   -0.032    0.039
1459.047   -0.375    0.060   -0.081    0.058
1461.348   -0.361    0.045   -0.055    0.042
1461.393    0.028    0.039   -0.157    0.043
1463.721    0.023    0.040   -0.138    0.042
1464.138   -0.383    0.047   -0.060    0.043
1466.034   -0.396    0.071   -0.095    0.060
1466.923   -0.361    0.049   -0.083    0.044
1468.323   -0.394    0.063   -0.084    0.059
1469.715   -0.386    0.049   -0.051    0.043
1470.590   -0.389    0.068   -0.090    0.060
1472.413   -0.407    0.052   -0.011    0.046
1472.840   -0.475    0.066   -0.047    0.060
1475.062    0.032    0.040   -0.110    0.039
1475.253   -0.397    0.051    0.003    0.043
1477.280    0.052    0.040   -0.146    0.040
1477.998   -0.373    0.053   -0.028    0.044
1479.463   -0.427    0.058   -0.089    0.057
1480.750   -0.412    0.043   -0.041    0.038
1481.631   -0.405    0.062   -0.074    0.057
1483.491   -0.398    0.045   -0.049    0.039
1483.782   -0.403    0.071   -0.097    0.057
1485.906   -0.398    0.068   -0.096    0.062
1488.026   -0.483    0.074   -0.093    0.061
1488.959   -0.451    0.049   -0.023    0.042
1490.111   -0.480    0.072   -0.071    0.060
1491.685   -0.452    0.052   -0.056    0.041
1492.188   -0.466    0.074   -0.090    0.055
1494.236   -0.503    0.079   -0.103    0.057
1494.400   -0.477    0.055   -0.055    0.043
1496.282   -0.498    0.083   -0.099    0.057
1497.109   -0.406    0.049   -0.007    0.042
1498.293   -0.451    0.080   -0.053    0.053
1499.814   -0.418    0.050   -0.005    0.042
1500.290   -0.445    0.099   -0.089    0.053
