   W                 E3-_3/2
 (MeV)      Re       DRe      Im       DIm
1300.263   -1.154    0.122    0.212    0.166
1300.450   -0.704    0.153    0.033    0.193
1302.152   -0.951    0.136    0.067    0.203
1303.434   -0.770    0.158    0.298    0.116
1303.816   -0.217    0.193    0.299    0.145
1305.542   -0.288    0.198    0.188    0.144
1306.590    0.040    0.182    0.195    0.121
1307.222   -0.110    0.192    0.336    0.150
1308.901   -0.060    0.185    0.276    0.147
1309.746    0.309    0.221   -0.031    0.134
1310.577   -0.363    0.219    0.303    0.184
1312.251   -0.348    0.217    0.260    0.185
1312.895    0.286    0.216   -0.050    0.135
1313.916    0.123    0.220   -0.019    0.161
1315.579    0.092    0.213   -0.052    0.166
1316.035    0.266    0.211   -0.112    0.138
1317.240   -0.393    0.254    0.207    0.297
1318.898   -0.424    0.181    0.245    0.198
1320.548   -0.277    0.211    0.261    0.236
1322.174   -0.298    0.207    0.427    0.224
1323.847   -0.379    0.200    0.476    0.214
1325.406   -0.935    0.160    0.071    0.149
1325.477   -0.639    0.231    0.022    0.262
1327.118   -0.752    0.262   -0.183    0.265
1328.531   -0.894    0.155    0.054    0.143
1328.743   -0.677    0.275   -0.129    0.288
1330.373   -0.663    0.242   -0.011    0.276
1331.557   -0.783    0.166   -0.042    0.152
1331.987   -0.596    0.241   -0.097    0.267
1333.606   -0.700    0.237   -0.135    0.244
1334.732   -0.414    0.145    0.183    0.157
1335.217   -1.204    0.188   -0.334    0.251
1336.825   -1.067    0.240   -0.243    0.308
1337.807   -0.352    0.207    0.221    0.224
1338.438   -0.672    0.233   -0.268    0.315
1340.000   -0.501    0.200   -0.353    0.258
1340.896   -0.166    0.191   -0.214    0.140
1341.631   -0.582    0.247   -0.473    0.265
1343.211   -0.692    0.198   -0.393    0.234
1343.972   -1.087    0.125   -0.002    0.208
1344.809   -0.641    0.195   -0.496    0.239
1346.378   -0.475    0.206   -0.485    0.269
1347.040   -0.385    0.151   -0.192    0.142
1347.959   -0.642    0.182   -0.490    0.225
1349.531   -0.666    0.144   -0.250    0.172
1350.101   -0.682    0.163   -0.266    0.202
1351.095   -0.708    0.153   -0.436    0.198
1352.663   -0.629    0.190   -0.255    0.206
1353.156   -0.653    0.153   -0.279    0.216
1354.223   -0.586    0.157   -0.316    0.206
1355.767   -0.613    0.243   -0.573    0.268
1356.203   -0.506    0.157   -0.245    0.100
1357.296   -0.750    0.216   -0.477    0.229
1358.864   -0.639    0.245   -0.542    0.274
1359.244   -0.742    0.171   -0.405    0.236
1360.410   -0.648    0.185   -0.544    0.230
1361.954   -0.675    0.214   -0.433    0.206
1362.285   -0.740    0.177   -0.399    0.222
1363.469   -0.704    0.204   -0.451    0.199
1364.996   -0.600    0.150   -0.467    0.202
1366.528   -1.081    0.249   -0.186    0.304
1368.030   -0.481    0.203   -0.392    0.198
1368.264   -0.996    0.226   -0.188    0.319
1369.545   -1.257    0.203   -0.439    0.241
1371.065   -0.906    0.237   -0.139    0.268
1371.353   -1.105    0.113   -0.028    0.169
1372.556   -0.852    0.267   -0.094    0.266
1374.032   -0.897    0.242   -0.098    0.275
1374.353   -0.337    0.226   -0.125    0.214
1375.561   -1.032    0.187   -0.067    0.214
1377.034   -0.922    0.217   -0.067    0.220
1377.347   -1.027    0.097    0.069    0.142
1378.518   -0.881    0.225   -0.051    0.223
1379.994   -0.235    0.171   -0.027    0.277
1380.341   -0.384    0.086   -0.329    0.143
1381.483   -0.166    0.141   -0.688    0.233
1382.928   -0.821    0.156    0.092    0.220
1383.329   -0.262    0.097   -0.780    0.098
1384.413   -0.436    0.156    0.047    0.261
1385.863   -0.348    0.151    0.050    0.249
1386.310   -0.263    0.092   -0.723    0.098
1387.318   -0.306    0.133   -0.728    0.131
1388.771   -0.288    0.131   -0.695    0.140
1389.278   -0.259    0.093   -0.783    0.095
1390.183   -0.285    0.154   -0.795    0.130
1391.660   -0.378    0.145   -0.012    0.268
1392.246   -0.205    0.092   -0.734    0.111
1393.088   -0.273    0.150    0.110    0.223
1394.522   -0.886    0.118    0.046    0.165
1395.202   -0.488    0.079   -0.622    0.143
1395.941   -0.436    0.152    0.115    0.226
