   W                 E3+_3/2
 (MeV)      Re       DRe      Im       DIm
1271.433   -0.318    0.059    0.160    0.044
1272.731   -0.172    0.061    0.186    0.044
1274.477   -0.242    0.063    0.073    0.046
1274.661   -0.268    0.064    0.101    0.042
1276.250   -0.150    0.062    0.103    0.051
1278.006   -0.094    0.059    0.161    0.051
1279.752   -0.198    0.056    0.075    0.052
1281.108   -0.179    0.062    0.091    0.048
1281.510   -0.181    0.061   -0.093    0.054
1283.215   -0.083    0.062    0.152    0.060
1284.319   -0.190    0.057    0.089    0.048
1284.991   -0.158    0.075    0.044    0.068
1286.720   -0.198    0.086    0.031    0.075
1287.522   -0.223    0.068   -0.006    0.050
1288.447   -0.271    0.063   -0.051    0.054
1290.179   -0.222    0.069   -0.005    0.055
1290.724   -0.262    0.065   -0.070    0.050
1291.902    0.322    0.084    0.355    0.086
1293.614    0.326    0.083    0.372    0.089
1293.846   -0.814    0.073   -0.483    0.074
1295.332   -0.749    0.083   -0.378    0.098
1297.041   -0.370    0.056   -0.160    0.052
1297.098   -0.330    0.042    0.002    0.050
1298.754   -0.378    0.053   -0.130    0.052
1300.263   -0.311    0.039    0.030    0.044
1300.450   -0.351    0.052   -0.128    0.052
1302.152   -0.354    0.049   -0.064    0.053
1303.434   -0.120    0.039    0.204    0.035
1303.816   -0.250    0.046   -0.107    0.043
1305.542   -0.228    0.046   -0.050    0.049
1306.590   -0.223    0.031   -0.108    0.031
1307.222   -0.156    0.033    0.013    0.048
1308.901   -0.194    0.036   -0.050    0.046
1309.746   -0.223    0.041   -0.100    0.047
1310.577   -0.217    0.064    0.010    0.062
1312.251   -0.236    0.060    0.004    0.059
1312.895   -0.246    0.039   -0.097    0.046
1313.916   -0.227    0.051   -0.087    0.049
1315.579   -0.242    0.051   -0.081    0.048
1316.035   -0.266    0.035   -0.077    0.044
1317.240   -0.378    0.089    0.145    0.093
1318.898   -0.401    0.041    0.107    0.059
1320.548   -0.289    0.052    0.131    0.059
1322.174   -0.314    0.046    0.095    0.053
1323.847   -0.311    0.047    0.093    0.054
1325.406   -0.287    0.043    0.199    0.051
1325.477   -0.340    0.059    0.162    0.069
1327.118   -0.345    0.067    0.138    0.072
1328.531   -0.282    0.043    0.214    0.049
1328.743   -0.292    0.064    0.121    0.065
1330.373   -0.317    0.062    0.173    0.064
1331.557   -0.264    0.045    0.214    0.048
1331.987   -0.283    0.067    0.191    0.058
1333.606   -0.323    0.063    0.148    0.063
1334.732   -0.090    0.065    0.139    0.052
1335.217   -0.318    0.072   -0.088    0.084
1336.825   -0.349    0.116   -0.080    0.146
1337.807   -0.076    0.104    0.134    0.093
1338.438   -0.343    0.094   -0.098    0.099
1340.000   -0.241    0.078   -0.050    0.069
1340.896   -0.289    0.040   -0.123    0.055
1341.631   -0.248    0.123   -0.041    0.077
1343.211   -0.308    0.052   -0.066    0.062
1343.972   -0.263    0.045    0.067    0.052
1344.809   -0.275    0.064   -0.046    0.059
1346.378   -0.215    0.075   -0.016    0.057
1347.040   -0.308    0.036   -0.071    0.051
1347.959   -0.272    0.057   -0.054    0.056
1349.531   -0.141    0.086   -0.096    0.070
1350.101   -0.067    0.127   -0.099    0.113
1351.095   -0.199    0.080   -0.089    0.070
1352.663   -0.130    0.173   -0.066    0.100
1353.156   -0.095    0.141   -0.103    0.111
1354.223   -0.148    0.082   -0.046    0.067
1355.767   -0.210    0.114   -0.043    0.076
1356.203   -0.289    0.047   -0.203    0.063
1357.296   -0.220    0.137   -0.081    0.087
1358.864   -0.202    0.127   -0.032    0.077
1359.244   -0.052    0.093   -0.059    0.109
1360.410   -0.028    0.075   -0.037    0.100
1361.954   -0.104    0.113   -0.002    0.091
1362.285   -0.067    0.096   -0.043    0.104
1363.469   -0.097    0.112   -0.005    0.091
1364.996   -0.111    0.069    0.007    0.070
1366.528   -0.247    0.055    0.066    0.064
1368.030   -0.321    0.047   -0.047    0.058
1368.264   -0.235    0.057    0.070    0.054
1369.545   -0.205    0.059    0.155    0.051
1371.065   -0.239    0.059    0.062    0.061
1371.353   -0.234    0.037    0.071    0.046
1372.556   -0.233    0.059    0.055    0.058
1374.032   -0.248    0.056    0.049    0.060
1374.353   -0.306    0.048   -0.009    0.062
1375.561   -0.258    0.050    0.041    0.048
1377.034   -0.229    0.049    0.051    0.042
1377.347   -0.236    0.028    0.045    0.042
1378.518   -0.237    0.045    0.065    0.040
1379.994   -0.234    0.038    0.046    0.032
1380.341   -0.193    0.029    0.065    0.032
1381.483   -0.289    0.050    0.032    0.039
1382.928   -0.148    0.045   -0.071    0.056
1383.329   -0.305    0.027    0.001    0.026
1384.413   -0.234    0.044    0.035    0.034
1385.863   -0.218    0.040    0.036    0.031
1386.310   -0.323    0.026    0.010    0.026
1387.318   -0.331    0.033   -0.013    0.033
1388.771   -0.324    0.033   -0.007    0.034
1389.278   -0.304    0.027    0.007    0.025
1390.183   -0.326    0.035   -0.030    0.034
1391.660   -0.233    0.042    0.037    0.031
1392.246   -0.296    0.027    0.017    0.027
1393.088   -0.190    0.032    0.040    0.031
1394.522   -0.126    0.037   -0.062    0.053
1395.202   -0.245    0.034    0.020    0.026
1395.941   -0.207    0.035    0.032    0.032
1397.359   -0.321    0.041   -0.029    0.045
1398.158   -0.280    0.030   -0.014    0.038
1398.788   -0.328    0.039   -0.043    0.044
1400.189   -0.236    0.043    0.062    0.048
1401.107   -0.229    0.027    0.058    0.028
1401.589   -0.253    0.049    0.026    0.047
1403.001   -0.272    0.047    0.017    0.051
1404.371   -0.260    0.043    0.017    0.042
1405.787   -0.178    0.029    0.075    0.033
1407.168   -0.200    0.030    0.040    0.030
1408.548   -0.185    0.028    0.055    0.031
1409.892   -0.117    0.024    0.026    0.029
1409.919   -0.134    0.037    0.048    0.037
1411.296   -0.159    0.039    0.034    0.036
1412.658   -0.122    0.033    0.050    0.036
1412.811   -0.111    0.023    0.026    0.027
1414.019   -0.137    0.034    0.034    0.033
1415.379   -0.143    0.039    0.005    0.032
1416.730   -0.129    0.039    0.006    0.033
1418.048   -0.121    0.039    0.027    0.036
1418.623   -0.107    0.026    0.014    0.026
1419.417   -0.127    0.040    0.018    0.034
1420.745   -0.168    0.042   -0.004    0.029
1421.517   -0.182    0.023    0.045    0.031
1422.078   -0.247    0.040   -0.006    0.052
1423.397   -0.229    0.043   -0.054    0.035
1424.722   -0.257    0.044   -0.082    0.037
1426.038   -0.256    0.045   -0.067    0.040
1427.294   -0.187    0.025   -0.006    0.034
1427.347   -0.198    0.030   -0.046    0.033
1428.654   -0.154    0.038   -0.043    0.035
1429.961   -0.183    0.033   -0.030    0.035
1430.171   -0.155    0.029   -0.034    0.024
1431.226   -0.180    0.035   -0.038    0.037
1432.537   -0.184    0.035   -0.050    0.040
1433.035   -0.167    0.030   -0.046    0.024
1433.814   -0.161    0.037   -0.040    0.037
1435.096   -0.171    0.033   -0.069    0.039
1435.913   -0.138    0.035   -0.045    0.025
1436.370   -0.171    0.033   -0.030    0.032
1437.650   -0.163    0.036   -0.040    0.029
1438.902   -0.179    0.033   -0.024    0.034
1440.160   -0.093    0.042   -0.013    0.034
