   W                 E1+_p1/2
 (MeV)      Re       DRe      Im       DIm
1306.590    1.037    0.164    0.201    0.255
1307.222    1.036    0.163    0.255    0.256
1308.901    1.058    0.162    0.234    0.256
1309.746    0.995    0.102    0.069    0.176
1310.577    0.957    0.108    0.062    0.181
1312.251    0.946    0.107    0.038    0.181
1312.895    0.999    0.101    0.051    0.176
1313.916    0.992    0.102    0.003    0.177
1315.579    1.118    0.163    0.089    0.221
1316.035    1.163    0.162    0.132    0.219
1317.240    1.059    0.192    0.100    0.237
1318.898    1.173    0.202    0.133    0.274
1320.548    1.068    0.204    0.267    0.275
1322.174    0.829    0.125    0.172    0.214
1323.847    0.851    0.125    0.174    0.215
1325.406    1.178    0.159    0.180    0.328
1325.477    1.212    0.166    0.142    0.331
1327.118    1.218    0.165    0.076    0.331
1328.531    1.210    0.159    0.163    0.328
1328.743    1.278    0.167    0.072    0.331
1330.373    1.048    0.142    0.118    0.264
1331.557    1.067    0.135    0.138    0.261
1331.987    1.074    0.141    0.087    0.263
1333.606    1.094    0.141    0.059    0.262
1334.732    1.092    0.124    0.161    0.258
1335.217    1.029    0.130    0.086    0.262
1336.825    1.010    0.151    0.068    0.275
1337.807    1.118    0.147    0.152    0.267
1338.438    1.036    0.144    0.047    0.277
1340.000    1.129    0.152   -0.055    0.345
1340.896    1.154    0.142    0.048    0.341
1341.631    1.121    0.152   -0.052    0.351
1343.211    1.128    0.147    0.001    0.344
1343.972    1.102    0.142    0.131    0.342
1344.809    1.129    0.148   -0.043    0.343
1346.378    1.082    0.119   -0.213    0.232
1347.040    1.106    0.110   -0.110    0.230
1347.959    1.084    0.116   -0.188    0.232
1349.531    1.154    0.126   -0.216    0.223
1350.101    0.969    0.121   -0.240    0.256
1351.095    0.945    0.114   -0.192    0.247
1352.663    0.987    0.121   -0.218    0.263
1353.156    0.976    0.120   -0.229    0.260
1354.223    0.980    0.114   -0.210    0.246
1355.767    1.098    0.123   -0.374    0.281
1356.203    1.164    0.114   -0.254    0.272
1357.296    1.081    0.128   -0.383    0.285
1358.864    1.103    0.124   -0.388    0.282
1359.244    1.148    0.122   -0.477    0.277
1360.410    1.132    0.121   -0.505    0.277
1361.954    1.000    0.126   -0.329    0.253
1362.285    0.991    0.125   -0.359    0.249
1363.469    0.991    0.125   -0.341    0.252
1364.996    1.014    0.123   -0.322    0.246
1366.528    1.049    0.150   -0.150    0.270
1368.030    1.082    0.125   -0.203    0.265
1368.264    1.052    0.136   -0.170    0.267
1369.545    1.090    0.143   -0.134    0.269
1371.065    1.181    0.138   -0.518    0.249
1371.353    1.151    0.111   -0.464    0.241
1372.556    1.205    0.134   -0.519    0.250
1374.032    1.206    0.136   -0.519    0.249
1374.353    1.222    0.140   -0.554    0.251
1375.561    1.305    0.116   -0.424    0.245
1377.034    1.318    0.113   -0.451    0.246
1377.347    1.028    0.119   -0.131    0.246
1378.518    1.022    0.127   -0.209    0.253
1379.994    0.950    0.121   -0.347    0.248
1380.341    0.995    0.119   -0.359    0.245
1381.483    0.982    0.106   -0.201    0.186
1382.928    1.115    0.116    0.063    0.186
1383.329    1.047    0.146   -0.358    0.264
1384.413    1.049    0.148   -0.320    0.267
1385.863    1.070    0.148   -0.340    0.267
1386.310    1.034    0.146   -0.350    0.264
1387.318    1.038    0.146   -0.349    0.266
1388.771    0.953    0.126   -0.260    0.256
1389.278    0.960    0.125   -0.293    0.254
1390.183    0.954    0.126   -0.283    0.257
1391.660    0.972    0.127   -0.276    0.256
1392.246    0.978    0.125   -0.303    0.254
1393.088    1.058    0.146   -0.489    0.281
1394.522    1.215    0.150   -0.315    0.281
1395.202    1.061    0.144   -0.511    0.279
1395.941    1.044    0.146   -0.477    0.281
1397.359    1.076    0.102   -0.094    0.156
1398.158    1.118    0.094   -0.069    0.154
1398.788    1.081    0.101   -0.099    0.155
1400.189    1.071    0.104   -0.164    0.158
1401.107    1.115    0.094   -0.177    0.154
1401.589    1.093    0.104   -0.165    0.158
1403.001    1.068    0.164   -0.034    0.190
1404.371    1.040    0.163   -0.051    0.190
1405.787    0.989    0.164   -0.094    0.190
1407.168    0.989    0.172   -0.119    0.190
1408.548    0.999    0.172   -0.111    0.190
1409.892    1.059    0.114   -0.158    0.185
1409.919    1.054    0.123   -0.135    0.189
1411.296    1.037    0.123   -0.151    0.190
1412.658    1.047    0.124   -0.149    0.188
1412.811    1.055    0.115   -0.160    0.184
1414.019    0.880    0.103    0.333    0.146
1415.379    0.834    0.107    0.306    0.146
1416.730    0.847    0.107    0.304    0.146
1418.048    1.075    0.095   -0.046    0.143
1418.623    1.078    0.080   -0.058    0.139
1419.417    1.072    0.096   -0.054    0.143
1420.745    1.094    0.094   -0.100    0.145
1421.517    1.239    0.076   -0.022    0.143
1422.078    1.176    0.084    0.028    0.146
1423.397    1.062    0.171    0.069    0.197
1424.722    1.057    0.171    0.055    0.197
1426.038    1.053    0.171    0.049    0.197
1427.294    1.113    0.165    0.035    0.196
1427.347    0.970    0.174    0.176    0.187
1428.654    0.940    0.176    0.179    0.187
1429.961    0.891    0.132    0.186    0.186
1430.171    0.884    0.126    0.185    0.183
1431.226    0.895    0.133    0.178    0.187
1432.537    0.887    0.123    0.026    0.171
1433.035    0.877    0.115    0.022    0.167
1433.814    0.885    0.123    0.031    0.171
1435.096    0.906    0.124    0.034    0.169
1435.913    0.887    0.120    0.028    0.169
1436.370    0.930    0.176    0.146    0.191
1437.650    0.933    0.175    0.130    0.191
1438.902    0.933    0.177    0.142    0.191
1440.160    0.862    0.177    0.073    0.192
1441.424    0.912    0.139    0.065    0.187
1441.612    0.927    0.135    0.148    0.183
1442.647    0.950    0.141    0.130    0.185
1443.902    0.805    0.128    0.215    0.170
1444.441    0.789    0.121    0.014    0.169
1445.142    0.812    0.130    0.195    0.171
1446.998    0.588    0.182    0.170    0.171
1447.277    0.656    0.180    0.149    0.170
1449.453    0.567    0.115    0.276    0.168
1450.107    0.617    0.108    0.187    0.169
1451.885    0.583    0.115    0.274    0.168
1452.925    0.604    0.108    0.132    0.169
1454.281    0.809    0.093    0.484    0.117
1455.738    0.834    0.084    0.323    0.116
1456.679    0.820    0.090    0.343    0.117
1458.546    0.710    0.180    0.310    0.189
1459.047    0.624    0.180    0.205    0.189
1461.348    0.623    0.180    0.208    0.188
1461.393    0.733    0.183    0.325    0.188
1463.721    0.829    0.130    0.374    0.162
1464.138    0.683    0.126    0.237    0.162
1466.034    0.674    0.128    0.233    0.162
1466.923    0.679    0.173    0.089    0.149
1468.323    0.686    0.173    0.085    0.149
1469.715    0.834    0.114    0.058    0.150
1470.590    0.819    0.115    0.058    0.150
1472.413    0.775    0.114    0.073    0.150
1472.840    0.764    0.125    0.305    0.177
1475.062    0.920    0.126    0.427    0.177
1475.253    0.797    0.124    0.335    0.177
