   W                 M1+_3/2
 (MeV)      Re       DRe      Im       DIm
1306.590  -12.610    0.634   12.803    0.532
1307.222  -12.589    0.621   12.803    0.516
1308.901  -12.591    0.617   12.627    0.513
1309.746  -12.176    0.422   11.665    0.388
1310.577  -12.268    0.411   11.840    0.374
1312.251  -12.174    0.409   11.724    0.371
1312.895  -12.072    0.417   11.406    0.385
1313.916  -12.002    0.407   11.368    0.374
1315.579  -12.185    0.535   11.192    0.416
1316.035  -12.198    0.543   10.951    0.435
1317.240  -12.455    0.816   10.879    0.869
1318.898  -12.416    0.718   10.548    0.500
1320.548  -12.254    0.722   10.278    0.513
1322.174  -11.831    0.515   10.011    0.449
1323.847  -11.785    0.513    9.838    0.450
1325.406  -11.955    0.671   10.373    0.527
1325.477  -11.785    0.684   10.273    0.555
1327.118  -11.705    0.684   10.053    0.558
1328.531  -11.837    0.671   10.036    0.531
1328.743  -11.685    0.691    9.925    0.577
1330.373  -11.373    0.528    9.039    0.493
1331.557  -11.397    0.502    8.919    0.441
1331.987  -11.245    0.516    8.846    0.470
1333.606  -11.150    0.515    8.634    0.472
1334.732  -11.103    0.505    8.490    0.446
1335.217  -11.076    0.521    8.635    0.470
1336.825  -11.042    0.695    8.513    0.830
1337.807  -10.966    0.679    8.217    0.838
1338.438  -11.017    0.678    8.245    0.835
1340.000  -10.885    0.694    8.185    0.594
1340.896  -10.748    0.677    8.124    0.545
1341.631  -10.769    0.810    8.133    0.854
1343.211  -10.801    0.682    8.092    0.565
1343.972  -11.061    0.666    7.958    0.530
1344.809  -10.699    0.685    7.984    0.572
1346.378   -9.781    0.494    7.771    0.486
1347.040   -9.972    0.466    7.673    0.434
1347.959   -9.835    0.475    7.711    0.448
1349.531   -9.683    0.463    7.421    0.467
1350.101   -9.563    0.608    7.476    0.805
1351.095   -9.391    0.464    7.490    0.483
1352.663   -9.362    0.601    7.294    0.786
1353.156   -9.439    0.602    7.348    0.789
1354.223   -9.242    0.462    7.252    0.485
1355.767   -9.612    0.629    6.557    0.747
1356.203   -9.702    0.490    6.523    0.439
1357.296   -9.751    0.623    6.564    0.756
1358.864   -9.519    0.618    6.381    0.740
1359.244   -9.682    0.612    6.129    0.772
1360.410   -9.429    0.610    5.721    0.759
1361.954   -9.150    0.598    5.824    0.744
1362.285   -9.232    0.589    5.788    0.752
1363.469   -9.094    0.592    5.741    0.749
1364.996   -8.995    0.489    5.625    0.500
1366.528   -9.427    0.585    5.587    0.741
1368.030   -9.188    0.501    5.632    0.511
1368.264   -9.404    0.528    5.690    0.594
1369.545   -9.224    0.574    5.283    0.721
1371.065   -9.071    0.593    5.812    0.721
1371.353   -9.215    0.470    5.572    0.423
1372.556   -8.993    0.589    5.732    0.713
1374.032   -8.948    0.583    5.623    0.717
1374.353   -8.766    0.573    5.431    0.707
1375.561   -8.876    0.560    5.101    0.686
1377.034   -8.828    0.563    5.204    0.672
1377.347   -8.512    0.432    4.633    0.412
1378.518   -8.410    0.531    4.803    0.664
1379.994   -8.150    0.505    4.829    0.592
1380.341   -8.023    0.437    4.790    0.393
1381.483   -7.786    0.433    4.580    0.457
1382.928   -8.089    0.433    4.303    0.533
1383.329   -7.664    0.470    4.486    0.405
1384.413   -8.132    0.495    4.694    0.480
1385.863   -7.973    0.499    4.643    0.487
