   W                 M1+_p1/2
 (MeV)      Re       DRe      Im       DIm
1125.893   -1.334    0.442   -0.636    0.378
1127.891   -1.239    0.441   -0.667    0.336
1129.903   -1.067    0.441   -0.656    0.370
1131.911   -0.888    0.636   -0.484    0.428
1133.915   -0.946    0.636   -0.512    0.434
1135.841   -1.487    0.275   -0.501    0.274
1135.916   -1.473    0.276   -0.497    0.276
1137.913   -1.297    0.276   -0.442    0.271
1139.396   -1.415    0.277   -0.482    0.286
1139.923   -1.242    0.275   -0.362    0.272
1141.905   -1.751    0.583   -0.232    0.499
1142.931   -1.561    0.582   -0.145    0.509
1143.916   -1.490    0.582   -0.147    0.501
1145.916   -1.219    0.582    0.060    0.502
1146.464   -1.347    0.583    0.010    0.519
1147.855   -1.121    0.582    0.156    0.502
1149.905   -1.562    0.270   -0.502    0.281
1149.986   -1.584    0.273   -0.507    0.298
1151.886   -1.586    0.271   -0.418    0.279
1153.497   -1.453    0.272   -0.333    0.294
1153.880   -1.448    0.271   -0.273    0.276
1155.862   -1.909    0.585   -0.187    0.504
1157.006   -1.341    0.416    0.082    0.359
1157.849   -1.271    0.415    0.200    0.350
1159.841   -1.154    0.415    0.306    0.350
1160.504   -1.562    0.272    0.257    0.295
1161.821   -1.507    0.270    0.345    0.285
1163.798   -1.408    0.273    0.528    0.294
1163.991   -1.466    0.274    0.496    0.296
1165.780   -1.764    0.234   -0.105    0.292
1167.468   -1.681    0.237    0.037    0.298
1167.758   -1.639    0.232    0.115    0.284
1169.733   -1.559    0.232    0.376    0.281
1170.951   -1.390    0.394    0.484    0.412
1171.680   -1.394    0.395    0.581    0.413
1173.680   -1.301    0.390    0.829    0.400
1174.336   -1.677    0.253    0.116    0.309
1175.653   -1.691    0.244    0.289    0.291
1177.631   -1.565    0.244    0.654    0.289
1177.870   -1.505    0.253    0.606    0.305
1179.597   -1.473    0.244    0.942    0.289
1181.306   -1.473    0.256    1.113    0.303
1181.560   -1.530    0.244    1.229    0.288
1183.528   -1.920    0.186    0.103    0.311
1184.748   -1.927    0.204    0.290    0.324
1185.493   -1.918    0.185    0.208    0.310
1187.454   -1.854    0.263    0.800    0.409
1188.180   -1.911    0.280    0.969    0.419
1189.412   -1.931    0.264    1.173    0.408
1191.366   -1.967    0.221    0.249    0.438
1191.603   -2.105    0.248    0.327    0.448
1193.334   -2.069    0.221    0.504    0.437
1195.015   -2.230    0.254    0.736    0.448
1195.235   -2.218    0.221    0.798    0.437
1197.235   -1.252    0.386   -0.527    0.394
1198.426   -1.338    0.409   -0.425    0.404
1199.193   -1.427    0.387   -0.197    0.393
1201.038   -1.279    0.221   -0.432    0.210
1201.819   -1.445    0.266   -0.345    0.227
1202.950   -1.224    0.389   -0.784    0.267
1204.852   -1.537    0.391   -0.626    0.267
1205.210   -1.480    0.420   -0.647    0.279
1206.751   -1.494    0.284   -0.187    0.241
1208.600   -1.735    0.341   -0.070    0.253
1208.646   -1.764    0.286   -0.063    0.241
1210.539   -2.097    0.293    0.153    0.241
1211.987   -2.232    0.355    0.077    0.251
1212.429   -2.264    0.303    0.238    0.242
1214.315   -1.009    0.310   -0.190    0.153
1215.273   -1.134    0.417   -0.108    0.170
1216.207   -1.336    0.317   -0.138    0.152
1218.049   -1.700    0.333   -0.034    0.152
1218.712   -1.821    0.443    0.060    0.161
1219.951   -1.713    0.405   -0.114    0.148
1221.826   -1.994    0.388   -0.175    0.146
1222.048   -1.916    0.460   -0.107    0.152
1223.690   -1.490    0.387   -0.417    0.116
1225.399   -1.548    1.076   -0.296    0.143
1225.560   -1.854    0.420   -0.401    0.115
1227.419   -1.974    0.411   -0.447    0.115
1228.733   -0.965    0.445   -0.296    0.113
1229.275   -1.065    0.328   -0.394    0.109
1231.128   -1.408    0.552   -0.476    0.145
1232.065   -1.552    0.652   -0.291    0.120
1232.979   -1.705    0.563   -0.555    0.143
1234.819   -1.859    0.406   -0.389    0.166
1235.389   -1.921    0.609   -0.248    0.177
1236.664   -2.175    0.445   -0.415    0.169
1238.514   -1.678    0.309   -0.177    0.110
1238.696   -1.625    0.467   -0.115    0.128
1240.301   -1.615    0.380   -0.184    0.135
1242.009   -1.848    0.504   -0.062    0.153
1242.183   -1.883    0.380   -0.301    0.136
1244.002   -0.697    0.256    0.077    0.147
1245.306   -0.818    0.355    0.107    0.164
1245.826   -0.895    0.243   -0.082    0.147
1247.647   -1.104    0.250   -0.087    0.148
1248.594   -1.212    0.320   -0.296    0.167
1249.466   -1.047    0.251   -0.394    0.150
1251.274   -1.094    0.514   -0.379    0.255
1251.896   -1.237    0.554   -0.423    0.268
1253.095   -1.173    0.513   -0.621    0.255
1254.883   -1.271    0.285   -0.267    0.178
1255.085   -1.368    0.319   -0.199    0.189
1256.684   -1.387    0.278   -0.408    0.176
1258.437   -1.718    0.302    0.141    0.213
1258.482   -1.631    0.256    0.047    0.198
1260.285   -1.712    0.256   -0.183    0.200
1261.691   -1.575    0.242    0.171    0.186
1262.026   -1.497    0.200    0.068    0.171
1263.861   -1.512    0.393   -0.204    0.264
1264.944   -1.718    0.225   -0.102    0.183
1265.649   -1.130    0.335   -0.341    0.285
1267.412   -1.172    0.335   -0.362    0.284
1268.189   -1.266    0.352   -0.381    0.293
1269.187   -1.118    0.196   -0.070    0.226
1270.960   -1.192    0.193   -0.187    0.225
1271.433   -1.287    0.215   -0.340    0.235
1272.731   -1.338    0.194   -0.470    0.228
1274.477   -1.246    0.238    0.641    0.188
1274.661   -1.435    0.249    0.639    0.197
1276.250   -1.261    0.238    0.456    0.189
1278.006   -1.530    0.174    0.219    0.155
1279.752   -1.473    0.177   -0.065    0.160
1281.108   -1.648    0.307    0.461    0.238
1281.510   -1.503    0.300    0.347    0.232
1283.215   -1.536    0.398    0.192    0.329
1284.319   -1.418    0.231    0.174    0.195
1284.991   -1.264    0.226    0.050    0.190
1286.720   -1.279    0.232   -0.009    0.196
1287.522   -1.348    0.231    0.122    0.193
1288.447   -1.251    0.188    0.595    0.163
1290.179   -1.272    0.187    0.503    0.163
1290.724   -1.223    0.195    0.522    0.169
1291.902   -1.227    0.188    0.216    0.168
1293.614   -1.413    0.218    0.355    0.188
1293.846   -1.391    0.221    0.373    0.190
1295.332   -1.347    0.217    0.289    0.186
1297.041   -1.424    0.220    0.309    0.189
1297.098   -1.412    0.221    0.343    0.189
1298.754   -1.357    0.243    0.278    0.204
1300.263   -1.350    0.244    0.236    0.205
1300.450   -1.338    0.243    0.208    0.204
1302.152   -1.330    0.242    0.155    0.204
1303.434   -1.312    0.398    0.536    0.316
1303.816   -1.306    0.396    0.391    0.317
1305.542   -1.305    0.395    0.369    0.315
1306.590   -1.284    0.397    0.238    0.319
1307.222   -1.277    0.395    0.238    0.316
1308.901   -1.278    0.394    0.179    0.315
1309.746   -1.295    0.241    0.587    0.202
1310.577   -1.325    0.239    0.646    0.199
1312.251   -1.294    0.239    0.607    0.199
1312.895   -1.260    0.240    0.501    0.202
1313.916   -1.237    0.238    0.488    0.199
1315.579   -1.015    0.334    0.561    0.238
1316.035   -1.019    0.335    0.480    0.242
1317.240   -1.105    0.392    0.456    0.349
1318.898   -1.014    0.460    0.537    0.291
1320.548   -0.960    0.460    0.447    0.293
1322.174   -1.185    0.312    0.502    0.238
1323.847   -1.169    0.312    0.444    0.238
1325.406   -1.207    0.435    0.054    0.322
1325.477   -1.150    0.437    0.021    0.328
1327.118   -1.124    0.437   -0.052    0.328
1328.531   -1.168    0.435   -0.058    0.323
1328.743   -1.117    0.438   -0.095    0.332
1330.373   -1.336    0.321    0.474    0.259
1331.557   -1.344    0.316    0.434    0.248
1331.987   -1.293    0.318    0.410    0.254
1333.606   -1.262    0.318    0.339    0.254
1334.732   -1.227    0.319    0.318    0.251
1335.217   -1.218    0.322    0.367    0.256
1336.825   -1.207    0.357    0.326    0.343
1337.807   -1.181    0.353    0.227    0.345
1338.438   -1.198    0.353    0.237    0.344
1340.000   -1.120    0.440    0.085    0.335
1340.896   -1.075    0.437    0.065    0.326
1341.631   -1.082    0.462    0.068    0.392
1343.211   -1.092    0.438    0.054    0.329
1343.972   -1.179    0.436    0.010    0.323
1344.809   -1.058    0.439    0.018    0.331
1346.378   -1.522    0.300    0.060    0.255
1347.040   -1.586    0.295    0.027    0.245
1347.959   -1.540    0.297    0.040    0.247
1349.531   -1.469    0.284    0.004    0.245
1350.101   -1.585    0.312   -0.055    0.336
1351.095   -1.528    0.283   -0.050    0.259
1352.663   -1.518    0.311   -0.116    0.331
1353.156   -1.544    0.311   -0.098    0.332
1354.223   -1.478    0.283   -0.130    0.259
1355.767   -1.013    0.337    0.240    0.314
1356.203   -1.043    0.310    0.229    0.241
1357.296   -1.060    0.336    0.243    0.316
1358.864   -0.982    0.335    0.182    0.312
1359.244   -1.037    0.334    0.098    0.321
1360.410   -0.952    0.333   -0.038    0.317
1361.954   -1.209    0.319    0.231    0.305
1362.285   -1.236    0.318    0.219    0.307
1363.469   -1.190    0.318    0.204    0.306
1364.996   -1.157    0.298    0.165    0.243
1366.528   -0.918    0.322    0.135    0.305
1368.030   -0.839    0.306    0.150    0.247
1368.264   -0.911    0.311    0.170    0.267
1369.545   -0.851    0.320    0.034    0.300
1371.065   -1.025    0.326    0.058    0.301
1371.353   -1.073    0.302   -0.022    0.230
1372.556   -0.999    0.325    0.031    0.299
1374.032   -0.984    0.324   -0.005    0.300
1374.353   -0.923    0.322   -0.069    0.298
1375.561   -0.960    0.319   -0.179    0.292
1377.034   -0.944    0.320   -0.145    0.288
1377.347   -1.226    0.278    0.013    0.220
1378.518   -1.192    0.296    0.070    0.280
1379.994   -1.106    0.291    0.079    0.262
1380.341   -1.063    0.278    0.066    0.216
1381.483   -0.922    0.254    0.173    0.205
1382.928   -1.023    0.254    0.081    0.224
1383.329   -0.892    0.302   -0.074    0.220
1384.413   -1.048    0.306   -0.004    0.236
1385.863   -0.995    0.307   -0.021    0.238
1386.310   -0.884    0.302   -0.081    0.219
1387.318   -0.868    0.307   -0.097    0.245
1388.771   -0.996    0.281   -0.017    0.241
1389.278   -0.962    0.275   -0.049    0.214
1390.183   -0.977    0.288   -0.053    0.265
1391.660   -1.087    0.281    0.010    0.232
1392.246   -0.927    0.276   -0.048    0.214
1393.088   -1.042    0.313   -0.118    0.248
1394.522   -1.027    0.312   -0.221    0.260
1395.202   -0.945    0.306   -0.186    0.225
1395.941   -1.047    0.312   -0.145    0.250
1397.359   -0.910    0.269    0.075    0.215
1398.158   -0.886    0.255    0.079    0.170
1398.788   -0.871    0.269    0.063    0.213
1400.189   -0.996    0.267    0.009    0.219
1401.107   -0.911    0.254    0.001    0.171
1401.589   -0.958    0.269    0.007    0.218
1403.001   -1.036    0.322    0.077    0.241
1404.371   -1.067    0.319    0.052    0.243
1405.787   -1.097    0.317    0.010    0.242
1407.168   -1.056    0.306    0.044    0.231
1408.548   -1.036    0.306    0.021    0.235
1409.892   -0.917    0.332   -0.122    0.202
1409.919   -0.926    0.341   -0.099    0.239
1411.296   -0.904    0.341   -0.108    0.238
1412.658   -0.861    0.341   -0.115    0.237
1412.811   -0.878    0.332   -0.138    0.202
1414.019   -1.029    0.215   -0.205    0.195
1415.379   -1.075    0.213   -0.207    0.199
1416.730   -1.041    0.213   -0.208    0.196
1418.048   -1.320    0.225    0.153    0.208
1418.623   -1.329    0.215    0.154    0.166
1419.417   -1.325    0.226    0.162    0.208
1420.745   -1.313    0.226    0.092    0.211
1421.517   -1.134    0.217    0.107    0.159
1422.078   -1.171    0.224    0.071    0.190
1423.397   -0.871    0.355    0.248    0.265
1424.722   -0.798    0.355    0.281    0.254
1426.038   -0.805    0.355    0.273    0.255
1427.294   -0.801    0.348    0.305    0.229
1427.347   -0.712    0.320    0.454    0.226
1428.654   -0.767    0.323    0.397    0.231
1429.961   -0.844    0.289    0.421    0.223
1430.171   -0.898    0.284    0.386    0.213
1431.226   -0.850    0.294    0.398    0.228
1432.537   -0.997    0.255    0.297    0.206
1433.035   -1.009    0.244    0.268    0.193
1433.814   -1.010    0.255    0.284    0.208
1435.096   -0.962    0.252    0.302    0.204
1435.913   -1.007    0.248    0.253    0.203
1436.370   -0.918    0.324    0.386    0.242
1437.650   -0.905    0.323    0.343    0.241
1438.902   -0.896    0.325    0.390    0.243
1440.160   -0.845    0.329    0.229    0.237
1441.424   -1.461    0.225   -0.072    0.209
1441.612   -1.434    0.219    0.004    0.193
1442.647   -1.391    0.230   -0.002    0.207
1443.902   -1.325    0.255    0.146    0.201
1444.441   -1.460    0.238    0.067    0.190
1445.142   -1.314    0.259    0.129    0.202
1446.998   -1.178    0.316    0.303    0.229
1447.277   -1.148    0.314    0.320    0.217
1449.453   -1.155    0.226    0.066    0.192
1450.107   -0.898    0.219    0.024    0.177
1451.885   -1.134    0.224    0.055    0.187
1452.925   -0.893    0.218   -0.047    0.178
1454.281   -1.143    0.199   -0.072    0.164
1455.738   -1.191    0.192   -0.144    0.152
1456.679   -1.196    0.201   -0.151    0.155
1458.546   -0.936    0.261   -0.090    0.231
1459.047   -0.725    0.262   -0.167    0.237
1461.348   -0.714    0.261   -0.167    0.231
1461.393   -0.840    0.266   -0.033    0.232
1463.721   -0.870    0.192   -0.007    0.200
1464.138   -0.755    0.184   -0.188    0.198
1466.034   -0.780    0.187   -0.208    0.208
1466.923   -0.962    0.222    0.175    0.217
1468.323   -0.967    0.224    0.136    0.224
1469.715   -1.039    0.172    0.012    0.185
1470.590   -1.057    0.176   -0.006    0.196
1472.413   -0.998    0.173   -0.015    0.187
1472.840   -1.227    0.201   -0.047    0.205
1475.062   -1.367    0.205    0.206    0.201
1475.253   -1.170    0.199    0.068    0.198
1477.280   -1.338    0.205    0.192    0.201
1477.998   -0.883    0.182    0.250    0.232
1479.463   -0.771    0.186    0.257    0.241
1480.750   -0.587    0.152    0.041    0.199
1481.631   -0.607    0.157    0.051    0.210
1483.491   -0.715    0.137    0.011    0.161
1483.782   -0.740    0.145    0.013    0.176
1485.906   -0.739    0.145   -0.020    0.178
1488.026   -0.760    0.156   -0.376    0.197
1488.959   -0.709    0.147   -0.404    0.181
1490.111   -0.750    0.154   -0.387    0.196
1491.685   -0.724    0.147   -0.370    0.181
1492.188   -0.750    0.155   -0.366    0.194
1494.236   -0.747    0.132   -0.375    0.191
1494.400   -0.719    0.121   -0.368    0.177
1496.282   -0.765    0.132   -0.382    0.192
1497.109   -0.592    0.117   -0.158    0.143
1498.293   -0.669    0.128   -0.137    0.164
