   W                 M2+_3/2
 (MeV)      Re       DRe      Im       DIm
1125.893   -0.377    0.210    0.062    0.230
1127.891   -0.160    0.202    0.003    0.228
1129.903    0.175    0.203    0.135    0.376
1131.911    0.213    0.453    0.079    0.241
1133.915    0.592    0.459   -0.001    0.280
1135.841    0.405    0.120   -0.204    0.295
1135.916    0.387    0.125   -0.179    0.301
1137.913    0.568    0.119    0.346    0.331
1139.396    1.004    0.143    0.048    0.291
1139.923    0.522    0.124    0.319    0.264
1141.905    0.238    0.340   -0.120    0.277
1142.931    0.273    0.350    0.229    0.209
1143.916    0.543    0.339    0.241    0.299
1145.916    0.245    0.342    0.096    0.229
1146.464    0.287    0.344   -0.152    0.434
1147.855    0.147    0.341   -0.063    0.209
1149.905    0.265    0.143   -0.068    0.203
1149.986    0.255    0.151   -0.050    0.245
1151.886   -0.017    0.148    0.141    0.242
1153.497    0.044    0.158   -0.006    0.162
1153.880    0.270    0.140   -0.002    0.164
1155.862    0.396    0.431    0.050    0.191
1157.006    0.114    0.161    0.168    0.186
1157.849    0.074    0.152   -0.073    0.145
1159.841    0.126    0.155    0.170    0.165
1160.504    0.228    0.161    0.066    0.167
1161.821    0.095    0.160   -0.174    0.171
1163.798    0.251    0.176    0.083    0.207
1163.991    0.304    0.165   -0.013    0.185
1165.780    0.043    0.147    0.065    0.194
1167.468    0.175    0.155    0.004    0.230
1167.758    0.220    0.141   -0.007    0.175
1169.733    0.041    0.140    0.076    0.145
1170.951   -0.196    0.228    0.036    0.182
1171.680   -0.118    0.251    0.013    0.245
1173.680   -0.250    0.203    0.199    0.143
1174.336    0.245    0.189    0.192    0.261
1175.653    0.224    0.160   -0.007    0.186
1177.631    0.024    0.162   -0.060    0.140
1177.870    0.344    0.216    0.065    0.168
1179.597    0.303    0.173    0.018    0.137
1181.306    0.452    0.206   -0.298    0.178
1181.560    0.392    0.164   -0.273    0.113
1183.528   -0.305    0.179   -0.058    0.127
1184.748    0.171    0.228   -0.264    0.198
1185.493   -0.226    0.178   -0.075    0.115
1187.454   -0.183    0.230   -0.049    0.116
1188.180    0.016    0.274   -0.039    0.204
1189.412    0.118    0.228   -0.031    0.114
1191.366   -0.084    0.221   -0.228    0.111
1191.603   -0.345    0.236    0.008    0.214
1193.334    0.005    0.218   -0.027    0.107
1195.015   -0.274    0.242    0.219    0.216
1195.235   -0.175    0.199    0.313    0.114
1197.235   -0.237    0.184   -0.117    0.121
1198.426   -0.571    0.254    0.282    0.215
1199.193   -0.304    0.197    0.382    0.101
1201.038   -0.555    0.167    0.208    0.109
1201.819   -0.376    0.235    0.138    0.200
1202.950   -0.399    0.158   -0.677    0.110
1204.852   -1.125    0.148    0.593    0.113
1205.210   -0.560    0.236   -0.003    0.196
1206.751   -0.030    0.164   -0.227    0.102
1208.600   -0.223    0.235    0.110    0.185
1208.646   -0.099    0.158    0.069    0.101
1210.539   -0.166    0.173   -0.136    0.097
1211.987   -0.147    0.236   -0.414    0.183
1212.429   -0.214    0.211   -0.286    0.097
1214.315   -0.419    0.202    0.099    0.104
1215.273   -0.570    0.389   -0.020    0.160
1216.207   -0.317    0.196    0.236    0.098
1218.049   -0.335    0.193    0.089    0.091
1218.712   -0.993    0.360    0.189    0.145
1219.951   -0.217    0.186   -0.403    0.090
1221.826   -0.685    0.153    0.281    0.094
1222.048   -0.933    0.217    0.448    0.150
1223.690   -0.386    0.151   -0.217    0.091
1225.399   -0.110    0.407   -0.039    0.170
1225.560   -0.347    0.166   -0.160    0.085
1227.419   -0.269    0.159    0.168    0.083
1228.733   -0.643    0.220    0.065    0.144
1229.275   -0.256    0.143    0.327    0.081
1231.128   -0.018    0.199   -0.075    0.224
1232.065    0.158    0.237   -0.084    0.125
1232.979    0.090    0.200   -0.188    0.203
1234.819   -0.428    0.165   -0.022    0.087
1235.389    0.169    0.242   -0.078    0.124
1236.664    0.168    0.185    0.013    0.105
1238.514    0.303    0.225   -0.522    0.104
1238.696   -1.135    0.449   -0.318    0.139
1240.301   -0.382    0.267    0.059    0.092
1242.009   -0.801    0.481   -0.290    0.160
1242.183   -0.261    0.274   -0.113    0.099
1244.002   -0.130    0.224   -0.111    0.098
1245.306   -0.487    0.403   -0.249    0.134
1245.826   -0.318    0.216   -0.147    0.097
1247.647    0.623    0.245   -0.079    0.116
1248.594    1.111    0.329    0.217    0.137
1249.466   -0.345    0.228   -0.114    0.111
1251.274   -0.519    0.318   -0.478    0.097
1251.896   -0.403    0.385   -0.318    0.147
1253.095   -0.528    0.326   -0.555    0.103
1254.883   -0.875    0.250   -0.318    0.109
1255.085   -0.551    0.283   -0.116    0.135
1256.684   -0.914    0.224   -0.283    0.103
1258.437   -0.432    0.287   -0.257    0.141
1258.482   -0.587    0.233   -0.438    0.097
1260.285   -0.309    0.228   -0.512    0.100
1261.691   -0.015    0.222   -0.160    0.134
1262.026   -0.178    0.199   -0.374    0.099
1263.861    0.451    0.308   -0.314    0.174
1264.944    0.227    0.219   -0.176    0.129
1265.649   -0.067    0.288   -0.385    0.101
1267.412   -0.660    0.280   -0.508    0.103
1268.189   -0.244    0.308   -0.296    0.132
1269.187   -0.478    0.221   -0.428    0.104
1270.960   -0.483    0.221   -0.309    0.102
1271.433    0.557    0.212    0.356    0.117
1272.731    0.778    0.187    0.437    0.118
1274.477    0.020    0.229   -0.575    0.106
1274.661    0.687    0.218   -0.085    0.125
1276.250    0.083    0.216   -0.296    0.109
1278.006    0.458    0.196    0.092    0.135
1279.752    0.857    0.181    0.122    0.164
1281.108    0.823    0.239    0.135    0.128
1281.510    0.211    0.250   -0.152    0.112
1283.215    0.390    0.306   -0.148    0.223
1284.319    1.055    0.187    0.346    0.129
1284.991    0.221    0.214   -0.210    0.120
1286.720   -0.014    0.241   -0.285    0.148
1287.522    0.265    0.225   -0.133    0.119
1288.447   -0.104    0.201   -0.296    0.121
1290.179    0.054    0.196   -0.203    0.119
1290.724   -0.422    0.213   -0.486    0.115
1291.902    0.531    0.185    0.044    0.116
1293.614    0.444    0.196    0.034    0.118
1293.846    0.220    0.182    0.075    0.111
1295.332    0.061    0.178   -0.126    0.117
1297.041    0.134    0.193   -0.166    0.128
1297.098    0.065    0.181   -0.180    0.113
1298.754   -0.065    0.198   -0.261    0.130
1300.263    0.026    0.185   -0.165    0.116
1300.450    0.003    0.194   -0.208    0.127
1302.152    0.007    0.195   -0.198    0.132
1303.434   -0.231    0.261   -0.467    0.111
1303.816   -0.065    0.266   -0.294    0.127
1305.542   -0.269    0.259   -0.335    0.120
1306.590   -0.297    0.257   -0.618    0.113
1307.222   -0.199    0.254   -0.385    0.124
1308.901   -0.149    0.251   -0.289    0.116
1309.746   -0.335    0.153   -0.609    0.112
1310.577    0.134    0.169   -0.157    0.135
1312.251    0.080    0.169   -0.195    0.136
1312.895   -0.302    0.151   -0.562    0.112
1313.916   -0.174    0.155   -0.337    0.127
1315.579   -0.108    0.208   -0.266    0.123
1316.035   -0.131    0.208   -0.530    0.114
1317.240    0.329    0.364   -0.102    0.360
1318.898    0.403    0.271   -0.128    0.177
1320.548    0.409    0.270   -0.105    0.166
1322.174    0.307    0.187   -0.051    0.175
1323.847    0.307    0.188   -0.105    0.171
1325.406    0.257    0.224   -0.047    0.127
1325.477    0.325    0.240   -0.059    0.172
1327.118    0.451    0.234    0.047    0.194
1328.531    0.298    0.224    0.002    0.132
1328.743    0.482    0.239    0.088    0.205
1330.373    0.440    0.191    0.045    0.189
1331.557    0.488    0.170    0.095    0.145
1331.987    0.505    0.183    0.052    0.184
1333.606    0.574    0.179    0.096    0.198
1334.732    0.473    0.149    0.102    0.122
1335.217    0.292    0.165   -0.150    0.160
1336.825    0.228    0.253   -0.133    0.331
1337.807    0.493    0.212    0.147    0.305
1338.438    0.177    0.286    0.038    0.325
1340.000   -0.045    0.179   -0.014    0.156
1340.896   -0.162    0.167   -0.433    0.115
1341.631    0.034    0.253    0.060    0.235
1343.211    0.101    0.187   -0.027    0.165
1343.972    0.251    0.165    0.084    0.122
1344.809    0.092    0.182    0.064    0.162
1346.378    0.259    0.168    0.128    0.159
1347.040    0.157    0.150   -0.250    0.122
1347.959    0.323    0.162    0.056    0.151
1349.531    0.136    0.192   -0.090    0.144
1350.101   -0.190    0.216   -0.276    0.181
1351.095   -0.052    0.168   -0.014    0.150
1352.663   -0.072    0.234   -0.063    0.225
1353.156   -0.175    0.220   -0.283    0.195
1354.223   -0.041    0.167    0.004    0.144
1355.767    0.049    0.261   -0.043    0.214
1356.203    0.040    0.212   -0.274    0.116
1357.296    0.074    0.271   -0.033    0.217
1358.864    0.116    0.268    0.065    0.205
1359.244   -0.168    0.243   -0.345    0.135
1360.410   -0.166    0.237   -0.205    0.160
1361.954   -0.054    0.241   -0.059    0.163
1362.285   -0.118    0.224   -0.320    0.123
1363.469   -0.068    0.232   -0.099    0.153
1364.996   -0.017    0.199    0.048    0.122
1366.528    0.701    0.291   -0.002    0.337
1368.030    0.211    0.200   -0.370    0.166
1368.264    0.674    0.227   -0.048    0.243
1369.545    0.719    0.280    0.059    0.302
1371.065    0.557    0.287   -0.037    0.353
1371.353    0.582    0.205   -0.021    0.149
1372.556    0.557    0.287   -0.045    0.355
1374.032    0.601    0.281   -0.036    0.353
1374.353    0.111    0.276   -0.568    0.256
1375.561    0.693    0.281    0.153    0.321
1377.034    0.671    0.271    0.069    0.318
1377.347    0.490    0.199    0.277    0.142
1378.518    0.368    0.265    0.060    0.314
1379.994    0.056    0.243   -0.167    0.203
1380.341    0.231    0.196   -0.099    0.120
1381.483   -0.047    0.161   -0.459    0.115
1382.928    0.808    0.202   -0.150    0.154
1383.329   -0.049    0.264   -0.527    0.087
1384.413    0.315    0.279   -0.209    0.186
1385.863    0.307    0.280   -0.166    0.185
1386.310   -0.033    0.263   -0.563    0.087
1387.318    0.039    0.277   -0.451    0.134
1388.771    0.033    0.218   -0.496    0.132
1389.278   -0.028    0.201   -0.541    0.080
1390.183    0.041    0.228   -0.346    0.151
1391.660    0.328    0.223   -0.230    0.176
1392.246   -0.054    0.201   -0.525    0.074
1393.088    0.135    0.296   -0.176    0.182
1394.522    0.529    0.304   -0.192    0.131
1395.202    0.200    0.276   -0.261    0.105
1395.941    0.191    0.297   -0.252    0.200
1397.359    0.282    0.238   -0.163    0.176
1398.158    0.499    0.170   -0.012    0.097
1398.788    0.239    0.224   -0.134    0.163
1400.189    0.394    0.221   -0.232    0.193
1401.107    0.347    0.171   -0.222    0.100
1401.589    0.337    0.233   -0.233    0.183
1403.001    0.242    0.334   -0.258    0.177
1404.371    0.294    0.332   -0.292    0.167
1405.787    0.433    0.316   -0.051    0.239
1407.168    0.415    0.361   -0.125    0.202
1408.548    0.409    0.361   -0.096    0.207
1409.892    0.458    0.297   -0.195    0.132
1409.919    0.354    0.319   -0.001    0.221
1411.296    0.384    0.317   -0.041    0.225
1412.658    0.387    0.315   -0.164    0.212
1412.811    0.464    0.297   -0.317    0.133
1414.019    0.658    0.198   -0.149    0.198
