   W                 M2-_p1/2
 (MeV)      Re       DRe      Im       DIm
1307.222    0.632    0.135    0.027    0.049
1308.901    0.581    0.136   -0.024    0.053
1309.746    0.455    0.075    0.002    0.064
1310.577    0.773    0.090    0.143    0.056
1312.251    0.775    0.089    0.140    0.056
1312.895    0.480    0.074    0.010    0.064
1313.916    0.622    0.083    0.095    0.063
1315.579    0.718    0.128    0.112    0.064
1316.035    0.470    0.120    0.016    0.066
1317.240    0.785    0.170    0.186    0.092
1318.898    0.988    0.144    0.250    0.061
1320.548    0.937    0.148    0.213    0.056
1322.174    0.782    0.116    0.200    0.054
1323.847    0.765    0.115    0.191    0.051
1325.406    0.859    0.139    0.205    0.046
1325.477    0.758    0.148    0.184    0.058
1327.118    0.760    0.147    0.202    0.065
1328.531    0.875    0.139    0.216    0.047
1328.743    0.766    0.151    0.222    0.064
1330.373    0.690    0.095    0.193    0.055
1331.557    0.797    0.082    0.229    0.047
1331.987    0.686    0.097    0.193    0.052
1333.606    0.669    0.093    0.198    0.060
1334.732    0.611    0.102    0.178    0.035
1335.217    0.626    0.099    0.067    0.061
1336.825    0.620    0.111    0.061    0.098
1337.807    0.594    0.136    0.176    0.052
1338.438    0.672    0.106    0.131    0.094
1340.000    0.752    0.115    0.138    0.070
1340.896    0.593    0.109    0.071    0.062
1341.631    0.812    0.127    0.192    0.111
1343.211    0.792    0.115    0.163    0.069
1343.972    0.886    0.107    0.168    0.041
1344.809    0.823    0.115    0.197    0.074
1346.378    0.782    0.082    0.226    0.074
1347.040    0.597    0.068    0.072    0.057
1347.959    0.775    0.076    0.204    0.068
1349.531    0.912    0.126    0.188    0.064
1350.101    0.872    0.149    0.161    0.099
1351.095    1.019    0.136    0.207    0.070
1352.663    0.939    0.156    0.203    0.096
1353.156    0.881    0.146    0.159    0.104
1354.223    0.981    0.138    0.221    0.070
1355.767    0.949    0.148    0.239    0.102
1356.203    0.810    0.134    0.161    0.057
1357.296    0.955    0.150    0.243    0.097
1358.864    0.971    0.149    0.259    0.107
1359.244    0.824    0.155    0.237    0.101
1360.410    0.788    0.156    0.253    0.097
1361.954    0.886    0.163    0.254    0.102
1362.285    0.815    0.155    0.240    0.104
1363.469    0.887    0.163    0.239    0.101
1364.996    0.908    0.148    0.250    0.078
1366.528    0.820    0.109    0.218    0.085
1368.030    0.592    0.100    0.079    0.069
1368.264    0.802    0.104    0.212    0.065
